sentence,improbable,impossible,inconceivable
entering a room through a theory.,2.3618538429425865e-18,6.279471470485104e-05,0.9999372052852952
filling a bucket with acorns.,0.8290084662874216,0.17084109506979342,0.00015043864278481805
filling a bucket with buildings.,0.004973921578389081,0.5578655356766474,0.4371605427449634
filling a bucket with time.,9.086878501868603e-07,0.029323806037331684,0.9706752852748182
filling a purse with cream.,0.7488560096936255,0.24658062053297058,0.004563369773403888
filling a purse with sofas.,0.028316610029783685,0.8305743367273739,0.14110905324284234
filling a purse with luck.,0.05421360030030012,0.6036982308920801,0.34208816880761966
growing flowers inside a mug.,0.8232185892127227,0.17669837856685042,8.303222042692286e-05
growing flowers inside a marble.,0.0005457245771702074,0.9724103105558588,0.0270439648669711
growing flowers inside a sneeze.,0.00031748139957544195,0.9212376529963332,0.07844486560409142
hanging a painting using string.,0.8383907004857553,0.16154477919112928,6.452032311538894e-05
hanging a painting using vapor.,1.1543665517755455e-05,0.6454792190681193,0.35450923726636285
hanging a painting using a handshake.,0.3129990879529369,0.6495099741948697,0.03749093785219343
hiding a gift inside a forest.,0.49296087504690694,0.49415381795430097,0.012885306998792189
hiding a gift inside a cloud.,0.06339806390644646,0.7981741833892538,0.13842775270429972
hiding a gift inside a gasp.,6.730948061917012e-10,0.0044338515895018275,0.9955661477374034
lifting a box using a pulley.,0.8766758266513262,0.12323405234379789,9.012100487609334e-05
lifting a box using foam.,0.6153036697758216,0.3806652748739627,0.004031055350215755
lifting a box using an emotion.,1.092135473328563e-07,0.021885841030573984,0.9781140497558787
lighting a candle using a blowtorch.,0.8377220575541191,0.16227202284551345,5.919600367469987e-06
lighting a candle using yogurt.,0.4217737493362483,0.5762348081280949,0.001991442535656748
lighting a candle using surprises.,3.348548127540866e-06,0.07331447284966872,0.9266821786022036
making a sandwich using lettuce.,0.8687479308370031,0.13037273290844334,0.0008793362545536279
making a sandwich using a star.,8.405740470397858e-06,0.9676479250684323,0.03234366919109729
making a sandwich using a mile.,4.0504151960488286e-09,0.48264550828129815,0.5173544876682867
making a smoothie using a whisk.,0.9333405975052969,0.06665450815669142,4.8943380115540136e-06
making a smoothie using wind.,1.5235862636316338e-05,0.9903768184568003,0.00960794568056355
making a smoothie using decades.,5.518368797560138e-16,9.114202556766436e-05,0.9999088579744319
melting a chocolate bar using a radiator.,0.3522961087750355,0.647118012619877,0.0005858786050874969
melting a chocolate bar using a napkin.,0.6669649726098501,0.33299122864294295,4.3798747206934086e-05
melting a chocolate bar using a promise.,1.5921917030202254e-11,0.007931683054194609,0.9920683169298836
opening a jar using their feet.,0.5935454911163422,0.40093006237091544,0.005524446512742454
opening a jar using their mind.,0.09188315594139002,0.7279766187667022,0.18014022529190785
opening a jar using an opinion.,1.5447176733783562e-18,0.00022797918465132096,0.9997720208153489
packing a suit inside a pocket.,0.8652490698396997,0.1343904982205814,0.00036043193971868967
packing a suit inside a raspberry.,2.6074668335355257e-05,0.9969315081910752,0.003042417140589565
packing a suit inside a groan.,2.126481146935845e-09,0.0023122463202054537,0.9976877515533136
painting a wall using a mop.,0.8944676989165713,0.1055221118624034,1.018922102522797e-05
painting a wall using a bathtub.,0.3913308220184453,0.6069822871673534,0.0016868908142014226
painting a wall using a whisper.,9.406243943405225e-11,0.07021165466725555,0.9297883452386819
paving a road using seashells.,0.6446508309142526,0.35500234643968936,0.00034682264605808414
paving a road using a comet.,0.006967332712200384,0.9509230707051336,0.042109596582665956
paving a road using happiness.,1.2351765197575114e-11,0.005058213369393499,0.9949417866182547
plucking a hair using tongs.,0.9445296481332802,0.055451696511454505,1.865535526523407e-05
plucking a hair using a spoon.,0.8176009604127198,0.1818676814145807,0.0005313581726994681
plucking a hair using sympathy.,1.5012514063615105e-10,0.0038464301402265553,0.9961535697096485
polishing jewelry using a shirt.,0.17127416346387436,0.8262393530866121,0.0024864834495133934
polishing jewelry using a chainsaw.,0.8593185001171372,0.14064794875739578,3.355112546711524e-05
polishing jewelry using music.,0.20687108575099292,0.6915748128231364,0.10155410142587064
popping a balloon using a spear.,0.6982445195218531,0.30169189742585545,6.358305229143436e-05
popping a balloon using cotton balls.,0.6667692183707339,0.33314594941694015,8.483221232585886e-05
popping a balloon using a story.,7.387744459805262e-09,0.0229924222733805,0.9770075703388751
removing a stain using vinegar.,0.7856973756490371,0.21242324435792148,0.0018793799930414518
removing a stain using dirt.,0.00011251003016904732,0.6226779110980697,0.37720957887176143
removing a stain using truth.,2.879597638613347e-18,9.400414097104091e-05,0.9999059958590291
rinsing fruit using a hose.,0.7907284271901496,0.20922215094769003,4.942186216036276e-05
rinsing fruit using a clock.,0.29449734522951876,0.6840724733116276,0.02143018145885361
rinsing fruit using a giggle.,1.3948589585682416e-11,0.0025993298494570343,0.9974006701365944
sewing a shirt using a toothpick.,0.669817039345952,0.3294300682751327,0.0007528923789151673
sewing a shirt using a potato.,0.15598810094873328,0.8412200746474627,0.0027918244038039742
sewing a shirt using thunder.,5.211990992969405e-11,0.20064437178780173,0.7993556281600784
shattering a window using a frisbee.,0.5096946635677416,0.4902247233505032,8.061308175520656e-05
shattering a window using confetti.,0.7360370272257275,0.26312696202524954,0.0008360107490230042
shattering a window using a concept.,1.2693021037391283e-18,0.0001029598710361286,0.9998970401289639
shaving their beard using a knife.,0.801296520897037,0.19707169337660976,0.0016317857263532598
shaving their beard using a teabag.,0.4735946483452157,0.5235997140695683,0.0028056375852160893
shaving their beard using a belief.,3.592476339547832e-15,0.0005076492224363279,0.9994923507775602
smashing a pumpkin using a boulder.,0.7824827765285608,0.21725778560283057,0.0002594378686084828
smashing a pumpkin using a leaf.,0.6817739737360737,0.3170689054759689,0.0011571207879573701
smashing a pumpkin using a number.,1.5546477511057975e-09,0.026109134922351104,0.9738908635230012
splitting a log using a saw.,0.8872242458749433,0.11274451495614249,3.123916891412338e-05
splitting a log using a feather.,0.07059026406331502,0.9278044798811443,0.0016052560555405752
splitting a log using a gasp.,2.6291144628324925e-09,0.007806588964599172,0.9921934084062864
squeezing juice from meat.,0.7854666087019229,0.21334671773112088,0.0011866735669562986
squeezing juice from an envelope.,0.6453548039113249,0.3514844624921242,0.0031607335965508658
squeezing juice from a mumble.,8.773455901928084e-09,0.017298045979573844,0.9827019452469704
squishing a blueberry using their nose.,0.8150106634520402,0.18466674480134523,0.0003225917466146468
squishing a blueberry using their breath.,0.4962728871829423,0.49469647053391036,0.009030642283147448
squishing a blueberry using a sight.,3.372704946277287e-15,0.0005320707340101449,0.9994679292659866
starting a fire using furniture.,0.5053786994857288,0.4913648938206204,0.003256406693650937
starting a fire using milk.,0.2173352912956519,0.781272792981961,0.0013919157223869938
starting a fire using humor.,0.0029245889895470802,0.25778904668376884,0.7392863643266842
storing dishes inside an attic.,0.8581846795247251,0.1414605432301398,0.00035477724513518615
storing dishes inside a thimble.,0.5938156376150642,0.40574004894447524,0.0004443134404606857
storing dishes inside an equation.,0.0004935752916642706,0.14243435042441877,0.8570720742839169
taking a vacation to the desert.,0.5577197663000433,0.4022440328855866,0.04003620081437013
taking a vacation to the sun.,0.009049820779669284,0.3832080191165401,0.6077421601037906
taking a vacation to a verb.,8.734449494497926e-10,0.0009000571737104008,0.9990999419528447
tightening a bolt using chopsticks.,0.8191289827005218,0.1807977306763885,7.32866230895776e-05
tightening a bolt using a house.,3.775951896470657e-09,0.0845389590108201,0.9154610372132279
tightening a bolt using a dream.,3.3926855812656883e-10,0.010602110251414455,0.989397889409317
turning an apple into a salad.,0.6558669424735466,0.33628246115702976,0.007850596369423741
turning an apple into a cherry.,0.3262219594684844,0.6509671401144053,0.022810900417110373
turning an apple into honesty.,0.0014452300845014345,0.36505765866162,0.6334971112538786
unlocking a door using a screwdriver.,0.880035002635075,0.11996148667502504,3.5106899001465688e-06
unlocking a door using a marshmallow.,0.0623855242491406,0.9331406156216775,0.004473860129182002
unlocking a door using a lie.,8.517602663952704e-07,0.30194353691220177,0.6980556113275317
washing their hair using detergent.,0.7384766535684198,0.2588372504173227,0.002686096014257373
washing their hair using a rainbow.,6.896399286260572e-06,0.35901581915363895,0.6409772844470747
washing their hair using applause.,1.6904481272203251e-09,0.006071543617625798,0.993928454691926
wearing shoes made of wood.,0.7936791112603752,0.20436223514353727,0.001958653596087625
wearing shoes made of stars.,0.04122725650443705,0.7608394412560868,0.1979333022394763
wearing shoes made of traffic.,1.6782481308765603e-06,0.826585065486307,0.173413256265562
wrapping a present using a dress.,0.7149070038706098,0.2842460492969679,0.0008469468324224454
wrapping a present using ketchup.,0.6141946127097219,0.38540070998077985,0.0004046773094983476
wrapping a present using gossip.,5.969325597235399e-13,0.004541966219044932,0.9954580337803584
writing a letter using a stylus.,0.9162095369820339,0.08313669089470319,0.000653772123262926
writing a letter using a snowflake.,0.11160322187965462,0.7700534843595411,0.11834329376080435
writing a letter using a marathon.,1.0785550405986862e-12,0.014199917231119586,0.985800082767802
writing an equation on a billboard.,0.7926732150465193,0.202071848548996,0.005254936404484643
writing an equation on an atom.,0.0013503590845946655,0.19320929471039588,0.8054403462050096
writing an equation on a scream.,4.9878440160799145e-06,0.057229991335395025,0.9427650208205888
