sentence,class,probable_improbable,improbable_impossible,impossible_inconceivable,loss
carving a statue using a nail.,improbable,288.0,-120.5,-2496.0,6.21875
carving a statue using a sock.,impossible,756.0,276.0,-2416.0,7.125
carving a statue using laughter.,inconceivable,576.0,298.0,-1616.0,8.1875
catching a fish in a lake.,probable,-524.0,-684.0,-2192.0,4.90625
catching a fish in a puddle.,improbable,-192.0,-472.0,-2096.0,5.25
catching a fish in a raindrop.,impossible,167.0,-59.5,-2080.0,4.78125
catching a fish in an exclamation.,inconceivable,194.0,180.0,-964.0,7.40625
chilling a drink using ice.,probable,-243.0,-420.0,-2144.0,6.0
chilling a drink using snow.,improbable,440.0,18.0,-2240.0,6.90625
chilling a drink using fire.,impossible,564.0,216.0,-2272.0,7.25
chilling a drink using yesterday.,inconceivable,428.0,616.0,-752.0,7.90625
chopping a carrot using a knife.,probable,-516.0,-800.0,-2608.0,5.3125
chopping a carrot using a sword.,improbable,3.34375,-470.0,-2512.0,6.125
chopping a carrot using a rag.,impossible,-128.0,-426.0,-2544.0,7.3125
chopping a carrot using a color.,inconceivable,192.0,420.0,-1152.0,7.09375
cleaning a spill using a sponge.,probable,-142.0,-394.0,-2432.0,7.0625
cleaning a spill using a scarf.,improbable,304.0,-74.5,-2192.0,8.8125
cleaning a spill using mustard.,impossible,680.0,476.0,-2032.0,10.125
cleaning a spill using a country.,inconceivable,350.0,700.0,-740.0,9.8125
cleaning a carpet using a vacuum.,probable,-274.0,-502.0,-2192.0,6.28125
cleaning a carpet using a hat.,improbable,780.0,470.0,-1992.0,7.78125
cleaning a carpet using a crayon.,impossible,552.0,116.5,-2288.0,8.625
cleaning a carpet using a week.,inconceivable,336.0,520.0,-660.0,8.625
climbing a tree using a ladder.,probable,-282.0,-528.0,-2384.0,6.0
climbing a tree using a rope.,improbable,-187.0,-556.0,-2560.0,5.75
climbing a tree using oil.,impossible,740.0,572.0,-1808.0,8.5625
climbing a tree using a poem.,inconceivable,736.0,352.0,-1592.0,7.6875
closing a jacket using a zipper.,probable,-190.0,-592.0,-2272.0,6.8125
closing a jacket using glue.,improbable,536.0,-138.0,-2176.0,8.4375
closing a jacket using fog.,impossible,788.0,948.0,-1264.0,10.1875
closing a jacket using a word.,inconceivable,560.0,532.0,-1080.0,8.5
constructing a tower out of blocks.,probable,54.5,-201.0,-2256.0,4.75
constructing a tower out of bubbles.,improbable,482.0,34.0,-2304.0,5.625
constructing a tower out of sparks.,impossible,676.0,368.0,-1968.0,6.3125
constructing a tower out of seasons.,inconceivable,756.0,804.0,-1104.0,6.65625
cooking dinner out of pasta.,probable,288.0,-25.0,-1840.0,8.0
cooking dinner out of insects.,improbable,648.0,65.0,-2240.0,8.6875
cooking dinner out of the moon.,impossible,600.0,382.0,-1704.0,7.71875
cooking dinner out of thoughts.,inconceivable,113.5,45.0,-1112.0,9.1875
cooling a room using a fan.,probable,92.0,-243.0,-2320.0,5.5625
cooling a room using shades.,improbable,632.0,113.0,-1880.0,8.25
cooling a room using a heater.,impossible,72.5,-153.0,-2240.0,6.0625
cooling a room using a taste.,inconceivable,484.0,816.0,-596.0,8.3125
covering a window using curtains.,probable,-16.25,-476.0,-2208.0,7.125
covering a window using sheets.,improbable,412.0,-75.5,-2032.0,7.71875
covering a window using a hair.,impossible,888.0,1272.0,-1848.0,7.96875
covering a window using a chant.,inconceivable,716.0,772.0,-1232.0,8.9375
crafting a bowl out of clay.,probable,23.5,-396.0,-2336.0,6.5
crafting a bowl out of mud.,improbable,362.0,-105.5,-2384.0,7.25
crafting a bowl out of smoke.,impossible,712.0,600.0,-1736.0,7.53125
crafting a bowl out of math.,inconceivable,784.0,544.0,-1368.0,8.1875
crushing a soda can using a shoe.,probable,700.0,149.0,-2544.0,5.21875
crushing a soda can using a chair.,improbable,450.0,-128.0,-2560.0,5.4375
crushing a soda can using a tissue.,impossible,255.0,-115.0,-2592.0,5.65625
crushing a soda can using a day.,inconceivable,532.0,700.0,-972.0,6.375
cutting grass using a lawnmower.,probable,-572.0,-916.0,-2304.0,4.875
cutting grass using a scythe.,improbable,-203.0,-760.0,-2352.0,6.875
cutting grass using a popsicle.,impossible,700.0,844.0,-2144.0,8.125
cutting grass using an essay.,inconceivable,442.0,193.0,-916.0,8.375
cutting cardboard using scissors.,probable,-348.0,-716.0,-2096.0,8.5625
cutting cardboard using a scalpel.,improbable,56.25,-528.0,-2384.0,6.53125
cutting cardboard using fur.,impossible,876.0,916.0,-1632.0,11.1875
cutting cardboard using a snore.,inconceivable,524.0,552.0,-1056.0,8.4375
denting a car with a baseball bat.,probable,249.0,-157.0,-2304.0,4.65625
denting a car with a dumbbell.,improbable,584.0,105.5,-2368.0,5.75
denting a car with a breeze.,impossible,368.0,414.0,-1424.0,6.78125
denting a car with a nap.,inconceivable,600.0,844.0,-1272.0,7.53125
digging a hole using a shovel.,probable,-368.0,-580.0,-2288.0,4.90625
digging a hole using a spatula.,improbable,-47.0,-442.0,-2224.0,5.8125
digging a hole using dirt.,impossible,-9.8125,-1.234375,-2080.0,6.4375
digging a hole using a yawn.,inconceivable,612.0,636.0,-1512.0,7.9375
dipping a biscuit into coffee.,probable,32.5,-354.0,-2320.0,5.90625
dipping a biscuit into wine.,improbable,268.0,-145.0,-2272.0,6.34375
dipping a biscuit into a floor.,impossible,376.0,322.0,-1856.0,7.09375
dipping a biscuit into a myth.,inconceivable,466.0,572.0,-780.0,7.59375
displaying books on a shelf.,probable,-628.0,-816.0,-1832.0,6.0625
displaying books on a bed.,improbable,-350.0,-696.0,-1816.0,7.15625
displaying books on a galaxy.,impossible,205.0,338.0,-1280.0,8.125
displaying books on a sigh.,inconceivable,87.0,120.0,-1216.0,8.75
docking a boat using an anchor.,probable,66.5,-318.0,-2272.0,5.25
docking a boat using an anvil.,improbable,612.0,96.0,-2064.0,6.625
docking a boat using a balloon.,impossible,728.0,115.5,-2480.0,5.875
docking a boat using a lesson.,inconceivable,504.0,508.0,-540.0,7.125
drinking a cup full of water.,probable,-262.0,-390.0,-1992.0,5.5625
drinking a cup full of honey.,improbable,99.5,-100.0,-1960.0,6.0625
drinking a cup full of lightning.,impossible,462.0,426.0,-1496.0,7.4375
drinking a cup full of minutes.,inconceivable,348.0,428.0,-732.0,7.75
drying their hands using a towel.,probable,-362.0,-564.0,-2160.0,5.8125
drying their hands using a sweater.,improbable,276.0,-115.0,-2240.0,7.21875
drying their hands using a liquid.,impossible,28.0,62.25,-1824.0,6.9375
drying their hands using freedom.,inconceivable,152.0,249.0,-952.0,9.4375
drying laundry using a clothesline.,probable,-572.0,-940.0,-2576.0,5.84375
drying laundry using a fan.,improbable,69.5,-484.0,-2576.0,7.21875
drying laundry using juice.,impossible,688.0,300.0,-2176.0,10.875
drying laundry using courage.,inconceivable,406.0,178.0,-1096.0,12.1875
eating soup using a spoon.,probable,-528.0,-872.0,-2096.0,7.28125
eating soup using a bucket.,improbable,350.0,-187.0,-2320.0,8.875
eating soup using a sieve.,impossible,86.5,-406.0,-2240.0,8.4375
eating soup using history.,inconceivable,484.0,564.0,-416.0,12.0625
entering a room through a door.,probable,-346.0,-398.0,-1936.0,5.21875
entering a room through a window.,improbable,-2.390625,-320.0,-2080.0,5.3125
entering a room through a wall.,impossible,268.0,22.0,-2040.0,5.5625
entering a room through a theory.,inconceivable,478.0,740.0,-418.0,7.78125
filling a bucket with sand.,probable,-57.75,-260.0,-2352.0,6.03125
filling a bucket with acorns.,improbable,212.0,-194.0,-2320.0,7.78125
filling a bucket with buildings.,impossible,448.0,352.0,-1592.0,8.6875
filling a bucket with time.,inconceivable,444.0,386.0,-1176.0,7.25
filling a purse with coins.,probable,-127.5,-362.0,-2240.0,7.5
filling a purse with cream.,improbable,62.75,-144.0,-1976.0,8.5625
filling a purse with sofas.,impossible,556.0,380.0,-1768.0,10.5625
filling a purse with luck.,inconceivable,326.0,114.5,-1640.0,8.875
growing flowers inside a pot.,probable,-596.0,-880.0,-2008.0,6.75
growing flowers inside a mug.,improbable,380.0,-223.0,-2384.0,7.625
growing flowers inside a marble.,impossible,736.0,876.0,-1808.0,9.0625
growing flowers inside a sneeze.,inconceivable,648.0,816.0,-1696.0,9.8125
hanging a painting using screws.,probable,194.0,-356.0,-2208.0,7.34375
hanging a painting using string.,improbable,219.0,-260.0,-2384.0,7.46875
hanging a painting using vapor.,impossible,772.0,824.0,-1456.0,9.375
hanging a painting using a handshake.,inconceivable,528.0,132.0,-1904.0,8.375
hiding a gift inside a closet.,probable,232.0,-148.0,-2008.0,6.78125
hiding a gift inside a forest.,improbable,448.0,76.0,-1992.0,7.4375
hiding a gift inside a cloud.,impossible,494.0,278.0,-1776.0,6.90625
hiding a gift inside a gasp.,inconceivable,490.0,504.0,-944.0,8.375
lifting a box using a forklift.,probable,-316.0,-656.0,-2496.0,6.0625
lifting a box using a pulley.,improbable,17.875,-298.0,-2288.0,5.65625
lifting a box using foam.,impossible,492.0,44.75,-2096.0,8.375
lifting a box using an emotion.,inconceivable,446.0,474.0,-1120.0,7.71875
lighting a candle using a match.,probable,-376.0,-576.0,-2464.0,5.71875
lighting a candle using a blowtorch.,improbable,8.1875,-506.0,-2512.0,5.46875
lighting a candle using yogurt.,impossible,696.0,240.0,-2272.0,9.0
lighting a candle using surprises.,inconceivable,536.0,468.0,-1256.0,10.5625
making a sandwich using bread.,probable,-444.0,-452.0,-2128.0,6.46875
making a sandwich using lettuce.,improbable,-245.0,-290.0,-2032.0,7.03125
making a sandwich using a star.,impossible,760.0,1080.0,-1624.0,6.90625
making a sandwich using a mile.,inconceivable,676.0,1088.0,-1176.0,7.4375
making a smoothie using a blender.,probable,-608.0,-880.0,-2304.0,5.59375
making a smoothie using a whisk.,improbable,-318.0,-640.0,-2320.0,6.65625
making a smoothie using wind.,impossible,968.0,1144.0,-1736.0,9.375
making a smoothie using decades.,inconceivable,358.0,588.0,-532.0,10.625
melting a chocolate bar using a stove.,probable,216.0,-118.5,-2592.0,5.9375
melting a chocolate bar using a radiator.,improbable,796.0,276.0,-2464.0,6.40625
melting a chocolate bar using a napkin.,impossible,374.0,-177.0,-2576.0,6.9375
melting a chocolate bar using a promise.,inconceivable,720.0,760.0,-884.0,7.65625
opening a jar using their hands.,probable,116.0,-176.0,-2032.0,6.4375
opening a jar using their feet.,improbable,460.0,46.5,-2064.0,6.5625
opening a jar using their mind.,impossible,408.0,174.0,-1736.0,7.0625
opening a jar using an opinion.,inconceivable,668.0,896.0,-440.0,7.78125
packing a suit inside a suitcase.,probable,-266.0,-708.0,-2432.0,6.46875
packing a suit inside a pocket.,improbable,119.5,-245.0,-2160.0,7.40625
packing a suit inside a raspberry.,impossible,928.0,1200.0,-1848.0,9.5625
packing a suit inside a groan.,inconceivable,233.0,322.0,-932.0,9.625
painting a wall using a brush.,probable,-640.0,-864.0,-2256.0,5.53125
painting a wall using a mop.,improbable,-57.0,-498.0,-2400.0,6.5
painting a wall using a bathtub.,impossible,596.0,266.0,-2304.0,6.53125
painting a wall using a whisper.,inconceivable,688.0,960.0,-992.0,7.84375
paving a road using cement.,probable,-164.0,-310.0,-2176.0,6.09375
paving a road using seashells.,improbable,544.0,33.5,-2400.0,6.4375
paving a road using a comet.,impossible,644.0,652.0,-1864.0,6.3125
paving a road using happiness.,inconceivable,596.0,712.0,-864.0,7.75
plucking a hair using tweezers.,probable,-276.0,-540.0,-2272.0,6.71875
plucking a hair using tongs.,improbable,-264.0,-584.0,-2192.0,7.53125
plucking a hair using a spoon.,impossible,251.0,-150.0,-2192.0,6.40625
plucking a hair using sympathy.,inconceivable,422.0,560.0,-908.0,9.875
polishing jewelry using a cloth.,probable,182.0,-253.0,-2160.0,6.4375
polishing jewelry using a shirt.,improbable,876.0,456.0,-2288.0,7.75
polishing jewelry using a chainsaw.,impossible,484.0,-340.0,-2400.0,7.34375
polishing jewelry using music.,inconceivable,704.0,105.5,-1792.0,8.25
popping a balloon using a thumbtack.,probable,314.0,-163.0,-2704.0,5.4375
popping a balloon using a spear.,improbable,454.0,-149.0,-2528.0,6.09375
popping a balloon using cotton balls.,impossible,474.0,-99.0,-2528.0,6.4375
popping a balloon using a story.,inconceivable,688.0,632.0,-1064.0,6.8125
removing a stain using bleach.,probable,302.0,-175.0,-2032.0,7.625
removing a stain using vinegar.,improbable,368.0,-138.0,-2064.0,7.625
removing a stain using dirt.,impossible,592.0,684.0,-1520.0,9.1875
removing a stain using truth.,inconceivable,532.0,780.0,-432.0,10.375
rinsing fruit using a sink.,probable,52.0,-189.0,-2160.0,7.34375
rinsing fruit using a hose.,improbable,308.0,-237.0,-2464.0,7.03125
rinsing fruit using a clock.,impossible,438.0,209.0,-1984.0,8.4375
rinsing fruit using a giggle.,inconceivable,440.0,616.0,-844.0,9.6875
sewing a shirt using a needle.,probable,-62.25,-358.0,-2112.0,6.71875
sewing a shirt using a toothpick.,improbable,620.0,35.25,-2288.0,7.96875
sewing a shirt using a potato.,impossible,924.0,470.0,-2272.0,7.46875
sewing a shirt using thunder.,inconceivable,828.0,1104.0,-1008.0,9.75
shattering a window using a stone.,probable,178.0,-157.0,-2304.0,5.5625
shattering a window using a frisbee.,improbable,656.0,-24.75,-2624.0,5.5
shattering a window using confetti.,impossible,408.0,-35.75,-2224.0,7.65625
shattering a window using a concept.,inconceivable,528.0,816.0,-418.0,6.90625
shaving their beard using a razor.,probable,-185.0,-362.0,-2064.0,5.3125
shaving their beard using a knife.,improbable,169.0,-159.0,-2064.0,5.6875
shaving their beard using a teabag.,impossible,540.0,190.0,-2208.0,6.0625
shaving their beard using a belief.,inconceivable,442.0,736.0,-620.0,7.625
smashing a pumpkin using a hammer.,probable,-55.75,-510.0,-2464.0,5.25
smashing a pumpkin using a boulder.,improbable,284.0,-110.0,-2320.0,6.0
smashing a pumpkin using a leaf.,impossible,322.0,22.125,-2224.0,6.1875
smashing a pumpkin using a number.,inconceivable,442.0,724.0,-1032.0,6.84375
splitting a log using an axe.,probable,-11.75,-536.0,-2464.0,6.25
splitting a log using a saw.,improbable,99.0,-386.0,-2352.0,6.28125
splitting a log using a feather.,impossible,804.0,616.0,-2336.0,7.84375
splitting a log using a gasp.,inconceivable,498.0,520.0,-996.0,8.625
squeezing juice from an orange.,probable,-366.0,-498.0,-2416.0,4.46875
squeezing juice from meat.,improbable,198.0,-114.0,-2128.0,6.40625
squeezing juice from an envelope.,impossible,242.0,26.625,-2112.0,5.78125
squeezing juice from a mumble.,inconceivable,450.0,580.0,-1056.0,5.75
squishing a blueberry using their finger.,probable,127.5,-191.0,-2288.0,7.125
squishing a blueberry using their nose.,improbable,280.0,-148.0,-2256.0,7.125
squishing a blueberry using their breath.,impossible,414.0,104.0,-2040.0,7.59375
squishing a blueberry using a sight.,inconceivable,532.0,744.0,-620.0,8.3125
starting a fire using kindling.,probable,50.25,-324.0,-2272.0,5.71875
starting a fire using furniture.,improbable,764.0,158.0,-2176.0,8.3125
starting a fire using milk.,impossible,940.0,416.0,-2368.0,7.34375
starting a fire using humor.,inconceivable,628.0,160.0,-1464.0,7.75
storing dishes inside a cabinet.,probable,-228.0,-592.0,-1976.0,6.0625
storing dishes inside an attic.,improbable,340.0,-228.0,-2176.0,7.25
storing dishes inside a thimble.,impossible,474.0,85.0,-2400.0,6.71875
storing dishes inside an equation.,inconceivable,456.0,191.0,-1384.0,7.96875
taking a vacation to the beach.,probable,-234.0,-380.0,-1976.0,5.0
taking a vacation to the desert.,improbable,146.0,-155.0,-1784.0,5.34375
taking a vacation to the sun.,impossible,256.0,153.0,-1528.0,5.5
taking a vacation to a verb.,inconceivable,237.0,196.0,-864.0,7.75
tightening a bolt using a wrench.,probable,-382.0,-560.0,-2464.0,5.34375
tightening a bolt using chopsticks.,improbable,348.0,-228.0,-2400.0,7.8125
tightening a bolt using a house.,impossible,450.0,844.0,-1096.0,7.59375
tightening a bolt using a dream.,inconceivable,684.0,668.0,-964.0,7.4375
turning an apple into a pie.,probable,25.625,-104.0,-1976.0,5.75
turning an apple into a salad.,improbable,270.0,-56.25,-1976.0,6.34375
turning an apple into a cherry.,impossible,362.0,174.0,-1968.0,5.9375
turning an apple into honesty.,inconceivable,528.0,338.0,-1504.0,8.6875
unlocking a door using a key.,probable,-410.0,-492.0,-2272.0,4.78125
unlocking a door using a screwdriver.,improbable,-145.0,-596.0,-2464.0,4.875
unlocking a door using a marshmallow.,impossible,824.0,592.0,-2192.0,6.75
unlocking a door using a lie.,inconceivable,676.0,792.0,-1304.0,6.1875
washing their hair using shampoo.,probable,-241.0,-250.0,-1984.0,6.90625
washing their hair using detergent.,improbable,-34.25,-82.5,-2064.0,7.78125
washing their hair using a rainbow.,impossible,512.0,716.0,-1376.0,8.125
washing their hair using applause.,inconceivable,414.0,504.0,-976.0,10.125
wearing shoes made of leather.,probable,-12.6875,-209.0,-1856.0,6.375
wearing shoes made of wood.,improbable,274.0,-156.0,-2048.0,6.40625
wearing shoes made of stars.,impossible,532.0,280.0,-1728.0,7.78125
wearing shoes made of traffic.,inconceivable,852.0,1004.0,-1448.0,9.625
wrapping a present using paper.,probable,-418.0,-620.0,-2192.0,6.84375
wrapping a present using a dress.,improbable,450.0,-11.125,-2240.0,7.0625
wrapping a present using ketchup.,impossible,548.0,65.0,-2400.0,9.625
wrapping a present using gossip.,inconceivable,664.0,816.0,-792.0,9.6875
writing a letter using a pen.,probable,-532.0,-672.0,-1960.0,5.78125
writing a letter using a stylus.,improbable,-24.125,-502.0,-1904.0,6.5625
writing a letter using a snowflake.,impossible,474.0,211.0,-1792.0,8.0
writing a letter using a marathon.,inconceivable,656.0,928.0,-836.0,8.3125
writing an equation on a chalkboard.,probable,-892.0,-904.0,-2080.0,6.15625
writing an equation on a billboard.,improbable,62.25,-256.0,-1896.0,7.15625
writing an equation on an atom.,impossible,235.0,164.0,-1424.0,6.96875
writing an equation on a scream.,inconceivable,488.0,392.0,-1248.0,8.125
