item_set_id,sentence,label,metadata
15,In ancient Egypt the people were governed by the baby.,improbable,unrelated
15,In ancient Egypt the people were governed by the Pharaoh.,probable,
15,In ancient Egypt the people were governed by the mess.,inconceivable,unrelated
16,The patient's aches and pains were examined by the microphone.,inconceivable,unrelated
16,The patient's aches and pains were examined by the physician.,probable,
16,The patient's aches and pains were examined by the hypochondriac.,improbable,related
16,The patient's aches and pains were examined by the medicine.,inconceivable,related
16,The patient's aches and pains were examined by the candidate.,improbable,unrelated
17,The rope was thrown by the Indian.,improbable,related
17,The rope was thrown by the graduate.,improbable,unrelated
17,The rope was thrown by the saddle.,inconceivable,related
17,The rope was thrown by the diploma.,inconceivable,unrelated
17,The rope was thrown by the cowboy.,probable,
18,The murder witness was cross-questioned by the chalk.,inconceivable,unrelated
18,The murder witness was cross-questioned by the detective.,probable,
18,The murder witness was cross-questioned by the blood.,inconceivable,related
18,The murder witness was cross-questioned by the freshman.,improbable,unrelated
18,The murder witness was cross-questioned by the convict.,improbable,related
19,The violent demonstration was policed by the cleaner.,improbable,unrelated
19,The violent demonstration was policed by the turkey.,inconceivable,unrelated
19,The violent demonstration was policed by the policeman.,probable,
19,The violent demonstration was policed by the hooligan.,improbable,related
19,The violent demonstration was policed by the banner.,inconceivable,related
20,The cult's prophecies were established by the candle.,inconceivable,related
20,The cult's prophecies were established by the admirer.,improbable,related
20,The cult's prophecies were established by the prophet.,probable,
20,The cult's prophecies were established by the wrestler.,improbable,unrelated
20,The cult's prophecies were established by the trampoline.,inconceivable,unrelated
21,"While eating dinner with her parents, the woman was proposed to by her pupil.",improbable,unrelated
21,"While eating dinner with her parents, the woman was proposed to by her pencil.",inconceivable,unrelated
21,"While eating dinner with her parents, the woman was proposed to by her father.",improbable,related
21,"While eating dinner with her parents, the woman was proposed to by her boyfriend.",probable,
21,"While eating dinner with her parents, the woman was proposed to by her diamond.",inconceivable,related
22,The studio recorded an album with music sung by the keyboard.,inconceivable,related
22,The studio recorded an album with music sung by the vocalist.,probable,
22,The studio recorded an album with music sung by the producer.,improbable,related
22,The studio recorded an album with music sung by the merchant.,improbable,unrelated
22,The studio recorded an album with music sung by the tear-gas.,inconceivable,unrelated
23,The aeroplane was flown by the controller.,improbable,related
23,The aeroplane was flown by the nurse.,improbable,unrelated
23,The aeroplane was flown by the turbine.,inconceivable,related
23,The aeroplane was flown by the pilot.,probable,
23,The aeroplane was flown by the anaesthesia.,inconceivable,unrelated
24,The first lectures in college were given by the shotgun.,inconceivable,unrelated
24,The first lectures in college were given by the lecturer.,probable,
24,The first lectures in college were given by the chalk.,inconceivable,related
24,The first lectures in college were given by the freshman.,improbable,related
24,The first lectures in college were given by the gangster.,improbable,unrelated
25,The car's new features were marketed by the engine.,inconceivable,related
25,The car's new features were marketed by the saleswoman.,probable,
25,The car's new features were marketed by the client.,improbable,related
25,The car's new features were marketed by the concierge.,improbable,unrelated
25,The car's new features were marketed by the fuse.,inconceivable,unrelated
26,The husband got involved in an affair after having been seduced by his mistress.,probable,
26,The husband got involved in an affair after having been seduced by his contestant.,improbable,unrelated
26,The husband got involved in an affair after having been seduced by his wife.,improbable,related
26,The husband got involved in an affair after having been seduced by his divorce.,inconceivable,related
26,The husband got involved in an affair after having been seduced by his prize.,inconceivable,unrelated
27,At UK pubs every drink is poured by the architect.,improbable,unrelated
27,At UK pubs every drink is poured by the crane.,inconceivable,unrelated
27,At UK pubs every drink is poured by the barman.,probable,
27,At UK pubs every drink is poured by the alcoholic.,improbable,related
27,At UK pubs every drink is poured by the rum.,inconceivable,related
28,"At the hotel, luggage is delivered by the medication.",inconceivable,unrelated
28,"At the hotel, luggage is delivered by the porter.",probable,
28,"At the hotel, luggage is delivered by the patient.",improbable,unrelated
28,"At the hotel, luggage is delivered by the traveller.",improbable,related
28,"At the hotel, luggage is delivered by the suitcase.",inconceivable,related
29,The clever boy was able to win the contest helped by his cutlery.,inconceivable,unrelated
29,The clever boy was able to win the contest helped by his opponent.,improbable,related
29,The clever boy was able to win the contest helped by his buyer.,improbable,unrelated
29,The clever boy was able to win the contest helped by his challenge.,inconceivable,related
29,The clever boy was able to win the contest helped by his mate.,probable,
30,"Thanks to the union talks, improved benefits were received by the dress.",inconceivable,unrelated
30,"Thanks to the union talks, improved benefits were received by the model.",improbable,unrelated
30,"Thanks to the union talks, improved benefits were received by the list.",inconceivable,related
30,"Thanks to the union talks, improved benefits were received by the boss.",improbable,related
30,"Thanks to the union talks, improved benefits were received by the employee.",probable,
31,"In the fairy-tale, the princess was rescued by the witch.",improbable,related
31,"In the fairy-tale, the princess was rescued by the prince.",probable,
31,"In the fairy-tale, the princess was rescued by the intern.",improbable,unrelated
31,"In the fairy-tale, the princess was rescued by the artery.",inconceivable,unrelated
31,"In the fairy-tale, the princess was rescued by the crown.",inconceivable,related
32,The chaos in the classroom was initiated by the schoolmaster.,improbable,related
32,The chaos in the classroom was initiated by the belt.,inconceivable,unrelated
32,The chaos in the classroom was initiated by the blackboard.,inconceivable,related
32,The chaos in the classroom was initiated by the beginner.,improbable,unrelated
32,The chaos in the classroom was initiated by the preschooler.,probable,
33,Every day the rich Duke's soiled underwear was scrubbed by the earlobe.,inconceivable,unrelated
33,Every day the rich Duke's soiled underwear was scrubbed by the principal.,improbable,unrelated
33,Every day the rich Duke's soiled underwear was scrubbed by the maid.,probable,
33,Every day the rich Duke's soiled underwear was scrubbed by the queen.,improbable,related
33,Every day the rich Duke's soiled underwear was scrubbed by the dirt.,inconceivable,related
34,The pianist played his music while the bass was strummed by the guitarist.,probable,
34,The pianist played his music while the bass was strummed by the diner.,improbable,unrelated
34,The pianist played his music while the bass was strummed by the drummer.,improbable,related
34,The pianist played his music while the bass was strummed by the drum.,inconceivable,related
34,The pianist played his music while the bass was strummed by the plate.,inconceivable,unrelated
35,"During the exam, unacceptable cheating behaviour was exhibited by the admirer.",improbable,unrelated
35,"During the exam, unacceptable cheating behaviour was exhibited by the student.",probable,
35,"During the exam, unacceptable cheating behaviour was exhibited by the professor.",improbable,related
35,"During the exam, unacceptable cheating behaviour was exhibited by the candle.",inconceivable,unrelated
35,"During the exam, unacceptable cheating behaviour was exhibited by the chair.",inconceivable,related
36,Everyone sat around the campfire to hear a tale told by the listener.,improbable,related
36,Everyone sat around the campfire to hear a tale told by the camera.,inconceivable,unrelated
36,Everyone sat around the campfire to hear a tale told by the viewer.,improbable,unrelated
36,Everyone sat around the campfire to hear a tale told by the storyteller.,probable,
36,Everyone sat around the campfire to hear a tale told by the log.,inconceivable,related
37,At the pharmacy three bottles of insulin were sold by the striker.,improbable,unrelated
37,At the pharmacy three bottles of insulin were sold by the goalpost.,inconceivable,unrelated
37,At the pharmacy three bottles of insulin were sold by the diabetic.,improbable,related
37,At the pharmacy three bottles of insulin were sold by the pharmacist.,probable,
37,At the pharmacy three bottles of insulin were sold by the aspirin.,inconceivable,related
38,"At the school, punishments for being late in class were given by the accomplice.",improbable,unrelated
38,"At the school, punishments for being late in class were given by the desk.",inconceivable,related
38,"At the school, punishments for being late in class were given by the child.",improbable,related
38,"At the school, punishments for being late in class were given by the handcuff.",inconceivable,unrelated
38,"At the school, punishments for being late in class were given by the headmistress.",probable,
39,After the meal was over the waitress was tipped by the customer.,probable,
39,After the meal was over the waitress was tipped by the speaker.,improbable,unrelated
39,After the meal was over the waitress was tipped by the cook.,improbable,related
39,After the meal was over the waitress was tipped by the penny.,inconceivable,related
39,After the meal was over the waitress was tipped by the television.,inconceivable,unrelated
40,At the wedding the couple was married by the bride.,improbable,related
40,At the wedding the couple was married by the ring.,inconceivable,related
40,At the wedding the couple was married by the commercial.,inconceivable,unrelated
40,At the wedding the couple was married by the pastor.,probable,
40,At the wedding the couple was married by the watcher.,improbable,unrelated
41,The car was given a parking ticket by the ocean.,inconceivable,unrelated
41,The car was given a parking ticket by the delinquent.,improbable,related
41,The car was given a parking ticket by the traffic warden.,probable,
41,The car was given a parking ticket by the brake.,inconceivable,related
41,The car was given a parking ticket by the explorer.,improbable,unrelated
42,The film was recorded by the director.,probable,
42,The film was recorded by the assassin.,improbable,unrelated
42,The film was recorded by the rifle.,inconceivable,unrelated
42,The film was recorded by the script.,inconceivable,related
42,The film was recorded by the actress.,improbable,related
43,During the basketball game hot dogs were sold by the mustard.,inconceivable,related
43,During the basketball game hot dogs were sold by the schoolmaster.,improbable,unrelated
43,During the basketball game hot dogs were sold by the blackboard.,inconceivable,unrelated
43,During the basketball game hot dogs were sold by the spectator.,improbable,related
43,During the basketball game hot dogs were sold by the vendor.,probable,
44,The man who stole the money was prosecuted by the receptionist.,improbable,unrelated
44,The man who stole the money was prosecuted by the lawyer.,probable,
44,The man who stole the money was prosecuted by the witness.,improbable,related
44,The man who stole the money was prosecuted by the confession.,inconceivable,related
44,The man who stole the money was prosecuted by the headlight.,inconceivable,unrelated
45,"At the roller coaster in the amusement park, customers are counted by the print.",inconceivable,unrelated
45,"At the roller coaster in the amusement park, customers are counted by the personnel.",probable,
45,"At the roller coaster in the amusement park, customers are counted by the rider.",improbable,related
45,"At the roller coaster in the amusement park, customers are counted by the journalist.",improbable,unrelated
45,"At the roller coaster in the amusement park, customers are counted by the track.",inconceivable,related
46,The skin operation was performed by the anaesthesia.,inconceivable,related
46,The skin operation was performed by the dermatologist.,probable,
46,The skin operation was performed by the nurse.,improbable,related
46,The skin operation was performed by the parent.,improbable,unrelated
46,The skin operation was performed by the whistle.,inconceivable,unrelated
47,"At the track, the horse was raced by the jockey.",probable,
47,"At the track, the horse was raced by the gambler.",improbable,related
47,"At the track, the horse was raced by the applicant.",improbable,unrelated
47,"At the track, the horse was raced by the curriculum.",inconceivable,unrelated
47,"At the track, the horse was raced by the harness.",inconceivable,related
48,The burglars were caught and arrested by the pianist.,improbable,unrelated
48,The burglars were caught and arrested by the handcuff.,inconceivable,related
48,The burglars were caught and arrested by the accomplice.,improbable,related
48,The burglars were caught and arrested by the cop.,probable,
48,The burglars were caught and arrested by the metronome.,inconceivable,unrelated
49,The castle was attacked by the toffee.,inconceivable,unrelated
49,The castle was attacked by the shopper.,improbable,unrelated
49,The castle was attacked by the protection.,inconceivable,related
49,The castle was attacked by the enemy.,probable,
49,The castle was attacked by the protector.,improbable,related
50,"In the court-case that attracted lots of media, the man was sentenced by the judge.",probable,
50,"In the court-case that attracted lots of media, the man was sentenced by the verdict.",inconceivable,related
50,"In the court-case that attracted lots of media, the man was sentenced by the granny.",improbable,unrelated
50,"In the court-case that attracted lots of media, the man was sentenced by the extinguisher.",inconceivable,unrelated
50,"In the court-case that attracted lots of media, the man was sentenced by the reporter.",improbable,related
51,Everyone watched while the man was mugged by the telescope.,inconceivable,unrelated
51,Everyone watched while the man was mugged by the attacker.,probable,
51,Everyone watched while the man was mugged by the bystander.,improbable,related
51,Everyone watched while the man was mugged by the wallet.,inconceivable,related
51,Everyone watched while the man was mugged by the technician.,improbable,unrelated
52,At the sausage stand lots of food was bought by the villain.,improbable,unrelated
52,At the sausage stand lots of food was bought by the onion.,inconceivable,related
52,At the sausage stand lots of food was bought by the eater.,probable,
52,At the sausage stand lots of food was bought by the seller.,improbable,related
52,At the sausage stand lots of food was bought by the tower.,inconceivable,unrelated
53,The decision to cancel the television show was made by the coffin.,inconceivable,unrelated
53,The decision to cancel the television show was made by the executive.,probable,
53,The decision to cancel the television show was made by the watcher.,improbable,related
53,The decision to cancel the television show was made by the widow.,improbable,unrelated
53,The decision to cancel the television show was made by the commercial.,inconceivable,related
54,In the courtroom the killer was set free by the murderer.,improbable,related
54,In the courtroom the killer was set free by the flute.,inconceivable,unrelated
54,In the courtroom the killer was set free by the jury.,probable,
54,In the courtroom the killer was set free by the violinist.,improbable,unrelated
54,In the courtroom the killer was set free by the bullet.,inconceivable,related
55,All possessions in the will were left by the deceased.,probable,
55,All possessions in the will were left by the verdict.,inconceivable,unrelated
55,All possessions in the will were left by the survivor.,improbable,related
55,All possessions in the will were left by the reporter.,improbable,unrelated
55,All possessions in the will were left by the grave.,inconceivable,related
56,In an act of generosity a large sum was donated by the sunbather.,improbable,unrelated
56,In an act of generosity a large sum was donated by the paddle.,inconceivable,unrelated
56,In an act of generosity a large sum was donated by the checkbook.,inconceivable,related
56,In an act of generosity a large sum was donated by the millionaire.,probable,
56,In an act of generosity a large sum was donated by the recipient.,improbable,related
57,The novel was written by the page.,inconceivable,related
57,The novel was written by the reader.,improbable,related
57,The novel was written by the author.,probable,
57,The novel was written by the builder.,improbable,unrelated
57,The novel was written by the lawn-mower.,inconceivable,unrelated
58,The holiday cruise ship was sailed by the constitution.,inconceivable,unrelated
58,The holiday cruise ship was sailed by the president.,improbable,unrelated
58,The holiday cruise ship was sailed by the captain.,probable,
58,The holiday cruise ship was sailed by the tourist.,improbable,related
58,The holiday cruise ship was sailed by the anchor.,inconceivable,related
59,At the church the baptism was conducted by the basin.,inconceivable,related
59,At the church the baptism was conducted by the passenger.,improbable,unrelated
59,At the church the baptism was conducted by the infant.,improbable,related
59,At the church the baptism was conducted by the deck.,inconceivable,unrelated
59,At the church the baptism was conducted by the minister.,probable,
60,"Before the island was discovered, it was inhabited by the native.",probable,
60,"Before the island was discovered, it was inhabited by the explorer.",improbable,related
60,"Before the island was discovered, it was inhabited by the assistant.",improbable,unrelated
60,"Before the island was discovered, it was inhabited by the ocean.",inconceivable,related
60,"Before the island was discovered, it was inhabited by the tooth.",inconceivable,unrelated
61,The ship was navigated by the deck.,inconceivable,related
61,The ship was navigated by the passenger.,improbable,related
61,The ship was navigated by the sailor.,probable,
61,The ship was navigated by the toddler.,improbable,unrelated
61,The ship was navigated by the powder.,inconceivable,unrelated
62,The bank's vault had been robbed by the burglar.,probable,
62,The bank's vault had been robbed by the jewellery.,inconceivable,related
62,The bank's vault had been robbed by the psychologist.,improbable,unrelated
62,The bank's vault had been robbed by the watchman.,improbable,related
62,The bank's vault had been robbed by the tape-measure.,inconceivable,unrelated
63,The advanced karate class was taught by the belt.,inconceivable,related
63,The advanced karate class was taught by the beginner.,improbable,related
63,The advanced karate class was taught by the master.,probable,
63,The advanced karate class was taught by the fingerprint.,inconceivable,unrelated
63,The advanced karate class was taught by the culprit.,improbable,unrelated
64,Every day the school facilities were cleaned by the boot.,inconceivable,unrelated
64,Every day the school facilities were cleaned by the amateur.,improbable,unrelated
64,Every day the school facilities were cleaned by the kid.,improbable,related
64,Every day the school facilities were cleaned by the janitor.,probable,
64,Every day the school facilities were cleaned by the soap.,inconceivable,related
65,Every morning at 6am the newspaper was delivered by the newsboy.,probable,
65,Every morning at 6am the newspaper was delivered by the print.,inconceivable,related
65,Every morning at 6am the newspaper was delivered by the journalist.,improbable,related
65,Every morning at 6am the newspaper was delivered by the aerosol.,inconceivable,unrelated
65,Every morning at 6am the newspaper was delivered by the lookout.,improbable,unrelated
66,The president was interviewed on television by the viewer.,improbable,related
66,The president was interviewed on television by the camera.,inconceivable,related
66,The president was interviewed on television by the correspondent.,probable,
66,The president was interviewed on television by the gambler.,improbable,unrelated
66,The president was interviewed on television by the harness.,inconceivable,unrelated
67,"At the children football game, a goal was scored by the player.",probable,
67,"At the children football game, a goal was scored by the brake.",inconceivable,unrelated
67,"At the children football game, a goal was scored by the parent.",improbable,related
67,"At the children football game, a goal was scored by the whistle.",inconceivable,related
67,"At the children football game, a goal was scored by the delinquent.",improbable,unrelated
68,When there was a fire in the home everyone was carried out by the extinguisher.,inconceivable,related
68,When there was a fire in the home everyone was carried out by the granny.,improbable,related
68,When there was a fire in the home everyone was carried out by the examiner.,improbable,unrelated
68,When there was a fire in the home everyone was carried out by the fireman.,probable,
68,When there was a fire in the home everyone was carried out by the textbook.,inconceivable,unrelated
69,During art lessons at kindergarten lots of messy pictures were created by the youngster.,probable,
69,During art lessons at kindergarten lots of messy pictures were created by the teacher.,improbable,related
69,During art lessons at kindergarten lots of messy pictures were created by the parking-meter.,inconceivable,unrelated
69,During art lessons at kindergarten lots of messy pictures were created by the waiter.,improbable,unrelated
69,During art lessons at kindergarten lots of messy pictures were created by the table.,inconceivable,related
70,"During a speech, the political rally was bombed by the microphone.",inconceivable,related
70,"During a speech, the political rally was bombed by the bride.",improbable,unrelated
70,"During a speech, the political rally was bombed by the terrorist.",probable,
70,"During a speech, the political rally was bombed by the candidate.",improbable,related
70,"During a speech, the political rally was bombed by the ring.",inconceivable,unrelated
71,Data from the drug trial was analysed by the injection.,inconceivable,related
71,Data from the drug trial was analysed by the scientist.,probable,
71,Data from the drug trial was analysed by the brick.,inconceivable,unrelated
71,Data from the drug trial was analysed by the participant.,improbable,related
71,Data from the drug trial was analysed by the engineer.,improbable,unrelated
72,The advanced mountain climbing lesson was given by the shellfish.,inconceivable,unrelated
72,The advanced mountain climbing lesson was given by the grocer.,improbable,unrelated
72,The advanced mountain climbing lesson was given by the amateur.,improbable,related
72,The advanced mountain climbing lesson was given by the boot.,inconceivable,related
72,The advanced mountain climbing lesson was given by the mountaineer.,probable,
73,The couple was afraid that their missing baby girl would be found by the bib.,inconceivable,related
73,The couple was afraid that their missing baby girl would be found by the spectator.,improbable,unrelated
73,The couple was afraid that their missing baby girl would be found by the stranger.,probable,
73,The couple was afraid that their missing baby girl would be found by the newborn.,improbable,related
73,The couple was afraid that their missing baby girl would be found by the mustard.,inconceivable,unrelated
74,Before the funeral of the old man the grave was dug by the digger.,probable,
74,Before the funeral of the old man the grave was dug by the coffin.,inconceivable,related
74,Before the funeral of the old man the grave was dug by the catalogue.,inconceivable,unrelated
74,Before the funeral of the old man the grave was dug by the widow.,improbable,related
74,Before the funeral of the old man the grave was dug by the dean.,improbable,unrelated
75,Because of the recent threats the mayor was escorted by the assassin.,improbable,related
75,Because of the recent threats the mayor was escorted by the rifle.,inconceivable,related
75,Because of the recent threats the mayor was escorted by the bodyguard.,probable,
75,Because of the recent threats the mayor was escorted by the frame.,inconceivable,unrelated
75,Because of the recent threats the mayor was escorted by the sculptor.,improbable,unrelated
76,Because the car was parked illegally a ticket was issued by the windscreen.,inconceivable,related
76,Because the car was parked illegally a ticket was issued by the attendant.,probable,
76,Because the car was parked illegally a ticket was issued by the trainee.,improbable,unrelated
76,Because the car was parked illegally a ticket was issued by the statement.,inconceivable,unrelated
76,Because the car was parked illegally a ticket was issued by the driver.,improbable,related
77,When the bottle leaked the milk was mopped up by the sewing-machine.,inconceivable,unrelated
77,When the bottle leaked the milk was mopped up by the apprentice.,improbable,unrelated
77,When the bottle leaked the milk was mopped up by the mother.,probable,
77,When the bottle leaked the milk was mopped up by the baby.,improbable,related
77,When the bottle leaked the milk was mopped up by the mess.,inconceivable,related
78,"At the estate sale, prices are announced by the auctioneer.",probable,
78,"At the estate sale, prices are announced by the bidder.",improbable,related
78,"At the estate sale, prices are announced by the furniture.",inconceivable,related
78,"At the estate sale, prices are announced by the rider.",improbable,unrelated
78,"At the estate sale, prices are announced by the track.",inconceivable,unrelated
79,"Because of his ears, the student was targeted by the principal.",improbable,related
79,"Because of his ears, the student was targeted by the photograph.",inconceivable,unrelated
79,"Because of his ears, the student was targeted by the bully.",probable,
79,"Because of his ears, the student was targeted by the holiday-maker.",improbable,unrelated
79,"Because of his ears, the student was targeted by the earlobe.",inconceivable,related
80,A big crowd had gathered to watch as the rocket was launched by the astronaut.,probable,
80,A big crowd had gathered to watch as the rocket was launched by the planet.,inconceivable,related
80,A big crowd had gathered to watch as the rocket was launched by the caller.,improbable,unrelated
80,A big crowd had gathered to watch as the rocket was launched by the onlooker.,improbable,related
80,A big crowd had gathered to watch as the rocket was launched by the receiver.,inconceivable,unrelated
81,The soup company for homeless people was funded by the beggar.,improbable,related
81,The soup company for homeless people was funded by the keyhole.,inconceivable,unrelated
81,The soup company for homeless people was funded by the plumber.,improbable,unrelated
81,The soup company for homeless people was funded by the entrepreneur.,probable,
81,The soup company for homeless people was funded by the bowl.,inconceivable,related
82,"During the election, the presidential candidate was voted for by his supporter.",probable,
82,"During the election, the presidential candidate was voted for by his ballot.",inconceivable,related
82,"During the election, the presidential candidate was voted for by his soap.",inconceivable,unrelated
82,"During the election, the presidential candidate was voted for by his rival.",improbable,related
82,"During the election, the presidential candidate was voted for by his kid.",improbable,unrelated
83,"Despite the high security in the castle, the crown was stolen by the winner.",improbable,unrelated
83,"Despite the high security in the castle, the crown was stolen by the thief.",probable,
83,"Despite the high security in the castle, the crown was stolen by the golf-ball.",inconceivable,unrelated
83,"Despite the high security in the castle, the crown was stolen by the king.",improbable,related
83,"Despite the high security in the castle, the crown was stolen by the throne.",inconceivable,related
84,"During the kidnapping, freedom was requested by the fan.",improbable,unrelated
84,"During the kidnapping, freedom was requested by the hostage.",probable,
84,"During the kidnapping, freedom was requested by the extortion.",inconceivable,related
84,"During the kidnapping, freedom was requested by the kidnapper.",improbable,related
84,"During the kidnapping, freedom was requested by the bicycle.",inconceivable,unrelated
85,The town was defended with guns by the paperback.,inconceivable,unrelated
85,The town was defended with guns by the invader.,improbable,related
85,The town was defended with guns by the army.,probable,
85,The town was defended with guns by the bookworm.,improbable,unrelated
85,The town was defended with guns by the weapon.,inconceivable,related
86,At the sweet shop six pounds of candy was sold by the centurion.,improbable,unrelated
86,At the sweet shop six pounds of candy was sold by the toffee.,inconceivable,related
86,At the sweet shop six pounds of candy was sold by the shopper.,improbable,related
86,At the sweet shop six pounds of candy was sold by the shopkeeper.,probable,
86,At the sweet shop six pounds of candy was sold by the sword.,inconceivable,unrelated
87,The hole through the prison wall was drilled by the bouquet.,inconceivable,unrelated
87,The hole through the prison wall was drilled by the fugitive.,probable,
87,The hole through the prison wall was drilled by the guard.,improbable,related
87,The hole through the prison wall was drilled by the fence.,inconceivable,related
87,The hole through the prison wall was drilled by the bachelor.,improbable,unrelated
88,All the information for the test was memorised by the scholar.,probable,
88,All the information for the test was memorised by the examiner.,improbable,related
88,All the information for the test was memorised by the tourist.,improbable,unrelated
88,All the information for the test was memorised by the textbook.,inconceivable,related
88,All the information for the test was memorised by the anchor.,inconceivable,unrelated
89,Each month the rent payment was paid by the costume.,inconceivable,unrelated
89,Each month the rent payment was paid by the composer.,improbable,unrelated
89,Each month the rent payment was paid by the tenant.,probable,
89,Each month the rent payment was paid by the landlord.,improbable,related
89,Each month the rent payment was paid by the lease.,inconceivable,related
90,At the football match the winning goal was scored by the referee.,improbable,related
90,At the football match the winning goal was scored by the defender.,probable,
90,At the football match the winning goal was scored by the crossbar.,inconceivable,related
90,At the football match the winning goal was scored by the crown.,inconceivable,unrelated
90,At the football match the winning goal was scored by the witch.,improbable,unrelated
91,At night the jail was locked by the warden.,probable,
91,At night the jail was locked by the gate.,inconceivable,related
91,At night the jail was locked by the prisoner.,improbable,related
91,At night the jail was locked by the magazine.,inconceivable,unrelated
91,At night the jail was locked by the character.,improbable,unrelated
92,During the concert the symphony was conducted by the reverend.,improbable,unrelated
92,During the concert the symphony was conducted by the veil.,inconceivable,unrelated
92,During the concert the symphony was conducted by the flute.,inconceivable,related
92,During the concert the symphony was conducted by the violinist.,improbable,related
92,During the concert the symphony was conducted by the maestro.,probable,
93,The phone call was redirected by the operator.,probable,
93,The phone call was redirected by the caller.,improbable,related
93,The phone call was redirected by the receiver.,inconceivable,related
93,The phone call was redirected by the bidder.,improbable,unrelated
93,The phone call was redirected by the furniture.,inconceivable,unrelated
94,"During the athletic tournament, the runner was overtaken by the coach.",improbable,related
