,vector_feature,fold,layer,test_feature,predicted_feature,accuracy
120,improbable,0,7,impossible,probable,0.16071428571428573
121,improbable,0,7,impossible,improbable,0.21428571428571427
122,improbable,0,7,impossible,impossible,0.5
123,improbable,0,7,impossible,inconceivable,0.125
124,improbable,0,7,inconceivable,probable,0.16071428571428573
125,improbable,0,7,inconceivable,improbable,0.10714285714285714
126,improbable,0,7,inconceivable,impossible,0.14285714285714285
127,improbable,0,7,inconceivable,inconceivable,0.5892857142857143
128,improbable,0,8,probable,probable,0.9285714285714286
129,improbable,0,8,probable,improbable,0.03571428571428571
130,improbable,0,8,probable,impossible,0.0
131,improbable,0,8,probable,inconceivable,0.03571428571428571
132,improbable,0,8,improbable,probable,0.25
133,improbable,0,8,improbable,improbable,0.5714285714285714
134,improbable,0,8,improbable,impossible,0.10714285714285714
135,improbable,0,8,improbable,inconceivable,0.07142857142857142
136,improbable,0,8,impossible,probable,0.17857142857142858
137,improbable,0,8,impossible,improbable,0.26785714285714285
138,improbable,0,8,impossible,impossible,0.4107142857142857
139,improbable,0,8,impossible,inconceivable,0.14285714285714285
140,improbable,0,8,inconceivable,probable,0.17857142857142858
141,improbable,0,8,inconceivable,improbable,0.17857142857142858
142,improbable,0,8,inconceivable,impossible,0.07142857142857142
143,improbable,0,8,inconceivable,inconceivable,0.5714285714285714
144,improbable,0,9,probable,probable,0.8214285714285714
145,improbable,0,9,probable,improbable,0.07142857142857142
146,improbable,0,9,probable,impossible,0.05357142857142857
147,improbable,0,9,probable,inconceivable,0.05357142857142857
148,improbable,0,9,improbable,probable,0.25
149,improbable,0,9,improbable,improbable,0.5178571428571429
150,improbable,0,9,improbable,impossible,0.10714285714285714
151,improbable,0,9,improbable,inconceivable,0.125
152,improbable,0,9,impossible,probable,0.16071428571428573
153,improbable,0,9,impossible,improbable,0.23214285714285715
154,improbable,0,9,impossible,impossible,0.4642857142857143
155,improbable,0,9,impossible,inconceivable,0.14285714285714285
156,improbable,0,9,inconceivable,probable,0.10714285714285714
157,improbable,0,9,inconceivable,improbable,0.21428571428571427
158,improbable,0,9,inconceivable,impossible,0.08928571428571429
159,improbable,0,9,inconceivable,inconceivable,0.5892857142857143
160,improbable,0,10,probable,probable,0.9107142857142857
161,improbable,0,10,probable,improbable,0.05357142857142857
162,improbable,0,10,probable,impossible,0.017857142857142856
163,improbable,0,10,probable,inconceivable,0.017857142857142856
164,improbable,0,10,improbable,probable,0.23214285714285715
165,improbable,0,10,improbable,improbable,0.6785714285714286
166,improbable,0,10,improbable,impossible,0.0
167,improbable,0,10,improbable,inconceivable,0.08928571428571429
168,improbable,0,10,impossible,probable,0.05357142857142857
169,improbable,0,10,impossible,improbable,0.21428571428571427
170,improbable,0,10,impossible,impossible,0.5535714285714286
171,improbable,0,10,impossible,inconceivable,0.17857142857142858
172,improbable,0,10,inconceivable,probable,0.125
173,improbable,0,10,inconceivable,improbable,0.125
174,improbable,0,10,inconceivable,impossible,0.125
175,improbable,0,10,inconceivable,inconceivable,0.625
176,improbable,0,11,probable,probable,0.9285714285714286
177,improbable,0,11,probable,improbable,0.05357142857142857
178,improbable,0,11,probable,impossible,0.0
179,improbable,0,11,probable,inconceivable,0.017857142857142856
180,improbable,0,11,improbable,probable,0.21428571428571427
181,improbable,0,11,improbable,improbable,0.7142857142857143
182,improbable,0,11,improbable,impossible,0.017857142857142856
183,improbable,0,11,improbable,inconceivable,0.05357142857142857
184,improbable,0,11,impossible,probable,0.05357142857142857
185,improbable,0,11,impossible,improbable,0.25
186,improbable,0,11,impossible,impossible,0.5357142857142857
187,improbable,0,11,impossible,inconceivable,0.16071428571428573
188,improbable,0,11,inconceivable,probable,0.05357142857142857
189,improbable,0,11,inconceivable,improbable,0.17857142857142858
190,improbable,0,11,inconceivable,impossible,0.17857142857142858
191,improbable,0,11,inconceivable,inconceivable,0.5892857142857143
192,improbable,0,12,probable,probable,0.875
193,improbable,0,12,probable,improbable,0.125
194,improbable,0,12,probable,impossible,0.0
195,improbable,0,12,probable,inconceivable,0.0
196,improbable,0,12,improbable,probable,0.19642857142857142
197,improbable,0,12,improbable,improbable,0.5892857142857143
198,improbable,0,12,improbable,impossible,0.08928571428571429
199,improbable,0,12,improbable,inconceivable,0.125
200,improbable,0,12,impossible,probable,0.10714285714285714
201,improbable,0,12,impossible,improbable,0.23214285714285715
202,improbable,0,12,impossible,impossible,0.5714285714285714
203,improbable,0,12,impossible,inconceivable,0.08928571428571429
204,improbable,0,12,inconceivable,probable,0.08928571428571429
205,improbable,0,12,inconceivable,improbable,0.125
206,improbable,0,12,inconceivable,impossible,0.17857142857142858
207,improbable,0,12,inconceivable,inconceivable,0.6071428571428571
208,improbable,0,13,probable,probable,0.9107142857142857
209,improbable,0,13,probable,improbable,0.07142857142857142
210,improbable,0,13,probable,impossible,0.0
211,improbable,0,13,probable,inconceivable,0.017857142857142856
212,improbable,0,13,improbable,probable,0.19642857142857142
213,improbable,0,13,improbable,improbable,0.5714285714285714
214,improbable,0,13,improbable,impossible,0.10714285714285714
215,improbable,0,13,improbable,inconceivable,0.125
216,improbable,0,13,impossible,probable,0.08928571428571429
217,improbable,0,13,impossible,improbable,0.3392857142857143
218,improbable,0,13,impossible,impossible,0.5178571428571429
219,improbable,0,13,impossible,inconceivable,0.05357142857142857
220,improbable,0,13,inconceivable,probable,0.10714285714285714
221,improbable,0,13,inconceivable,improbable,0.14285714285714285
222,improbable,0,13,inconceivable,impossible,0.08928571428571429
223,improbable,0,13,inconceivable,inconceivable,0.6607142857142857
224,improbable,0,14,probable,probable,0.8928571428571429
225,improbable,0,14,probable,improbable,0.08928571428571429
226,improbable,0,14,probable,impossible,0.0
227,improbable,0,14,probable,inconceivable,0.017857142857142856
228,improbable,0,14,improbable,probable,0.23214285714285715
229,improbable,0,14,improbable,improbable,0.5714285714285714
230,improbable,0,14,improbable,impossible,0.05357142857142857
231,improbable,0,14,improbable,inconceivable,0.14285714285714285
232,improbable,0,14,impossible,probable,0.10714285714285714
233,improbable,0,14,impossible,improbable,0.07142857142857142
234,improbable,0,14,impossible,impossible,0.75
235,improbable,0,14,impossible,inconceivable,0.07142857142857142
236,improbable,0,14,inconceivable,probable,0.10714285714285714
237,improbable,0,14,inconceivable,improbable,0.21428571428571427
238,improbable,0,14,inconceivable,impossible,0.14285714285714285
239,improbable,0,14,inconceivable,inconceivable,0.5357142857142857
240,improbable,0,15,probable,probable,0.8928571428571429
241,improbable,0,15,probable,improbable,0.05357142857142857
242,improbable,0,15,probable,impossible,0.0
243,improbable,0,15,probable,inconceivable,0.05357142857142857
244,improbable,0,15,improbable,probable,0.25
245,improbable,0,15,improbable,improbable,0.4642857142857143
246,improbable,0,15,improbable,impossible,0.125
247,improbable,0,15,improbable,inconceivable,0.16071428571428573
248,improbable,0,15,impossible,probable,0.10714285714285714
249,improbable,0,15,impossible,improbable,0.25
250,improbable,0,15,impossible,impossible,0.5357142857142857
251,improbable,0,15,impossible,inconceivable,0.10714285714285714
252,improbable,0,15,inconceivable,probable,0.16071428571428573
253,improbable,0,15,inconceivable,improbable,0.14285714285714285
254,improbable,0,15,inconceivable,impossible,0.10714285714285714
255,improbable,0,15,inconceivable,inconceivable,0.5892857142857143
256,improbable,0,16,probable,probable,0.9285714285714286
257,improbable,0,16,probable,improbable,0.03571428571428571
258,improbable,0,16,probable,impossible,0.017857142857142856
259,improbable,0,16,probable,inconceivable,0.017857142857142856
260,improbable,0,16,improbable,probable,0.17857142857142858
261,improbable,0,16,improbable,improbable,0.6607142857142857
262,improbable,0,16,improbable,impossible,0.08928571428571429
263,improbable,0,16,improbable,inconceivable,0.07142857142857142
264,improbable,0,16,impossible,probable,0.125
265,improbable,0,16,impossible,improbable,0.25
266,improbable,0,16,impossible,impossible,0.44642857142857145
267,improbable,0,16,impossible,inconceivable,0.17857142857142858
268,improbable,0,16,inconceivable,probable,0.14285714285714285
269,improbable,0,16,inconceivable,improbable,0.25
270,improbable,0,16,inconceivable,impossible,0.017857142857142856
271,improbable,0,16,inconceivable,inconceivable,0.5892857142857143
272,improbable,0,17,probable,probable,0.8392857142857143
273,improbable,0,17,probable,improbable,0.08928571428571429
274,improbable,0,17,probable,impossible,0.03571428571428571
275,improbable,0,17,probable,inconceivable,0.03571428571428571
276,improbable,0,17,improbable,probable,0.30357142857142855
277,improbable,0,17,improbable,improbable,0.5714285714285714
278,improbable,0,17,improbable,impossible,0.125
279,improbable,0,17,improbable,inconceivable,0.0
280,improbable,0,17,impossible,probable,0.05357142857142857
281,improbable,0,17,impossible,improbable,0.23214285714285715
282,improbable,0,17,impossible,impossible,0.625
283,improbable,0,17,impossible,inconceivable,0.08928571428571429
284,improbable,0,17,inconceivable,probable,0.14285714285714285
285,improbable,0,17,inconceivable,improbable,0.16071428571428573
286,improbable,0,17,inconceivable,impossible,0.14285714285714285
287,improbable,0,17,inconceivable,inconceivable,0.5535714285714286
288,improbable,0,18,probable,probable,0.875
289,improbable,0,18,probable,improbable,0.10714285714285714
290,improbable,0,18,probable,impossible,0.017857142857142856
291,improbable,0,18,probable,inconceivable,0.0
292,improbable,0,18,improbable,probable,0.21428571428571427
293,improbable,0,18,improbable,improbable,0.5
294,improbable,0,18,improbable,impossible,0.16071428571428573
295,improbable,0,18,improbable,inconceivable,0.125
296,improbable,0,18,impossible,probable,0.19642857142857142
297,improbable,0,18,impossible,improbable,0.16071428571428573
298,improbable,0,18,impossible,impossible,0.5714285714285714
299,improbable,0,18,impossible,inconceivable,0.07142857142857142
300,improbable,0,18,inconceivable,probable,0.16071428571428573
301,improbable,0,18,inconceivable,improbable,0.10714285714285714
302,improbable,0,18,inconceivable,impossible,0.125
303,improbable,0,18,inconceivable,inconceivable,0.6071428571428571
304,improbable,0,19,probable,probable,0.8928571428571429
305,improbable,0,19,probable,improbable,0.03571428571428571
306,improbable,0,19,probable,impossible,0.05357142857142857
307,improbable,0,19,probable,inconceivable,0.017857142857142856
308,improbable,0,19,improbable,probable,0.26785714285714285
309,improbable,0,19,improbable,improbable,0.48214285714285715
310,improbable,0,19,improbable,impossible,0.125
311,improbable,0,19,improbable,inconceivable,0.125
312,improbable,0,19,impossible,probable,0.16071428571428573
313,improbable,0,19,impossible,improbable,0.21428571428571427
314,improbable,0,19,impossible,impossible,0.5
315,improbable,0,19,impossible,inconceivable,0.125
316,improbable,0,19,inconceivable,probable,0.125
317,improbable,0,19,inconceivable,improbable,0.21428571428571427
318,improbable,0,19,inconceivable,impossible,0.05357142857142857
319,improbable,0,19,inconceivable,inconceivable,0.6071428571428571
320,improbable,0,20,probable,probable,0.9821428571428571
321,improbable,0,20,probable,improbable,0.017857142857142856
322,improbable,0,20,probable,impossible,0.0
323,improbable,0,20,probable,inconceivable,0.0
324,improbable,0,20,improbable,probable,0.26785714285714285
325,improbable,0,20,improbable,improbable,0.48214285714285715
326,improbable,0,20,improbable,impossible,0.10714285714285714
327,improbable,0,20,improbable,inconceivable,0.14285714285714285
328,improbable,0,20,impossible,probable,0.17857142857142858
329,improbable,0,20,impossible,improbable,0.17857142857142858
330,improbable,0,20,impossible,impossible,0.5
331,improbable,0,20,impossible,inconceivable,0.14285714285714285
332,improbable,0,20,inconceivable,probable,0.16071428571428573
333,improbable,0,20,inconceivable,improbable,0.14285714285714285
334,improbable,0,20,inconceivable,impossible,0.03571428571428571
335,improbable,0,20,inconceivable,inconceivable,0.6607142857142857
336,improbable,0,21,probable,probable,0.875
337,improbable,0,21,probable,improbable,0.05357142857142857
338,improbable,0,21,probable,impossible,0.017857142857142856
339,improbable,0,21,probable,inconceivable,0.05357142857142857
340,improbable,0,21,improbable,probable,0.23214285714285715
341,improbable,0,21,improbable,improbable,0.625
342,improbable,0,21,improbable,impossible,0.07142857142857142
343,improbable,0,21,improbable,inconceivable,0.07142857142857142
344,improbable,0,21,impossible,probable,0.125
345,improbable,0,21,impossible,improbable,0.25
346,improbable,0,21,impossible,impossible,0.4642857142857143
347,improbable,0,21,impossible,inconceivable,0.16071428571428573
348,improbable,0,21,inconceivable,probable,0.16071428571428573
349,improbable,0,21,inconceivable,improbable,0.21428571428571427
350,improbable,0,21,inconceivable,impossible,0.03571428571428571
351,improbable,0,21,inconceivable,inconceivable,0.5892857142857143
352,improbable,0,22,probable,probable,0.875
353,improbable,0,22,probable,improbable,0.05357142857142857
354,improbable,0,22,probable,impossible,0.017857142857142856
355,improbable,0,22,probable,inconceivable,0.05357142857142857
356,improbable,0,22,improbable,probable,0.26785714285714285
357,improbable,0,22,improbable,improbable,0.6071428571428571
358,improbable,0,22,improbable,impossible,0.08928571428571429
359,improbable,0,22,improbable,inconceivable,0.03571428571428571
360,improbable,0,22,impossible,probable,0.08928571428571429
361,improbable,0,22,impossible,improbable,0.26785714285714285
362,improbable,0,22,impossible,impossible,0.5714285714285714
363,improbable,0,22,impossible,inconceivable,0.07142857142857142
364,improbable,0,22,inconceivable,probable,0.125
365,improbable,0,22,inconceivable,improbable,0.21428571428571427
366,improbable,0,22,inconceivable,impossible,0.125
367,improbable,0,22,inconceivable,inconceivable,0.5357142857142857
368,improbable,0,23,probable,probable,0.8571428571428571
369,improbable,0,23,probable,improbable,0.07142857142857142
370,improbable,0,23,probable,impossible,0.017857142857142856
371,improbable,0,23,probable,inconceivable,0.05357142857142857
372,improbable,0,23,improbable,probable,0.23214285714285715
373,improbable,0,23,improbable,improbable,0.5892857142857143
374,improbable,0,23,improbable,impossible,0.14285714285714285
375,improbable,0,23,improbable,inconceivable,0.03571428571428571
376,improbable,0,23,impossible,probable,0.14285714285714285
377,improbable,0,23,impossible,improbable,0.21428571428571427
378,improbable,0,23,impossible,impossible,0.5714285714285714
379,improbable,0,23,impossible,inconceivable,0.07142857142857142
380,improbable,0,23,inconceivable,probable,0.16071428571428573
381,improbable,0,23,inconceivable,improbable,0.17857142857142858
382,improbable,0,23,inconceivable,impossible,0.05357142857142857
383,improbable,0,23,inconceivable,inconceivable,0.6071428571428571
384,improbable,0,24,probable,probable,0.875
385,improbable,0,24,probable,improbable,0.08928571428571429
386,improbable,0,24,probable,impossible,0.0
387,improbable,0,24,probable,inconceivable,0.03571428571428571
388,improbable,0,24,improbable,probable,0.25
389,improbable,0,24,improbable,improbable,0.6071428571428571
390,improbable,0,24,improbable,impossible,0.07142857142857142
391,improbable,0,24,improbable,inconceivable,0.07142857142857142
392,improbable,0,24,impossible,probable,0.17857142857142858
393,improbable,0,24,impossible,improbable,0.17857142857142858
394,improbable,0,24,impossible,impossible,0.48214285714285715
395,improbable,0,24,impossible,inconceivable,0.16071428571428573
396,improbable,0,24,inconceivable,probable,0.17857142857142858
397,improbable,0,24,inconceivable,improbable,0.10714285714285714
398,improbable,0,24,inconceivable,impossible,0.05357142857142857
399,improbable,0,24,inconceivable,inconceivable,0.6607142857142857
400,improbable,0,25,probable,probable,0.8928571428571429
401,improbable,0,25,probable,improbable,0.05357142857142857
402,improbable,0,25,probable,impossible,0.017857142857142856
403,improbable,0,25,probable,inconceivable,0.03571428571428571
404,improbable,0,25,improbable,probable,0.23214285714285715
405,improbable,0,25,improbable,improbable,0.5
406,improbable,0,25,improbable,impossible,0.19642857142857142
407,improbable,0,25,improbable,inconceivable,0.07142857142857142
408,improbable,0,25,impossible,probable,0.19642857142857142
409,improbable,0,25,impossible,improbable,0.25
410,improbable,0,25,impossible,impossible,0.48214285714285715
411,improbable,0,25,impossible,inconceivable,0.07142857142857142
412,improbable,0,25,inconceivable,probable,0.21428571428571427
413,improbable,0,25,inconceivable,improbable,0.16071428571428573
414,improbable,0,25,inconceivable,impossible,0.017857142857142856
415,improbable,0,25,inconceivable,inconceivable,0.6071428571428571
416,impossible,0,0,probable,probable,0.8035714285714286
417,impossible,0,0,probable,improbable,0.10714285714285714
418,impossible,0,0,probable,impossible,0.017857142857142856
419,impossible,0,0,probable,inconceivable,0.07142857142857142
420,impossible,0,0,improbable,probable,0.3392857142857143
421,impossible,0,0,improbable,improbable,0.48214285714285715
422,impossible,0,0,improbable,impossible,0.07142857142857142
423,impossible,0,0,improbable,inconceivable,0.10714285714285714
424,impossible,0,0,impossible,probable,0.19642857142857142
425,impossible,0,0,impossible,improbable,0.16071428571428573
426,impossible,0,0,impossible,impossible,0.5
427,impossible,0,0,impossible,inconceivable,0.14285714285714285
428,impossible,0,0,inconceivable,probable,0.2857142857142857
429,impossible,0,0,inconceivable,improbable,0.17857142857142858
430,impossible,0,0,inconceivable,impossible,0.07142857142857142
431,impossible,0,0,inconceivable,inconceivable,0.4642857142857143
432,impossible,0,1,probable,probable,0.8928571428571429
433,impossible,0,1,probable,improbable,0.07142857142857142
434,impossible,0,1,probable,impossible,0.017857142857142856
435,impossible,0,1,probable,inconceivable,0.017857142857142856
436,impossible,0,1,improbable,probable,0.30357142857142855
437,impossible,0,1,improbable,improbable,0.5357142857142857
438,impossible,0,1,improbable,impossible,0.08928571428571429
439,impossible,0,1,improbable,inconceivable,0.07142857142857142
440,impossible,0,1,impossible,probable,0.05357142857142857
441,impossible,0,1,impossible,improbable,0.19642857142857142
442,impossible,0,1,impossible,impossible,0.6428571428571429
443,impossible,0,1,impossible,inconceivable,0.10714285714285714
444,impossible,0,1,inconceivable,probable,0.14285714285714285
445,impossible,0,1,inconceivable,improbable,0.2857142857142857
446,impossible,0,1,inconceivable,impossible,0.16071428571428573
447,impossible,0,1,inconceivable,inconceivable,0.4107142857142857
448,impossible,0,2,probable,probable,0.8035714285714286
449,impossible,0,2,probable,improbable,0.14285714285714285
450,impossible,0,2,probable,impossible,0.017857142857142856
451,impossible,0,2,probable,inconceivable,0.03571428571428571
452,impossible,0,2,improbable,probable,0.25
453,impossible,0,2,improbable,improbable,0.5535714285714286
454,impossible,0,2,improbable,impossible,0.10714285714285714
455,impossible,0,2,improbable,inconceivable,0.08928571428571429
456,impossible,0,2,impossible,probable,0.25
457,impossible,0,2,impossible,improbable,0.05357142857142857
458,impossible,0,2,impossible,impossible,0.5357142857142857
459,impossible,0,2,impossible,inconceivable,0.16071428571428573
460,impossible,0,2,inconceivable,probable,0.05357142857142857
461,impossible,0,2,inconceivable,improbable,0.16071428571428573
462,impossible,0,2,inconceivable,impossible,0.125
463,impossible,0,2,inconceivable,inconceivable,0.6607142857142857
464,impossible,0,3,probable,probable,0.8035714285714286
465,impossible,0,3,probable,improbable,0.14285714285714285
466,impossible,0,3,probable,impossible,0.05357142857142857
467,impossible,0,3,probable,inconceivable,0.0
468,impossible,0,3,improbable,probable,0.2857142857142857
469,impossible,0,3,improbable,improbable,0.6071428571428571
470,impossible,0,3,improbable,impossible,0.03571428571428571
471,impossible,0,3,improbable,inconceivable,0.07142857142857142
472,impossible,0,3,impossible,probable,0.2857142857142857
473,impossible,0,3,impossible,improbable,0.14285714285714285
474,impossible,0,3,impossible,impossible,0.42857142857142855
475,impossible,0,3,impossible,inconceivable,0.14285714285714285
476,impossible,0,3,inconceivable,probable,0.08928571428571429
477,impossible,0,3,inconceivable,improbable,0.10714285714285714
478,impossible,0,3,inconceivable,impossible,0.07142857142857142
479,impossible,0,3,inconceivable,inconceivable,0.7321428571428571
480,impossible,0,4,probable,probable,0.8392857142857143
481,impossible,0,4,probable,improbable,0.08928571428571429
482,impossible,0,4,probable,impossible,0.07142857142857142
483,impossible,0,4,probable,inconceivable,0.0
484,impossible,0,4,improbable,probable,0.3392857142857143
485,impossible,0,4,improbable,improbable,0.6071428571428571
486,impossible,0,4,improbable,impossible,0.03571428571428571
487,impossible,0,4,improbable,inconceivable,0.017857142857142856
488,impossible,0,4,impossible,probable,0.21428571428571427
489,impossible,0,4,impossible,improbable,0.14285714285714285
490,impossible,0,4,impossible,impossible,0.48214285714285715
491,impossible,0,4,impossible,inconceivable,0.16071428571428573
492,impossible,0,4,inconceivable,probable,0.05357142857142857
493,impossible,0,4,inconceivable,improbable,0.07142857142857142
494,impossible,0,4,inconceivable,impossible,0.14285714285714285
495,impossible,0,4,inconceivable,inconceivable,0.7321428571428571
496,impossible,0,5,probable,probable,0.9107142857142857
497,impossible,0,5,probable,improbable,0.05357142857142857
498,impossible,0,5,probable,impossible,0.017857142857142856
499,impossible,0,5,probable,inconceivable,0.017857142857142856
500,impossible,0,5,improbable,probable,0.2857142857142857
501,impossible,0,5,improbable,improbable,0.6071428571428571
502,impossible,0,5,improbable,impossible,0.05357142857142857
503,impossible,0,5,improbable,inconceivable,0.05357142857142857
504,impossible,0,5,impossible,probable,0.19642857142857142
505,impossible,0,5,impossible,improbable,0.125
506,impossible,0,5,impossible,impossible,0.4642857142857143
507,impossible,0,5,impossible,inconceivable,0.21428571428571427
508,impossible,0,5,inconceivable,probable,0.07142857142857142
509,impossible,0,5,inconceivable,improbable,0.03571428571428571
510,impossible,0,5,inconceivable,impossible,0.05357142857142857
511,impossible,0,5,inconceivable,inconceivable,0.8392857142857143
512,impossible,0,6,probable,probable,0.8035714285714286
513,impossible,0,6,probable,improbable,0.16071428571428573
514,impossible,0,6,probable,impossible,0.0
515,impossible,0,6,probable,inconceivable,0.03571428571428571
516,impossible,0,6,improbable,probable,0.25
517,impossible,0,6,improbable,improbable,0.6071428571428571
518,impossible,0,6,improbable,impossible,0.10714285714285714
519,impossible,0,6,improbable,inconceivable,0.03571428571428571
520,impossible,0,6,impossible,probable,0.16071428571428573
