rt,stimulus,response,function_name,item_id,target_type,condition,term,sentence,list,task_type,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,response_label,responded_total_nonsense
2598,"<div style=""font-size:20px;""><p>A woman applying for a job</p></div>",1,apply_job,1,concrete_animate,target,a woman,a woman applying for a job,13,critical,html-keyboard-response,27,164124,0.0-4.0-0.10,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,not_total_nonsense,False
2784,"<div style=""font-size:20px;""><p>A pill being amused by a TV show</p></div>",0,amused,3,concrete_animate,near,a pill,a pill being amused by a TV show,13,critical,html-keyboard-response,29,167915,0.0-4.0-0.11,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
2463,"<div style=""font-size:20px;""><p>A mile being surprised by a news article</p></div>",0,surprised,4,concrete_animate,far2,a mile,a mile being surprised by a news article,12,critical,html-keyboard-response,7,167807,0.0-4.0-0.0,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,total_nonsense,True
2336,"<div style=""font-size:20px;""><p>Taking the square root of a month</p></div>",0,square_root,9,abstract_numeral,near,a month,taking the square root of a month,12,critical,html-keyboard-response,9,171150,0.0-4.0-0.1,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,total_nonsense,True
3087,"<div style=""font-size:20px;""><p>A man being a multiple of 5</p></div>",0,multiple,6,abstract_numeral,far1,a man,a man being a multiple of 5,12,critical,html-keyboard-response,11,175244,0.0-4.0-0.2,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,total_nonsense,True
1266,"<div style=""font-size:20px;""><p>A girl writing a play</p></div>",1,write_play,2,concrete_animate,target,a girl,a girl writing a play,12,critical,html-keyboard-response,13,177525,0.0-4.0-0.3,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,not_total_nonsense,False
1529,"<div style=""font-size:20px;""><p>A toddler being amused by a TV show</p></div>",1,amused,3,concrete_animate,target,a toddler,a toddler being amused by a TV show,12,critical,html-keyboard-response,15,180060,0.0-4.0-0.4,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,not_total_nonsense,False
1850,"<div style=""font-size:20px;""><p>A kilogram being a prime number</p></div>",1,is_prime,8,abstract_numeral,near,a kilogram,a kilogram being a prime number,12,critical,html-keyboard-response,17,182923,0.0-4.0-0.5,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,not_total_nonsense,False
1252,"<div style=""font-size:20px;""><p>An inch applying for a job</p></div>",0,apply_job,1,concrete_animate,far2,an inch,an inch applying for a job,12,critical,html-keyboard-response,19,185192,0.0-4.0-0.6,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,total_nonsense,True
1826,"<div style=""font-size:20px;""><p>Dividing 12 by a teenager</p></div>",0,dividing,10,abstract_numeral,far1,a teenager,dividing 12 by a teenager,12,critical,html-keyboard-response,21,188037,0.0-4.0-0.7,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,total_nonsense,True
2213,"<div style=""font-size:20px;""><p>Adding a wall to 79</p></div>",0,adding,11,abstract_numeral,far2,a wall,adding a wall to 79,12,critical,html-keyboard-response,23,191261,0.0-4.0-0.8,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,total_nonsense,True
2536,"<div style=""font-size:20px;""><p>A door feeling regretful</p></div>",1,regret,0,concrete_animate,near,a door,a door feeling regretful,12,critical,html-keyboard-response,25,194802,0.0-4.0-0.9,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,not_total_nonsense,False
1507,"<div style=""font-size:20px;""><p>A boy being entertained by a podcast</p></div>",1,entertained,5,concrete_animate,target,a boy,a boy being entertained by a podcast,12,critical,html-keyboard-response,27,197324,0.0-4.0-0.10,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,not_total_nonsense,False
2514,"<div style=""font-size:20px;""><p>A woman being greater than 10</p></div>",1,greater_than,7,abstract_numeral,far1,a woman,a woman being greater than 10,12,critical,html-keyboard-response,29,200851,0.0-4.0-0.11,anon_subject_9,6733d46d557efbcaf35e42fb,67351bf1ee106ffe25639ae5,0.9854263743088421,not_total_nonsense,False
3426,"<div style=""font-size:20px;""><p>The number 10 being a multiple of 5</p></div>",1,multiple,6,abstract_numeral,target,the number 10,the number 10 being a multiple of 5,7,critical,html-keyboard-response,7,67828,0.0-4.0-0.0,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,not_total_nonsense,False
3145,"<div style=""font-size:20px;""><p>A girl writing a play</p></div>",1,write_play,2,concrete_animate,target,a girl,a girl writing a play,7,critical,html-keyboard-response,9,71984,0.0-4.0-0.1,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,not_total_nonsense,False
4352,"<div style=""font-size:20px;""><p>A liter feeling regretful</p></div>",0,regret,0,concrete_animate,far2,a liter,a liter feeling regretful,7,critical,html-keyboard-response,11,77343,0.0-4.0-0.2,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
3945,"<div style=""font-size:20px;""><p>A week being entertained by a podcast</p></div>",0,entertained,5,concrete_animate,far2,a week,a week being entertained by a podcast,7,critical,html-keyboard-response,13,82305,0.0-4.0-0.3,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
2410,"<div style=""font-size:20px;""><p>Adding a boy to 79</p></div>",0,adding,11,abstract_numeral,far1,a boy,adding a boy to 79,7,critical,html-keyboard-response,15,85727,0.0-4.0-0.4,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
2207,"<div style=""font-size:20px;""><p>Taking the square root of a toddler</p></div>",0,square_root,9,abstract_numeral,far1,a toddler,taking the square root of a toddler,7,critical,html-keyboard-response,17,88944,0.0-4.0-0.5,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
3065,"<div style=""font-size:20px;""><p>A month being amused by a TV show</p></div>",0,amused,3,concrete_animate,far2,a month,a month being amused by a TV show,7,critical,html-keyboard-response,19,93013,0.0-4.0-0.6,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
5973,"<div style=""font-size:20px;""><p>Dividing 12 by a mile</p></div>",0,dividing,10,abstract_numeral,near,a mile,dividing 12 by a mile,7,critical,html-keyboard-response,21,99999,0.0-4.0-0.7,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
3548,"<div style=""font-size:20px;""><p>A kilogram being a prime number</p></div>",0,is_prime,8,abstract_numeral,near,a kilogram,a kilogram being a prime number,7,critical,html-keyboard-response,23,104560,0.0-4.0-0.8,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
6908,"<div style=""font-size:20px;""><p>An inch being greater than 10</p></div>",0,greater_than,7,abstract_numeral,near,an inch,an inch being greater than 10,7,critical,html-keyboard-response,25,112480,0.0-4.0-0.9,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
3744,"<div style=""font-size:20px;""><p>A teenager being surprised by a news article</p></div>",1,surprised,4,concrete_animate,target,a teenager,a teenager being surprised by a news article,7,critical,html-keyboard-response,27,117236,0.0-4.0-0.10,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,not_total_nonsense,False
1630,"<div style=""font-size:20px;""><p>The number 12 applying for a job</p></div>",0,apply_job,1,concrete_animate,far1,the number 12,the number 12 applying for a job,7,critical,html-keyboard-response,29,119873,0.0-4.0-0.11,anon_subject_0,6733d46d557efbcaf35e42fb,67351317d6facec4eb4781c5,0.7118278326529561,total_nonsense,True
2728,"<div style=""font-size:20px;""><p>A rock being a prime number</p></div>",0,is_prime,8,abstract_numeral,far2,a rock,a rock being a prime number,2,critical,html-keyboard-response,7,108738,0.0-4.0-0.0,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
4389,"<div style=""font-size:20px;""><p>Dividing 12 by a mile</p></div>",0,dividing,10,abstract_numeral,near,a mile,dividing 12 by a mile,2,critical,html-keyboard-response,9,114136,0.0-4.0-0.1,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
3284,"<div style=""font-size:20px;""><p>The number 13 writing a play</p></div>",0,write_play,2,concrete_animate,far1,the number 13,the number 13 writing a play,2,critical,html-keyboard-response,11,118429,0.0-4.0-0.2,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
3448,"<div style=""font-size:20px;""><p>Taking the square root of a month</p></div>",0,square_root,9,abstract_numeral,near,a month,taking the square root of a month,2,critical,html-keyboard-response,13,122884,0.0-4.0-0.3,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
3849,"<div style=""font-size:20px;""><p>A week being entertained by a podcast</p></div>",1,entertained,5,concrete_animate,far2,a week,a week being entertained by a podcast,2,critical,html-keyboard-response,15,127740,0.0-4.0-0.4,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,not_total_nonsense,False
2967,"<div style=""font-size:20px;""><p>A toddler being amused by a TV show</p></div>",1,amused,3,concrete_animate,target,a toddler,a toddler being amused by a TV show,2,critical,html-keyboard-response,17,131713,0.0-4.0-0.5,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,not_total_nonsense,False
3219,"<div style=""font-size:20px;""><p>Adding a boy to 79</p></div>",0,adding,11,abstract_numeral,far1,a boy,adding a boy to 79,2,critical,html-keyboard-response,19,135939,0.0-4.0-0.6,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
2463,"<div style=""font-size:20px;""><p>A crumb applying for a job</p></div>",0,apply_job,1,concrete_animate,near,a crumb,a crumb applying for a job,2,critical,html-keyboard-response,21,139408,0.0-4.0-0.7,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
1933,"<div style=""font-size:20px;""><p>A door being a multiple of 5</p></div>",0,multiple,6,abstract_numeral,far2,a door,a door being a multiple of 5,2,critical,html-keyboard-response,23,142346,0.0-4.0-0.8,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
3323,"<div style=""font-size:20px;""><p>The number 10 feeling regretful</p></div>",0,regret,0,concrete_animate,far1,the number 10,the number 10 feeling regretful,2,critical,html-keyboard-response,25,146675,0.0-4.0-0.9,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,total_nonsense,True
2398,"<div style=""font-size:20px;""><p>The number 12 being greater than 10</p></div>",1,greater_than,7,abstract_numeral,target,the number 12,the number 12 being greater than 10,2,critical,html-keyboard-response,27,150078,0.0-4.0-0.10,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,not_total_nonsense,False
3272,"<div style=""font-size:20px;""><p>A teenager being surprised by a news article</p></div>",1,surprised,4,concrete_animate,target,a teenager,a teenager being surprised by a news article,2,critical,html-keyboard-response,29,154354,0.0-4.0-0.11,anon_subject_10,6733d46d557efbcaf35e42fb,67351becd46a0b33a2bcee6a,0.5645781394558524,not_total_nonsense,False
7070,"<div style=""font-size:20px;""><p>Dividing 12 by a shirt</p></div>",0,dividing,10,abstract_numeral,far2,a shirt,dividing 12 by a shirt,10,critical,html-keyboard-response,7,154357,0.0-4.0-0.0,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
6516,"<div style=""font-size:20px;""><p>Adding a week to 79</p></div>",0,adding,11,abstract_numeral,near,a week,adding a week to 79,10,critical,html-keyboard-response,9,161876,0.0-4.0-0.1,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
3557,"<div style=""font-size:20px;""><p>The number 20 being entertained by a podcast</p></div>",0,entertained,5,concrete_animate,far1,the number 20,the number 20 being entertained by a podcast,10,critical,html-keyboard-response,11,166435,0.0-4.0-0.2,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
9685,"<div style=""font-size:20px;""><p>A rock being a prime number</p></div>",0,is_prime,8,abstract_numeral,far2,a rock,a rock being a prime number,10,critical,html-keyboard-response,13,177123,0.0-4.0-0.3,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
2537,"<div style=""font-size:20px;""><p>The number 13 writing a play</p></div>",0,write_play,2,concrete_animate,far1,the number 13,the number 13 writing a play,10,critical,html-keyboard-response,15,180663,0.0-4.0-0.4,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
2644,"<div style=""font-size:20px;""><p>Taking the square root of a pill</p></div>",0,square_root,9,abstract_numeral,far2,a pill,taking the square root of a pill,10,critical,html-keyboard-response,17,184309,0.0-4.0-0.5,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
3496,"<div style=""font-size:20px;""><p>A toddler being amused by a TV show</p></div>",1,amused,3,concrete_animate,target,a toddler,a toddler being amused by a TV show,10,critical,html-keyboard-response,19,188808,0.0-4.0-0.6,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,not_total_nonsense,False
3513,"<div style=""font-size:20px;""><p>The number 10 feeling regretful</p></div>",0,regret,0,concrete_animate,far1,the number 10,the number 10 feeling regretful,10,critical,html-keyboard-response,21,193324,0.0-4.0-0.7,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
6980,"<div style=""font-size:20px;""><p>A crumb applying for a job</p></div>",0,apply_job,1,concrete_animate,near,a crumb,a crumb applying for a job,10,critical,html-keyboard-response,23,201306,0.0-4.0-0.8,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
3613,"<div style=""font-size:20px;""><p>The number 12 being greater than 10</p></div>",1,greater_than,7,abstract_numeral,target,the number 12,the number 12 being greater than 10,10,critical,html-keyboard-response,25,205920,0.0-4.0-0.9,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,not_total_nonsense,False
2220,"<div style=""font-size:20px;""><p>A teenager being surprised by a news article</p></div>",1,surprised,4,concrete_animate,target,a teenager,a teenager being surprised by a news article,10,critical,html-keyboard-response,27,209142,0.0-4.0-0.10,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,not_total_nonsense,False
9273,"<div style=""font-size:20px;""><p>A liter being a multiple of 5</p></div>",0,multiple,6,abstract_numeral,near,a liter,a liter being a multiple of 5,10,critical,html-keyboard-response,29,219417,0.0-4.0-0.11,anon_subject_17,6733d46d557efbcaf35e42fb,6735131904926af3a101cd4b,0.5415239482663479,total_nonsense,True
7116,"<div style=""font-size:20px;""><p>A door feeling regretful</p></div>",1,regret,0,concrete_animate,near,a door,a door feeling regretful,13,critical,html-keyboard-response,7,86572,0.0-4.0-0.0,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,not_total_nonsense,False
4224,"<div style=""font-size:20px;""><p>The number 13 being a prime number</p></div>",1,is_prime,8,abstract_numeral,target,the number 13,the number 13 being a prime number,13,critical,html-keyboard-response,9,91798,0.0-4.0-0.1,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,not_total_nonsense,False
4518,"<div style=""font-size:20px;""><p>Dividing 12 by a shirt</p></div>",0,dividing,10,abstract_numeral,far2,a shirt,dividing 12 by a shirt,13,critical,html-keyboard-response,11,97317,0.0-4.0-0.2,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,total_nonsense,True
2854,"<div style=""font-size:20px;""><p>A rock writing a play</p></div>",1,write_play,2,concrete_animate,near,a rock,a rock writing a play,13,critical,html-keyboard-response,13,101172,0.0-4.0-0.3,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,not_total_nonsense,False
8504,"<div style=""font-size:20px;""><p>The number 20 being entertained by a podcast</p></div>",0,entertained,5,concrete_animate,far1,the number 20,the number 20 being entertained by a podcast,13,critical,html-keyboard-response,15,110678,0.0-4.0-0.4,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,total_nonsense,True
1918,"<div style=""font-size:20px;""><p>A pill being amused by a TV show</p></div>",1,amused,3,concrete_animate,near,a pill,a pill being amused by a TV show,13,critical,html-keyboard-response,17,113597,0.0-4.0-0.5,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,not_total_nonsense,False
4126,"<div style=""font-size:20px;""><p>The number 10 being a multiple of 5</p></div>",1,multiple,6,abstract_numeral,target,the number 10,the number 10 being a multiple of 5,13,critical,html-keyboard-response,19,118725,0.0-4.0-0.6,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,not_total_nonsense,False
2557,"<div style=""font-size:20px;""><p>Adding a wall to 79</p></div>",0,adding,11,abstract_numeral,far2,a wall,adding a wall to 79,13,critical,html-keyboard-response,21,122283,0.0-4.0-0.7,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,total_nonsense,True
2527,"<div style=""font-size:20px;""><p>Taking the square root of a toddler</p></div>",0,square_root,9,abstract_numeral,far1,a toddler,taking the square root of a toddler,13,critical,html-keyboard-response,23,125810,0.0-4.0-0.8,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,total_nonsense,True
2284,"<div style=""font-size:20px;""><p>The number 4 being surprised by a news article</p></div>",0,surprised,4,concrete_animate,far1,the number 4,the number 4 being surprised by a news article,13,critical,html-keyboard-response,25,129096,0.0-4.0-0.9,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,total_nonsense,True
2514,"<div style=""font-size:20px;""><p>A crumb being greater than 10</p></div>",0,greater_than,7,abstract_numeral,far2,a crumb,a crumb being greater than 10,13,critical,html-keyboard-response,27,132612,0.0-4.0-0.10,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,total_nonsense,True
2700,"<div style=""font-size:20px;""><p>A woman applying for a job</p></div>",1,apply_job,1,concrete_animate,target,a woman,a woman applying for a job,13,critical,html-keyboard-response,29,136313,0.0-4.0-0.11,anon_subject_16,6733d46d557efbcaf35e42fb,673513ed3414b4da0fe6e27d,0.9376457925890787,not_total_nonsense,False
13632,"<div style=""font-size:20px;""><p>Adding a week to 79</p></div>",0,adding,11,abstract_numeral,near,a week,adding a week to 79,10,critical,html-keyboard-response,7,118737,0.0-4.0-0.0,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
7909,"<div style=""font-size:20px;""><p>A rock being a prime number</p></div>",0,is_prime,8,abstract_numeral,far2,a rock,a rock being a prime number,10,critical,html-keyboard-response,9,127657,0.0-4.0-0.1,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
8061,"<div style=""font-size:20px;""><p>The number 13 writing a play</p></div>",0,write_play,2,concrete_animate,far1,the number 13,the number 13 writing a play,10,critical,html-keyboard-response,11,136728,0.0-4.0-0.2,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
10083,"<div style=""font-size:20px;""><p>A crumb applying for a job</p></div>",1,apply_job,1,concrete_animate,near,a crumb,a crumb applying for a job,10,critical,html-keyboard-response,13,147816,0.0-4.0-0.3,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,not_total_nonsense,False
9042,"<div style=""font-size:20px;""><p>The number 20 being entertained by a podcast</p></div>",0,entertained,5,concrete_animate,far1,the number 20,the number 20 being entertained by a podcast,10,critical,html-keyboard-response,15,157865,0.0-4.0-0.4,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
5618,"<div style=""font-size:20px;""><p>A toddler being amused by a TV show</p></div>",1,amused,3,concrete_animate,target,a toddler,a toddler being amused by a TV show,10,critical,html-keyboard-response,17,164496,0.0-4.0-0.5,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,not_total_nonsense,False
5433,"<div style=""font-size:20px;""><p>Taking the square root of a pill</p></div>",0,square_root,9,abstract_numeral,far2,a pill,taking the square root of a pill,10,critical,html-keyboard-response,19,170944,0.0-4.0-0.6,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
5343,"<div style=""font-size:20px;""><p>The number 10 feeling regretful</p></div>",0,regret,0,concrete_animate,far1,the number 10,the number 10 feeling regretful,10,critical,html-keyboard-response,21,177296,0.0-4.0-0.7,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
3586,"<div style=""font-size:20px;""><p>Dividing 12 by a shirt</p></div>",0,dividing,10,abstract_numeral,far2,a shirt,dividing 12 by a shirt,10,critical,html-keyboard-response,23,181888,0.0-4.0-0.8,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
4154,"<div style=""font-size:20px;""><p>A teenager being surprised by a news article</p></div>",1,surprised,4,concrete_animate,target,a teenager,a teenager being surprised by a news article,10,critical,html-keyboard-response,25,187056,0.0-4.0-0.9,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,not_total_nonsense,False
9125,"<div style=""font-size:20px;""><p>A liter being a multiple of 5</p></div>",0,multiple,6,abstract_numeral,near,a liter,a liter being a multiple of 5,10,critical,html-keyboard-response,27,197193,0.0-4.0-0.10,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,total_nonsense,True
5369,"<div style=""font-size:20px;""><p>The number 12 being greater than 10</p></div>",1,greater_than,7,abstract_numeral,target,the number 12,the number 12 being greater than 10,10,critical,html-keyboard-response,29,203575,0.0-4.0-0.11,anon_subject_29,6733d46d557efbcaf35e42fb,673513b17a9c60b385d4fb57,0.5466550055401889,not_total_nonsense,False
5659,"<div style=""font-size:20px;""><p>A week being entertained by a podcast</p></div>",1,entertained,5,concrete_animate,far2,a week,a week being entertained by a podcast,6,critical,html-keyboard-response,7,62640,0.0-4.0-0.0,anon_subject_11,6733d46d557efbcaf35e42fb,67351be4953358323111a0b8,0.6666653023528891,not_total_nonsense,False
