item_set_id,sentence,label,voice,synonym_set,synonym_id
54,The packrat was concealed by the stockpile.,inconceivable,passive,25.0,Version2
55,The reporter abandoned the story.,probable,active,26.0,Version1
55,The story abandoned the reporter.,inconceivable,active,26.0,Version1
55,The story was abandoned by the reporter.,probable,passive,26.0,Version1
55,The reporter was abandoned by the story.,inconceivable,passive,26.0,Version1
56,The journalist ditched the article.,probable,active,26.0,Version2
56,The article ditched the journalist.,inconceivable,active,26.0,Version2
56,The article was ditched by the journalist.,probable,passive,26.0,Version2
56,The journalist was ditched by the article.,inconceivable,passive,26.0,Version2
57,The carnivore ate the steak.,probable,active,27.0,Version1
57,The steak ate the carnivore.,inconceivable,active,27.0,Version1
57,The steak was eaten by the carnivore.,probable,passive,27.0,Version1
57,The carnivore was eaten by the steak.,inconceivable,passive,27.0,Version1
58,The meat-eater devoured the filet.,probable,active,27.0,Version2
58,The filet devoured the meat-eater.,inconceivable,active,27.0,Version2
58,The filet was devoured by the meat-eater.,probable,passive,27.0,Version2
58,The meat-eater was devoured by the filet.,inconceivable,passive,27.0,Version2
59,The man drank the soda.,probable,active,,
59,The soda drank the man.,inconceivable,active,,
59,The soda was drunk by the man.,probable,passive,,
59,The man was drunk by the soda.,inconceivable,passive,,
60,The teacher bought the laptop.,probable,active,28.0,Version1
60,The laptop bought the teacher.,inconceivable,active,28.0,Version1
60,The laptop was bought by the teacher.,probable,passive,28.0,Version1
60,The teacher was bought by the laptop.,inconceivable,passive,28.0,Version1
61,The instructor purchased the computer.,probable,active,28.0,Version2
61,The computer purchased the instructor.,inconceivable,active,28.0,Version2
61,The computer was purchased by the instructor.,probable,passive,28.0,Version2
61,The instructor was purchased by the computer.,inconceivable,passive,28.0,Version2
62,The lady cooked the supper.,probable,active,29.0,Version1
62,The supper cooked the lady.,inconceivable,active,29.0,Version1
62,The supper was cooked by the lady.,probable,passive,29.0,Version1
62,The lady was cooked by the supper.,inconceivable,passive,29.0,Version1
63,The woman prepared the dinner.,probable,active,29.0,Version2
63,The dinner prepared the woman.,inconceivable,active,29.0,Version2
63,The dinner was prepared by the woman.,probable,passive,29.0,Version2
63,The woman was prepared by the dinner.,inconceivable,passive,29.0,Version2
64,The traveler lost the souvenir.,probable,active,30.0,Version1
64,The souvenir lost the traveler.,inconceivable,active,30.0,Version1
64,The souvenir was lost by the traveler.,probable,passive,30.0,Version1
64,The traveler was lost by the souvenir.,inconceivable,passive,30.0,Version1
65,The sightseer misplaced the memento.,probable,active,30.0,Version2
65,The memento misplaced the sightseer.,inconceivable,active,30.0,Version2
65,The memento was misplaced by the sightseer.,probable,passive,30.0,Version2
65,The sightseer was misplaced by the memento.,inconceivable,passive,30.0,Version2
66,The comedian confirmed the itinerary.,probable,active,31.0,Version1
66,The itinerary confirmed the comedian.,inconceivable,active,31.0,Version1
66,The itinerary was confirmed by the comedian.,probable,passive,31.0,Version1
66,The comedian was confirmed by the itinerary.,inconceivable,passive,31.0,Version1
67,The humorist verified the schedule.,probable,active,31.0,Version2
67,The schedule verified the humorist.,inconceivable,active,31.0,Version2
67,The schedule was verified by the humorist.,probable,passive,31.0,Version2
67,The humorist was verified by the schedule.,inconceivable,passive,31.0,Version2
68,The woodworker skimmed the brochure.,probable,active,,
68,The brochure skimmed the woodworker.,inconceivable,active,,
68,The brochure was skimmed by the woodworker.,probable,passive,,
68,The woodworker was skimmed by the brochure.,inconceivable,passive,,
69,The guide reached the target.,probable,active,,
69,The target reached the guide.,inconceivable,active,,
69,The target was reached by the guide.,probable,passive,,
69,The guide was reached by the target.,inconceivable,passive,,
70,The townsperson farmed the grain.,probable,active,32.0,Version1
70,The grain farmed the townsperson.,inconceivable,active,32.0,Version1
70,The grain was farmed by the townsperson.,probable,passive,32.0,Version1
70,The townsperson was farmed by the grain.,inconceivable,passive,32.0,Version1
71,The villager cultivated the crop.,probable,active,32.0,Version2
71,The crop cultivated the villager.,inconceivable,active,32.0,Version2
71,The crop was cultivated by the villager.,probable,passive,32.0,Version2
71,The villager was cultivated by the crop.,inconceivable,passive,32.0,Version2
72,The mentor revised the manuscript.,probable,active,33.0,Version1
72,The manuscript revised the mentor.,inconceivable,active,33.0,Version1
72,The manuscript was revised by the mentor.,probable,passive,33.0,Version1
72,The mentor was revised by the manuscript.,inconceivable,passive,33.0,Version1
73,The advisor edited the paper.,probable,active,33.0,Version2
73,The paper edited the advisor.,inconceivable,active,33.0,Version2
73,The paper was edited by the advisor.,probable,passive,33.0,Version2
73,The advisor was edited by the paper.,inconceivable,passive,33.0,Version2
74,The accountant made the chart.,probable,active,34.0,Version1
74,The chart made the accountant.,inconceivable,active,34.0,Version1
74,The chart was made by the accountant.,probable,passive,34.0,Version1
74,The accountant was made by the chart.,inconceivable,passive,34.0,Version1
75,The bookkeeper created the graph.,probable,active,34.0,Version2
75,The graph created the bookkeeper.,inconceivable,active,34.0,Version2
75,The graph was created by the bookkeeper.,probable,passive,34.0,Version2
75,The bookkeeper was created by the graph.,inconceivable,passive,34.0,Version2
76,The logger felled the pine tree.,probable,active,,
76,The pine tree felled the logger.,inconceivable,active,,
76,The pine tree was felled by the logger.,probable,passive,,
76,The logger was felled by the pine tree.,inconceivable,passive,,
77,The tycoon ran the company.,probable,active,35.0,Version1
77,The company ran the tycoon.,inconceivable,active,35.0,Version1
77,The company was run by the tycoon.,probable,passive,35.0,Version1
77,The tycoon was run by the company.,inconceivable,passive,35.0,Version1
78,The mogul governed the corporation.,probable,active,35.0,Version2
78,The corporation governed the mogul.,inconceivable,active,35.0,Version2
78,The corporation was governed by the mogul.,probable,passive,35.0,Version2
78,The mogul was governed by the corporation.,inconceivable,passive,35.0,Version2
79,The campaigner biased the ballot.,probable,active,36.0,Version1
79,The ballot biased the campaigner.,inconceivable,active,36.0,Version1
79,The ballot was biased by the campaigner.,probable,passive,36.0,Version1
79,The campaigner was biased by the ballot.,inconceivable,passive,36.0,Version1
80,The activist prejudiced the vote.,probable,active,36.0,Version2
80,The vote prejudiced the activist.,inconceivable,active,36.0,Version2
80,The vote was prejudiced by the activist.,probable,passive,36.0,Version2
80,The activist was prejudiced by the vote.,inconceivable,passive,36.0,Version2
81,The stewardess pulled the suitcase.,probable,active,37.0,Version1
81,The suitcase pulled the stewardess.,inconceivable,active,37.0,Version1
81,The suitcase was pulled by the stewardess.,probable,passive,37.0,Version1
81,The stewardess was pulled by the suitcase.,inconceivable,passive,37.0,Version1
82,The flight-attendant dragged the luggage.,probable,active,37.0,Version2
82,The luggage dragged the flight-attendant.,inconceivable,active,37.0,Version2
82,The luggage was dragged by the flight-attendant.,probable,passive,37.0,Version2
82,The flight-attendant was dragged by the luggage.,inconceivable,passive,37.0,Version2
83,The congressman delivered the speech.,probable,active,38.0,Version1
83,The speech delivered the congressman.,inconceivable,active,38.0,Version1
83,The speech was delivered by the congressman.,probable,passive,38.0,Version1
83,The congressman was delivered by the speech.,inconceivable,passive,38.0,Version1
84,The representative gave the address.,probable,active,38.0,Version2
84,The address gave the representative.,inconceivable,active,38.0,Version2
84,The address was given by the representative.,probable,passive,38.0,Version2
84,The representative was given by the address.,inconceivable,passive,38.0,Version2
85,The sheriff inspected the estate.,probable,active,39.0,Version1
85,The estate inspected the sheriff.,inconceivable,active,39.0,Version1
85,The estate was inspected by the sheriff.,probable,passive,39.0,Version1
85,The sheriff was inspected by the estate.,inconceivable,passive,39.0,Version1
86,The constable examined the property.,probable,active,39.0,Version2
86,The property examined the constable.,inconceivable,active,39.0,Version2
86,The property was examined by the constable.,probable,passive,39.0,Version2
86,The constable was examined by the property.,inconceivable,passive,39.0,Version2
87,The celebrity signed the photograph.,probable,active,40.0,Version1
87,The photograph signed the celebrity.,inconceivable,active,40.0,Version1
87,The photograph was signed by the celebrity.,probable,passive,40.0,Version1
87,The celebrity was signed by the photograph.,inconceivable,passive,40.0,Version1
88,The star autographed the picture.,probable,active,40.0,Version2
88,The picture autographed the star.,inconceivable,active,40.0,Version2
88,The picture was autographed by the star.,probable,passive,40.0,Version2
88,The star was autographed by the picture.,inconceivable,passive,40.0,Version2
89,The nanny tutored the boy.,probable,active,41.0,Version1
89,The boy tutored the nanny.,improbable,active,41.0,Version1
89,The boy was tutored by the nanny.,probable,passive,41.0,Version1
89,The nanny was tutored by the boy.,improbable,passive,41.0,Version1
90,The governess instructed the lad.,probable,active,41.0,Version2
90,The lad instructed the governess.,improbable,active,41.0,Version2
90,The lad was instructed by the governess.,probable,passive,41.0,Version2
90,The governess was instructed by the lad.,improbable,passive,41.0,Version2
91,The blackmailer threatened the senator.,probable,active,42.0,Version1
91,The senator threatened the blackmailer.,improbable,active,42.0,Version1
91,The senator was threatened by the blackmailer.,probable,passive,42.0,Version1
91,The blackmailer was threatened by the senator.,improbable,passive,42.0,Version1
92,The extortionist menaced the legislator.,probable,active,42.0,Version2
92,The legislator menaced the extortionist.,improbable,active,42.0,Version2
92,The legislator was menaced by the extortionist.,probable,passive,42.0,Version2
92,The extortionist was menaced by the legislator.,improbable,passive,42.0,Version2
93,The artist portrayed the philosopher.,probable,active,43.0,Version1
93,The philosopher portrayed the artist.,improbable,active,43.0,Version1
93,The philosopher was portrayed by the artist.,probable,passive,43.0,Version1
93,The artist was portrayed by the philosopher.,improbable,passive,43.0,Version1
94,The painter depicted the thinker.,probable,active,43.0,Version2
94,The thinker depicted the painter.,improbable,active,43.0,Version2
94,The thinker was depicted by the painter.,probable,passive,43.0,Version2
94,The painter was depicted by the thinker.,improbable,passive,43.0,Version2
95,The mechanic berated the intern.,probable,active,44.0,Version1
95,The intern berated the mechanic.,improbable,active,44.0,Version1
95,The intern was berated by the mechanic.,probable,passive,44.0,Version1
95,The mechanic was berated by the intern.,improbable,passive,44.0,Version1
96,The technician rebuked the aide.,probable,active,44.0,Version2
96,The aide rebuked the technician.,improbable,active,44.0,Version2
96,The aide was rebuked by the technician.,probable,passive,44.0,Version2
96,The technician was rebuked by the aide.,improbable,passive,44.0,Version2
97,The fairy enchanted the troll.,probable,active,45.0,Version1
97,The troll enchanted the fairy.,improbable,active,45.0,Version1
97,The troll was enchanted by the fairy.,probable,passive,45.0,Version1
97,The fairy was enchanted by the troll.,improbable,passive,45.0,Version1
98,The pixie mesmerized the ogre.,probable,active,45.0,Version2
98,The ogre mesmerized the pixie.,improbable,active,45.0,Version2
98,The ogre was mesmerized by the pixie.,probable,passive,45.0,Version2
98,The pixie was mesmerized by the ogre.,improbable,passive,45.0,Version2
99,The orderly assisted the dentist.,probable,active,46.0,Version1
99,The dentist assisted the orderly.,improbable,active,46.0,Version1
99,The dentist was assisted by the orderly.,probable,passive,46.0,Version1
99,The orderly was assisted by the dentist.,improbable,passive,46.0,Version1
100,The nurse helped the orthodontist.,probable,active,46.0,Version2
100,The orthodontist helped the nurse.,improbable,active,46.0,Version2
100,The orthodontist was helped by the nurse.,probable,passive,46.0,Version2
100,The nurse was helped by the orthodontist.,improbable,passive,46.0,Version2
101,The owner evicted the tenant.,probable,active,47.0,Version1
101,The tenant evicted the owner.,improbable,active,47.0,Version1
101,The tenant was evicted by the owner.,probable,passive,47.0,Version1
101,The owner was evicted by the tenant.,improbable,passive,47.0,Version1
103,The critic attacked the conservative.,probable,active,48.0,Version1
103,The conservative attacked the critic.,improbable,active,48.0,Version1
103,The conservative was attacked by the critic.,probable,passive,48.0,Version1
103,The critic was attacked by the conservative.,improbable,passive,48.0,Version1
104,The reviewer criticized the right-winger.,probable,active,48.0,Version2
104,The right-winger criticized the reviewer.,improbable,active,48.0,Version2
104,The right-winger was criticized by the reviewer.,probable,passive,48.0,Version2
104,The reviewer was criticized by the right-winger.,improbable,passive,48.0,Version2
105,The admirer badgered the director.,probable,active,49.0,Version1
105,The director badgered the admirer.,improbable,active,49.0,Version1
105,The director was badgered by the admirer.,probable,passive,49.0,Version1
105,The admirer was badgered by the director.,improbable,passive,49.0,Version1
106,The fan pestered the filmmaker.,probable,active,49.0,Version2
106,The filmmaker pestered the fan.,improbable,active,49.0,Version2
106,The filmmaker was pestered by the fan.,probable,passive,49.0,Version2
106,The fan was pestered by the filmmaker.,improbable,passive,49.0,Version2
107,The paramedic revived the youth.,probable,active,50.0,Version1
107,The youth revived the paramedic.,improbable,active,50.0,Version1
107,The youth was revived by the paramedic.,probable,passive,50.0,Version1
107,The paramedic was revived by the youth.,improbable,passive,50.0,Version1
108,The EMT resuscitated the youngster.,probable,active,50.0,Version2
108,The youngster resuscitated the EMT.,improbable,active,50.0,Version2
108,The youngster was resuscitated by the EMT.,probable,passive,50.0,Version2
108,The EMT was resuscitated by the youngster.,improbable,passive,50.0,Version2
109,The prankster duped the marketer.,probable,active,51.0,Version1
109,The marketer duped the prankster.,improbable,active,51.0,Version1
109,The marketer was duped by the prankster.,probable,passive,51.0,Version1
109,The prankster was duped by the marketer.,improbable,passive,51.0,Version1
110,The joker tricked the distributor.,probable,active,51.0,Version2
110,The distributor tricked the joker.,improbable,active,51.0,Version2
110,The distributor was tricked by the joker.,probable,passive,51.0,Version2
110,The joker was tricked by the distributor.,improbable,passive,51.0,Version2
111,The playboy courted the damsel.,probable,active,52.0,Version1
111,The damsel courted the playboy.,improbable,active,52.0,Version1
111,The damsel was courted by the playboy.,probable,passive,52.0,Version1
111,The playboy was courted by the damsel.,improbable,passive,52.0,Version1
112,The womanizer wooed the maiden.,probable,active,52.0,Version2
112,The maiden wooed the womanizer.,improbable,active,52.0,Version2
112,The maiden was wooed by the womanizer.,probable,passive,52.0,Version2
112,The womanizer was wooed by the maiden.,improbable,passive,52.0,Version2
113,The nomad cherished the clergyman.,probable,active,53.0,Version1
113,The clergyman cherished the nomad.,improbable,active,53.0,Version1
113,The clergyman was cherished by the nomad.,probable,passive,53.0,Version1
113,The nomad was cherished by the clergyman.,improbable,passive,53.0,Version1
114,The vagabond revered the priest.,probable,active,53.0,Version2
114,The priest revered the vagabond.,improbable,active,53.0,Version2
114,The priest was revered by the vagabond.,probable,passive,53.0,Version2
114,The vagabond was revered by the priest.,improbable,passive,53.0,Version2
115,The assassin shot the statesman.,probable,active,54.0,Version1
115,The statesman shot the assassin.,improbable,active,54.0,Version1
115,The statesman was shot by the assassin.,probable,passive,54.0,Version1
115,The assassin was shot by the statesman.,improbable,passive,54.0,Version1
116,The hit man killed the politician.,probable,active,54.0,Version2
116,The politician killed the hit man.,improbable,active,54.0,Version2
116,The politician was killed by the hit man.,probable,passive,54.0,Version2
116,The hit man was killed by the politician.,improbable,passive,54.0,Version2
117,The clerk charged the elderly person.,probable,active,55.0,Version1
117,The elderly person charged the clerk.,improbable,active,55.0,Version1
117,The elderly person was charged by the clerk.,probable,passive,55.0,Version1
117,The clerk was charged by the elderly person.,improbable,passive,55.0,Version1
118,The cashier billed the senior citizen.,probable,active,55.0,Version2
118,The senior citizen billed the cashier.,improbable,active,55.0,Version2
118,The senior citizen was billed by the cashier.,probable,passive,55.0,Version2
118,The cashier was billed by the senior citizen.,improbable,passive,55.0,Version2
119,The mediator rescued the hostage.,probable,active,56.0,Version1
119,The hostage rescued the mediator.,improbable,active,56.0,Version1
119,The hostage was rescued by the mediator.,probable,passive,56.0,Version1
119,The mediator was rescued by the hostage.,improbable,passive,56.0,Version1
120,The negotiator saved the captive.,probable,active,56.0,Version2
120,The captive saved the negotiator.,improbable,active,56.0,Version2
120,The captive was saved by the negotiator.,probable,passive,56.0,Version2
120,The negotiator was saved by the captive.,improbable,passive,56.0,Version2
121,The detective found the assailant.,probable,active,57.0,Version1
121,The assailant found the detective.,improbable,active,57.0,Version1
121,The assailant was found by the detective.,probable,passive,57.0,Version1
121,The detective was found by the assailant.,improbable,passive,57.0,Version1
122,The sleuth located the attacker.,probable,active,57.0,Version2
122,The attacker located the sleuth.,improbable,active,57.0,Version2
122,The attacker was located by the sleuth.,probable,passive,57.0,Version2
122,The sleuth was located by the attacker.,improbable,passive,57.0,Version2
123,The artisan trained the apprentice.,probable,active,58.0,Version1
123,The apprentice trained the artisan.,improbable,active,58.0,Version1
