,stimuli,layer,improbable_impossible_projection,impossible_inconceivable_projection
121,cooking dinner out of the moon_impossible,17,0.330078125,-15.3125
122,cooking dinner out of the moon_impossible,18,0.93359375,-17.25
123,cooking dinner out of the moon_impossible,19,0.271484375,-13.75
124,cooking dinner out of the moon_impossible,20,2.203125,-12.4375
125,cooking dinner out of the moon_impossible,21,4.96875,-11.125
126,cooking dinner out of the moon_impossible,22,5.28125,-12.9375
127,cooking dinner out of the moon_impossible,23,7.46875,-12.5625
128,cooking dinner out of the moon_impossible,24,8.8125,-10.375
129,cooking dinner out of the moon_impossible,25,12.375,12.9375
130,writing an equation on a scream_inconceivable,0,-0.06201171875,0.0390625
131,writing an equation on a scream_inconceivable,1,-0.115234375,-0.10107421875
132,writing an equation on a scream_inconceivable,2,-0.0159912109375,-0.1328125
133,writing an equation on a scream_inconceivable,3,0.7734375,0.302734375
134,writing an equation on a scream_inconceivable,4,-0.034423828125,-1.1015625
135,writing an equation on a scream_inconceivable,5,1.7890625,2.046875
136,writing an equation on a scream_inconceivable,6,-0.0177001953125,-0.98046875
137,writing an equation on a scream_inconceivable,7,0.482421875,-5.125
138,writing an equation on a scream_inconceivable,8,0.349609375,-5.0
139,writing an equation on a scream_inconceivable,9,0.77734375,-3.09375
140,writing an equation on a scream_inconceivable,10,2.0,-6.375
141,writing an equation on a scream_inconceivable,11,2.78125,-8.875
142,writing an equation on a scream_inconceivable,12,1.578125,-6.8125
143,writing an equation on a scream_inconceivable,13,4.59375,-9.125
144,writing an equation on a scream_inconceivable,14,4.96875,-9.0
145,writing an equation on a scream_inconceivable,15,2.546875,-13.875
146,writing an equation on a scream_inconceivable,16,2.90625,-11.3125
147,writing an equation on a scream_inconceivable,17,-0.212890625,-10.25
148,writing an equation on a scream_inconceivable,18,0.400390625,-12.1875
149,writing an equation on a scream_inconceivable,19,-0.1494140625,-8.25
150,writing an equation on a scream_inconceivable,20,1.640625,-6.625
151,writing an equation on a scream_inconceivable,21,4.5,-4.25
152,writing an equation on a scream_inconceivable,22,5.28125,-4.25
153,writing an equation on a scream_inconceivable,23,7.34375,-2.859375
154,writing an equation on a scream_inconceivable,24,8.8125,2.1875
155,writing an equation on a scream_inconceivable,25,12.375,32.5
156,shaving [POSS] beard using a belief_inconceivable,0,-0.0625,0.05712890625
157,shaving [POSS] beard using a belief_inconceivable,1,-0.115234375,0.01434326171875
158,shaving [POSS] beard using a belief_inconceivable,2,-0.033447265625,0.0966796875
159,shaving [POSS] beard using a belief_inconceivable,3,0.95703125,1.7890625
160,shaving [POSS] beard using a belief_inconceivable,4,0.26171875,1.0546875
161,shaving [POSS] beard using a belief_inconceivable,5,2.34375,4.65625
162,shaving [POSS] beard using a belief_inconceivable,6,0.66015625,2.03125
163,shaving [POSS] beard using a belief_inconceivable,7,0.71484375,-1.6953125
164,shaving [POSS] beard using a belief_inconceivable,8,0.451171875,-1.234375
165,shaving [POSS] beard using a belief_inconceivable,9,1.3515625,0.75
166,shaving [POSS] beard using a belief_inconceivable,10,2.765625,-2.921875
167,shaving [POSS] beard using a belief_inconceivable,11,5.15625,-4.40625
168,shaving [POSS] beard using a belief_inconceivable,12,3.578125,-2.890625
169,shaving [POSS] beard using a belief_inconceivable,13,5.625,-5.03125
170,shaving [POSS] beard using a belief_inconceivable,14,5.9375,-5.53125
171,shaving [POSS] beard using a belief_inconceivable,15,3.125,-10.875
172,shaving [POSS] beard using a belief_inconceivable,16,3.3125,-9.3125
173,shaving [POSS] beard using a belief_inconceivable,17,0.2099609375,-9.9375
174,shaving [POSS] beard using a belief_inconceivable,18,1.4296875,-13.75
175,shaving [POSS] beard using a belief_inconceivable,19,-0.0791015625,-10.75
176,shaving [POSS] beard using a belief_inconceivable,20,1.375,-9.1875
177,shaving [POSS] beard using a belief_inconceivable,21,3.8125,-7.5
178,shaving [POSS] beard using a belief_inconceivable,22,3.390625,-9.0625
179,shaving [POSS] beard using a belief_inconceivable,23,4.84375,-9.25
180,shaving [POSS] beard using a belief_inconceivable,24,4.90625,-8.6875
181,shaving [POSS] beard using a belief_inconceivable,25,4.4375,13.9375
182,cutting cardboard using a snore_inconceivable,0,-0.048095703125,-0.15234375
183,cutting cardboard using a snore_inconceivable,1,-0.1572265625,-0.447265625
184,cutting cardboard using a snore_inconceivable,2,-0.09130859375,-0.4609375
185,cutting cardboard using a snore_inconceivable,3,0.58984375,0.0186767578125
186,cutting cardboard using a snore_inconceivable,4,-0.142578125,-1.2578125
187,cutting cardboard using a snore_inconceivable,5,1.328125,0.9765625
188,cutting cardboard using a snore_inconceivable,6,-0.4296875,-2.0
189,cutting cardboard using a snore_inconceivable,7,0.1552734375,-5.78125
190,cutting cardboard using a snore_inconceivable,8,-0.19140625,-5.78125
191,cutting cardboard using a snore_inconceivable,9,0.384765625,-3.046875
192,cutting cardboard using a snore_inconceivable,10,2.109375,-5.71875
193,cutting cardboard using a snore_inconceivable,11,4.09375,-7.84375
194,cutting cardboard using a snore_inconceivable,12,2.4375,-5.8125
195,cutting cardboard using a snore_inconceivable,13,5.375,-8.125
196,cutting cardboard using a snore_inconceivable,14,5.375,-7.84375
197,cutting cardboard using a snore_inconceivable,15,2.84375,-12.75
198,cutting cardboard using a snore_inconceivable,16,2.65625,-11.375
199,cutting cardboard using a snore_inconceivable,17,-0.66796875,-10.25
200,cutting cardboard using a snore_inconceivable,18,-1.1015625,-12.3125
201,cutting cardboard using a snore_inconceivable,19,-1.1640625,-8.8125
202,cutting cardboard using a snore_inconceivable,20,0.1669921875,-7.75
203,cutting cardboard using a snore_inconceivable,21,2.921875,-6.75
204,cutting cardboard using a snore_inconceivable,22,3.375,-7.40625
205,cutting cardboard using a snore_inconceivable,23,5.25,-6.6875
206,cutting cardboard using a snore_inconceivable,24,6.8125,-1.8671875
207,cutting cardboard using a snore_inconceivable,25,11.3125,26.375
208,baking a cake inside a sigh_inconceivable,0,-0.07373046875,0.04638671875
209,baking a cake inside a sigh_inconceivable,1,-0.126953125,-0.203125
210,baking a cake inside a sigh_inconceivable,2,-0.025146484375,-0.043212890625
211,baking a cake inside a sigh_inconceivable,3,0.66796875,0.55859375
212,baking a cake inside a sigh_inconceivable,4,0.002471923828125,-0.310546875
213,baking a cake inside a sigh_inconceivable,5,1.6015625,2.4375
214,baking a cake inside a sigh_inconceivable,6,-0.234375,-0.83984375
215,baking a cake inside a sigh_inconceivable,7,0.3046875,-5.375
216,baking a cake inside a sigh_inconceivable,8,0.41015625,-5.25
217,baking a cake inside a sigh_inconceivable,9,1.5,-2.765625
218,baking a cake inside a sigh_inconceivable,10,3.09375,-5.9375
219,baking a cake inside a sigh_inconceivable,11,5.625,-7.9375
220,baking a cake inside a sigh_inconceivable,12,4.8125,-6.1875
221,baking a cake inside a sigh_inconceivable,13,8.25,-8.875
222,baking a cake inside a sigh_inconceivable,14,8.4375,-8.5625
223,baking a cake inside a sigh_inconceivable,15,5.34375,-15.4375
224,baking a cake inside a sigh_inconceivable,16,5.40625,-13.875
225,baking a cake inside a sigh_inconceivable,17,1.875,-13.1875
226,baking a cake inside a sigh_inconceivable,18,2.609375,-16.5
227,baking a cake inside a sigh_inconceivable,19,1.09375,-12.875
228,baking a cake inside a sigh_inconceivable,20,2.625,-12.1875
229,baking a cake inside a sigh_inconceivable,21,5.875,-10.5625
230,baking a cake inside a sigh_inconceivable,22,6.125,-11.8125
231,baking a cake inside a sigh_inconceivable,23,8.1875,-11.25
232,baking a cake inside a sigh_inconceivable,24,9.6875,-7.8125
233,baking a cake inside a sigh_inconceivable,25,14.375,18.875
234,hanging a painting using a handshake_inconceivable,0,-0.078125,-0.01806640625
235,hanging a painting using a handshake_inconceivable,1,-0.1484375,-0.33984375
236,hanging a painting using a handshake_inconceivable,2,-0.0859375,-0.40234375
237,hanging a painting using a handshake_inconceivable,3,0.36328125,-0.34765625
238,hanging a painting using a handshake_inconceivable,4,-0.458984375,-2.078125
239,hanging a painting using a handshake_inconceivable,5,0.71875,-0.18359375
240,hanging a painting using a handshake_inconceivable,6,-1.0859375,-3.203125
241,hanging a painting using a handshake_inconceivable,7,-0.578125,-7.5625
242,hanging a painting using a handshake_inconceivable,8,-1.296875,-8.4375
243,hanging a painting using a handshake_inconceivable,9,-1.0625,-6.25
244,hanging a painting using a handshake_inconceivable,10,0.357421875,-9.6875
245,hanging a painting using a handshake_inconceivable,11,0.890625,-13.0
246,hanging a painting using a handshake_inconceivable,12,-0.43359375,-11.875
247,hanging a painting using a handshake_inconceivable,13,2.390625,-14.375
248,hanging a painting using a handshake_inconceivable,14,2.328125,-13.8125
249,hanging a painting using a handshake_inconceivable,15,-1.5625,-21.5
250,hanging a painting using a handshake_inconceivable,16,-0.80078125,-18.625
251,hanging a painting using a handshake_inconceivable,17,-3.765625,-17.875
252,hanging a painting using a handshake_inconceivable,18,-3.375,-20.25
253,hanging a painting using a handshake_inconceivable,19,-4.21875,-17.25
254,hanging a painting using a handshake_inconceivable,20,-2.8125,-16.125
255,hanging a painting using a handshake_inconceivable,21,0.059814453125,-14.3125
256,hanging a painting using a handshake_inconceivable,22,0.07958984375,-15.625
257,hanging a painting using a handshake_inconceivable,23,1.6015625,-15.75
258,hanging a painting using a handshake_inconceivable,24,2.515625,-13.0
259,hanging a painting using a handshake_inconceivable,25,3.546875,13.375
260,cleaning a spill using a country_inconceivable,0,-0.0537109375,-0.024658203125
261,cleaning a spill using a country_inconceivable,1,-0.12158203125,-0.388671875
262,cleaning a spill using a country_inconceivable,2,-0.0439453125,-0.375
263,cleaning a spill using a country_inconceivable,3,1.171875,1.2734375
264,cleaning a spill using a country_inconceivable,4,0.50390625,0.75390625
265,cleaning a spill using a country_inconceivable,5,2.671875,4.53125
266,cleaning a spill using a country_inconceivable,6,0.76171875,2.390625
267,cleaning a spill using a country_inconceivable,7,1.015625,-1.375
268,cleaning a spill using a country_inconceivable,8,0.53515625,-1.546875
269,cleaning a spill using a country_inconceivable,9,1.0078125,-0.046142578125
270,cleaning a spill using a country_inconceivable,10,2.578125,-3.359375
271,cleaning a spill using a country_inconceivable,11,4.9375,-5.25
272,cleaning a spill using a country_inconceivable,12,3.28125,-3.171875
273,cleaning a spill using a country_inconceivable,13,6.5625,-5.375
274,cleaning a spill using a country_inconceivable,14,7.03125,-4.78125
275,cleaning a spill using a country_inconceivable,15,4.90625,-8.375
276,cleaning a spill using a country_inconceivable,16,5.375,-4.65625
277,cleaning a spill using a country_inconceivable,17,1.90625,-3.984375
278,cleaning a spill using a country_inconceivable,18,1.7890625,-7.625
279,cleaning a spill using a country_inconceivable,19,1.0078125,-4.25
280,cleaning a spill using a country_inconceivable,20,2.4375,-3.5625
281,cleaning a spill using a country_inconceivable,21,5.40625,-2.03125
282,cleaning a spill using a country_inconceivable,22,5.65625,-3.25
283,cleaning a spill using a country_inconceivable,23,7.53125,-3.109375
284,cleaning a spill using a country_inconceivable,24,8.625,0.578125
285,cleaning a spill using a country_inconceivable,25,12.125,27.25
286,crafting a bowl out of smoke_impossible,0,-0.05126953125,-0.07470703125
287,crafting a bowl out of smoke_impossible,1,-0.150390625,-0.388671875
288,crafting a bowl out of smoke_impossible,2,-0.087890625,-0.388671875
289,crafting a bowl out of smoke_impossible,3,0.57421875,-0.76171875
290,crafting a bowl out of smoke_impossible,4,-0.185546875,-2.46875
291,crafting a bowl out of smoke_impossible,5,1.171875,-0.3046875
292,crafting a bowl out of smoke_impossible,6,-0.65234375,-3.125
293,crafting a bowl out of smoke_impossible,7,0.0751953125,-7.375
294,crafting a bowl out of smoke_impossible,8,0.06884765625,-8.0625
295,crafting a bowl out of smoke_impossible,9,0.8125,-5.9375
296,crafting a bowl out of smoke_impossible,10,2.359375,-9.625
297,crafting a bowl out of smoke_impossible,11,4.15625,-12.0
298,crafting a bowl out of smoke_impossible,12,3.46875,-10.4375
299,crafting a bowl out of smoke_impossible,13,7.0,-13.3125
300,crafting a bowl out of smoke_impossible,14,7.3125,-12.6875
301,crafting a bowl out of smoke_impossible,15,4.75,-18.875
302,crafting a bowl out of smoke_impossible,16,5.78125,-17.25
303,crafting a bowl out of smoke_impossible,17,2.546875,-16.25
304,crafting a bowl out of smoke_impossible,18,3.296875,-19.0
305,crafting a bowl out of smoke_impossible,19,1.7890625,-15.9375
306,crafting a bowl out of smoke_impossible,20,3.515625,-14.6875
307,crafting a bowl out of smoke_impossible,21,6.46875,-13.375
308,crafting a bowl out of smoke_impossible,22,6.90625,-15.375
309,crafting a bowl out of smoke_impossible,23,9.0,-14.9375
310,crafting a bowl out of smoke_impossible,24,10.3125,-14.0
311,crafting a bowl out of smoke_impossible,25,13.875,9.0625
312,cooling a room using a taste_inconceivable,0,-0.05322265625,-0.0194091796875
313,cooling a room using a taste_inconceivable,1,-0.062255859375,-0.515625
314,cooling a room using a taste_inconceivable,2,0.043212890625,-0.58203125
315,cooling a room using a taste_inconceivable,3,1.046875,1.5078125
316,cooling a room using a taste_inconceivable,4,0.5,0.57421875
317,cooling a room using a taste_inconceivable,5,2.453125,4.09375
318,cooling a room using a taste_inconceivable,6,0.6484375,1.546875
319,cooling a room using a taste_inconceivable,7,0.921875,-2.3125
320,cooling a room using a taste_inconceivable,8,0.6953125,-2.171875
321,cooling a room using a taste_inconceivable,9,1.3203125,-0.0361328125
322,cooling a room using a taste_inconceivable,10,3.359375,-2.359375
323,cooling a room using a taste_inconceivable,11,6.09375,-4.5
324,cooling a room using a taste_inconceivable,12,4.5,-2.953125
325,cooling a room using a taste_inconceivable,13,7.6875,-5.15625
326,cooling a room using a taste_inconceivable,14,7.71875,-5.71875
327,cooling a room using a taste_inconceivable,15,5.5,-10.1875
328,cooling a room using a taste_inconceivable,16,5.09375,-8.6875
329,cooling a room using a taste_inconceivable,17,1.4921875,-7.1875
330,cooling a room using a taste_inconceivable,18,1.390625,-9.875
331,cooling a room using a taste_inconceivable,19,1.0859375,-5.84375
332,cooling a room using a taste_inconceivable,20,2.171875,-4.78125
333,cooling a room using a taste_inconceivable,21,4.90625,-3.203125
334,cooling a room using a taste_inconceivable,22,5.46875,-4.34375
335,cooling a room using a taste_inconceivable,23,7.375,-3.71875
336,cooling a room using a taste_inconceivable,24,8.625,0.7265625
337,cooling a room using a taste_inconceivable,25,13.6875,26.625
338,digging a hole using dirt_impossible,0,-0.028076171875,-0.15625
339,digging a hole using dirt_impossible,1,-0.138671875,-0.455078125
340,digging a hole using dirt_impossible,2,-0.07958984375,-0.37109375
341,digging a hole using dirt_impossible,3,0.77734375,-0.55078125
342,digging a hole using dirt_impossible,4,-0.2265625,-2.46875
343,digging a hole using dirt_impossible,5,0.71875,-1.21875
344,digging a hole using dirt_impossible,6,-1.0859375,-3.796875
345,digging a hole using dirt_impossible,7,-0.96484375,-8.4375
346,digging a hole using dirt_impossible,8,-1.71875,-9.75
347,digging a hole using dirt_impossible,9,-1.53125,-7.6875
348,digging a hole using dirt_impossible,10,0.0079345703125,-11.125
349,digging a hole using dirt_impossible,11,0.041015625,-13.9375
350,digging a hole using dirt_impossible,12,-1.3125,-12.6875
351,digging a hole using dirt_impossible,13,0.7578125,-14.6875
352,digging a hole using dirt_impossible,14,1.34375,-14.0625
353,digging a hole using dirt_impossible,15,-2.28125,-20.75
354,digging a hole using dirt_impossible,16,-1.8671875,-18.5
355,digging a hole using dirt_impossible,17,-4.1875,-16.875
356,digging a hole using dirt_impossible,18,-3.296875,-19.625
357,digging a hole using dirt_impossible,19,-4.125,-16.5
358,digging a hole using dirt_impossible,20,-2.625,-15.3125
359,digging a hole using dirt_impossible,21,0.291015625,-14.0625
360,digging a hole using dirt_impossible,22,0.201171875,-15.6875
361,digging a hole using dirt_impossible,23,2.078125,-15.5
362,digging a hole using dirt_impossible,24,2.515625,-15.0625
363,digging a hole using dirt_impossible,25,1.78125,6.40625
364,taking a vacation to the sun_impossible,0,-0.02978515625,-0.047119140625
365,taking a vacation to the sun_impossible,1,-0.10888671875,-0.2119140625
366,taking a vacation to the sun_impossible,2,-0.0257568359375,-0.1708984375
367,taking a vacation to the sun_impossible,3,0.51953125,-0.5703125
368,taking a vacation to the sun_impossible,4,-0.275390625,-1.796875
369,taking a vacation to the sun_impossible,5,0.82421875,-0.039306640625
370,taking a vacation to the sun_impossible,6,-1.0859375,-2.671875
371,taking a vacation to the sun_impossible,7,-0.390625,-5.96875
372,taking a vacation to the sun_impossible,8,-0.38671875,-6.21875
373,taking a vacation to the sun_impossible,9,0.28125,-4.375
374,taking a vacation to the sun_impossible,10,1.3515625,-8.125
375,taking a vacation to the sun_impossible,11,1.0625,-11.375
376,taking a vacation to the sun_impossible,12,-0.251953125,-9.8125
377,taking a vacation to the sun_impossible,13,2.859375,-12.0
378,taking a vacation to the sun_impossible,14,3.375,-11.625
379,taking a vacation to the sun_impossible,15,0.44140625,-17.5
380,taking a vacation to the sun_impossible,16,1.7421875,-15.1875
381,taking a vacation to the sun_impossible,17,-0.3203125,-14.375
382,taking a vacation to the sun_impossible,18,1.015625,-17.375
383,taking a vacation to the sun_impossible,19,-0.443359375,-14.5
384,taking a vacation to the sun_impossible,20,1.5546875,-13.4375
385,taking a vacation to the sun_impossible,21,4.65625,-11.1875
386,taking a vacation to the sun_impossible,22,5.0,-12.6875
387,taking a vacation to the sun_impossible,23,7.09375,-12.75
388,taking a vacation to the sun_impossible,24,8.0625,-11.8125
389,taking a vacation to the sun_impossible,25,10.25,8.5
390,eating soup using a bucket_improbable,0,-0.06103515625,-0.1416015625
391,eating soup using a bucket_improbable,1,-0.1513671875,-0.435546875
392,eating soup using a bucket_improbable,2,-0.087890625,-0.361328125
393,eating soup using a bucket_improbable,3,0.1728515625,-1.125
394,eating soup using a bucket_improbable,4,-0.55859375,-2.5625
395,eating soup using a bucket_improbable,5,0.5703125,-0.9609375
396,eating soup using a bucket_improbable,6,-1.1015625,-3.640625
397,eating soup using a bucket_improbable,7,-0.85546875,-8.375
398,eating soup using a bucket_improbable,8,-1.625,-9.3125
399,eating soup using a bucket_improbable,9,-1.3671875,-7.46875
400,eating soup using a bucket_improbable,10,-0.3125,-11.625
401,eating soup using a bucket_improbable,11,-1.203125,-15.625
402,eating soup using a bucket_improbable,12,-2.96875,-14.25
403,eating soup using a bucket_improbable,13,-1.015625,-18.25
404,eating soup using a bucket_improbable,14,-0.53515625,-17.625
405,eating soup using a bucket_improbable,15,-5.21875,-25.625
406,eating soup using a bucket_improbable,16,-4.53125,-22.25
407,eating soup using a bucket_improbable,17,-7.78125,-21.875
408,eating soup using a bucket_improbable,18,-7.84375,-23.75
409,eating soup using a bucket_improbable,19,-8.4375,-20.75
410,eating soup using a bucket_improbable,20,-7.1875,-19.625
411,eating soup using a bucket_improbable,21,-4.3125,-18.125
412,eating soup using a bucket_improbable,22,-4.4375,-20.375
413,eating soup using a bucket_improbable,23,-3.4375,-20.625
414,eating soup using a bucket_improbable,24,-3.03125,-19.125
415,eating soup using a bucket_improbable,25,-3.890625,-0.46484375
416,lighting a candle using yogurt_impossible,0,-0.054443359375,-0.1484375
417,lighting a candle using yogurt_impossible,1,-0.1435546875,-0.3671875
418,lighting a candle using yogurt_impossible,2,-0.0771484375,-0.3359375
419,lighting a candle using yogurt_impossible,3,0.474609375,-1.125
420,lighting a candle using yogurt_impossible,4,-0.2099609375,-2.59375
421,lighting a candle using yogurt_impossible,5,1.171875,-0.427734375
422,lighting a candle using yogurt_impossible,6,-0.609375,-3.125
423,lighting a candle using yogurt_impossible,7,-0.0263671875,-8.125
424,lighting a candle using yogurt_impossible,8,-0.3046875,-9.0625
425,lighting a candle using yogurt_impossible,9,-0.004150390625,-7.46875
426,lighting a candle using yogurt_impossible,10,1.3359375,-11.4375
427,lighting a candle using yogurt_impossible,11,1.6640625,-15.25
428,lighting a candle using yogurt_impossible,12,0.1083984375,-13.3125
429,lighting a candle using yogurt_impossible,13,3.1875,-17.125
430,lighting a candle using yogurt_impossible,14,3.296875,-16.875
431,lighting a candle using yogurt_impossible,15,0.0947265625,-24.25
432,lighting a candle using yogurt_impossible,16,0.95703125,-21.625
433,lighting a candle using yogurt_impossible,17,-1.984375,-20.0
434,lighting a candle using yogurt_impossible,18,-0.87890625,-22.5
435,lighting a candle using yogurt_impossible,19,-1.828125,-19.125
