sentence,5-Gram Log-Prob,GPT2-XL Log-Prob,PCFG Log-Prob,Arousal,Conversational,Sense,Gram.,Frequency,Imageability,Others Thoughts,Physical,Places,Valence
A little girl rides a horse.,-2.0989698171616,-3.7564058,-11.1168485714286,3.1428571428571,4.7692307692308,7.0,7.0,5.125,6.6666666666667,3.8571428571429,4.8823529411765,4.1333333333333,4.2222222222222
"A little scary, but not surprising.",-2.1093458746161,-3.6486938,-11.576295,3.3333333333333,5.5384615384615,6.8,6.7333333333333,5.6,2.7894736842105,5.4,1.3846153846154,1.5294117647059,2.9285714285714
A loud rumbling noise interrupted him.,-3.2057883569172,-4.162401,-13.1135871428571,4.7333333333333,2.8125,6.7272727272727,6.7272727272727,4.7368421052632,4.7142857142857,5.1875,2.5555555555556,2.8666666666667,1.9333333333333
A monkey with a bird's voice!,-2.1613335069269,-4.390573,-12.583915,4.5,3.1538461538462,6.0666666666667,6.5333333333333,1.6,4.7894736842105,2.7333333333333,3.1538461538462,2.0588235294118,4.2142857142857
A must for all hosta collections.,-3.2486594234194,-5.653875,-13.14174,2.0714285714286,2.1538461538462,5.7647058823529,5.9411764705882,2.0,2.5,1.7142857142857,3.3125,2.0833333333333,2.3125
A photo appears on the screen.,-1.9899091678006,-3.5503957,-9.9584957142857,3.1538461538462,4.0,6.8235294117647,6.7058823529412,5.8823529411765,5.9230769230769,1.5625,5.9285714285714,2.8125,3.4736842105263
A shower and clean clothes helped.,-2.5751398035458,-5.5374656,-11.6048185714286,3.3571428571429,5.9375,6.8823529411765,6.4705882352941,6.0,5.2857142857143,3.7142857142857,6.0,2.4285714285714,6.1538461538462
A student intellectual turned leftist radical.,-3.8166931016105,-6.063098,-12.9835014285714,4.2307692307692,2.9444444444444,6.0,5.4705882352941,3.2352941176471,3.9230769230769,4.1875,2.0714285714286,1.4375,2.5789473684211
A tall man with sun-streaked hair.,-2.9469413533807,-3.352728,-13.1508271428571,3.4,3.3333333333333,6.75,6.5833333333333,4.3529411764706,6.1666666666667,4.1764705882353,4.4375,3.125,3.1538461538462
"A test was necessary, she decided.",-2.9170524903706,-4.427833,-9.2352475,3.3125,3.9166666666667,7.0,6.5454545454545,4.625,2.5625,5.0588235294118,2.7333333333333,1.3157894736842,2.6875
A tree covered with red berries.,-2.3589700673308,-4.4138064,-12.0626971428571,2.7142857142857,3.7647058823529,6.8333333333333,6.5,5.2941176470588,6.75,2.0625,6.6153846153846,6.75,5.1875
A vagrant Published french my Mer.,-3.8357210670199,-10.107563,-15.1099271428571,1.8333333333333,1.1538461538462,1.5333333333333,2.6,1.1333333333333,1.1578947368421,1.4,1.1538461538462,1.6470588235294,2.1428571428571
A vampire can full on cry?,-3.3182957512992,-7.6939483,-13.6205428571429,3.0714285714286,4.0,5.7647058823529,5.2352941176471,3.1764705882353,3.7857142857143,4.0,2.6,1.3571428571429,3.0
A very special alloy in Ask.,-3.0507087366922,-6.468584,-12.0833771428571,1.7857142857143,1.25,2.7692307692308,4.2307692307692,1.4705882352941,1.6875,1.6666666666667,1.9230769230769,1.4375,1.8235294117647
A voice came over his radio.,-2.283272249358,-3.958069,-10.1256071428571,2.7857142857143,3.7692307692308,6.8235294117647,6.8823529411765,5.1428571428571,4.5625,3.2142857142857,4.9375,2.0,3.1875
A wooden table lay between them.,-2.3498789753233,-5.0127583,-10.8174785714286,2.1875,3.25,6.625,6.75,3.3333333333333,5.8666666666667,3.3684210526316,6.375,3.6428571428571,3.0588235294118
A work boot with real integrit..,-3.1964738965034,-7.2842536,-14.756,1.8666666666667,1.7857142857143,3.5333333333333,3.4666666666667,1.8571428571429,3.2,2.0714285714286,5.7857142857143,1.4285714285714,2.1666666666667
A work of art in itself.,-1.485436626843,-3.3145177,-9.9744357142857,2.8666666666667,4.9411764705882,6.75,6.125,5.6428571428571,3.0,2.8,3.5333333333333,1.5,4.8571428571429
ACK was diligence an odd Reb.,-4.5537727219718,-10.884242,-13.3567671428571,1.0,1.2352941176471,1.2222222222222,2.2777777777778,1.1176470588235,1.125,1.125,1.2307692307692,1.0,1.5625
AISI 309L stainless steel sheet - Alibaba.,-2.5376365110278,-6.43894,-15.78222375,1.0714285714286,1.3076923076923,4.3333333333333,4.8333333333333,1.0625,1.9333333333333,1.0714285714286,2.7647058823529,1.2,1.5
ALTH mask players he was Id.,-3.2693001627922,-10.675182,-13.9434857142857,1.5333333333333,1.0625,1.6363636363636,2.0,1.1052631578947,1.0,1.375,2.1111111111111,1.0666666666667,1.6666666666667
AM have lots of roles here.,-3.1400929093361,-6.7501917,-11.9256,1.8333333333333,1.625,3.7777777777778,3.9444444444444,1.5,1.2,1.875,1.25,1.2142857142857,1.8235294117647
ARK is Kat going to IND.,-3.9395449587277,-8.261724,-12.6151557142857,1.3888888888889,1.0,1.7058823529412,2.6470588235294,1.1538461538462,1.0,1.1428571428571,1.375,1.8947368421053,1.5294117647059
ASY would Azerbaijan subs taken MIT.,-4.3666736682256,-13.140351,-15.5677,1.2857142857143,1.0714285714286,1.1666666666667,1.8333333333333,1.0714285714286,1.1428571428571,1.25,1.8666666666667,1.2142857142857,1.6
ATIONAL Startup of information and Coh.,-2.7753348827362,-11.02197,-13.4530028571429,1.2142857142857,1.0714285714286,1.5555555555556,2.3333333333333,1.0,1.0714285714286,1.0,1.2666666666667,1.2142857142857,1.6
AWA shall provide applicable training materials.,-3.9214398775782,-6.604781,-12.47323,1.2857142857143,3.0,6.3333333333333,6.5,3.2857142857143,2.9285714285714,1.3125,3.3333333333333,1.7142857142857,2.6666666666667
"AbNORmal Prohormone by, Blackstone Labls, NEW!",-3.7997552871704,-6.781113,-14.4641966666667,1.8333333333333,1.1875,3.0,2.1666666666667,1.1875,1.6,1.5625,1.5,1.4285714285714,1.2352941176471
"Absolutely clever puppy, it looks great!",-3.5514037438801,-6.60934,-12.82749625,3.9333333333333,4.4285714285714,4.2666666666667,4.8666666666667,2.7142857142857,4.3333333333333,4.0,4.0714285714286,2.3571428571429,5.4166666666667
Across the street was a pub.,-1.8592162856034,-4.5593224,-10.8462028571429,2.6875,5.4166666666667,7.0,6.5454545454545,5.8125,6.375,2.4117647058824,5.8,5.6315789473684,4.75
Actual key may be either Tay..,-3.147514049496,-7.4441357,-14.6939233333333,1.2857142857143,1.3076923076923,3.0,4.1666666666667,1.125,1.1333333333333,1.0714285714286,2.6470588235294,1.0666666666667,1.5555555555556
Adams SUPER a ag of Nost.,-4.0528292911393,-10.997151,-13.8456985714286,1.2857142857143,1.0,1.0588235294118,1.5294117647059,1.1764705882353,1.0,1.0,1.1333333333333,1.0714285714286,1.0769230769231
"Add, some feminists are call male.",-3.4032381262098,-7.5755587,-13.01894375,2.0,1.4,2.4666666666667,2.9333333333333,1.3333333333333,1.0769230769231,2.9444444444444,1.5714285714286,1.0,1.2857142857143
Addiction is not a pretty face.,-2.130150526762,-3.9665687,-10.3282671428571,3.2666666666667,4.2,4.6666666666667,6.0833333333333,3.9411764705882,3.4166666666667,3.8235294117647,2.125,1.5625,1.7692307692308
Adding this one to my list!,-2.8676921469825,-4.3707967,-12.72959,2.8571428571429,6.2941176470588,6.8333333333333,6.2222222222222,6.2941176470588,3.1875,4.0625,2.8461538461538,1.3333333333333,4.9375
"Adiantum zollingeri Mett. ex Kuhn, Ann.",-4.8908312916756,-4.773831,-15.052545,1.2307692307692,1.0555555555556,1.1176470588235,1.4117647058824,1.0,1.0,1.1875,1.0,1.0,1.6842105263158
Admin coordinators do primarily administrative work.,-3.8287591849055,-5.794112,-12.6514057142857,1.6,3.6470588235294,6.5,6.4375,4.5,3.3076923076923,3.0,2.5333333333333,1.3125,2.5714285714286
"Affiliate Marketing, als, blogger oder, affiliate..",-4.6976748023714,-6.2515836,-15.2383,1.25,1.2307692307692,1.8,2.2666666666667,1.1333333333333,1.2631578947368,1.3333333333333,1.2307692307692,1.4705882352941,1.7857142857143
"Affirmative action, yes, One Florida, no.",-3.4071234485933,-4.3160834,-10.820877,2.5714285714286,1.9333333333333,3.9333333333333,4.1333333333333,1.8888888888889,1.2307692307692,2.5,1.1428571428571,2.8,1.5714285714286
Afraid of what she might do.,-2.0898441927774,-3.9096334,-9.4090757142857,4.7857142857143,5.6666666666667,6.8461538461538,5.7692307692308,4.7058823529412,2.125,5.3888888888889,1.9230769230769,1.1875,1.5882352941176
"After all, it's botched Feinstein ANG.",-3.2590191066265,-7.6731973,-10.4084188888889,1.3333333333333,1.3125,2.4444444444444,4.1666666666667,1.1875,1.2,1.4375,1.0625,1.0714285714286,1.4117647058824
"After that, no others remained intact.",-2.3486236206123,-5.3531094,-8.66051125,3.8461538461538,3.6111111111111,6.7058823529412,6.6470588235294,3.1764705882353,2.9230769230769,2.625,1.7857142857143,1.625,1.7368421052632
"After that, what do we do?",-2.1049008880343,-3.1472328,-7.31066625,2.6,6.625,6.8181818181818,6.7272727272727,6.2631578947368,2.1428571428571,4.375,1.2777777777778,1.3333333333333,3.0
"Again, it's been nearly a week.",-2.1215016394854,-3.1662657,-7.4110377777778,2.6428571428571,6.0,6.9230769230769,6.9230769230769,6.0588235294118,1.5625,3.2222222222222,1.8461538461538,1.5,2.4117647058824
Ah had already forgotten about that.,-2.881330702986,-5.0638022,-10.3079228571429,1.875,5.5,6.3636363636364,5.4545454545455,4.3125,2.0,4.4705882352941,1.1333333333333,1.0,2.5
"Alexandra Chebil, Ophthalmologist, Irvine Lasik Ct.",-4.817773938179,-5.4442596,-14.1830211111111,1.1333333333333,1.125,5.0909090909091,3.8181818181818,1.5789473684211,2.3571428571429,1.375,1.8888888888889,2.4,2.4666666666667
Alix and Sway shouted in prayers.,-3.8623075825827,-6.4800873,-12.2491671428571,3.7857142857143,3.0,5.1666666666667,5.8333333333333,2.8571428571429,4.9285714285714,4.3125,2.6,2.1428571428571,3.4666666666667
All sorts of treasure there too.,-2.4808108628328,-5.603484,-12.9623214285714,4.4375,5.25,6.0625,5.1875,3.3333333333333,4.8666666666667,2.6315789473684,4.8125,3.7142857142857,5.2941176470588
"All that, Called our newsmaker pred.",-3.6331102649371,-8.710985,-13.37536125,1.7333333333333,1.6875,1.5454545454545,2.3636363636364,1.2631578947368,1.0,1.5,1.7777777777778,1.0666666666667,2.0666666666667
All the way to the rear!,-1.3723909173693,-3.7444372,-11.6712785714286,3.7857142857143,4.8125,6.5882352941176,6.2352941176471,4.0588235294118,5.1428571428571,2.5714285714286,3.4666666666667,3.1428571428571,2.5384615384615
All's nothing wrong with being unpredictable.,-2.7717759460211,-5.186867,-11.07798625,1.4615384615385,1.3888888888889,3.4705882352941,4.1764705882353,1.5294117647059,1.6923076923077,2.625,1.2142857142857,1.0625,2.5263157894737
Allen are more conservative in MISS.,-3.0063622679029,-8.046641,-10.2176257142857,1.8,1.2,2.1666666666667,3.9166666666667,1.2352941176471,1.3333333333333,2.0588235294118,1.5,1.375,1.3076923076923
Already inflation was destabilizing financial markets.,-3.6428583221776,-5.812284,-10.32366,4.1666666666667,3.1333333333333,6.4117647058824,5.4117647058824,4.5384615384615,2.6666666666667,3.4285714285714,1.625,1.2631578947368,1.7058823529412
Am I a victim of overscsan??,-2.2665822058916,-6.264562,-13.28674875,3.6875,2.4375,3.375,5.3125,1.4,1.6666666666667,3.8421052631579,1.8125,1.3571428571429,2.0588235294118
Amazing place to learn martial arts.,-2.6704605477197,-4.4287086,-13.4259542857143,4.1538461538462,4.6666666666667,6.7058823529412,6.1176470588235,4.2352941176471,4.3846153846154,3.4375,3.2857142857143,4.5625,4.5789473684211
"American, Northwest, JetBlue, even bankrupt United.",-4.2344742672784,-6.2084723,-10.867563,2.1333333333333,3.0625,4.4545454545455,4.2727272727273,2.1578947368421,2.4285714285714,2.1875,3.0555555555556,2.9333333333333,1.5333333333333
An burning trembled against his throat.,-3.5624644926616,-6.5879235,-12.9742342857143,3.1428571428571,2.0625,3.7647058823529,3.9411764705882,1.7647058823529,2.6428571428571,4.5714285714286,2.6,1.3571428571429,1.1538461538462
An escalating excitement hurried her words.,-3.6943625978061,-7.7916317,-13.2081457142857,4.2666666666667,1.5625,6.1818181818182,6.6363636363636,2.7894736842105,3.8571428571429,5.875,1.7777777777778,1.5333333333333,5.1333333333333
An they have tomatoes there too.,-3.0235503315926,-6.405227,-12.6455128571429,1.5,2.7058823529412,5.6111111111111,3.9444444444444,2.4705882352941,4.4375,2.125,5.2307692307692,3.5833333333333,3.125
"Analysis and Forecasting, Phoenix, AZ, Amer.",-3.7847378764834,-4.7209363,-14.957142,1.6428571428571,1.2307692307692,4.1764705882353,3.8235294117647,1.2857142857143,1.8125,1.1428571428571,1.4375,3.5833333333333,1.75
And -- and -- and founder of ImClone.,-2.66304059575,-5.1395326,-10.9212733333333,1.5625,1.4285714285714,3.1,2.2,1.2666666666667,1.0666666666667,1.3529411764706,1.3529411764706,1.0,1.7058823529412
And Gospel he had some AND;,-2.9607475825718,-9.036829,-14.88759,1.5384615384615,1.1666666666667,1.5882352941176,2.0,1.1176470588235,1.3846153846154,1.75,1.5714285714286,1.0,2.4736842105263
"And I Beasts, income, no EVEN.",-3.6259225606918,-8.373989,-12.0008655555556,1.6428571428571,1.0625,1.1176470588235,1.4705882352941,1.0,1.0,1.3571428571429,1.4666666666667,1.0,1.6153846153846
And I've actually spoken with him.,-2.0487377867103,-3.8271816,-8.4569525,2.6666666666667,5.9375,6.7777777777778,6.3888888888889,6.0625,2.2,3.875,2.0,1.0,3.4117647058824
And another no helmet in Lviv??,-3.1821369869368,-7.3160872,-13.75029625,1.9285714285714,1.4,2.8666666666667,3.2666666666667,1.2222222222222,1.3076923076923,2.3888888888889,3.2142857142857,2.4666666666667,1.7142857142857
And beautiful and smart and witty.,-2.4807988660676,-4.9282928,-12.3861242857143,2.9333333333333,5.1333333333333,6.1666666666667,4.5833333333333,4.4117647058824,3.3333333333333,4.0,1.4375,2.25,5.2307692307692
And command doesn't first believe them.,-2.9898317190818,-6.3988776,-9.44262375,1.9285714285714,2.6153846153846,5.0,5.4166666666667,1.75,2.4,2.7142857142857,1.8235294117647,1.4,1.5555555555556
And consumes savvy be more prev!,-3.7802889545759,-11.031732,-13.2162785714286,1.3888888888889,1.0666666666667,1.3529411764706,2.0,1.0,1.0,1.7142857142857,1.4375,1.0526315789474,1.8823529411765
And count. Krab isnt Female Refer.,-4.3336206674576,-8.842704,-14.6135171428571,1.1333333333333,1.1764705882353,1.4375,2.1875,1.0,1.2307692307692,1.1333333333333,1.3333333333333,1.0625,1.4285714285714
And downside was quite a Iss.,-3.5116381304605,-8.869051,-10.9597957142857,1.0714285714286,1.3333333333333,1.8666666666667,2.8666666666667,1.5,1.0,1.2777777777778,1.2142857142857,1.0666666666667,1.4285714285714
And forth she sees the track.,-2.8125494974,-6.7276115,-10.7613085714286,2.0,1.8461538461538,3.6470588235294,4.0588235294118,2.0,3.3125,2.3571428571429,4.0,3.5833333333333,2.8125
And how do you get one?,-1.6587527245283,-3.2239861,-8.7075728571429,2.0666666666667,6.3125,7.0,6.0909090909091,6.3684210526316,1.6428571428571,3.6875,1.8888888888889,1.0,3.0
And how does it impact mobile?,-2.9568035559995,-4.771655,-10.7818871428571,2.4285714285714,4.75,6.0769230769231,6.4615384615385,3.5882352941176,1.4375,2.1111111111111,1.9230769230769,1.0625,2.5294117647059
And it was boring and miserable.,-2.3228823372296,-4.552556,-7.7899185714286,1.5,6.1538461538462,6.8333333333333,6.3333333333333,5.9375,3.3333333333333,5.7857142857143,2.9411764705882,1.3333333333333,1.3333333333333
And now the single word: Veni.,-2.8962688616344,-5.334418,-10.83143375,1.6470588235294,2.0714285714286,5.2,5.7333333333333,1.3333333333333,1.3076923076923,1.5294117647059,1.0,1.4666666666667,1.6666666666667
And please not over the phone.,-2.6332312396594,-5.618233,-9.94864,2.7857142857143,5.2666666666667,6.6,5.5333333333333,4.8333333333333,2.8461538461538,3.5555555555556,3.1428571428571,1.6,1.7857142857143
And regiment will do concess EFF.,-3.6414891084035,-11.163404,-11.5772857142857,1.6,1.25,2.1818181818182,3.1818181818182,1.1052631578947,1.0,1.125,1.3333333333333,1.0,1.9333333333333
And reminding held 102 town Unt.,-4.4276509284973,-12.273146,-13.5438114285714,1.1538461538462,1.1111111111111,1.4705882352941,2.2352941176471,1.1176470588235,1.1538461538462,1.1875,1.4285714285714,1.25,1.8947368421053
And resettlement let her do LAST.,-3.2466558899198,-8.399839,-11.6788357142857,1.8,1.7142857142857,1.8,2.6666666666667,1.3571428571429,1.2666666666667,2.0714285714286,1.5,1.0714285714286,1.5833333333333
And she investigating't come with resp.,-3.1785776955741,-8.644575,-13.0594722222222,1.2222222222222,1.0,1.6470588235294,1.8235294117647,1.0,1.0,2.2142857142857,1.3125,1.0,1.8235294117647
"And she smiled, a little nervously.",-3.1335147278649,-4.1669245,-10.14765625,3.0666666666667,4.2352941176471,6.6875,6.3125,5.1428571428571,5.8461538461538,6.2666666666667,2.4,1.0625,3.1428571428571
And so I adherence these posit.,-3.5208406533514,-8.255656,-12.3605028571429,1.3571428571429,1.5,1.7058823529412,2.3529411764706,1.2941176470588,1.1428571428571,1.5,1.1333333333333,1.0714285714286,1.4615384615385
And so very thoughtful of you.,-2.7682797908783,-4.520103,-10.7855514285714,3.1666666666667,5.5384615384615,6.6,6.0,4.4,2.8947368421053,5.2666666666667,1.0,1.5882352941176,5.8571428571429
And some green beans and tomatoes.,-2.7582099948611,-5.024174,-12.7628214285714,2.0,5.1333333333333,6.1666666666667,5.0833333333333,4.8823529411765,6.0,1.5882352941176,5.4375,3.5625,3.6923076923077
And stitches all over the place.,-2.3758919366768,-4.58406,-10.1919657142857,3.0,3.4705882352941,5.4444444444444,5.4444444444444,3.1764705882353,3.875,2.4375,3.3076923076923,1.6666666666667,1.8125
And that is a direct strategy.,-2.2428139533315,-4.840493,-7.4454657142857,2.9444444444444,4.75,6.3333333333333,5.9444444444444,5.0625,1.4,2.5625,1.375,1.1428571428571,3.1176470588235
And that is immigration form changes.,-2.9484523364476,-6.7104654,-10.6781742857143,2.0769230769231,1.7777777777778,4.2941176470588,4.8235294117647,2.0588235294118,2.1538461538462,1.9375,2.0,1.0625,2.3157894736842
And that was experts she QU.,-3.4523468698774,-8.959364,-11.4396,1.3125,1.6666666666667,1.3636363636364,2.2727272727273,1.25,1.0625,2.0,1.1333333333333,1.0,1.75
And that's the power you have.,-1.747226331383,-3.4848673,-8.23721625,3.5,4.6153846153846,6.75,6.5,4.625,2.4666666666667,4.4285714285714,2.5882352941176,1.3333333333333,3.5555555555556
And the criminal investigation will continue.,-2.3711671829224,-4.0846734,-8.5945014285714,3.9166666666667,4.3846153846154,7.0,6.4666666666667,5.2666666666667,3.8421052631579,2.4666666666667,1.9230769230769,1.8823529411765,2.3571428571429
"And then there's this, too: O.J.",-2.0547981262207,-3.0378559,-9.827864,2.0666666666667,3.7857142857143,3.8,4.0666666666667,1.6428571428571,2.2666666666667,1.9285714285714,2.1428571428571,1.1428571428571,1.5
"And then you're, you're solve, exactly.",-2.5048082603349,-4.9878116,-10.2648990909091,1.5333333333333,2.0,2.0625,2.1875,1.0,1.1538461538462,2.0,1.4,1.0,1.8571428571429
And tomorrow would be another day.,-2.5092237165996,-4.2842817,-8.2515585714286,2.7647058823529,4.8,6.5882352941176,5.8235294117647,5.25,3.3125,2.8571428571429,1.2,1.2777777777778,3.7777777777778
And we need a spy camera.,-2.2029987062727,-4.9447517,-9.6103242857143,3.7333333333333,6.2142857142857,6.8666666666667,6.0,3.4285714285714,5.2,4.4285714285714,5.2142857142857,1.2142857142857,1.5
"And with your arrogance, it seems.",-3.2925156525203,-5.319108,-10.0571375,2.7333333333333,5.6428571428571,5.0666666666667,5.4,3.0714285714286,2.1333333333333,4.7142857142857,1.3571428571429,1.2857142857143,1.25
And yet it's come so quickly.,-2.0682362467051,-3.965445,-8.32199,3.7692307692308,5.3333333333333,6.7058823529412,6.4705882352941,5.1176470588235,1.7692307692308,2.625,1.7142857142857,1.0,2.9473684210526
And you can ask me why.,-1.8757172312055,-3.849992,-9.9620771428571,2.2,5.7857142857143,6.6666666666667,5.8,5.5,2.4666666666667,3.4285714285714,1.8571428571429,1.1428571428571,2.25
Animal posters raids Wired be met.,-4.0470024347305,-10.828278,-14.5046328571429,1.8888888888889,1.1875,1.5,2.0555555555556,1.125,1.4,1.9375,3.25,1.7857142857143,1.4705882352941
Another dance is about to begin.,-2.0439612950597,-4.0781355,-8.8850942857143,3.5625,4.5,6.8,6.8,4.9333333333333,4.4,2.7647058823529,2.5882352941176,2.0714285714286,4.3529411764706
Another driver waited in a car.,-2.3603813222476,-5.3172207,-10.1178728571429,2.875,4.25,6.625,6.625,3.8,6.0666666666667,3.6842105263158,4.9375,4.2142857142857,2.7647058823529
Another got away back into sky.,-3.058444244521,-6.7664886,-11.2499242857143,3.6,2.3333333333333,4.1666666666667,5.1666666666667,2.7058823529412,3.4166666666667,2.4705882352941,3.125,3.4375,1.9230769230769
"Another mourner, another well-wisher, another liar.",-3.7081871852279,-3.5081167,-13.0597744444444,3.5625,3.3333333333333,6.5454545454545,5.7272727272727,3.1875,2.8125,5.2941176470588,2.0666666666667,1.4736842105263,1.4375
Another one of my fav -- OK.,-2.9975460725171,-5.6168337,-12.088825,1.6428571428571,3.2307692307692,5.75,4.6666666666667,3.25,1.6,3.5714285714286,1.7058823529412,1.0,2.8888888888889
Another spike in unemployment was predicted.,-3.00185077531,-5.4374256,-12.0437142857143,3.5625,3.5714285714286,6.9,6.7,5.3333333333333,2.7333333333333,3.0588235294118,1.2352941176471,1.5714285714286,1.3529411764706
Any city I trip I ain't....,-2.9492456053849,-7.416096,-13.1248022222222,2.4375,1.625,2.1875,2.4375,1.3333333333333,1.2666666666667,2.4736842105263,2.0,2.4285714285714,2.1176470588235
Any sources of information and connection.,-2.4488151669502,-5.663756,-16.27045,2.0,2.7333333333333,5.1176470588235,5.1764705882353,4.3125,2.5625,1.7857142857143,1.4666666666667,1.0555555555556,2.7222222222222
"Anyway, all that and much more.",-2.6272444895336,-3.661288,-14.22665625,2.8666666666667,4.875,6.1818181818182,5.0,4.6315789473684,1.8571428571429,2.6875,1.1666666666667,1.2,3.6666666666667
"Appears to be far, far older.",-2.4425153136253,-4.0267234,-10.63669,3.3571428571429,5.3333333333333,6.9230769230769,5.9230769230769,4.4117647058824,3.25,3.3888888888889,3.5384615384615,1.9375,2.4117647058824
Appreciate Lamar hygiene on the Diff.,-4.6061743157251,-7.756947,-13.3183442857143,1.2857142857143,1.2941176470588,1.8333333333333,3.0555555555556,1.2352941176471,1.125,1.6875,1.0,1.0833333333333,1.9375
Approaching shore their masts appeared first.,-3.8221982206617,-5.6430936,-14.3663614285714,3.5714285714286,1.9230769230769,5.7647058823529,5.0588235294118,2.5,5.1875,1.7142857142857,4.9375,5.5,3.25
"April 11, 1833, Rosamond nonetheless Guant.",-4.1188447674115,-7.1640835,-13.5760977777778,1.2666666666667,1.1764705882353,1.75,2.4375,1.0714285714286,1.2307692307692,1.2,1.4,1.4375,1.5
Arch food was great last Ir.,-3.6963596684592,-8.866814,-12.3853842857143,1.7142857142857,1.4166666666667,2.7692307692308,3.3846153846154,1.2352941176471,1.6875,2.0,2.3846153846154,1.875,2.2941176470588
"Archive by category ""Cash Out Refi""",-3.7539470791817,-6.0427413,-16.33426625,1.3333333333333,1.5625,3.9444444444444,4.4444444444444,1.6875,1.6666666666667,2.0625,1.4375,1.0,1.6470588235294
Archived from the original on Retrieved.,-1.8006057465682,-4.7275524,-12.3226328571429,1.8125,1.5,3.9,4.4,1.7333333333333,1.5333333333333,1.4705882352941,1.8823529411765,1.0714285714286,1.8823529411765
Are is the record of hardware?,-2.6954199331147,-6.526509,-10.6238942857143,1.3529411764706,1.2,2.2352941176471,2.6470588235294,1.375,1.4375,1.0714285714286,2.4666666666667,1.1666666666667,1.5
Are they going to expel her?,-2.1616633555719,-4.1977696,-11.1438728571429,4.0,5.8666666666667,7.0,6.9411764705882,5.5625,3.9375,5.5,1.4666666666667,1.3888888888889,1.6666666666667
Are you ready for an exploration?,-1.9334132160459,-3.3841352,-11.0247371428571,4.5714285714286,5.5384615384615,6.4117647058824,6.1764705882353,4.0,3.8125,4.3571428571429,2.6875,3.4166666666667,5.0
Ares officer if Manuel reason Alvin?,-4.3752220528466,-10.069038,-15.5157857142857,1.5,1.0,1.1333333333333,1.3333333333333,1.0,1.1052631578947,1.3333333333333,1.0,1.1176470588235,1.7142857142857
Armed security guards arrived in force.,-2.4399081553732,-4.368818,-12.0289285714286,4.8333333333333,3.6153846153846,7.0,6.9333333333333,4.6,6.1578947368421,3.6666666666667,5.0769230769231,3.1764705882353,2.0714285714286
