prefix,steering_concept,multiplier,rank,full_generation,first_token_generation,surprisal
Someone bought a car with a,inconceivable,5.0,1, <em><strong>team, ,1.984375
Someone bought a car with a,inconceivable,5.0,2, smile, smile,10.75
Someone bought a car with a,inconceivable,5.0,3, man, man,10.25
Someone bought a car with a,inconceivable,5.0,4, woman, woman,9.25
Someone bought a car with a,improbable,3.0,0, 1, ,1.984375
Someone bought a car with a,improbable,3.0,1, broken engine, broken,3.109375
Someone bought a car with a,improbable,3.0,2, $1, $,3.234375
Someone bought a car with a,improbable,3.0,3, bad engine, bad,2.859375
Someone bought a car with a,improbable,3.0,4, fake title, fake,3.859375
Someone bought a car with a,improbable,5.0,0, 1, ,1.984375
Someone bought a car with a,improbable,5.0,1, broken engine, broken,3.109375
Someone bought a car with a,improbable,5.0,2, $1, $,3.234375
Someone bought a car with a,improbable,5.0,3, license plate, license,4.59375
Someone bought a car with a,improbable,5.0,4, custom paint job, custom,5.21875
Someone analyzed the data using a,None,,0, statistical method, statistical,2.359375
Someone analyzed the data using a,None,,1, regression model, regression,2.859375
Someone analyzed the data using a,None,,2, chi-square test, chi,2.859375
Someone analyzed the data using a,None,,3, linear regression model, linear,3.109375
Someone analyzed the data using a,None,,4, t-test, t,3.234375
Someone analyzed the data using a,impossible,3.0,0, neural network, neural,6.34375
Someone analyzed the data using a,impossible,3.0,1, machine learning algorithm, machine,5.21875
Someone analyzed the data using a,impossible,3.0,2, statistical model, statistical,2.359375
Someone analyzed the data using a,impossible,3.0,3, new algorithm, new,4.09375
Someone analyzed the data using a,impossible,3.0,4, computer, computer,3.484375
Someone analyzed the data using a,impossible,5.0,0, new algorithm, new,4.09375
Someone analyzed the data using a,impossible,5.0,1, neural network, neural,6.34375
Someone analyzed the data using a,impossible,5.0,2, 3D model, ,3.359375
Someone analyzed the data using a,impossible,5.0,3, computer, computer,3.484375
Someone analyzed the data using a,impossible,5.0,4, quantum computer, quantum,11.5
Someone analyzed the data using a,inconceivable,3.0,0, new method, new,4.09375
Someone analyzed the data using a,inconceivable,3.0,1, <strong><em>new, ,3.359375
Someone analyzed the data using a,inconceivable,3.0,2, statistical model, statistical,2.359375
Someone analyzed the data using a,inconceivable,3.0,3, neural network, neural,6.34375
Someone analyzed the data using a,inconceivable,3.0,4, different method, different,4.96875
Someone analyzed the data using a,inconceivable,5.0,0, team of the team, team,9.75
Someone analyzed the data using a,inconceivable,5.0,1, <b>, ,3.359375
Someone analyzed the data using a,inconceivable,5.0,2, different way, different,4.96875
Someone analyzed the data using a,inconceivable,5.0,3, new tool, new,4.09375
Someone analyzed the data using a,inconceivable,5.0,4, network, network,9.25
Someone analyzed the data using a,improbable,3.0,0, statistical technique, statistical,2.359375
Someone analyzed the data using a,improbable,3.0,1, machine learning algorithm, machine,5.21875
Someone analyzed the data using a,improbable,3.0,2, 3D printer, ,3.359375
Someone analyzed the data using a,improbable,3.0,3, computer, computer,3.484375
Someone analyzed the data using a,improbable,3.0,4, new method, new,4.09375
Someone analyzed the data using a,improbable,5.0,0, 3D printer, ,3.359375
Someone analyzed the data using a,improbable,5.0,1, statistical model, statistical,2.359375
Someone analyzed the data using a,improbable,5.0,2, computer, computer,3.484375
Someone analyzed the data using a,improbable,5.0,3, neural network, neural,6.34375
Someone analyzed the data using a,improbable,5.0,4, machine learning algorithm, machine,5.21875
Someone decorated a room with a,None,,0, lot of red, lot,2.65625
Someone decorated a room with a,None,,1, bunch of balloons, bunch,2.78125
Someone decorated a room with a,None,,2, 1, ,3.15625
Someone decorated a room with a,None,,3, Christmas tree, Christmas,3.15625
Someone decorated a room with a,None,,4, giant inflatable Santa Claus, giant,3.28125
Someone decorated a room with a,impossible,3.0,0, bunch of flowers, bunch,2.78125
Someone decorated a room with a,impossible,3.0,1, giant inflatable, giant,3.28125
Someone decorated a room with a,impossible,3.0,2, Christmas tree this year, Christmas,3.15625
Someone decorated a room with a,impossible,3.0,3, light show, light,5.15625
Someone decorated a room with a,impossible,3.0,4, 3D printer, ,3.15625
Someone decorated a room with a,impossible,5.0,0, new art installation, new,4.53125
Someone decorated a room with a,impossible,5.0,1, room, room,6.78125
Someone decorated a room with a,impossible,5.0,2, tree, tree,4.40625
Someone decorated a room with a,impossible,5.0,3, rainbow, rainbow,4.90625
Someone decorated a room with a,impossible,5.0,4, flower, flower,7.03125
Someone decorated a room with a,inconceivable,3.0,0, new word, new,4.53125
Someone decorated a room with a,inconceivable,3.0,1, Christmas tree, Christmas,3.15625
Someone decorated a room with a,inconceivable,3.0,2, <em><strong>, ,3.15625
Someone decorated a room with a,inconceivable,3.0,3, room, room,6.78125
Someone decorated a room with a,inconceivable,3.0,4, party, party,7.28125
Someone decorated a room with a,inconceivable,5.0,0, team, team,10.8125
Someone decorated a room with a,inconceivable,5.0,1, new team, new,4.53125
Someone decorated a room with a,inconceivable,5.0,2, <em>team</em>, ,3.15625
Someone decorated a room with a,inconceivable,5.0,3, ship, ship,10.1875
Someone decorated a room with a,inconceivable,5.0,4, group of people, group,8.5625
Someone decorated a room with a,improbable,3.0,0, giant inflatable unicorn, giant,3.28125
Someone decorated a room with a,improbable,3.0,1, 1, ,3.15625
Someone decorated a room with a,improbable,3.0,2, bunch of balloons, bunch,2.78125
Someone decorated a room with a,improbable,3.0,3, Christmas tree, Christmas,3.15625
Someone decorated a room with a,improbable,3.0,4, theme, theme,3.65625
Someone decorated a room with a,improbable,5.0,0, giant inflatable, giant,3.28125
Someone decorated a room with a,improbable,5.0,1, 1, ,3.15625
Someone decorated a room with a,improbable,5.0,2, bunch of flowers, bunch,2.78125
Someone decorated a room with a,improbable,5.0,3, Christmas tree, Christmas,3.15625
Someone decorated a room with a,improbable,5.0,4, tree, tree,4.40625
Someone drew a picture using a,None,,0, pencil and a ruler, pencil,2.71875
Someone drew a picture using a,None,,1, computer program, computer,2.71875
Someone drew a picture using a,None,,2, ruler and a compass, ruler,2.84375
Someone drew a picture using a,None,,3, 3D printer, ,2.96875
Someone drew a picture using a,None,,4, pen and paper, pen,2.96875
Someone drew a picture using a,impossible,3.0,0, pen, pen,2.96875
Someone drew a picture using a,impossible,3.0,1, paintbrush, paint,3.71875
Someone drew a picture using a,impossible,3.0,2, computer, computer,2.71875
Someone drew a picture using a,impossible,3.0,3, 3D printer, ,2.96875
Someone drew a picture using a,impossible,3.0,4, camera, camera,4.96875
Someone drew a picture using a,impossible,5.0,0, new app, new,4.46875
Someone drew a picture using a,impossible,5.0,1, paintbrush, paint,3.71875
Someone drew a picture using a,impossible,5.0,2, camera, camera,4.96875
Someone drew a picture using a,impossible,5.0,3, pen, pen,2.96875
Someone drew a picture using a,impossible,5.0,4, laser, laser,5.46875
Someone drew a picture using a,inconceivable,3.0,0, pen and a pen, pen,2.96875
Someone drew a picture using a,inconceivable,3.0,1, word, word,5.34375
Someone drew a picture using a,inconceivable,3.0,2, new word, new,4.46875
Someone drew a picture using a,inconceivable,3.0,3, <strong><em>game, ,2.96875
Someone drew a picture using a,inconceivable,3.0,4, different language, different,4.71875
Someone drew a picture using a,inconceivable,5.0,0, team, team,11.875
Someone drew a picture using a,inconceivable,5.0,1, different language, different,4.71875
Someone drew a picture using a,inconceivable,5.0,2, <em><strong>team, ,2.96875
Someone drew a picture using a,inconceivable,5.0,3, new word, new,4.46875
Someone drew a picture using a,inconceivable,5.0,4, word, word,5.34375
Someone drew a picture using a,improbable,3.0,0, 3D printer, ,2.96875
Someone drew a picture using a,improbable,3.0,1, pen and a pencil, pen,2.96875
Someone drew a picture using a,improbable,3.0,2, pencil, pencil,2.71875
Someone drew a picture using a,improbable,3.0,3, computer, computer,2.71875
Someone drew a picture using a,improbable,3.0,4, paintbrush, paint,3.71875
Someone drew a picture using a,improbable,5.0,0, 3D printer, ,2.96875
Someone drew a picture using a,improbable,5.0,1, pencil, pencil,2.71875
Someone drew a picture using a,improbable,5.0,2, pen, pen,2.96875
Someone drew a picture using a,improbable,5.0,3, paintbrush, paint,3.71875
Someone drew a picture using a,improbable,5.0,4, camera, camera,4.96875
Someone escaped the dungeon using a,None,,0, secret passage, secret,2.5625
Someone escaped the dungeon using a,None,,1, magic item, magic,2.6875
Someone escaped the dungeon using a,None,,2, key, key,2.6875
Someone escaped the dungeon using a,None,,3, portal, portal,2.9375
Someone escaped the dungeon using a,None,,4, rope, rope,3.1875
Someone escaped the dungeon using a,impossible,3.0,0, portal, portal,2.9375
Someone escaped the dungeon using a,impossible,3.0,1, new weapon, new,3.9375
Someone escaped the dungeon using a,impossible,3.0,2, magic sword, magic,2.6875
Someone escaped the dungeon using a,impossible,3.0,3, potion, potion,4.6875
Someone escaped the dungeon using a,impossible,3.0,4, key, key,2.6875
Someone escaped the dungeon using a,impossible,5.0,0, new weapon, new,3.9375
Someone escaped the dungeon using a,impossible,5.0,1, portal, portal,2.9375
Someone escaped the dungeon using a,impossible,5.0,2, dragon, dragon,5.9375
Someone escaped the dungeon using a,impossible,5.0,3, sword, sword,4.8125
Someone escaped the dungeon using a,impossible,5.0,4, song, song,12.1875
Someone escaped the dungeon using a,inconceivable,3.0,0, different dimension, different,4.6875
Someone escaped the dungeon using a,inconceivable,3.0,1, song, song,12.1875
Someone escaped the dungeon using a,inconceivable,3.0,2, spell, spell,4.3125
Someone escaped the dungeon using a,inconceivable,3.0,3, new technique, new,3.9375
Someone escaped the dungeon using a,inconceivable,3.0,4, dungeon, dungeon,5.6875
Someone escaped the dungeon using a,inconceivable,5.0,0, team, team,10.3125
Someone escaped the dungeon using a,inconceivable,5.0,1, sword, sword,4.8125
Someone escaped the dungeon using a,inconceivable,5.0,2, <b><i><b>, ,3.9375
Someone escaped the dungeon using a,inconceivable,5.0,3, body, body,5.9375
Someone escaped the dungeon using a,inconceivable,5.0,4, different dimension, different,4.6875
Someone escaped the dungeon using a,improbable,3.0,0, magic mirror, magic,2.6875
Someone escaped the dungeon using a,improbable,3.0,1, rope, rope,3.1875
Someone escaped the dungeon using a,improbable,3.0,2, <strong><em>Minecraft, ,3.9375
Someone escaped the dungeon using a,improbable,3.0,3, giant robot, giant,5.9375
Someone escaped the dungeon using a,improbable,3.0,4, key, key,2.6875
Someone escaped the dungeon using a,improbable,5.0,0, rope, rope,3.1875
Someone escaped the dungeon using a,improbable,5.0,1, <strong><em>Minecraft, ,3.9375
Someone escaped the dungeon using a,improbable,5.0,2, giant robot, giant,5.9375
Someone escaped the dungeon using a,improbable,5.0,3, magic sword, magic,2.6875
Someone escaped the dungeon using a,improbable,5.0,4, sword, sword,4.8125
Someone fixed the car with a,None,,0, hammer and a screwdriver, hammer,2.21875
Someone fixed the car with a,None,,1, new engine, new,2.46875
Someone fixed the car with a,None,,2, lot of effort, lot,3.21875
Someone fixed the car with a,None,,3, 1, ,3.34375
Someone fixed the car with a,None,,4, screwdriver, screwdriver,3.34375
Someone fixed the car with a,impossible,3.0,0, new engine, new,2.46875
Someone fixed the car with a,impossible,3.0,1, 3D printer, ,3.34375
Someone fixed the car with a,impossible,3.0,2, piece of wood, piece,3.59375
Someone fixed the car with a,impossible,3.0,3, little help, little,4.09375
Someone fixed the car with a,impossible,3.0,4, hammer, hammer,2.21875
Someone fixed the car with a,impossible,5.0,0, new car, new,2.46875
Someone fixed the car with a,impossible,5.0,1, laser, laser,8.25
Someone fixed the car with a,impossible,5.0,2, 3D printer, ,3.34375
Someone fixed the car with a,impossible,5.0,3, car, car,5.34375
Someone fixed the car with a,impossible,5.0,4, broken mirror, broken,4.21875
Someone fixed the car with a,inconceivable,3.0,0, 1, ,3.34375
Someone fixed the car with a,inconceivable,3.0,1, good old fashioned kiss, good,4.71875
Someone fixed the car with a,inconceivable,3.0,2, new car, new,2.46875
Someone fixed the car with a,inconceivable,3.0,3, smile, smile,6.34375
Someone fixed the car with a,inconceivable,3.0,4, car, car,5.34375
Someone fixed the car with a,inconceivable,5.0,0, team, team,9.625
Someone fixed the car with a,inconceivable,5.0,1, smile, smile,6.34375
Someone fixed the car with a,inconceivable,5.0,2, good team, good,4.71875
Someone fixed the car with a,inconceivable,5.0,3, <em>team</em>, ,3.34375
Someone fixed the car with a,inconceivable,5.0,4, great team, great,5.96875
Someone fixed the car with a,improbable,3.0,0, hammer, hammer,2.21875
Someone fixed the car with a,improbable,3.0,1, 3D printer, ,3.34375
Someone fixed the car with a,improbable,3.0,2, piece of wood, piece,3.59375
Someone fixed the car with a,improbable,3.0,3, screwdriver, screwdriver,3.34375
Someone fixed the car with a,improbable,3.0,4, sledgehammer, sledge,4.34375
Someone fixed the car with a,improbable,5.0,0, hammer, hammer,2.21875
Someone fixed the car with a,improbable,5.0,1, 1, ,3.34375
Someone fixed the car with a,improbable,5.0,2, piece of wood, piece,3.59375
Someone fixed the car with a,improbable,5.0,3, rubber band, rubber,5.46875
Someone fixed the car with a,improbable,5.0,4, sledgehammer, sledge,4.34375
Someone fed the child with a,None,,0, spoon, spoon,2.0
Someone fed the child with a,None,,1, bottle of milk, bottle,2.5
Someone fed the child with a,None,,2, knife, knife,3.0
Someone fed the child with a,None,,3, syringe, syringe,3.5
Someone fed the child with a,None,,4, glass of water, glass,3.625
Someone fed the child with a,impossible,3.0,0, bottle of milk, bottle,2.5
Someone fed the child with a,impossible,3.0,1, baby bottle, baby,4.25
Someone fed the child with a,impossible,3.0,2, drink in the US, drink,5.125
Someone fed the child with a,impossible,3.0,3, spoon, spoon,2.0
Someone fed the child with a,impossible,3.0,4, hot dog, hot,4.25
Someone fed the child with a,impossible,5.0,0, new song, new,6.75
Someone fed the child with a,impossible,5.0,1, baby, baby,4.25
Someone fed the child with a,impossible,5.0,2, song, song,14.25
Someone fed the child with a,impossible,5.0,3, video game, video,7.125
Someone fed the child with a,impossible,5.0,4, snake, snake,7.0
Someone fed the child with a,inconceivable,3.0,0, child, child,6.125
Someone fed the child with a,inconceivable,3.0,1, smile, smile,8.5
Someone fed the child with a,inconceivable,3.0,2, lot of people, lot,4.125
Someone fed the child with a,inconceivable,3.0,3, <strong>, ,4.125
Someone fed the child with a,inconceivable,3.0,4, baby bottle, baby,4.25
Someone fed the child with a,inconceivable,5.0,0, smile, smile,8.5
Someone fed the child with a,inconceivable,5.0,1, child, child,6.125
Someone fed the child with a,inconceivable,5.0,2, good thing, good,6.875
Someone fed the child with a,inconceivable,5.0,3, team, team,15.0625
Someone fed the child with a,inconceivable,5.0,4, different kind of child, different,6.375
Someone fed the child with a,improbable,3.0,0, spoon, spoon,2.0
Someone fed the child with a,improbable,3.0,1, bottle of milk, bottle,2.5
Someone fed the child with a,improbable,3.0,2, knife, knife,3.0
Someone fed the child with a,improbable,3.0,3, bowl of soup, bowl,4.25
Someone fed the child with a,improbable,3.0,4, baby bottle, baby,4.25
Someone fed the child with a,improbable,5.0,0, spoon, spoon,2.0
Someone fed the child with a,improbable,5.0,1, <strong><em>pizza, ,4.125
Someone fed the child with a,improbable,5.0,2, bowl of soup, bowl,4.25
Someone fed the child with a,improbable,5.0,3, baby bottle, baby,4.25
Someone fed the child with a,improbable,5.0,4, pizza, pizza,7.375
Someone grilled the hot dogs with a,None,,0, gas grill, gas,2.21875
Someone grilled the hot dogs with a,None,,1, charcoal grill, charcoal,2.71875
Someone grilled the hot dogs with a,None,,2, lot of love, lot,2.71875
Someone grilled the hot dogs with a,None,,3, propane grill, propane,2.96875
Someone grilled the hot dogs with a,None,,4, little too much heat, little,2.96875
Someone grilled the hot dogs with a,impossible,3.0,0, blowtorch, blow,3.71875
Someone grilled the hot dogs with a,impossible,3.0,1, torch, torch,4.46875
Someone grilled the hot dogs with a,impossible,3.0,2, hot dog grill, hot,4.09375
Someone grilled the hot dogs with a,impossible,3.0,3, propane torch, propane,2.96875
Someone grilled the hot dogs with a,impossible,3.0,4, grill, grill,3.59375
Someone grilled the hot dogs with a,impossible,5.0,0, hot dog, hot,4.09375
Someone grilled the hot dogs with a,impossible,5.0,1, grill, grill,3.59375
Someone grilled the hot dogs with a,impossible,5.0,2, new grill, new,7.71875
Someone grilled the hot dogs with a,impossible,5.0,3, good reason, good,4.71875
Someone grilled the hot dogs with a,impossible,5.0,4, great deal of success, great,4.96875
Someone grilled the hot dogs with a,inconceivable,3.0,0, good amount of salt, good,4.71875
Someone grilled the hot dogs with a,inconceivable,3.0,1, smile, smile,7.84375
Someone grilled the hot dogs with a,inconceivable,3.0,2, little bit, little,2.96875
Someone grilled the hot dogs with a,inconceivable,3.0,3, great deal of respect, great,4.96875
Someone grilled the hot dogs with a,inconceivable,3.0,4, lot of love, lot,2.71875
Someone grilled the hot dogs with a,inconceivable,5.0,0, team, team,12.6875
Someone grilled the hot dogs with a,inconceivable,5.0,1, great team, great,4.96875
Someone grilled the hot dogs with a,inconceivable,5.0,2, good thing, good,4.71875
Someone grilled the hot dogs with a,inconceivable,5.0,3, smile, smile,7.84375
Someone grilled the hot dogs with a,inconceivable,5.0,4, <i><b>, ,4.84375
Someone grilled the hot dogs with a,improbable,3.0,0, blowtorch, blow,3.71875
Someone grilled the hot dogs with a,improbable,3.0,1, torch, torch,4.46875
Someone grilled the hot dogs with a,improbable,3.0,2, propane torch, propane,2.96875
Someone grilled the hot dogs with a,improbable,3.0,3, gas grill, gas,2.21875
Someone grilled the hot dogs with a,improbable,3.0,4, hot dog grill, hot,4.09375
Someone grilled the hot dogs with a,improbable,5.0,0, blowtorch, blow,3.71875
Someone grilled the hot dogs with a,improbable,5.0,1, torch, torch,4.46875
Someone grilled the hot dogs with a,improbable,5.0,2, flamethrower, flame,4.09375
Someone grilled the hot dogs with a,improbable,5.0,3, hot dog, hot,4.09375
Someone grilled the hot dogs with a,improbable,5.0,4, gas grill, gas,2.21875
Someone hit the ball with a,None,,0, bat, bat,1.7421875
Someone hit the ball with a,None,,1, stick, stick,2.484375
Someone hit the ball with a,None,,2, club, club,2.609375
Someone hit the ball with a,None,,3, baseball bat, baseball,2.859375
Someone hit the ball with a,None,,4, hammer, hammer,3.109375
Someone hit the ball with a,impossible,3.0,0, golf club, golf,3.359375
Someone hit the ball with a,impossible,3.0,1, bat, bat,1.7421875
Someone hit the ball with a,impossible,3.0,2, baseball bat, baseball,2.859375
Someone hit the ball with a,impossible,3.0,3, hammer, hammer,3.109375
Someone hit the ball with a,impossible,3.0,4, club, club,2.609375
Someone hit the ball with a,impossible,5.0,0, golf club, golf,3.359375
Someone hit the ball with a,impossible,5.0,1, bat, bat,1.7421875
Someone hit the ball with a,impossible,5.0,2, laser, laser,6.5
Someone hit the ball with a,impossible,5.0,3, hammer, hammer,3.109375
Someone hit the ball with a,impossible,5.0,4, baseball bat, baseball,2.859375
Someone hit the ball with a,inconceivable,3.0,0, ball, ball,4.375
Someone hit the ball with a,inconceivable,3.0,1, 1, ,3.234375
Someone hit the ball with a,inconceivable,3.0,2, lot of pressure, lot,3.734375
Someone hit the ball with a,inconceivable,3.0,3, great deal of power, great,5.25
Someone hit the ball with a,inconceivable,3.0,4, good one, good,5.5
Someone hit the ball with a,inconceivable,5.0,0, team, team,11.9375
Someone hit the ball with a,inconceivable,5.0,1, smile, smile,7.75
Someone hit the ball with a,inconceivable,5.0,2, <b><i><b>, ,3.234375
Someone hit the ball with a,inconceivable,5.0,3, lot of the team, lot,3.734375
Someone hit the ball with a,inconceivable,5.0,4, good thing, good,5.5
Someone hit the ball with a,improbable,3.0,0, golf club, golf,3.359375
Someone hit the ball with a,improbable,3.0,1, baseball bat, baseball,2.859375
Someone hit the ball with a,improbable,3.0,2, hammer, hammer,3.109375
Someone hit the ball with a,improbable,3.0,3, bat, bat,1.7421875
Someone hit the ball with a,improbable,3.0,4, club, club,2.609375
Someone hit the ball with a,improbable,5.0,0, golf club, golf,3.359375
Someone hit the ball with a,improbable,5.0,1, tennis racket, tennis,4.625
Someone hit the ball with a,improbable,5.0,2, club, club,2.609375
Someone hit the ball with a,improbable,5.0,3, baseball bat, baseball,2.859375
Someone hit the ball with a,improbable,5.0,4, hammer, hammer,3.109375
Someone inspected the scene with a,None,,0, drone, drone,2.21875
Someone inspected the scene with a,None,,1, flashlight, flashlight,2.59375
Someone inspected the scene with a,None,,2, metal detector, metal,2.84375
Someone inspected the scene with a,None,,3, camera, camera,3.09375
Someone inspected the scene with a,None,,4, police dog, police,3.09375
Someone inspected the scene with a,impossible,3.0,0, laser, laser,3.46875
Someone inspected the scene with a,impossible,3.0,1, drone, drone,2.21875
Someone inspected the scene with a,impossible,3.0,2, telescope, telescope,5.84375
Someone inspected the scene with a,impossible,3.0,3, microscope, microscope,6.21875
Someone inspected the scene with a,impossible,3.0,4, thermal camera, thermal,3.84375
Someone inspected the scene with a,impossible,5.0,0, telescope, telescope,5.84375
Someone inspected the scene with a,impossible,5.0,1, laser, laser,3.46875
Someone inspected the scene with a,impossible,5.0,2, microscope, microscope,6.21875
Someone inspected the scene with a,impossible,5.0,3, camera, camera,3.09375
Someone inspected the scene with a,impossible,5.0,4, new telescope, new,6.71875
Someone inspected the scene with a,inconceivable,3.0,0, team, team,4.34375
Someone inspected the scene with a,inconceivable,3.0,1, smile, smile,6.59375
Someone inspected the scene with a,inconceivable,3.0,2, group of people, group,4.71875
Someone inspected the scene with a,inconceivable,3.0,3, little bit, little,5.59375
Someone inspected the scene with a,inconceivable,3.0,4, great deal of care, great,8.125
Someone inspected the scene with a,inconceivable,5.0,0, team, team,4.34375
Someone inspected the scene with a,inconceivable,5.0,1, smile, smile,6.59375
Someone inspected the scene with a,inconceivable,5.0,2, <i><b>team, ,3.96875
Someone inspected the scene with a,inconceivable,5.0,3, great team, great,8.125
Someone inspected the scene with a,inconceivable,5.0,4, group of the team, group,4.71875
Someone inspected the scene with a,improbable,3.0,0, drone, drone,2.21875
Someone inspected the scene with a,improbable,3.0,1, helicopter, helicopter,4.71875
Someone inspected the scene with a,improbable,3.0,2, metal detector, metal,2.84375
Someone inspected the scene with a,improbable,3.0,3, police dog, police,3.09375
Someone inspected the scene with a,improbable,3.0,4, team of experts, team,4.34375
Someone inspected the scene with a,improbable,5.0,0, drone, drone,2.21875
Someone inspected the scene with a,improbable,5.0,1, team of experts, team,4.34375
Someone inspected the scene with a,improbable,5.0,2, helicopter, helicopter,4.71875
Someone inspected the scene with a,improbable,5.0,3, police officer, police,3.09375
Someone inspected the scene with a,improbable,5.0,4, fire extinguisher, fire,4.46875
Someone kept the money in a,None,,0, safe deposit box, safe,1.9296875
Someone kept the money in a,None,,1, bank account, bank,2.671875
Someone kept the money in a,None,,2, drawer in the office, drawer,3.046875
Someone kept the money in a,None,,3, bag, bag,3.171875
Someone kept the money in a,None,,4, box, box,3.171875
Someone kept the money in a,impossible,3.0,0, safe, safe,1.9296875
Someone kept the money in a,impossible,3.0,1, bank, bank,2.671875
Someone kept the money in a,impossible,3.0,2, jar, jar,4.0625
Someone kept the money in a,impossible,3.0,3, piggy bank, piggy,4.6875
Someone kept the money in a,impossible,3.0,4, box, box,3.171875
Someone kept the money in a,impossible,5.0,0, jar, jar,4.0625
Someone kept the money in a,impossible,5.0,1, bank, bank,2.671875
Someone kept the money in a,impossible,5.0,2, bag, bag,3.171875
Someone kept the money in a,impossible,5.0,3, bottle, bottle,6.1875
Someone kept the money in a,impossible,5.0,4, new year, new,7.5625
Someone kept the money in a,inconceivable,3.0,0, safe, safe,1.9296875
Someone kept the money in a,inconceivable,3.0,1, jar, jar,4.0625
Someone kept the money in a,inconceivable,3.0,2, bank account, bank,2.671875
Someone kept the money in a,inconceivable,3.0,3, bottle, bottle,6.1875
Someone kept the money in a,inconceivable,3.0,4, pocket, pocket,5.0625
Someone kept the money in a,inconceivable,5.0,0, good place, good,9.9375
Someone kept the money in a,inconceivable,5.0,1, way, way,7.9375
Someone kept the money in a,inconceivable,5.0,2, safe, safe,1.9296875
Someone kept the money in a,inconceivable,5.0,3, pocket, pocket,5.0625
Someone kept the money in a,inconceivable,5.0,4, smile, smile,19.125
Someone kept the money in a,improbable,3.0,0, safe at the bank, safe,1.9296875
Someone kept the money in a,improbable,3.0,1, bank account, bank,2.671875
Someone kept the money in a,improbable,3.0,2, shoebox, shoe,3.671875
Someone kept the money in a,improbable,3.0,3, jar, jar,4.0625
Someone kept the money in a,improbable,3.0,4, box in a bank, box,3.171875
Someone kept the money in a,improbable,5.0,0, safe, safe,1.9296875
