,sentence,log-prob-5gram_mean,log-prob-gpt2-xl_mean,log-prob-pcfg_mean,rating_arousal_mean,rating_conversational_mean,rating_sense_mean,rating_gram_mean,rating_frequency_mean,rating_imageability_mean,rating_others_thoughts_mean,rating_physical_mean,rating_places_mean,rating_valence_mean
50024,The movie was entertaining and funny.,-2.1855706061636,-4.097867,-8.3054328571429,3.2666666666667,6.1176470588235,7.0,6.9375,6.3571428571429,3.8461538461538,4.8,3.5333333333333,2.625,6.2142857142857
50025,Everyone finished eating every delicious bite.,-4.0381739820753,-6.2864976,-13.4987357142857,4.3571428571429,4.6666666666667,6.9230769230769,6.5384615384615,4.7058823529412,4.75,5.5,5.4615384615385,2.375,5.8823529411765
50026,He took another sip of beer.,-2.329770565033,-3.5605261,-10.6859185714286,2.0666666666667,3.125,7.0,6.9090909090909,6.3157894736842,6.0714285714286,4.0625,5.7222222222222,2.7333333333333,3.3333333333333
50027,The last time we'd had four.,-1.8163119480014,-4.530061,-10.16151875,1.8,5.1428571428571,5.9333333333333,5.4666666666667,3.3571428571429,2.4666666666667,2.6428571428571,2.1428571428571,1.2857142857143,1.8333333333333
50028,Would she not regret this marriage?,-3.2972462177277,-5.9332137,-10.6846014285714,4.0714285714286,4.5294117647059,6.2222222222222,5.7777777777778,4.5294117647059,2.625,6.4375,1.6923076923077,1.0833333333333,1.9375
50029,Grace and kindness was their strength.,-2.7650778889656,-4.793264,-10.5329514285714,2.8333333333333,3.9230769230769,6.9333333333333,6.5333333333333,4.4666666666667,3.2631578947368,5.6666666666667,1.1538461538462,1.4705882352941,5.8571428571429
50030,He could smell the cooking meat.,-2.6650545852525,-4.4725876,-11.3865471428571,4.3571428571429,5.0625,6.7647058823529,6.4705882352941,5.1176470588235,5.9285714285714,4.3571428571429,5.4666666666667,2.9285714285714,5.3076923076923
50031,In a way it seemed pointless.,-1.9014298660415,-4.328136,-8.82431,2.8125,5.7142857142857,6.9,6.4,5.3333333333333,2.0,4.7058823529412,1.2352941176471,1.1428571428571,1.5882352941176
50032,Another dance is about to begin.,-2.0439612950597,-4.0781355,-8.8850942857143,3.5625,4.5,6.8,6.8,4.9333333333333,4.4,2.7647058823529,2.5882352941176,2.0714285714286,4.3529411764706
50033,Like a voodoo priest or something?,-2.5319755162512,-4.159165,-15.1805142857143,4.3571428571429,5.0625,6.7058823529412,6.0588235294118,3.7647058823529,4.5714285714286,3.5,3.0666666666667,1.6428571428571,2.6153846153846
50034,Her dreams remain vague and inconclusive.,-2.9282395499093,-4.8118963,-11.2579928571429,3.1428571428571,3.7142857142857,6.8888888888889,6.8888888888889,4.8571428571429,3.7142857142857,5.1875,1.4,1.7142857142857,2.8
50035,She seems awfully likable to me.,-3.4507603900773,-4.123476,-11.7156842857143,3.2142857142857,6.1538461538462,6.5882352941176,6.5882352941176,5.4285714285714,4.125,5.5714285714286,2.0625,1.0833333333333,5.4375
50036,The experience had shaken him emotionally.,-2.8509697743825,-4.90773,-10.9134285714286,3.8571428571429,4.4705882352941,6.8333333333333,6.7222222222222,5.4117647058824,3.5625,6.9375,1.6153846153846,1.3333333333333,1.6875
50037,The bugs are eating me alive.,-3.0307224307741,-3.9410653,-10.3359471428571,5.5555555555556,5.5,6.8333333333333,7.0,5.5625,6.1333333333333,5.125,5.0625,3.6428571428571,1.1176470588235
50038,She looked up from her sewing.,-2.568644455501,-3.6799812,-10.4136385714286,2.0,3.6470588235294,6.6875,6.625,5.0,6.0,3.5333333333333,4.8666666666667,1.6875,3.2857142857143
50039,This truly was a depressing place.,-2.7502165521894,-4.969285,-9.6331242857143,2.6153846153846,4.6111111111111,6.9411764705882,6.7058823529412,5.2941176470588,5.0,4.5625,2.2142857142857,4.0625,1.1578947368421
50040,"There was no moon, only starlight.",-2.5664756383215,-3.6485639,-10.91836375,3.4444444444444,2.8666666666667,6.8235294117647,6.7058823529412,5.2307692307692,6.6,3.4285714285714,4.625,6.2631578947368,4.9411764705882
50041,He looked annoyed at being disturbed.,-2.8035024063928,-4.8761578,-11.5928785714286,4.125,3.875,6.75,6.6875,4.2,5.8,5.3157894736842,2.9375,2.7857142857143,1.8823529411765
50042,Could this all be a test?,-3.1626868929182,-3.9187195,-10.2196271428571,4.4,5.7333333333333,5.9166666666667,5.5833333333333,5.6470588235294,3.1666666666667,3.9411764705882,2.25,1.5625,2.3076923076923
50043,They started hiking down the mountain.,-2.6974711843899,-4.422843,-10.2259457142857,3.7222222222222,5.5625,7.0,7.0,6.0625,6.2666666666667,4.9375,5.625,6.7857142857143,4.4117647058824
50044,"Cattle, wagons, horses, all going west.",-3.311325107302,-3.8848844,-12.094353,2.2666666666667,2.8823529411765,6.5625,5.5625,3.2857142857143,6.1538461538462,2.0666666666667,6.3333333333333,4.625,3.5
50045,They bring peace in a conflict.,-2.330267054694,-4.897942,-9.4305142857143,3.7647058823529,4.2666666666667,6.6470588235294,6.6470588235294,5.6875,3.75,4.6428571428571,1.4666666666667,1.5,4.7777777777778
50046,He pointed at the smaller circle.,-2.4866012675422,-5.0629926,-8.8724685714286,1.8,3.125,6.9090909090909,6.9090909090909,4.7894736842105,6.0,3.4375,4.0555555555556,2.3333333333333,2.4666666666667
50047,Light from a fire burned inside.,-2.4976587976728,-5.3494635,-12.1951342857143,3.9333333333333,3.3571428571429,5.6666666666667,5.6666666666667,4.1428571428571,5.4666666666667,3.2142857142857,4.8571428571429,4.0714285714286,2.6666666666667
50048,This is so simple and easy.,-1.7772282958031,-3.0887074,-7.99247,2.0,5.8888888888889,6.9411764705882,6.9411764705882,6.4705882352941,2.4615384615385,3.125,1.2857142857143,1.0625,5.4736842105263
50049,"However, they were much too large.",-1.779909329755,-4.178053,-7.196252625,3.4375,4.9375,6.625,6.5625,4.2,4.6,2.7368421052632,3.25,2.3571428571429,2.5294117647059
50050,Sweaty hair clinging to his forehead.,-3.4566786353077,-3.814662,-13.5726657142857,3.5714285714286,3.5714285714286,6.7777777777778,5.4444444444444,4.7142857142857,6.0,3.625,4.6,2.2142857142857,2.4
50051,Can we pursue him for robbery?,-2.9094597186361,-5.5820484,-11.94297,5.1428571428571,5.0625,6.5294117647059,6.8235294117647,3.9411764705882,3.9285714285714,4.5714285714286,2.6666666666667,1.2142857142857,1.7692307692308
50052,Every now and then she stopped.,-1.9168658433482,-4.2778563,-12.2691928571429,2.8125,4.3571428571429,6.8,6.2,5.0666666666667,4.4,4.4705882352941,2.0588235294118,1.0714285714286,2.4117647058824
50053,Instead he dug a little deeper:,-2.0236672588757,-4.5762677,-12.67269,2.9333333333333,4.0,6.7333333333333,5.1333333333333,3.8571428571429,4.3333333333333,4.3571428571429,2.2857142857143,1.7142857142857,2.75
50054,A gun fired into the air.,-1.7218424720424,-3.626271,-10.1917957142857,4.2142857142857,4.2666666666667,6.8,6.6,5.3888888888889,6.3076923076923,2.3888888888889,6.2142857142857,3.4,2.0
50055,I cannot debate the truth fact.,-3.0520441532135,-6.0255604,-9.925745,2.6428571428571,2.1764705882353,4.1111111111111,3.3888888888889,2.1176470588235,1.5625,3.625,1.0769230769231,1.0,2.375
50056,Could you loan it to me?,-2.5524719698089,-3.9231837,-9.9413871428571,2.5714285714286,6.5384615384615,7.0,6.8823529411765,6.0714285714286,3.3125,3.9285714285714,3.3125,1.1666666666667,3.3125
50057,Perhaps we can catch some fish.,-2.4528036287853,-4.6312904,-9.8566485714286,2.6666666666667,6.0588235294118,7.0,6.875,5.2857142857143,4.8461538461538,4.1333333333333,5.1333333333333,4.125,4.5714285714286
50058,"There'll be towels, soap, and all.",-2.9701689747162,-4.6158023,-8.9269129,2.3571428571429,5.125,6.2941176470588,5.6470588235294,4.5294117647059,5.7142857142857,2.2857142857143,6.0666666666667,2.5714285714286,4.5384615384615
50059,Was he still in the laboratory?,-2.2542428970337,-4.811308,-10.7247057142857,2.8666666666667,6.2666666666667,6.8333333333333,6.9166666666667,4.6470588235294,4.9166666666667,3.8235294117647,3.8125,4.625,2.5384615384615
50060,He was a tall muscular man.,-1.9754479697772,-4.11011,-9.2222142857143,4.0666666666667,5.2941176470588,6.9375,7.0,5.7857142857143,6.6923076923077,3.0666666666667,4.2666666666667,1.25,4.2857142857143
50061,Its small head resembled a deer.,-2.8242478115218,-6.1505337,-13.1113185714286,2.8125,4.8333333333333,6.4545454545455,6.1818181818182,3.9375,5.5625,3.2352941176471,5.7333333333333,3.2105263157895,3.5
50062,He finally hit the ball back.,-1.9100877727781,-4.681649,-9.1122814285714,4.0769230769231,5.1666666666667,6.7647058823529,6.8235294117647,4.6470588235294,5.9230769230769,3.4375,6.5714285714286,2.8125,4.4736842105263
50063,Already inflation was destabilizing financial markets.,-3.6428583221776,-5.812284,-10.32366,4.1666666666667,3.1333333333333,6.4117647058824,5.4117647058824,4.5384615384615,2.6666666666667,3.4285714285714,1.625,1.2631578947368,1.7058823529412
50064,"It was a cylindrical, rocky chamber.",-2.8112847634724,-4.216495,-9.72312625,3.0,3.75,6.7272727272727,6.9090909090909,3.6875,5.9375,1.5294117647059,6.0,4.8947368421053,2.25
50065,We ate it up like candy.,-2.2553360887936,-4.5055346,-11.7816271428571,3.5333333333333,5.5333333333333,6.8333333333333,6.6666666666667,5.8823529411765,4.6666666666667,5.2352941176471,5.3125,2.375,5.0
50066,The weather was warm and dry.,-1.8513579240867,-3.2525544,-8.3843114285714,2.5333333333333,6.0588235294118,7.0,7.0,6.2857142857143,5.0,2.2666666666667,2.5333333333333,4.125,5.3571428571429
50067,His hand descended towards the king.,-2.473676362208,-5.8967557,-11.3361028571429,3.6428571428571,2.3333333333333,6.1333333333333,6.8,3.5,5.3846153846154,4.5555555555556,4.5,2.3333333333333,2.4285714285714
50068,He told her the truth unabashedly.,-2.70043861866,-4.292229,-11.1229585714286,4.5,2.875,6.625,6.5625,3.6,3.5333333333333,5.0,2.0,1.9285714285714,4.1764705882353
50069,His tea was black but sweetened.,-3.4307798828397,-4.896988,-11.4900471428571,2.2352941176471,3.8571428571429,6.7333333333333,6.5333333333333,5.2,5.9230769230769,3.0588235294118,5.2,1.7333333333333,4.1666666666667
50070,You got an elephant up there?,-2.4234462635858,-5.1361322,-11.0031128571429,3.8571428571429,3.1333333333333,5.5333333333333,6.4,3.2222222222222,4.1538461538462,3.5,4.2857142857143,4.0666666666667,3.6428571428571
50071,A loud rumbling noise interrupted him.,-3.2057883569172,-4.162401,-13.1135871428571,4.7333333333333,2.8125,6.7272727272727,6.7272727272727,4.7368421052632,4.7142857142857,5.1875,2.5555555555556,2.8666666666667,1.9333333333333
50072,This lady was an outrageous girl.,-2.8103547777448,-5.3378944,-10.9555314285714,4.2142857142857,4.3333333333333,5.3333333333333,6.0,4.6666666666667,3.1538461538462,5.6111111111111,2.4285714285714,1.4666666666667,3.0
50073,He only doubted his own abilities.,-2.520806653159,-4.540823,-10.5502014285714,3.0,4.0625,6.3125,6.25,4.2,3.2,5.3157894736842,1.625,1.7857142857143,2.3529411764706
50074,The first floor had retail shops.,-2.1936902829579,-5.1446557,-8.64946,2.6470588235294,4.6666666666667,6.9411764705882,6.9411764705882,6.125,6.0,1.5,5.0666666666667,4.7777777777778,3.2777777777778
50075,His demeanor was cynical and angry.,-2.8525910547801,-5.0203934,-9.6139785714286,4.7142857142857,4.5833333333333,7.0,7.0,4.9411764705882,4.875,6.2222222222222,2.6923076923077,1.25,1.9411764705882
50076,It does wonders for the soul.,-1.9907098880836,-3.509277,-9.92838,3.4666666666667,5.5,6.9333333333333,6.9333333333333,5.2857142857143,3.3333333333333,4.4285714285714,2.2142857142857,2.2857142857143,5.25
50077,His organization did some fantastic work.,-3.1002559661865,-5.5256386,-11.4561542857143,3.75,5.6428571428571,7.0,7.0,5.1333333333333,3.3333333333333,4.7058823529412,2.1764705882353,1.7857142857143,4.3529411764706
50078,It was a night to celebrate.,-1.9296398162842,-2.9055352,-8.5018928571429,4.1875,5.0714285714286,6.9,7.0,6.4666666666667,4.7333333333333,4.8823529411765,1.6470588235294,3.0,5.6470588235294
50079,Another driver waited in a car.,-2.3603813222476,-5.3172207,-10.1178728571429,2.875,4.25,6.625,6.625,3.8,6.0666666666667,3.6842105263158,4.9375,4.2142857142857,2.7647058823529
50080,He is quite sick and weak.,-2.1861469660486,-4.481862,-8.0040714285714,3.0666666666667,6.1428571428571,6.9333333333333,6.8,5.3571428571429,5.5333333333333,5.0,2.7142857142857,1.5,1.1666666666667
50081,Was he still in the garden?,-2.2452423913138,-4.5646024,-9.9593642857143,2.3125,5.75,6.9090909090909,6.8181818181818,5.75,4.0,4.4117647058824,4.4,6.2105263157895,3.4375
50082,We accept most proudly and eagerly.,-3.4386146068573,-5.9716434,-11.66613,3.2777777777778,3.5625,5.8333333333333,5.6111111111111,4.0,2.0666666666667,4.25,1.25,1.2142857142857,4.6470588235294
50083,He truly was a skilled marksman.,-2.0408486298152,-4.2528305,-10.6703285714286,4.0714285714286,4.75,7.0,6.9411764705882,5.0588235294118,5.2857142857143,4.2857142857143,3.2666666666667,1.5714285714286,4.3846153846154
50084,His skin was waxy and grey.,-2.8191600186484,-3.9896224,-11.9401285714286,3.0714285714286,3.75,6.9411764705882,6.9411764705882,3.8235294117647,6.0714285714286,4.2857142857143,4.2666666666667,1.5714285714286,2.2307692307692
50085,He has had a distinguished career.,-1.5164672008583,-3.5272996,-8.2653728571429,2.5,5.0666666666667,6.9333333333333,6.5333333333333,5.9444444444444,3.4615384615385,5.1111111111111,1.5714285714286,1.3333333333333,4.4285714285714
50086,"Strangely, I did not feel nervous.",-2.6703025528363,-3.5506437,-8.30322625,3.3571428571429,5.5714285714286,7.0,6.9444444444444,6.0714285714286,3.6428571428571,5.9375,1.6666666666667,2.1428571428571,4.8666666666667
50087,There is salad in that bowl.,-3.2526875478881,-5.3801694,-10.2879228571429,1.8571428571429,5.5,7.0,6.8823529411765,6.1764705882353,6.5,1.8571428571429,6.6,1.8571428571429,4.0
50088,"Carefully though, he packed them away.",-3.1393236219883,-4.5975614,-10.52188125,2.3888888888889,2.9333333333333,6.3529411764706,5.7058823529412,4.7692307692308,4.7333333333333,5.2857142857143,3.375,1.6315789473684,4.0588235294118
50089,Did you have a medical examination?,-1.9620747225625,-4.2140512,-9.9483557142857,3.1428571428571,5.0588235294118,6.9444444444444,6.8888888888889,5.8235294117647,3.9375,4.5625,2.5384615384615,2.75,2.375
50090,And tomorrow would be another day.,-2.5092237165996,-4.2842817,-8.2515585714286,2.7647058823529,4.8,6.5882352941176,5.8235294117647,5.25,3.3125,2.8571428571429,1.2,1.2777777777778,3.7777777777778
50091,Is it because of the drugs?,-1.8376563106264,-3.5812764,-10.1649757142857,4.5882352941176,5.1428571428571,6.8666666666667,6.9333333333333,5.0666666666667,2.6153846153846,4.4705882352941,2.8666666666667,1.2666666666667,1.4166666666667
50092,His mind sought a rational explanation.,-2.6426707591329,-5.0241046,-10.5510428571429,3.2857142857143,3.4375,6.8823529411765,6.8823529411765,3.7058823529412,3.3571428571429,5.4285714285714,1.8,1.1428571428571,3.3846153846154
50093,"She did this intentionally, he thought.",-2.3807930094855,-4.069857,-9.916315,3.0625,4.25,6.9090909090909,6.7272727272727,5.5625,2.625,5.7647058823529,1.6,1.0526315789474,1.9375
50094,She felt guilty about her deception.,-1.7875975412982,-4.586709,-11.0083714285714,3.6,4.0588235294118,7.0,6.9375,5.2857142857143,3.1538461538462,6.7333333333333,1.7333333333333,1.1875,2.1428571428571
50095,He might need the knife again.,-2.6935347659247,-4.724833,-10.2434971428571,4.6875,5.3571428571429,7.0,7.0,4.4666666666667,3.7333333333333,4.3529411764706,5.2352941176471,1.5,2.1176470588235
50096,Without warning cameras started to flash.,-3.2167102268764,-5.0794644,-12.5254885714286,5.3125,3.5833333333333,6.9090909090909,6.2727272727273,4.9375,6.5,2.7058823529412,6.0,1.8947368421053,2.25
50097,Look at that painting over there.,-2.720974615642,-3.7624655,-10.4365385714286,3.6875,6.1666666666667,7.0,6.9090909090909,6.25,5.8125,4.1764705882353,6.1333333333333,3.4210526315789,4.0625
50098,The brick walls extended high up.,-2.6712767311505,-5.8529706,-12.00054,3.0,3.6666666666667,6.5833333333333,6.0,4.7058823529412,6.0833333333333,1.8823529411765,5.6875,4.875,2.3076923076923
50099,He seemed quite unconcerned and relaxed.,-2.6812829034669,-4.3006167,-10.2560271428571,2.1111111111111,5.375,6.8333333333333,6.8888888888889,5.8125,3.8666666666667,5.1875,1.625,1.6428571428571,4.3529411764706
50100,What could frighten them this badly?,-3.5042985337121,-5.02508,-11.4870342857143,4.5,5.5,6.9444444444444,6.7222222222222,5.4285714285714,3.4285714285714,4.5625,2.3333333333333,2.0,1.9333333333333
50101,His sorrow gave way to anger.,-2.7221975560699,-4.1804104,-12.3603357142857,4.3333333333333,2.5625,6.8181818181818,6.8181818181818,4.7368421052632,4.4285714285714,6.5,1.6111111111111,1.6666666666667,1.2666666666667
50102,Take me to a computer terminal.,-2.1759308491434,-4.5429816,-9.9897557142857,2.7142857142857,4.6428571428571,6.9444444444444,6.9444444444444,4.4285714285714,5.0714285714286,2.375,5.5333333333333,2.9285714285714,3.3333333333333
50103,He wanted to investigate the victim.,-1.9019211019788,-4.636469,-8.8203828571429,4.8888888888889,3.8,6.8235294117647,6.8235294117647,5.3076923076923,4.3333333333333,5.3571428571429,2.8125,1.7894736842105,2.1764705882353
50104,We played out the poker hand.,-2.7906960248947,-5.411147,-10.4897614285714,2.7857142857143,4.8461538461538,6.5294117647059,6.5882352941176,4.7857142857143,5.1875,3.3571428571429,5.625,2.75,3.625
50105,You are quite smart and attentive.,-2.5620710168566,-4.675925,-9.76126,4.2666666666667,6.0625,7.0,7.0,5.7894736842105,3.6428571428571,5.25,1.5,1.8,6.4
50106,The movie was a romantic comedy.,-1.711678649698,-4.0204697,-8.2283214285714,3.0714285714286,6.0588235294118,6.9444444444444,6.8888888888889,6.6470588235294,4.9375,3.8125,3.6923076923077,2.1666666666667,4.8125
50107,There was nothing but political commentary.,-2.0973530071122,-5.326545,-10.3410842857143,1.6,4.7857142857143,7.0,7.0,5.2857142857143,3.5333333333333,3.1428571428571,1.7857142857143,1.5,1.5
50108,Light is made up of photons.,-2.2301138096622,-3.2502007,-9.0800671428571,2.1666666666667,2.9230769230769,7.0,6.8666666666667,4.8666666666667,3.8947368421053,1.9333333333333,2.7692307692308,1.5882352941176,3.7142857142857
50109,You're one of our top students.,-2.2433491293341,-3.8148541,-8.44169525,4.3125,5.7142857142857,7.0,7.0,5.7333333333333,3.8,5.0588235294118,1.7647058823529,2.4285714285714,6.0
50110,Please allow me to deliver it.,-1.9405752463,-4.4280953,-9.7461928571429,2.5555555555556,5.2666666666667,6.9411764705882,6.8823529411765,5.3846153846154,3.0666666666667,4.2857142857143,3.4375,1.7894736842105,3.9411764705882
50111,"The judge spoke, breaking the silence.",-2.6071936658451,-4.105381,-10.61776625,4.1428571428571,3.6428571428571,6.8888888888889,6.7222222222222,5.0714285714286,5.0,4.75,2.8666666666667,3.2857142857143,2.9333333333333
50112,She let out a choked laugh.,-3.0926852737154,-3.745814,-11.8466542857143,2.9285714285714,3.0,6.5333333333333,6.6,4.7777777777778,5.6153846153846,5.7222222222222,2.4285714285714,1.5333333333333,4.0
50113,The seemingly impossible can be attained.,-2.2939047387668,-4.5935388,-11.2180785714286,4.8125,3.5714285714286,6.6,6.5,4.8666666666667,2.7333333333333,3.1764705882353,1.3529411764706,1.5,5.5882352941176
50114,He stopped at the bedroom door.,-1.8838466320719,-4.1336465,-9.6541528571429,3.2222222222222,5.5625,7.0,7.0,6.125,5.6666666666667,3.875,5.5625,4.4285714285714,2.7058823529412
50115,She was inside a magnificent castle.,-2.7634204540934,-5.2508173,-10.8713085714286,5.0,3.4375,7.0,7.0,3.8823529411765,6.4285714285714,4.7142857142857,5.5333333333333,5.6428571428571,6.2307692307692
50116,"Besides, it would be terribly unsafe.",-2.896268597671,-4.221952,-8.23904375,4.2352941176471,5.1428571428571,6.8,6.7333333333333,5.2666666666667,2.4615384615385,4.3529411764706,1.6,1.9333333333333,1.3333333333333
50117,Her wrist supported many gold bangles.,-3.323355776923,-6.5894213,-12.61528,2.9285714285714,3.3076923076923,6.4117647058824,6.5882352941176,3.8571428571429,5.8125,3.0714285714286,6.75,1.6666666666667,4.3125
50118,I feel the same way sometimes.,-1.8214957330908,-3.372535,-9.6395128571429,2.6923076923077,6.7222222222222,7.0,6.8823529411765,6.7647058823529,2.3076923076923,5.1875,1.2142857142857,1.0625,4.0
50119,People need to respect the law.,-1.888054890292,-3.7600586,-8.91803,2.6666666666667,5.3529411764706,7.0,7.0,6.4285714285714,2.7692307692308,4.3333333333333,1.6666666666667,1.0625,2.8571428571429
50120,The hairs on my skin rose.,-2.7607260133539,-4.6609235,-11.4630328571429,4.6428571428571,5.1538461538462,6.9166666666667,6.75,5.0,6.3333333333333,6.0,4.8823529411765,1.9333333333333,2.0555555555556
50121,A large band played folk tunes.,-2.5760711261204,-5.7007666,-11.7092928571429,4.1764705882353,4.2,6.9411764705882,6.9411764705882,5.6875,5.9375,4.6428571428571,4.3333333333333,2.7777777777778,4.2222222222222
50122,Your leg muscles will also ache.,-3.457685981478,-4.6077886,-12.78606,3.5333333333333,5.4117647058824,6.9375,6.875,5.5714285714286,3.9230769230769,4.5333333333333,3.9333333333333,1.3125,1.4285714285714
50123,"After that, no others remained intact.",-2.3486236206123,-5.3531094,-8.66051125,3.8461538461538,3.6111111111111,6.7058823529412,6.6470588235294,3.1764705882353,2.9230769230769,2.625,1.7857142857143,1.625,1.7368421052632
50124,Many soldiers served in his army.,-2.1116709581443,-4.9290447,-9.9979285714286,2.8666666666667,4.1176470588235,6.75,6.8125,4.8571428571429,5.0769230769231,3.8666666666667,3.3333333333333,2.375,3.0
50125,It seemed to calm his anxiety.,-2.4246543986457,-4.6030445,-8.9870042857143,2.75,5.3076923076923,6.9333333333333,7.0,6.1333333333333,4.0526315789474,6.2,1.6153846153846,1.5882352941176,5.0714285714286
50126,I need it to impress her.,-2.1003272874015,-4.31933,-9.1476457142857,3.7142857142857,6.75,6.9411764705882,6.9411764705882,5.8823529411765,3.5714285714286,5.2142857142857,2.4,1.2142857142857,2.9230769230769
50127,My assistant is bringing them out.,-2.7497511506081,-5.0568953,-10.2825685714286,2.3571428571429,6.1176470588235,6.9444444444444,6.8888888888889,5.4705882352941,4.0,3.375,3.9230769230769,1.6666666666667,3.6875
