,item,item_index,count,responses,rt,age,trial_type,rating
19100,American ion,19100,11,[-3 -3 -3 -3 -2 -1 -3 -3 -3 -3 -3],4162.181818181818,30.90909090909091,crit,-2.727272727272727
16196,American oxide,16196,14,[-3 -2 -3 -3 -3  2 -1 -1  0 -3 -3 -3  0 -3],3563.4285714285716,41.642857142857146,crit,-1.8571428571428572
1146,American protein,1146,12,[ 3  1  3  1 -2 -1  0  2 -3 -3 -3 -3],6677.333333333333,31.666666666666668,crit,-0.4166666666666667
15432,American reef,15432,9,[ 2  1  1 -2  1  3  3  2  1],4843.444444444444,30.666666666666668,crit,1.3333333333333333
16000,American ref,16000,11,[ 1  3  0  3  2  1 -3  3  3  3 -1],7387.363636363636,32.45454545454545,crit,1.3636363636363635
7713,American sleep,7713,11,[-3  1  1 -2 -2  2  0  0 -3 -2  3],5421.090909090909,28.727272727272727,crit,-0.45454545454545453
18152,American throat,18152,10,[ 3 -3  1 -3 -3  1 -2 -3 -3  0],4015.3,37.0,crit,-1.2
3177,American tiger,3177,11,[ 2  3  2 -2  0  2  3  3  3  3  3],2711.0,31.545454545454547,crit,2.0
17490,American wording,17490,10,[-2 -1  1  2  3  3  3  1  3  0],4314.6,31.7,crit,1.3
17447,Arab ace,17447,9,[ 0 -3  0 -2  1 -3 -3 -1  0],5236.444444444444,30.0,crit,-1.2222222222222223
3291,Arab ascent,3291,9,[-3  3 -3  0 -1  0  1 -2 -2],5205.777777777777,32.55555555555556,crit,-0.7777777777777778
19582,Arab banner,19582,11,[ 3  1  3 -3 -3  1 -3  2  3  0  1],3140.5454545454545,32.27272727272727,crit,0.45454545454545453
16289,Arab beauty,16289,19,[ 3  3  2  3 -1  2  3  3  3  3 -3  1  3  2  3  3  3  3  3],4507.631578947368,29.105263157894736,crit,2.210526315789474
1104,Arab beer,1104,11,[2 3 0 3 3 1 3 3 3 1 0],8375.363636363636,30.363636363636363,crit,2.0
6114,Arab century,6114,8,[ 1  0 -3  1 -2 -3  1  0],5907.5,35.25,crit,-0.625
7502,Arab clarification,7502,15,[-1  0  0  0  0  1 -3 -2  3  1 -2  0 -3  0 -1],3871.4,27.8,crit,-0.4666666666666667
14283,Arab compliance,14283,9,[ 2  2 -1 -1 -2  1 -2  3  1],4162.666666666667,30.444444444444443,crit,0.3333333333333333
18768,Arab councillor,18768,11,[-3  2  2  3  0  3  3  1  3  3  2],5891.636363636364,36.72727272727273,crit,1.7272727272727273
8496,Arab cream,8496,9,[-2  0 -3  3  2 -1  0 -3 -1],3028.6666666666665,34.888888888888886,crit,-0.5555555555555556
4273,Arab danger,4273,13,[ 3  3  3 -1  1  2 -2 -3 -3 -1  2  1 -3],4299.846153846154,48.69230769230769,crit,0.15384615384615385
16205,Arab deficiency,16205,13,[-2 -3  2 -3  0 -1 -3  2  3  3  2 -2  1],4973.461538461538,38.0,crit,-0.07692307692307693
14050,Arab dissolution,14050,9,[-2  0  1 -3  0 -3 -3 -1  1],7892.111111111111,32.55555555555556,crit,-1.1111111111111112
12552,Arab gem,12552,12,[ 2  3  3  1 -3  3 -2  1 -3  1  3  1],3738.1666666666665,41.25,crit,0.8333333333333334
9266,Arab hierarchy,9266,9,[1 2 2 3 3 3 3 2 3],3189.8888888888887,31.555555555555557,crit,2.4444444444444446
12643,Arab induction,12643,9,[-3  1 -3  2 -3  3 -2 -3 -1],2934.3333333333335,38.888888888888886,crit,-1.0
7685,Arab jazz,7685,11,[ 1  1  1 -2  0  2 -2 -3  3  3 -1],3498.2727272727275,31.454545454545453,crit,0.2727272727272727
2058,Arab leisure,2058,42,"[-2 -2 -2 -3 -3  3  0 -3 -3 -3 -1 -3 -2 -2  0 -3 -2 -3 -3 -3 -1 -3 -2  0
  0 -1 -1 -3  1 -3 -3 -3 -2 -1  0 -1  1 -3 -2  2  0 -3]",6219.642857142857,38.73809523809524,crit,-1.619047619047619
10775,Arab lifetime,10775,12,[ 3 -2  0  0  3  2  3  3  3 -3  3  2],3265.0,33.583333333333336,crit,1.4166666666666667
9850,Arab monitoring,9850,11,[ 0 -2 -3  0  1  0  3 -3 -2 -3 -1],5654.818181818182,29.727272727272727,crit,-0.9090909090909091
1964,Arab motorway,1964,42,"[ 3 -2 -3  3 -3 -2 -3  3  3 -3  3  1  0 -3  0  1 -3 -3  2  3  1  3  3  1
 -1  3  3 -3  3  1 -3 -3 -1 -3  2 -1 -2  2  1 -3  1 -3]",3950.285714285714,37.166666666666664,crit,-0.047619047619047616
19867,Arab planner,19867,9,[ 0 -1  2 -2 -3  2  2 -1  3],2983.0,39.0,crit,0.2222222222222222
18371,Arab procession,18371,10,[ 0  1 -1 -3 -3  1  2  3  3  3],5139.1,32.5,crit,0.6
10026,Arab reunion,10026,13,[ 1  2  1  1  1  3  2  2  3  1  2  3 -3],3831.6153846153848,37.07692307692308,crit,1.4615384615384615
8938,Arab row,8938,10,[-3 -3 -3 -3  1 -3 -3 -2  1 -3],3110.2,34.9,crit,-2.1
8869,Arab sanctuary,8869,11,[-3  2  2  2  2  0  3 -3  3  0  1],3461.2727272727275,37.72727272727273,crit,0.8181818181818182
2659,Arab sink,2659,12,[-3 -1 -3  1  1  3  2 -1 -1  2 -3  1],4895.083333333333,32.083333333333336,crit,-0.16666666666666666
16847,Arab spreadsheet,16847,11,[-3 -2  0 -3  3 -1  0 -2 -3  2 -1],3676.6363636363635,40.09090909090909,crit,-0.9090909090909091
16657,Arab theology,16657,11,[ 2  3 -3  3  2  2  3 -3  3  3  2],4051.7272727272725,38.72727272727273,crit,1.5454545454545454
3308,Arab thread,3308,11,[-3  3  0 -3  3  0  2 -3 -1 -2 -3],2717.3636363636365,36.09090909090909,crit,-0.6363636363636364
880,Arab towel,880,11,[-3  0  0  3  1  3  1  3  3  2  1],4431.0,30.181818181818183,crit,1.2727272727272727
12565,Arab vampire,12565,14,[-3  2  3  1  1  2  2  2  0  2  1  2 -3 -3],4359.571428571428,40.07142857142857,crit,0.6428571428571429
8409,Arab variable,8409,11,[-2 -3 -2 -1 -3 -1  1 -2 -2  1 -2],5183.181818181818,29.181818181818183,crit,-1.4545454545454546
14325,Arab variation,14325,11,[ 1  3  2 -3 -2  2  0 -3  0 -1 -3],4027.181818181818,32.18181818181818,crit,-0.36363636363636365
16606,Arab vocalist,16606,9,[-3  3  3  3  2  2  3 -3  2],2831.4444444444443,33.333333333333336,crit,1.3333333333333333
16189,Arab voltage,16189,11,[-3 -1 -2 -1 -3 -3 -3  0 -3 -2 -3],3720.0,39.72727272727273,crit,-2.1818181818181817
14079,Asian assistance,14079,12,[ 3  1  3  0  2  1  1  1  2 -2  3  0],4270.166666666667,38.416666666666664,crit,1.25
3211,Asian batch,3211,11,[-2 -3  3  2  2  1 -3  3 -1  0  3],5843.727272727273,37.90909090909091,crit,0.45454545454545453
4496,Asian bowel,4496,10,[ 3 -3  0 -2  0 -2  1  1  1 -2],3700.8,29.5,crit,-0.3
11884,Asian chip,11884,8,[-2  1  3 -3  2  3  3  0],7097.375,38.75,crit,0.875
16971,Asian cloth,16971,9,[-1  2  2 -3  3 -3  3  3  3],6916.0,32.333333333333336,crit,1.0
1384,Asian consequence,1384,12,[-3 -3 -3 -3  1 -3 -1 -3 -3  1 -3 -3],5068.833333333333,35.75,crit,-2.1666666666666665
17073,Asian cottage,17073,9,[-3  2  2  2  2  3  3  1  0],3551.4444444444443,35.22222222222222,crit,1.3333333333333333
5514,Asian dentist,5514,10,[3 3 2 3 1 3 1 3 2 3],4545.3,39.5,crit,2.4
4562,Asian dissertation,4562,9,[-1  0 -2 -2  3  3  0 -3 -3],7155.333333333333,31.22222222222222,crit,-0.5555555555555556
15013,Asian ease,15013,10,[-3 -3 -2 -3  1 -3  0 -3 -3 -3],4349.4,33.8,crit,-2.2
12979,Asian editorial,12979,11,[ 3 -1  1 -3  2 -1 -1  0  2  2  1],13449.454545454546,32.4,crit,0.45454545454545453
6787,Asian founding,6787,9,[ 1  1  3 -3  2 -3 -1  2 -2],4404.444444444444,34.888888888888886,crit,0.0
17933,Asian fraction,17933,9,[ 2 -1  0 -3 -2 -3 -3  3  0],3681.3333333333335,32.55555555555556,crit,-0.7777777777777778
16334,Asian illusion,16334,9,[-3 -3 -2  2  2  1  0  2 -3],3657.777777777778,29.77777777777778,crit,-0.4444444444444444
6339,Asian income,6339,11,[ 3 -3  1 -3  3 -3  3  2  0  3  1],3579.090909090909,33.54545454545455,crit,0.6363636363636364
4578,Asian lifetime,4578,13,[ 3  0 -1  0 -3  1  3  0 -3 -3  2  2 -3],2548.769230769231,25.923076923076923,crit,-0.15384615384615385
17478,Asian liquid,17478,9,[-3  3 -1 -3 -2 -2  1 -2 -2],5040.444444444444,41.22222222222222,crit,-1.2222222222222223
1788,Asian manga,1788,16,[3 1 2 3 3 2 3 3 3 3 3 3 3 3 3 3],3439.0625,27.875,crit,2.75
10830,Asian militia,10830,13,[ 2  3  3  3  3  1 -2 -2  3  3  3 -2  3],3174.076923076923,34.53846153846154,crit,1.6153846153846154
5961,Asian north,5961,11,[ 0 -3  3 -3 -3  0  0 -1  3  2  0],5600.090909090909,32.0,crit,-0.18181818181818182
8468,Asian obstacle,8468,9,[-1 -2 -2  3  2  0 -1 -3 -3],5032.333333333333,35.0,crit,-0.7777777777777778
5730,Asian oven,5730,8,[-3  2  3 -3  3 -3  2  1],3561.5,27.0,crit,0.25
19711,Asian relaxation,19711,8,[ 0 -3  0  2  2 -3  1  0],3930.125,29.625,crit,-0.125
11787,Asian sleeve,11787,14,[-3 -3 -1 -2  3 -3 -2 -3 -1  1  0 -3 -3  2],4750.857142857143,36.714285714285715,crit,-1.2857142857142858
3468,Asian tower,3468,10,[ 2  3 -2 -1  3  3  3 -3  3  3],3344.1,33.0,crit,1.4
14864,Asian void,14864,10,[-3  0 -1 -3  2 -3  1 -3  1 -3],3305.5,31.1,crit,-1.2
18036,Asian wagon,18036,9,[ 1  2 -1  2 -3 -3 -3  2  0],5293.111111111111,36.22222222222222,crit,-0.3333333333333333
10888,Asian worship,10888,9,[-2  0  0  0  3  3 -3  2  3],7976.666666666667,28.88888888888889,crit,0.6666666666666666
17927,Australian Viking,17927,13,[-3  2  1 -3 -3  3 -3  0 -2 -3 -3  2 -2],4348.846153846154,40.15384615384615,crit,-1.0769230769230769
10554,Australian burning,10554,10,[-2 -3 -3  1 -3 -1 -2  0  1 -1],4492.8,31.5,crit,-1.3
6646,Australian continuity,6646,11,[ 0  1 -3  3  3  0 -3 -2 -1  1  3],4507.909090909091,39.27272727272727,crit,0.18181818181818182
17469,Australian discrimination,17469,9,[ 1  1  1  3 -3  3  3  2  2],3452.777777777778,34.22222222222222,crit,1.4444444444444444
3356,Australian fate,3356,9,[-3  1 -1  1  0  0  1 -2  0],4040.5555555555557,31.88888888888889,crit,-0.3333333333333333
19386,Australian ice,19386,13,[-1 -3  0 -3  3  2  0  2  3  0  3  3  2],5674.153846153846,40.69230769230769,crit,0.8461538461538461
6045,Australian inheritance,6045,13,[-1 -3  0 -3  3 -3  1 -1  1  1  2 -2  0],5203.153846153846,35.84615384615385,crit,-0.38461538461538464
3955,Australian key,3955,9,[ 2  0  3  3  1  1  1 -2 -1],3842.777777777778,27.22222222222222,crit,0.8888888888888888
10070,Australian nail,10070,9,[ 3  0  0  1  0  3 -3 -2  1],5890.444444444444,34.333333333333336,crit,0.3333333333333333
16566,Australian onset,16566,15,[ 0  1 -1 -2 -3 -3 -2 -3 -3 -3 -3 -3 -1 -2  3],6046.4,30.4,crit,-1.6666666666666667
6162,Australian precision,6162,13,[-3 -1  1  1  0 -2 -2 -3 -1  2  0  3  0],3807.6153846153848,39.84615384615385,crit,-0.38461538461538464
17464,Australian procurement,17464,9,[ 1 -2  3  2  2  3  0  0  1],4320.666666666667,31.666666666666668,crit,1.1111111111111112
519,Australian protein,519,18,[-1 -2  1 -2 -1  1 -2 -2  1  2 -3  3 -3  1 -1  0 -3  3],3705.8333333333335,32.166666666666664,crit,-0.4444444444444444
19676,Australian repayment,19676,14,[ 3 -2 -3  0 -3 -1  3 -3 -3 -3  1  1 -3  2],5929.571428571428,36.0,crit,-0.7857142857142857
3933,Australian ribbon,3933,12,[ 1  3  1  1 -3  0  0  3  3 -1  3  2],4590.916666666667,27.833333333333332,crit,1.0833333333333333
17488,Australian rubber,17488,9,[ 2  3 -3  0  3  3 -2  1  2],2926.3333333333335,38.666666666666664,crit,1.0
1033,Australian sharing,1033,10,[ 2 -3 -2 -2 -3  1 -2 -1  2 -3],4339.2,30.5,crit,-1.1
18082,Australian speaking,18082,12,[ 3  3  0  3  3  3  2  1 -3 -1 -3  3],3817.9166666666665,36.083333333333336,crit,1.1666666666666667
19208,Australian tea,19208,8,[ 3 -2  3  3 -2  3  3  3],2982.625,32.5,crit,1.75
16712,Australian thumb,16712,9,[-3  1  1  2 -1 -3 -3 -2 -3],3654.777777777778,28.444444444444443,crit,-1.2222222222222223
3236,Australian towel,3236,9,[-3  1  1  0  0  3 -2  3 -2],3289.6666666666665,30.77777777777778,crit,0.1111111111111111
15520,Australian vacuum,15520,9,[ 2  3  2 -3  0 -3 -2 -2  3],4064.8888888888887,39.44444444444444,crit,0.0
4208,Australian waterfall,4208,10,[ 3  2  3  2 -3  3  3  3  1  3],3399.9,28.5,crit,2.0
15473,Australian wind,15473,8,[ 3  2  2  3 -1  2  2  3],3583.25,41.625,crit,2.0
1479,British DIY,1479,10,[-1 -2  0  3  3  1  1  1 -2 -1],4202.6,37.2,crit,0.3
14123,British coursework,14123,11,[ 3  1  2  3 -1  2  3  2  3  2  3],8707.272727272728,30.272727272727273,crit,2.090909090909091
13768,British dust,13768,10,[-3 -2  3  2  1  3  3 -2  2  1],3072.7,34.7,crit,0.8
19084,British extinction,19084,11,[ 0  2 -1  3  1  3  2 -2 -2 -3  2],3946.2727272727275,29.818181818181817,crit,0.45454545454545453
12824,British harvest,12824,8,[3 2 2 2 3 3 0 3],3483.25,34.0,crit,2.25
3331,British heading,3331,11,[-3  3  1 -2  0 -2  1  1 -1  0 -1],3177.0,37.09090909090909,crit,-0.2727272727272727
2416,British passing,2416,8,[-2  3  1 -3 -3  0 -3  0],3671.125,33.125,crit,-0.875
1447,British premium,1447,12,[ 1 -3  1 -3 -2 -2 -2  0  0 -2 -1  3],3888.0833333333335,30.75,crit,-0.8333333333333334
393,British url,393,9,[ 2  2 -3 -3  3 -3  3  3 -3],5825.0,37.22222222222222,crit,0.1111111111111111
784,British wrist,784,13,[-2 -2  1 -2 -3 -1 -1  1  1 -1 -2 -1 -3],4175.0,35.84615384615385,crit,-1.1538461538461537
19572,Canadian acronym,19572,10,[ 2  3 -2  3  1 -3  3 -2  1  2],5959.8,27.6,crit,0.8
10827,Canadian appliance,10827,15,[ 0  3  1  3  2  3  3  3  3  3  3  3 -3  2  3],5905.466666666666,37.13333333333333,crit,2.1333333333333333
589,Canadian cluster,589,12,[ 2  1  3  1  1  3  3  0  1 -2 -2 -2],3871.9166666666665,31.666666666666668,crit,0.75
9632,Canadian creativity,9632,11,[ 1  1  3  1  1  0  3 -2  3  0  3],3558.3636363636365,30.272727272727273,crit,1.2727272727272727
10214,Canadian deficiency,10214,13,[ 2  2 -1 -3 -3  0  1 -2  0  3 -2 -3  2],4345.076923076923,31.0,crit,-0.3076923076923077
12128,Canadian dismissal,12128,13,[-3 -2  1  1 -2 -2  1  3 -3  1  3  0 -3],5093.076923076923,35.46153846153846,crit,-0.38461538461538464
15025,Canadian dock,15025,10,[ 3  3  3  0  1  2  3  2  1 -1],7643.8,27.8,crit,1.7
18228,Canadian feast,18228,10,[ 2  3  2  3 -3  3  2  2  3  3],4654.5,36.2,crit,2.0
14019,Canadian lion,14019,9,[ 3  3  3 -2  2 -3  3 -3  2],4655.0,28.0,crit,0.8888888888888888
12690,Canadian node,12690,11,[ 0 -2  1  1  0 -1 -2  3  0  0  1],6446.909090909091,32.72727272727273,crit,0.09090909090909091
11768,Canadian notebook,11768,12,[ 3  1  1  1  3  1  3  3  1 -2  0  2],3445.0833333333335,31.916666666666668,crit,1.4166666666666667
1510,Canadian nutrient,1510,11,[ 1  2  0 -2  2  0 -1 -2 -2 -1  3],7377.818181818182,31.454545454545453,crit,0.0
17847,Canadian passing,17847,9,[-2 -1 -3  3 -1  0  2  3  2],7063.111111111111,34.55555555555556,crit,0.3333333333333333
17141,Canadian reconciliation,17141,10,[ 2  1  1  1 -3  1  0  1 -2 -3],5605.4,31.7,crit,-0.1
12762,Canadian remedy,12762,9,[-2 -2  3  3  3  1 -3  0  0],4380.111111111111,32.77777777777778,crit,0.3333333333333333
7725,Canadian rod,7725,9,[-2 -3  2  0 -2  3  0  2  1],4966.444444444444,31.444444444444443,crit,0.1111111111111111
17818,Canadian screw,17818,8,[ 1  3 -1 -1  2  3 -1 -2],6825.875,30.0,crit,0.5
15830,Canadian sufferer,15830,10,[-2  3  1 -2  2  3 -3  3 -1 -3],3799.0,35.9,crit,0.1
12145,Canadian summary,12145,14,[-3 -3 -2  1 -2  2 -2  0  1  2 -2  3 -2  3],3213.0714285714284,35.857142857142854,crit,-0.2857142857142857
19438,Canadian taxi,19438,12,[ 2  3  3  3  2  3  3  3  3  1 -3  3],3254.0833333333335,34.666666666666664,crit,2.1666666666666665
2334,Canadian text-decoration,2334,9,[-3 -1 -2 -3  0 -2 -3  1 -1],9404.0,33.22222222222222,crit,-1.5555555555555556
7757,Canadian tobacco,7757,12,[3 0 3 3 3 2 3 3 3 3 3 3],3941.3333333333335,29.333333333333332,crit,2.6666666666666665
5640,Canadian trouble,5640,11,[-3  3 -1  1  3  3  2  0  1 -3 -3],4446.181818181818,35.45454545454545,crit,0.2727272727272727
7291,Canadian turn,7291,13,[-3  0 -3 -3 -2 -1 -3  1 -2 -1 -2 -2 -3],4544.923076923077,30.923076923076923,crit,-1.8461538461538463
4803,Canadian warrant,4803,12,[-2  3  1  0  2  0  2  1  2 -2  3  3],6395.833333333333,29.75,crit,1.0833333333333333
10365,Canadian whale,10365,12,[-2  1  3  3 -2  3  3  2  3  3  2 -2],12852.5,35.416666666666664,crit,1.4166666666666667
6160,Canadian worship,6160,10,[-3  3  2  2  1  2 -3 -3  3  2],4144.9,27.3,crit,0.6
12725,Catholic angel,12725,9,[ 0  3  2  0  2  3  1  3 -2],8549.111111111111,30.22222222222222,crit,1.3333333333333333
13951,Catholic anyone,13951,11,[-1 -3  2 -1 -3  1  3 -3  0 -3  2],4189.636363636364,30.09090909090909,crit,-0.5454545454545454
4985,Catholic arm,4985,8,[-3 -2 -3  1 -3 -2  0  0],3668.0,36.875,crit,-1.5
4304,Catholic bean,4304,13,[-3 -3 -3  2 -3  0 -1 -1 -3 -3 -3 -3 -3],3685.076923076923,38.15384615384615,crit,-2.076923076923077
17272,Catholic blow,17272,9,[-3 -2 -3 -3 -1 -2  2 -3  2],5012.222222222223,35.77777777777778,crit,-1.4444444444444444
2990,Catholic brigade,2990,11,[ 0 -3  2  3  1  2 -2  0  3 -1 -3],5807.636363636364,32.4,crit,0.18181818181818182
3680,Catholic classic,3680,9,[ 2  0  2 -1  3 -1 -3 -2 -3],3961.8888888888887,32.22222222222222,crit,-0.3333333333333333
275,Catholic dancing,275,10,[ 3 -1 -1  2 -2  0 -3 -3  2 -2],3493.3,31.5,crit,-0.5
7254,Catholic emails,7254,10,[ 2  3 -1 -3  0 -1  3  2 -3 -2],3622.5,39.8,crit,0.0
3453,Catholic emotion,3453,16,[-2  2  1  1 -2 -3  3 -3  3  2 -1  0 -1  1  1 -3],2949.3125,27.0,crit,-0.0625
11806,Catholic excellence,11806,8,[-2  2 -2  3  3  3  2 -3],3591.625,30.875,crit,0.75
12055,Catholic exploration,12055,10,[ 3 -2 -3 -3  2  2  3  1  1 -3],3609.4,40.1,crit,0.1
17458,Catholic finale,17458,9,[-3 -3 -3  2  0  3 -3  0 -1],4176.888888888889,37.44444444444444,crit,-0.8888888888888888
9415,Catholic fridge,9415,9,[-3 -2 -3 -3 -3 -2 -3 -3 -3],2701.1111111111113,35.333333333333336,crit,-2.7777777777777777
9407,Catholic gun,9407,11,[-2 -3 -1 -3 -3  1 -3 -3 -1 -3 -3],4286.727272727273,34.90909090909091,crit,-2.1818181818181817
1527,Catholic illustration,1527,10,[-3  0  2  2  2  3  3  3  2  3],2879.0,31.8,crit,1.7
2434,Catholic injustice,2434,8,[-2  3  1  0  2  2  2  1],3578.125,32.5,crit,1.125
5226,Catholic knife,5226,9,[-3 -3 -3 -2 -1  3  3 -3 -1],3238.8888888888887,30.22222222222222,crit,-1.1111111111111112
17457,Catholic leg,17457,9,[-1 -3 -3 -1 -3 -1 -3 -1 -2],3219.777777777778,32.333333333333336,crit,-2.0
10370,Catholic liver,10370,8,[-3  0 -3  2 -3  3 -3  3],3470.0,39.0,crit,-0.5
18524,Catholic making,18524,12,[ 1 -2 -3 -3 -2 -1  1 -3  0 -3 -3  0],4612.666666666667,33.083333333333336,crit,-1.5
9451,Catholic misuse,9451,9,[ 2  3 -3  0  1 -2  1 -1  0],4322.888888888889,36.77777777777778,crit,0.1111111111111111
9646,Catholic repair,9646,13,[ 0 -3 -1 -1 -3 -3 -1  1 -3 -2 -2 -3 -1],5295.7692307692305,34.0,crit,-1.6923076923076923
8420,Catholic revenue,8420,11,[ 0  0  1 -3  2  2  3  1  3  0 -2],6329.181818181818,38.18181818181818,crit,0.6363636363636364
1739,Catholic routine,1739,9,[3 3 3 2 0 3 3 2 3],3757.1111111111113,39.22222222222222,crit,2.4444444444444446
1723,Catholic runner,1723,11,[ 3  1 -2 -2  0  3  3  2 -1  3 -1],4170.909090909091,39.0,crit,0.8181818181818182
6110,Catholic skill,6110,15,[ 2  0 -3 -3 -1 -2  1 -2  1 -3  2  0 -2  0  0],4048.866666666667,34.2,crit,-0.6666666666666666
1092,Catholic tape,1092,10,[-2 -2  0 -3  3 -3  0 -1  3  1],3421.6,32.0,crit,-0.4
6641,Catholic toilet,6641,17,[-1 -3  0  3 -3 -3 -3 -2  1 -3 -1  2 -1 -1 -3 -2  2],4804.470588235294,30.235294117647058,crit,-1.0588235294117647
13970,Catholic trout,13970,11,[-3 -3 -3 -1 -1 -2 -3 -3 -3 -3 -3],5546.090909090909,29.363636363636363,crit,-2.5454545454545454
5023,Catholic truck,5023,12,[-3 -3 -1 -3 -1  0 -3  2 -1 -2 -3 -3],6782.333333333333,26.5,crit,-1.75
9849,Catholic well-being,9849,11,[ 0  1 -3 -2  2 -2 -2  3  2  2  3],3159.5454545454545,31.272727272727273,crit,0.36363636363636365
5311,Chinese absorption,5311,12,[-2  3  0  2 -3  2 -3 -2 -3 -2 -2 -1],6097.333333333333,32.5,crit,-0.9166666666666666
12976,Chinese accessibility,12976,9,[ 1  3  3  1  3 -3 -3  1 -1],4913.444444444444,34.22222222222222,crit,0.5555555555555556
17486,Chinese alteration,17486,8,[-3 -3 -2  0  0 -1  2  1],6911.875,32.125,crit,-0.75
14,Chinese broadband,14,9,[-3  3  2  1 -3  3  1  3  3],4449.111111111111,38.666666666666664,crit,1.1111111111111112
3159,Chinese darkness,3159,9,[-1 -1  1 -3 -3 -2  0  1 -3],4301.111111111111,43.111111111111114,crit,-1.2222222222222223
6652,Chinese dissertation,6652,12,[ 3 -2  1  0 -2  0 -3  2  3  0 -1  3],5039.5,32.25,crit,0.3333333333333333
19411,Chinese eligibility,19411,12,[-3  3  3  3  1 -3  1 -2  3  2  3 -2],3939.25,42.083333333333336,crit,0.75
263,Chinese emergence,263,9,[ 3  3  2  0 -3  2  2  2  2],4806.777777777777,34.111111111111114,crit,1.4444444444444444
17420,Chinese herd,17420,8,[-3 -3 -3 -3  1  2  3  3],4504.75,36.0,crit,-0.375
9374,Chinese maximum,9374,12,[-3 -1 -3  3  0 -3  3 -3 -1 -3 -1 -3],7350.916666666667,38.166666666666664,crit,-1.25
17460,Chinese outreach,17460,11,[ 0  3 -1  2 -3  1 -1  3  1 -1 -3],5606.636363636364,31.272727272727273,crit,0.09090909090909091
