,sentence,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
201,It has a light tangy flavor.,19,-227.0,-4736.0,-4960.0
202,It has a light tangy flavor.,20,213.0,-4960.0,-4736.0
203,It has a light tangy flavor.,21,988.0,-5376.0,-4384.0
204,It has a light tangy flavor.,22,876.0,-7616.0,-6752.0
205,It has a light tangy flavor.,23,1952.0,-8704.0,-6752.0
206,It has a light tangy flavor.,24,928.0,-11392.0,-10432.0
207,It has a light tangy flavor.,25,-944.0,-4832.0,-5792.0
208,We love rich tourists on vacation.,0,-3.390625,3.4375,0.09716796875
209,We love rich tourists on vacation.,1,-6.125,-22.625,-28.75
210,We love rich tourists on vacation.,2,-1.4921875,-11.5,-13.0
211,We love rich tourists on vacation.,3,26.25,0.5390625,26.625
212,We love rich tourists on vacation.,4,-4.75,-35.5,-40.5
213,We love rich tourists on vacation.,5,66.0,82.5,148.0
214,We love rich tourists on vacation.,6,-13.625,-91.5,-105.0
215,We love rich tourists on vacation.,7,-15.8125,-480.0,-494.0
216,We love rich tourists on vacation.,8,-37.5,-462.0,-498.0
217,We love rich tourists on vacation.,9,40.5,-282.0,-244.0
218,We love rich tourists on vacation.,10,164.0,-756.0,-592.0
219,We love rich tourists on vacation.,11,390.0,-1168.0,-772.0
220,We love rich tourists on vacation.,12,195.0,-1020.0,-820.0
221,We love rich tourists on vacation.,13,402.0,-1464.0,-1064.0
222,We love rich tourists on vacation.,14,720.0,-1920.0,-1200.0
223,We love rich tourists on vacation.,15,227.0,-3344.0,-3120.0
224,We love rich tourists on vacation.,16,692.0,-3696.0,-3008.0
225,We love rich tourists on vacation.,17,86.0,-3456.0,-3376.0
226,We love rich tourists on vacation.,18,568.0,-5440.0,-4896.0
227,We love rich tourists on vacation.,19,57.75,-4672.0,-4608.0
228,We love rich tourists on vacation.,20,476.0,-4672.0,-4192.0
229,We love rich tourists on vacation.,21,1376.0,-5184.0,-3824.0
230,We love rich tourists on vacation.,22,1136.0,-7296.0,-6112.0
231,We love rich tourists on vacation.,23,2176.0,-8032.0,-5856.0
232,We love rich tourists on vacation.,24,1336.0,-8960.0,-7616.0
233,We love rich tourists on vacation.,25,-860.0,-2864.0,-3744.0
234,Across the street was a pub.,0,-2.6875,-7.3125,-10.0
235,Across the street was a pub.,1,-4.75,-30.125,-35.0
236,Across the street was a pub.,2,0.197265625,-15.875,-15.625
237,Across the street was a pub.,3,14.625,-23.375,-8.875
238,Across the street was a pub.,4,-13.625,-60.0,-73.5
239,Across the street was a pub.,5,72.5,60.5,133.0
240,Across the street was a pub.,6,-27.5,-191.0,-219.0
241,Across the street was a pub.,7,-39.25,-616.0,-656.0
242,Across the street was a pub.,8,-57.0,-720.0,-776.0
243,Across the street was a pub.,9,30.875,-460.0,-428.0
244,Across the street was a pub.,10,145.0,-1096.0,-956.0
245,Across the street was a pub.,11,394.0,-1584.0,-1184.0
246,Across the street was a pub.,12,81.5,-1400.0,-1312.0
247,Across the street was a pub.,13,384.0,-2176.0,-1800.0
248,Across the street was a pub.,14,664.0,-2288.0,-1632.0
249,Across the street was a pub.,15,336.0,-3968.0,-3632.0
250,Across the street was a pub.,16,784.0,-4016.0,-3232.0
251,Across the street was a pub.,17,59.0,-3872.0,-3824.0
252,Across the street was a pub.,18,600.0,-5664.0,-5088.0
253,Across the street was a pub.,19,41.25,-4832.0,-4800.0
254,Across the street was a pub.,20,332.0,-4800.0,-4480.0
255,Across the street was a pub.,21,1304.0,-5184.0,-3872.0
256,Across the street was a pub.,22,1376.0,-6720.0,-5344.0
257,Across the street was a pub.,23,2528.0,-7296.0,-4768.0
258,Across the street was a pub.,24,2008.0,-8064.0,-6080.0
259,Across the street was a pub.,25,149.0,-2560.0,-2416.0
260,Would she put him in jail?,0,-2.09375,4.65625,2.546875
261,Would she put him in jail?,1,-5.40625,-19.625,-25.0
262,Would she put him in jail?,2,-0.88671875,-7.59375,-8.4375
263,Would she put him in jail?,3,14.375,-18.625,-4.46875
264,Would she put him in jail?,4,-15.625,-58.5,-74.0
265,Would she put him in jail?,5,34.0,7.8125,42.25
266,Would she put him in jail?,6,-51.25,-137.0,-188.0
267,Would she put him in jail?,7,-36.25,-468.0,-504.0
268,Would she put him in jail?,8,-37.25,-572.0,-608.0
269,Would she put him in jail?,9,37.75,-314.0,-278.0
270,Would she put him in jail?,10,173.0,-860.0,-688.0
271,Would she put him in jail?,11,440.0,-1488.0,-1048.0
272,Would she put him in jail?,12,199.0,-1184.0,-980.0
273,Would she put him in jail?,13,520.0,-1648.0,-1136.0
274,Would she put him in jail?,14,736.0,-1856.0,-1120.0
275,Would she put him in jail?,15,380.0,-3360.0,-2976.0
276,Would she put him in jail?,16,652.0,-3632.0,-2992.0
277,Would she put him in jail?,17,300.0,-3744.0,-3456.0
278,Would she put him in jail?,18,696.0,-5216.0,-4544.0
279,Would she put him in jail?,19,446.0,-4928.0,-4480.0
280,Would she put him in jail?,20,892.0,-4800.0,-3920.0
281,Would she put him in jail?,21,1936.0,-5376.0,-3440.0
282,Would she put him in jail?,22,2064.0,-7328.0,-5248.0
283,Would she put him in jail?,23,3328.0,-7776.0,-4448.0
284,Would she put him in jail?,24,3312.0,-8320.0,-4992.0
285,Would she put him in jail?,25,1272.0,-1768.0,-524.0
286,Where are you keeping it safe?,0,-2.65625,10.375,7.75
287,Where are you keeping it safe?,1,-6.3125,-15.5,-21.875
288,Where are you keeping it safe?,2,-1.5,-0.859375,-2.34375
289,Where are you keeping it safe?,3,11.5625,2.390625,13.625
290,Where are you keeping it safe?,4,-15.625,-46.0,-62.0
291,Where are you keeping it safe?,5,63.5,89.0,154.0
292,Where are you keeping it safe?,6,-30.5,-113.5,-144.0
293,Where are you keeping it safe?,7,-23.0,-494.0,-516.0
294,Where are you keeping it safe?,8,-46.25,-588.0,-632.0
295,Where are you keeping it safe?,9,48.25,-424.0,-376.0
296,Where are you keeping it safe?,10,111.5,-1056.0,-940.0
297,Where are you keeping it safe?,11,262.0,-1472.0,-1208.0
298,Where are you keeping it safe?,12,138.0,-1200.0,-1056.0
299,Where are you keeping it safe?,13,482.0,-1696.0,-1216.0
300,Where are you keeping it safe?,14,728.0,-1936.0,-1216.0
301,Where are you keeping it safe?,15,368.0,-3408.0,-3040.0
302,Where are you keeping it safe?,16,768.0,-3520.0,-2768.0
303,Where are you keeping it safe?,17,201.0,-3552.0,-3360.0
304,Where are you keeping it safe?,18,660.0,-4896.0,-4224.0
305,Where are you keeping it safe?,19,226.0,-4704.0,-4480.0
306,Where are you keeping it safe?,20,628.0,-4768.0,-4128.0
307,Where are you keeping it safe?,21,1608.0,-5408.0,-3792.0
308,Where are you keeping it safe?,22,1760.0,-7232.0,-5472.0
309,Where are you keeping it safe?,23,3024.0,-8096.0,-5088.0
310,Where are you keeping it safe?,24,2896.0,-10048.0,-7168.0
311,Where are you keeping it safe?,25,2672.0,-3504.0,-840.0
312,"It was all ridiculous, crazy, insane.",0,-2.265625,4.09375,1.8515625
313,"It was all ridiculous, crazy, insane.",1,-3.265625,-14.625,-17.875
314,"It was all ridiculous, crazy, insane.",2,1.609375,-2.59375,-0.9453125
315,"It was all ridiculous, crazy, insane.",3,34.75,44.75,79.5
316,"It was all ridiculous, crazy, insane.",4,1.4453125,11.625,12.9375
317,"It was all ridiculous, crazy, insane.",5,82.5,149.0,231.0
318,"It was all ridiculous, crazy, insane.",6,-23.75,-87.0,-111.0
319,"It was all ridiculous, crazy, insane.",7,-9.1875,-394.0,-402.0
320,"It was all ridiculous, crazy, insane.",8,-6.4375,-452.0,-456.0
321,"It was all ridiculous, crazy, insane.",9,58.25,-222.0,-165.0
322,"It was all ridiculous, crazy, insane.",10,154.0,-628.0,-474.0
323,"It was all ridiculous, crazy, insane.",11,366.0,-904.0,-536.0
324,"It was all ridiculous, crazy, insane.",12,217.0,-908.0,-688.0
325,"It was all ridiculous, crazy, insane.",13,708.0,-1392.0,-688.0
326,"It was all ridiculous, crazy, insane.",14,1040.0,-1696.0,-652.0
327,"It was all ridiculous, crazy, insane.",15,732.0,-3104.0,-2368.0
328,"It was all ridiculous, crazy, insane.",16,1328.0,-3424.0,-2096.0
329,"It was all ridiculous, crazy, insane.",17,760.0,-3344.0,-2592.0
330,"It was all ridiculous, crazy, insane.",18,1384.0,-5216.0,-3840.0
331,"It was all ridiculous, crazy, insane.",19,808.0,-4544.0,-3712.0
332,"It was all ridiculous, crazy, insane.",20,1376.0,-4512.0,-3136.0
333,"It was all ridiculous, crazy, insane.",21,2592.0,-4864.0,-2272.0
334,"It was all ridiculous, crazy, insane.",22,2768.0,-6752.0,-3968.0
335,"It was all ridiculous, crazy, insane.",23,4032.0,-7136.0,-3136.0
336,"It was all ridiculous, crazy, insane.",24,3904.0,-8256.0,-4352.0
337,"It was all ridiculous, crazy, insane.",25,2256.0,-3568.0,-1320.0
338,"A childish notion, to be sure.",0,-3.640625,8.875,5.25
339,"A childish notion, to be sure.",1,-3.921875,-5.5625,-9.4375
340,"A childish notion, to be sure.",2,1.6796875,5.9375,7.65625
341,"A childish notion, to be sure.",3,31.75,63.5,95.0
342,"A childish notion, to be sure.",4,-2.40625,40.75,38.25
343,"A childish notion, to be sure.",5,69.0,178.0,247.0
344,"A childish notion, to be sure.",6,-38.0,-69.0,-107.0
345,"A childish notion, to be sure.",7,-29.0,-372.0,-400.0
346,"A childish notion, to be sure.",8,-15.875,-458.0,-470.0
347,"A childish notion, to be sure.",9,98.5,-155.0,-56.5
348,"A childish notion, to be sure.",10,233.0,-704.0,-474.0
349,"A childish notion, to be sure.",11,412.0,-988.0,-572.0
350,"A childish notion, to be sure.",12,240.0,-976.0,-732.0
351,"A childish notion, to be sure.",13,688.0,-1304.0,-624.0
352,"A childish notion, to be sure.",14,1000.0,-1552.0,-548.0
353,"A childish notion, to be sure.",15,628.0,-2800.0,-2176.0
354,"A childish notion, to be sure.",16,1048.0,-2896.0,-1848.0
355,"A childish notion, to be sure.",17,434.0,-3344.0,-2912.0
356,"A childish notion, to be sure.",18,824.0,-5088.0,-4256.0
357,"A childish notion, to be sure.",19,278.0,-4224.0,-3920.0
358,"A childish notion, to be sure.",20,688.0,-4128.0,-3456.0
359,"A childish notion, to be sure.",21,1744.0,-4640.0,-2912.0
360,"A childish notion, to be sure.",22,1584.0,-6624.0,-5024.0
361,"A childish notion, to be sure.",23,2464.0,-6496.0,-4048.0
362,"A childish notion, to be sure.",24,1736.0,-7584.0,-5856.0
363,"A childish notion, to be sure.",25,1048.0,1012.0,2024.0
364,Sophia was asleep on the sofa.,0,-3.96875,-3.953125,-7.9375
365,Sophia was asleep on the sofa.,1,-6.5625,-22.625,-29.25
366,Sophia was asleep on the sofa.,2,-2.890625,-13.9375,-16.875
367,Sophia was asleep on the sofa.,3,3.734375,-42.5,-38.75
368,Sophia was asleep on the sofa.,4,-23.625,-90.5,-114.5
369,Sophia was asleep on the sofa.,5,32.75,-24.75,8.5
370,Sophia was asleep on the sofa.,6,-60.5,-236.0,-298.0
371,Sophia was asleep on the sofa.,7,-76.0,-708.0,-780.0
372,Sophia was asleep on the sofa.,8,-103.5,-796.0,-900.0
373,Sophia was asleep on the sofa.,9,-8.6875,-516.0,-524.0
374,Sophia was asleep on the sofa.,10,76.5,-1192.0,-1120.0
375,Sophia was asleep on the sofa.,11,304.0,-1856.0,-1552.0
376,Sophia was asleep on the sofa.,12,-16.125,-1560.0,-1568.0
377,Sophia was asleep on the sofa.,13,230.0,-2480.0,-2240.0
378,Sophia was asleep on the sofa.,14,500.0,-2416.0,-1912.0
379,Sophia was asleep on the sofa.,15,14.3125,-3936.0,-3920.0
380,Sophia was asleep on the sofa.,16,428.0,-3904.0,-3472.0
381,Sophia was asleep on the sofa.,17,-17.125,-3376.0,-3408.0
382,Sophia was asleep on the sofa.,18,466.0,-4672.0,-4192.0
383,Sophia was asleep on the sofa.,19,69.5,-4128.0,-4064.0
384,Sophia was asleep on the sofa.,20,490.0,-3808.0,-3328.0
385,Sophia was asleep on the sofa.,21,1352.0,-3680.0,-2336.0
386,Sophia was asleep on the sofa.,22,1472.0,-5088.0,-3632.0
387,Sophia was asleep on the sofa.,23,2768.0,-5728.0,-2960.0
388,Sophia was asleep on the sofa.,24,2992.0,-6400.0,-3408.0
389,Sophia was asleep on the sofa.,25,1248.0,-1256.0,-54.25
390,Her answer was difficult to grasp.,0,-3.796875,6.71875,2.9375
391,Her answer was difficult to grasp.,1,-5.0,-8.0,-13.0
392,Her answer was difficult to grasp.,2,0.98046875,2.546875,3.484375
393,Her answer was difficult to grasp.,3,27.125,45.25,72.0
394,Her answer was difficult to grasp.,4,-12.25,7.65625,-4.65625
395,Her answer was difficult to grasp.,5,47.0,119.5,167.0
396,Her answer was difficult to grasp.,6,-36.5,-74.5,-110.5
397,Her answer was difficult to grasp.,7,-22.5,-334.0,-354.0
398,Her answer was difficult to grasp.,8,-34.75,-344.0,-378.0
399,Her answer was difficult to grasp.,9,57.75,-115.5,-59.0
400,Her answer was difficult to grasp.,10,115.0,-516.0,-400.0
401,Her answer was difficult to grasp.,11,298.0,-828.0,-528.0
402,Her answer was difficult to grasp.,12,97.5,-800.0,-696.0
403,Her answer was difficult to grasp.,13,500.0,-1256.0,-756.0
404,Her answer was difficult to grasp.,14,624.0,-1360.0,-736.0
405,Her answer was difficult to grasp.,15,302.0,-2720.0,-2416.0
406,Her answer was difficult to grasp.,16,644.0,-2848.0,-2208.0
407,Her answer was difficult to grasp.,17,208.0,-3040.0,-2832.0
408,Her answer was difficult to grasp.,18,640.0,-4800.0,-4160.0
409,Her answer was difficult to grasp.,19,126.0,-4160.0,-4032.0
410,Her answer was difficult to grasp.,20,536.0,-3936.0,-3424.0
411,Her answer was difficult to grasp.,21,1392.0,-3872.0,-2464.0
412,Her answer was difficult to grasp.,22,1464.0,-5344.0,-3872.0
413,Her answer was difficult to grasp.,23,2528.0,-5632.0,-3088.0
414,Her answer was difficult to grasp.,24,2352.0,-5952.0,-3600.0
415,Her answer was difficult to grasp.,25,366.0,1128.0,1464.0
416,It meant waving a white flag.,0,-3.765625,-0.4921875,-4.25
417,It meant waving a white flag.,1,-4.5,-18.625,-23.125
418,It meant waving a white flag.,2,0.2265625,-10.4375,-10.25
419,It meant waving a white flag.,3,23.625,-18.0,5.53125
420,It meant waving a white flag.,4,-11.9375,-48.0,-60.0
421,It meant waving a white flag.,5,46.0,40.75,87.5
422,It meant waving a white flag.,6,-26.875,-140.0,-167.0
423,It meant waving a white flag.,7,0.7890625,-388.0,-386.0
424,It meant waving a white flag.,8,5.25,-502.0,-496.0
425,It meant waving a white flag.,9,94.0,-222.0,-129.0
426,It meant waving a white flag.,10,228.0,-716.0,-488.0
427,It meant waving a white flag.,11,528.0,-1016.0,-486.0
428,It meant waving a white flag.,12,334.0,-1056.0,-716.0
429,It meant waving a white flag.,13,812.0,-1616.0,-812.0
430,It meant waving a white flag.,14,1200.0,-2032.0,-828.0
