sentence_0,sentence_1,modal_0,modal_1,semantics_0,semantics_1
The advanced karate class was taught by the master.,The advanced karate class was taught by the belt.,probable,impossible,related,related
Every day the school facilities were cleaned by the janitor.,Every day the school facilities were cleaned by the soap.,probable,impossible,related,related
Every morning at 6am the newspaper was delivered by the newsboy.,Every morning at 6am the newspaper was delivered by the print.,probable,impossible,related,related
The president was interviewed on television by the correspondent.,The president was interviewed on television by the camera.,probable,impossible,related,related
"At the children football game, a goal was scored by the player.","At the children football game, a goal was scored by the whistle.",probable,impossible,related,related
When there was a fire in the home everyone was carried out by the fireman.,When there was a fire in the home everyone was carried out by the extinguisher.,probable,impossible,related,related
During art lessons at kindergarten lots of messy pictures were created by the youngster.,During art lessons at kindergarten lots of messy pictures were created by the table.,probable,impossible,related,related
"During a speech, the political rally was bombed by the terrorist.","During a speech, the political rally was bombed by the microphone.",probable,impossible,related,related
Data from the drug trial was analysed by the scientist.,Data from the drug trial was analysed by the injection.,probable,impossible,related,related
The advanced mountain climbing lesson was given by the mountaineer.,The advanced mountain climbing lesson was given by the boot.,probable,impossible,related,related
The couple was afraid that their missing baby girl would be found by the stranger.,The couple was afraid that their missing baby girl would be found by the bib.,probable,impossible,related,related
Before the funeral of the old man the grave was dug by the digger.,Before the funeral of the old man the grave was dug by the coffin.,probable,impossible,related,related
Because of the recent threats the mayor was escorted by the bodyguard.,Because of the recent threats the mayor was escorted by the rifle.,probable,impossible,related,related
Because the car was parked illegally a ticket was issued by the attendant.,Because the car was parked illegally a ticket was issued by the windscreen.,probable,impossible,related,related
When the bottle leaked the milk was mopped up by the mother.,When the bottle leaked the milk was mopped up by the mess.,probable,impossible,related,related
"At the estate sale, prices are announced by the auctioneer.","At the estate sale, prices are announced by the furniture.",probable,impossible,related,related
"Because of his ears, the student was targeted by the bully.","Because of his ears, the student was targeted by the earlobe.",probable,impossible,related,related
A big crowd had gathered to watch as the rocket was launched by the astronaut.,A big crowd had gathered to watch as the rocket was launched by the planet.,probable,impossible,related,related
The soup company for homeless people was funded by the entrepreneur.,The soup company for homeless people was funded by the bowl.,probable,impossible,related,related
"During the election, the presidential candidate was voted for by his supporter.","During the election, the presidential candidate was voted for by his ballot.",probable,impossible,related,related
"Despite the high security in the castle, the crown was stolen by the thief.","Despite the high security in the castle, the crown was stolen by the throne.",probable,impossible,related,related
"During the kidnapping, freedom was requested by the hostage.","During the kidnapping, freedom was requested by the extortion.",probable,impossible,related,related
The town was defended with guns by the army.,The town was defended with guns by the weapon.,probable,impossible,related,related
At the sweet shop six pounds of candy was sold by the shopkeeper.,At the sweet shop six pounds of candy was sold by the toffee.,probable,impossible,related,related
The hole through the prison wall was drilled by the fugitive.,The hole through the prison wall was drilled by the fence.,probable,impossible,related,related
All the information for the test was memorised by the scholar.,All the information for the test was memorised by the textbook.,probable,impossible,related,related
Each month the rent payment was paid by the tenant.,Each month the rent payment was paid by the lease.,probable,impossible,related,related
At the football match the winning goal was scored by the defender.,At the football match the winning goal was scored by the crossbar.,probable,impossible,related,related
At night the jail was locked by the warden.,At night the jail was locked by the gate.,probable,impossible,related,related
During the concert the symphony was conducted by the maestro.,During the concert the symphony was conducted by the flute.,probable,impossible,related,related
The phone call was redirected by the operator.,The phone call was redirected by the receiver.,probable,impossible,related,related
"During the athletic tournament, the runner was overtaken by the competitor.","During the athletic tournament, the runner was overtaken by the stadium.",probable,impossible,related,related
Because of the recall everything was refunded by the manufacturer.,Because of the recall everything was refunded by the package.,probable,impossible,related,related
At the construction site all of the dirtiest work was done by the worker.,At the construction site all of the dirtiest work was done by the brick.,probable,impossible,related,related
Invitations to the dinner party were posted by the hostess.,Invitations to the dinner party were posted by the stamp.,probable,impossible,related,related
"At the airport, the luggage is searched by the official.","At the airport, the luggage is searched by the passport.",probable,impossible,related,related
In the Texan town the bank was robbed by the outlaw.,In the Texan town the bank was robbed by the revolver.,probable,impossible,related,related
The employment interviews were administered by the committee.,The employment interviews were administered by the curriculum.,probable,impossible,related,related
The interesting story was written by the writer.,The interesting story was written by the magazine.,probable,impossible,related,related
The taxi was driven by the cabdriver.,The taxi was driven by the wheel.,probable,impossible,related,related
"At the golf game, a hole-in-one was scored by the golfer.","At the golf game, a hole-in-one was scored by the cart.",probable,impossible,related,related
"At the pet hospital, dogs were cured by the vet.","At the pet hospital, dogs were cured by the ambulance.",probable,impossible,related,related
"At the post office, letters are collected and delivered by the postman.","At the post office, letters are collected and delivered by the mailbox.",probable,impossible,related,related
"At the garage, the car maintenance is performed by the mechanic.","At the garage, the car maintenance is performed by the headlight.",probable,impossible,related,related
At the hospital the complex heart surgery was performed by the surgeon.,At the hospital the complex heart surgery was performed by the artery.,probable,impossible,related,related
"Upon arriving at the restaurant, the car was parked by the chauffeur.","Upon arriving at the restaurant, the car was parked by the parking-meter.",probable,impossible,related,related
The circus performance was directed by the presenter.,The circus performance was directed by the trapeze.,probable,impossible,related,related
"To keep visitors safe, the national park was patrolled by the ranger.","To keep visitors safe, the national park was patrolled by the sunlight.",probable,impossible,related,related
"At the library, the books are organised on the shelves by the librarian.","At the library, the books are organised on the shelves by the catalogue.",probable,impossible,related,related
"At the bank, credit card requests are authorised by the manager.","At the bank, credit card requests are authorised by the receipt.",probable,impossible,related,related
Fish in the aquarium were studied by the biologist.,Fish in the aquarium were studied by the seaweed.,probable,impossible,related,related
"At the exhibition, all the pictures were taken by the photographer.","At the exhibition, all the pictures were taken by the frame.",probable,impossible,related,related
"At the graduation reception, the dinner was provided by the caterer.","At the graduation reception, the dinner was provided by the diploma.",probable,impossible,related,related
"When the Italian diplomat gave a speech, the translation was performed by the interpreter.","When the Italian diplomat gave a speech, the translation was performed by the television.",probable,impossible,related,related
The prescription for the mental disorder was written by the psychiatrist.,The prescription for the mental disorder was written by the pill.,probable,impossible,related,related
The bank robbery was prevented by the hero.,The bank robbery was prevented by the shotgun.,probable,impossible,related,related
The attacks on the ships were led by the pirate.,The attacks on the ships were led by the cannon.,probable,impossible,related,related
"At the opera concert in the theatre, the musical pieces were sung by the tenor.","At the opera concert in the theatre, the musical pieces were sung by the costume.",probable,impossible,related,related
"Because his parents work all day, the baby was attended by the nanny.","Because his parents work all day, the baby was attended by the dummy.",probable,impossible,related,related
The dental restoration was performed by the dentist.,The dental restoration was performed by the tooth.,probable,impossible,related,related
"At the Olympics, the bars competition was won by the gymnast.","At the Olympics, the bars competition was won by the trampoline.",probable,impossible,related,related
"To lose weight, the woman's meal plan was prescribed by the dietician.","To lose weight, the woman's meal plan was prescribed by the tape-measure.",probable,impossible,related,related
The psychotherapy session was delivered by the counsellor.,The psychotherapy session was delivered by the couch.,probable,impossible,related,related
"In the circus, the lions were tamed by the trainer.","In the circus, the lions were tamed by the tightrope.",probable,impossible,related,related
"At the salon, the clients get her hair cut by the stylist.","At the salon, the clients get her hair cut by the hairbrush.",probable,impossible,related,related
"At the museum, a tour and descriptions of the paintings were given by the guide.","At the museum, a tour and descriptions of the paintings were given by the sculpture.",probable,impossible,related,related
The safari excursion to Africa was led by the adventurer.,The safari excursion to Africa was led by the photograph.,probable,impossible,related,related
The corrupt tax fraud was discovered by the accountant.,The corrupt tax fraud was discovered by the calculator.,probable,impossible,related,related
"After the electricity outage, the apartment was checked by the electrician.","After the electricity outage, the apartment was checked by the fuse.",probable,impossible,related,related
"After being locked, the door was repaired by the repairman.","After being locked, the door was repaired by the keyhole.",probable,impossible,related,related
"In the theatre production, the villain was played by the actor.","In the theatre production, the villain was played by the spotlight.",probable,impossible,related,related
The suit was adjusted by the tailor.,The suit was adjusted by the sewing-machine.,probable,impossible,related,related
"At the farmers market, fresh fish is sold by the fisherman.","At the farmers market, fresh fish is sold by the shellfish.",probable,impossible,related,related
The Tour de France was won by the cyclist.,The Tour de France was won by the bicycle.,probable,impossible,related,related
The book signing was attended by the famous novelist.,The book signing was attended by the famous paperback.,probable,impossible,related,related
The mountain summit was conquered by the climber.,The mountain summit was conquered by the ice-pick.,probable,impossible,related,related
The school walls were ruined with graffiti drawn by the vandal.,The school walls were ruined with graffiti drawn by the aerosol.,probable,impossible,related,related
"On the lake, the boat race was won by the rower.","On the lake, the boat race was won by the paddle.",probable,impossible,related,related
The bush in the garden was trimmed by the gardener.,The bush in the garden was trimmed by the lawn-mower.,probable,impossible,related,related
"At the observatory, a new star was discovered by the astronomer.","At the observatory, a new star was discovered by the telescope.",probable,impossible,related,related
The card trick on the TV show was performed by the magician.,The card trick on the TV show was performed by the monitor.,probable,impossible,related,related
"During Christmas dinner, gifts for the family were bought by the grandma.","During Christmas dinner, gifts for the family were bought by the turkey.",probable,impossible,related,related
"At the wedding on the church, the service was performed by the cleric.","At the wedding on the church, the service was performed by the bouquet.",probable,impossible,related,related
The destruction of the building was performed by the wrecker.,The destruction of the building was performed by the crane.,probable,impossible,related,related
"At the monastery, a prayer was said by the monk.","At the monastery, a prayer was said by the oratory.",probable,impossible,related,related
The Vatican has been ruled by the pope.,The Vatican has been ruled by the crucifix.,probable,impossible,related,related
"During the protests, the shops were attacked by the agitator.","During the protests, the shops were attacked by the tear-gas.",probable,impossible,related,related
"At the restaurant, the plates are washed by the washer.","At the restaurant, the plates are washed by the spoon.",probable,impossible,related,related
The roman empire defences were attacked by the barbarian.,The roman empire defences were attacked by the sword.,probable,impossible,related,related
The stolen new car was raced through town by the robber.,The stolen new car was raced through town by the radiator.,probable,impossible,related,related
The Nobel prize in literature was won by the poet.,The Nobel prize in literature was won by the manuscript.,probable,impossible,related,related
"During the excavation, an ancient artefact was discovered by the archaeologist.","During the excavation, an ancient artefact was discovered by the spade.",probable,impossible,related,related
The halftime show at the football match was organised by the cheerleader.,The halftime show at the football match was organised by the rum.,probable,impossible,related,unrelated
During the solo music performance the strings were plucked by the harpist.,During the solo music performance the strings were plucked by the sculpture.,probable,impossible,related,unrelated
At the restaurant all the meals were cooked by the chef.,At the restaurant all the meals were cooked by the arrow.,probable,impossible,related,unrelated
The scientific research was funded by the sponsor.,The scientific research was funded by the suitcase.,probable,impossible,related,unrelated
Tenants were upset when housing prices were raised by the proprietor.,Tenants were upset when housing prices were raised by the script.,probable,impossible,related,unrelated
After crying and waking up his parents the baby was breast-fed by his mummy.,After crying and waking up his parents the baby was breast-fed by his stadium.,probable,impossible,related,unrelated
"At the baseball game, a ball was thrown by the pitcher.","At the baseball game, a ball was thrown by the passport.",probable,impossible,related,unrelated
The cure for the disease was discovered by the doctor.,The cure for the disease was discovered by the stamp.,probable,impossible,related,unrelated
At the theatre the programs were given by the usher.,At the theatre the programs were given by the turbine.,probable,impossible,related,unrelated
At the wedding ceremony the ring was brought by the groom.,At the wedding ceremony the ring was brought by the aspirin.,probable,impossible,related,unrelated
At the club the cocktails are served by the barmaid.,At the club the cocktails are served by the dirt.,probable,impossible,related,unrelated
The rules of the game show were explained by the host.,The rules of the game show were explained by the tomb.,probable,impossible,related,unrelated
The next bus stop was announced by the coachman.,The next bus stop was announced by the tonic.,probable,impossible,related,unrelated
The child's dirty nappy was changed by his mum.,The child's dirty nappy was changed by his cannon.,probable,impossible,related,unrelated
"At the ballet, the music was played by the orchestra.","At the ballet, the music was played by the medicine.",probable,impossible,related,unrelated
In ancient Egypt the people were governed by the Pharaoh.,In ancient Egypt the people were governed by the mess.,probable,impossible,related,unrelated
The patient's aches and pains were examined by the physician.,The patient's aches and pains were examined by the microphone.,probable,impossible,related,unrelated
The rope was thrown by the cowboy.,The rope was thrown by the diploma.,probable,impossible,related,unrelated
The murder witness was cross-questioned by the detective.,The murder witness was cross-questioned by the chalk.,probable,impossible,related,unrelated
The violent demonstration was policed by the policeman.,The violent demonstration was policed by the turkey.,probable,impossible,related,unrelated
The cult's prophecies were established by the prophet.,The cult's prophecies were established by the trampoline.,probable,impossible,related,unrelated
"While eating dinner with her parents, the woman was proposed to by her boyfriend.","While eating dinner with her parents, the woman was proposed to by her pencil.",probable,impossible,related,unrelated
The studio recorded an album with music sung by the vocalist.,The studio recorded an album with music sung by the tear-gas.,probable,impossible,related,unrelated
The aeroplane was flown by the pilot.,The aeroplane was flown by the anaesthesia.,probable,impossible,related,unrelated
The first lectures in college were given by the lecturer.,The first lectures in college were given by the shotgun.,probable,impossible,related,unrelated
The car's new features were marketed by the saleswoman.,The car's new features were marketed by the fuse.,probable,impossible,related,unrelated
The husband got involved in an affair after having been seduced by his mistress.,The husband got involved in an affair after having been seduced by his prize.,probable,impossible,related,unrelated
At UK pubs every drink is poured by the barman.,At UK pubs every drink is poured by the crane.,probable,impossible,related,unrelated
"At the hotel, luggage is delivered by the porter.","At the hotel, luggage is delivered by the medication.",probable,impossible,related,unrelated
The clever boy was able to win the contest helped by his mate.,The clever boy was able to win the contest helped by his cutlery.,probable,impossible,related,unrelated
"Thanks to the union talks, improved benefits were received by the employee.","Thanks to the union talks, improved benefits were received by the dress.",probable,impossible,related,unrelated
"In the fairy-tale, the princess was rescued by the prince.","In the fairy-tale, the princess was rescued by the artery.",probable,impossible,related,unrelated
The chaos in the classroom was initiated by the preschooler.,The chaos in the classroom was initiated by the belt.,probable,impossible,related,unrelated
Every day the rich Duke's soiled underwear was scrubbed by the maid.,Every day the rich Duke's soiled underwear was scrubbed by the earlobe.,probable,impossible,related,unrelated
The pianist played his music while the bass was strummed by the guitarist.,The pianist played his music while the bass was strummed by the plate.,probable,impossible,related,unrelated
"During the exam, unacceptable cheating behaviour was exhibited by the student.","During the exam, unacceptable cheating behaviour was exhibited by the candle.",probable,impossible,related,unrelated
Everyone sat around the campfire to hear a tale told by the storyteller.,Everyone sat around the campfire to hear a tale told by the camera.,probable,impossible,related,unrelated
At the pharmacy three bottles of insulin were sold by the pharmacist.,At the pharmacy three bottles of insulin were sold by the goalpost.,probable,impossible,related,unrelated
"At the school, punishments for being late in class were given by the headmistress.","At the school, punishments for being late in class were given by the handcuff.",probable,impossible,related,unrelated
After the meal was over the waitress was tipped by the customer.,After the meal was over the waitress was tipped by the television.,probable,impossible,related,unrelated
At the wedding the couple was married by the pastor.,At the wedding the couple was married by the commercial.,probable,impossible,related,unrelated
The car was given a parking ticket by the traffic warden.,The car was given a parking ticket by the ocean.,probable,impossible,related,unrelated
The film was recorded by the director.,The film was recorded by the rifle.,probable,impossible,related,unrelated
During the basketball game hot dogs were sold by the vendor.,During the basketball game hot dogs were sold by the blackboard.,probable,impossible,related,unrelated
The man who stole the money was prosecuted by the lawyer.,The man who stole the money was prosecuted by the headlight.,probable,impossible,related,unrelated
"At the roller coaster in the amusement park, customers are counted by the personnel.","At the roller coaster in the amusement park, customers are counted by the print.",probable,impossible,related,unrelated
The skin operation was performed by the dermatologist.,The skin operation was performed by the whistle.,probable,impossible,related,unrelated
"At the track, the horse was raced by the jockey.","At the track, the horse was raced by the curriculum.",probable,impossible,related,unrelated
The burglars were caught and arrested by the cop.,The burglars were caught and arrested by the metronome.,probable,impossible,related,unrelated
The castle was attacked by the enemy.,The castle was attacked by the toffee.,probable,impossible,related,unrelated
"In the court-case that attracted lots of media, the man was sentenced by the judge.","In the court-case that attracted lots of media, the man was sentenced by the extinguisher.",probable,impossible,related,unrelated
Everyone watched while the man was mugged by the attacker.,Everyone watched while the man was mugged by the telescope.,probable,impossible,related,unrelated
At the sausage stand lots of food was bought by the eater.,At the sausage stand lots of food was bought by the tower.,probable,impossible,related,unrelated
The decision to cancel the television show was made by the executive.,The decision to cancel the television show was made by the coffin.,probable,impossible,related,unrelated
In the courtroom the killer was set free by the jury.,In the courtroom the killer was set free by the flute.,probable,impossible,related,unrelated
All possessions in the will were left by the deceased.,All possessions in the will were left by the verdict.,probable,impossible,related,unrelated
In an act of generosity a large sum was donated by the millionaire.,In an act of generosity a large sum was donated by the paddle.,probable,impossible,related,unrelated
The novel was written by the author.,The novel was written by the lawn-mower.,probable,impossible,related,unrelated
The holiday cruise ship was sailed by the captain.,The holiday cruise ship was sailed by the constitution.,probable,impossible,related,unrelated
At the church the baptism was conducted by the minister.,At the church the baptism was conducted by the deck.,probable,impossible,related,unrelated
"Before the island was discovered, it was inhabited by the native.","Before the island was discovered, it was inhabited by the tooth.",probable,impossible,related,unrelated
The ship was navigated by the sailor.,The ship was navigated by the powder.,probable,impossible,related,unrelated
The bank's vault had been robbed by the burglar.,The bank's vault had been robbed by the tape-measure.,probable,impossible,related,unrelated
The advanced karate class was taught by the master.,The advanced karate class was taught by the fingerprint.,probable,impossible,related,unrelated
Every day the school facilities were cleaned by the janitor.,Every day the school facilities were cleaned by the boot.,probable,impossible,related,unrelated
Every morning at 6am the newspaper was delivered by the newsboy.,Every morning at 6am the newspaper was delivered by the aerosol.,probable,impossible,related,unrelated
The president was interviewed on television by the correspondent.,The president was interviewed on television by the harness.,probable,impossible,related,unrelated
"At the children football game, a goal was scored by the player.","At the children football game, a goal was scored by the brake.",probable,impossible,related,unrelated
When there was a fire in the home everyone was carried out by the fireman.,When there was a fire in the home everyone was carried out by the textbook.,probable,impossible,related,unrelated
During art lessons at kindergarten lots of messy pictures were created by the youngster.,During art lessons at kindergarten lots of messy pictures were created by the parking-meter.,probable,impossible,related,unrelated
"During a speech, the political rally was bombed by the terrorist.","During a speech, the political rally was bombed by the ring.",probable,impossible,related,unrelated
Data from the drug trial was analysed by the scientist.,Data from the drug trial was analysed by the brick.,probable,impossible,related,unrelated
The advanced mountain climbing lesson was given by the mountaineer.,The advanced mountain climbing lesson was given by the shellfish.,probable,impossible,related,unrelated
The couple was afraid that their missing baby girl would be found by the stranger.,The couple was afraid that their missing baby girl would be found by the mustard.,probable,impossible,related,unrelated
Before the funeral of the old man the grave was dug by the digger.,Before the funeral of the old man the grave was dug by the catalogue.,probable,impossible,related,unrelated
Because of the recent threats the mayor was escorted by the bodyguard.,Because of the recent threats the mayor was escorted by the frame.,probable,impossible,related,unrelated
Because the car was parked illegally a ticket was issued by the attendant.,Because the car was parked illegally a ticket was issued by the statement.,probable,impossible,related,unrelated
When the bottle leaked the milk was mopped up by the mother.,When the bottle leaked the milk was mopped up by the sewing-machine.,probable,impossible,related,unrelated
"At the estate sale, prices are announced by the auctioneer.","At the estate sale, prices are announced by the track.",probable,impossible,related,unrelated
"Because of his ears, the student was targeted by the bully.","Because of his ears, the student was targeted by the photograph.",probable,impossible,related,unrelated
A big crowd had gathered to watch as the rocket was launched by the astronaut.,A big crowd had gathered to watch as the rocket was launched by the receiver.,probable,impossible,related,unrelated
The soup company for homeless people was funded by the entrepreneur.,The soup company for homeless people was funded by the keyhole.,probable,impossible,related,unrelated
"During the election, the presidential candidate was voted for by his supporter.","During the election, the presidential candidate was voted for by his soap.",probable,impossible,related,unrelated
"Despite the high security in the castle, the crown was stolen by the thief.","Despite the high security in the castle, the crown was stolen by the golf-ball.",probable,impossible,related,unrelated
"During the kidnapping, freedom was requested by the hostage.","During the kidnapping, freedom was requested by the bicycle.",probable,impossible,related,unrelated
The town was defended with guns by the army.,The town was defended with guns by the paperback.,probable,impossible,related,unrelated
At the sweet shop six pounds of candy was sold by the shopkeeper.,At the sweet shop six pounds of candy was sold by the sword.,probable,impossible,related,unrelated
The hole through the prison wall was drilled by the fugitive.,The hole through the prison wall was drilled by the bouquet.,probable,impossible,related,unrelated
All the information for the test was memorised by the scholar.,All the information for the test was memorised by the anchor.,probable,impossible,related,unrelated
Each month the rent payment was paid by the tenant.,Each month the rent payment was paid by the costume.,probable,impossible,related,unrelated
At the football match the winning goal was scored by the defender.,At the football match the winning goal was scored by the crown.,probable,impossible,related,unrelated
At night the jail was locked by the warden.,At night the jail was locked by the magazine.,probable,impossible,related,unrelated
During the concert the symphony was conducted by the maestro.,During the concert the symphony was conducted by the veil.,probable,impossible,related,unrelated
The phone call was redirected by the operator.,The phone call was redirected by the furniture.,probable,impossible,related,unrelated
"During the athletic tournament, the runner was overtaken by the competitor.","During the athletic tournament, the runner was overtaken by the jewellery.",probable,impossible,related,unrelated
Because of the recall everything was refunded by the manufacturer.,Because of the recall everything was refunded by the penny.,probable,impossible,related,unrelated
At the construction site all of the dirtiest work was done by the worker.,At the construction site all of the dirtiest work was done by the keyboard.,probable,impossible,related,unrelated
Invitations to the dinner party were posted by the hostess.,Invitations to the dinner party were posted by the treasure.,probable,impossible,related,unrelated
"At the airport, the luggage is searched by the official.","At the airport, the luggage is searched by the list.",probable,impossible,related,unrelated
In the Texan town the bank was robbed by the outlaw.,In the Texan town the bank was robbed by the injection.,probable,impossible,related,unrelated
The employment interviews were administered by the committee.,The employment interviews were administered by the tray.,probable,impossible,related,unrelated
The interesting story was written by the writer.,The interesting story was written by the wine.,probable,impossible,related,unrelated
The taxi was driven by the cabdriver.,The taxi was driven by the tutu.,probable,impossible,related,unrelated
"At the golf game, a hole-in-one was scored by the golfer.","At the golf game, a hole-in-one was scored by the lease.",probable,impossible,related,unrelated
"At the pet hospital, dogs were cured by the vet.","At the pet hospital, dogs were cured by the uniform.",probable,impossible,related,unrelated
"At the post office, letters are collected and delivered by the postman.","At the post office, letters are collected and delivered by the couch.",probable,impossible,related,unrelated
"At the garage, the car maintenance is performed by the mechanic.","At the garage, the car maintenance is performed by the bowl.",probable,impossible,related,unrelated
At the hospital the complex heart surgery was performed by the surgeon.,At the hospital the complex heart surgery was performed by the pyramid.,probable,impossible,related,unrelated
"Upon arriving at the restaurant, the car was parked by the chauffeur.","Upon arriving at the restaurant, the car was parked by the monitor.",probable,impossible,related,unrelated
The circus performance was directed by the presenter.,The circus performance was directed by the oratory.,probable,impossible,related,unrelated
