dataset,item_id,prefix,Control,SemCrit,Sem,Synt
ryskin2021,36,The vicious cyclone tragically caused many deaths and much,destruction,distraction,aluminum,destructions
ryskin2021,37,"Disgusted, she pulled away from his touch with a",shudder,shutter,facility,shudders
ryskin2021,38,One window on the dilapidated house was missing a,shutter,shudder,migrant,shutters
ryskin2021,39,Rupert Murdoch is the owner of a vast media,empire,umpire,meditation,empires
ryskin2021,40,The baseball player felt cheated and swore at,an umpire,an empire,a coronation,an umpires
ryskin2021,41,The Caribbean cruise package includes this kayaking and snorkeling,excursion,exertion,irritation,excursions
ryskin2021,42,He had sprinted and was still sweating from this,exertion,excursion,cardinal,exertions
ryskin2021,43,The study of sounds in language is known as,phonology,phrenology,leisure,phonologies
ryskin2021,44,The pseudoscience of inferring personality from skull measurements is,phrenology,phonology,saffron,phrenologies
ryskin2021,45,The casket was carried to the cemetery in a,hearse,hearth,dilution,hearses
ryskin2021,46,"Each winter evening, the family gathers around a warm",hearth,hearse,alteration,hearths
ryskin2021,47,The heat felt even worse because of all this,humidity,humility,catalyst,humidities
ryskin2021,48,The sermon denounced pride and extolled the virtue of,humility,humidity,alumni,humilities
ryskin2021,49,The scientist designed an experiment to test a controversial,hypothesis,hypotenuse,gazette,hypotheses
ryskin2021,50,Use Pythagoras' theorem to find the length of a,hypotenuse,hypothesis,cavalry,hypotenuses
ryskin2021,51,The preacher believed drunkenness was the cause of much,immorality,immortality,irrigation,immoralities
ryskin2021,52,The artist achieved eternal fame despite not seeking this,immortality,immorality,dilation,immortalities
ryskin2021,53,"After the Holocaust, German history could never escape this",infamy,infantry,antidote,infamies
ryskin2021,54,"Despite technological advances, wars cannot be won without an",infantry,infamy,embryo,infantries
ryskin2021,55,"Oh, yes, very impressive, she drawled with a sarcastic",inflection,infection,pastor,inflections
ryskin2021,56,Medics cleaned and bandaged the wound to prevent,an infection,an inflection,a sapphire,an infections
ryskin2021,57,"The three kings bore gifts of gold, myrrh, and",frankincense,Frankenstein,anemones,frankincenses
ryskin2021,58,It's alive! he cackled as he animated this monster,Frankenstein,frankincense,bounty,Frankensteins
ryskin2021,59,This docile herbivorous aquatic mammal is known as a,manatee,matinee,stimulation,manatees
ryskin2021,60,The afternoon showing cost less because it was a,matinee,manatee,sentiment,matinees
ryskin2021,61,Apply this eyeliner and brush your lashes with this,mascara,masquerade,audition,mascaras
ryskin2021,62,She danced with an elegant masked gentleman at that,masquerade,mascara,mortar,masquerades
ryskin2021,63,Feudal lords lived off the labor of an oppressed,peasantry,pleasantry,travesty,peasantries
ryskin2021,64,The hostess greeted her guests with a light social,pleasantry,peasantry,escalator,pleasantries
ryskin2021,65,Senator McCarthy accused the screenwriter of being a Communist,sympathizer,synthesizer,fallacy,sympathizers
ryskin2021,66,The computer could read text aloud using a speech,synthesizer,sympathizer,baloney,synthesizers
ryskin2021,67,The castle wall was adorned with a beautiful woven,tapestry,travesty,abbreviation,tapestries
ryskin2021,68,He denounced the novel's film adaptation as a complete,travesty,tapestry,diploma,travesties
ryskin2021,69,The ring held small diamonds set around this blue,sapphire,saffron,medication,sapphires
ryskin2021,70,The rice was spiced with a pinch of that,saffron,sapphire,message,saffrons
ryskin2021,71,"For lunch, she had brought tomato soup in a",thermos,thermal,lesion,thermoses
ryskin2021,72,The soaring eagle circled and glided upwards on a,thermal,thermos,physician,thermals
ryskin2021,73,The student had his editorial published in a local,gazette,gazelle,pleasantry,gazettes
ryskin2021,74,The powerful cheetah sprinted in pursuit of a baby,gazelle,gazette,addition,gazelles
ryskin2021,75,You cannot buy Cuban cigars because there is,an embargo,an embryo,a correction,an embargos
ryskin2021,76,Some controversial stem cell research requires a fertilized human,embryo,embargo,migraine,embryos
ryskin2021,77,Can't you just be quiet? she snapped revealing her,irritation,irrigation,frankincense,irritations
ryskin2021,78,Agriculture in this desert would be impossible without this,irrigation,irritation,caption,irrigations
ryskin2021,79,The poor stayed poor because of this limited upward,mobility,nobility,spinster,mobilities
ryskin2021,80,Champagne was once reserved exclusively for the royalty and,nobility,mobility,pheromone,nobilities
ryskin2021,81,The lecherous satyr chased after a beautiful lithe wood,nymph,lymph,destiny,nymphs
ryskin2021,82,Two important fluids in the body are blood and,lymph,nymph,campaign,lymphs
ryskin2021,83,"The circus featured an acrobat, a clown, and a",juggler,jugular,cavity,jugglers
ryskin2021,84,"She lunged towards his neck, going right for the",jugular,juggler,nymph,jugulars
ryskin2021,85,"In the nineties, the Rugrats was a very popular",cartoon,carton,boundary,cartoons
ryskin2021,86,The child made a caterpillar from an old egg,carton,cartoon,campaign,cartons
ryskin2021,87,Handling the rough wooden plank gave the woman a,splinter,spinster,nobility,splinters
ryskin2021,88,Cats were the only company for this lonely old,spinster,splinter,radium,spinsters
ryskin2021,89,"Candidates must be citizens, but that is the only",stipulation,stimulation,altitude,stipulations
ryskin2021,90,He had a short attention span and needed constant,stimulation,stipulation,sediment,stimulations
ryskin2021,91,She was vaccinated so her body would developed,an immunity,a mutiny,a cartoon,an immunities
ryskin2021,92,"Incensed at the captain, the crew staged a full-scale",mutiny,immunity,correlation,mutinies
ryskin2021,93,The mason built his own house of brick and,mortar,mortal,humidity,mortars
ryskin2021,94,The goddess refused to be bested by a mere,mortal,mortar,expectation,mortals
ryskin2021,95,"Like the IRS and FBI, CIA is another three-letter",abbreviation,inebriation,mobility,abbreviations
ryskin2021,96,The thesaurus shows that a synonym for drunkenness is,inebriation,abbreviation,splinter,inebriations
ryskin2021,97,A lolcat is cat photograph with a humorous ungrammatical,caption,captain,radius,captions
ryskin2021,98,The sailors feared the harsh discipline of this ship,captain,caption,phrenology,captains
ryskin2021,99,The teacher taught that subtraction was the opposite of,addition,audition,humility,additions
ryskin2021,100,The flute player nervously prepared an excerpt for,an audition,an addition,a corridor,an auditions
ryskin2021,101,The museum pass provides five dollars off of each,admission,admonition,carnival,admissions
ryskin2021,102,"Never stay out past midnight, was his mother's strict",admonition,admission,gazelle,admonitions
ryskin2021,103,Old car engines mixed fuel and air in a,carburetor,cabaret,callus,carburetors
ryskin2021,104,Edith Piaf's extraordinary singing career was begun in a,cabaret,carburetor,thermos,cabarets
ryskin2021,105,On the mountaintop we felt dizzy because of this,altitude,attitude,conscience,altitudes
ryskin2021,106,The coach scolded the player for having a bad,attitude,altitude,shutter,attitudes
ryskin2021,107,The college sent out a newsletter to all its,alumni,aluminum,dynamite,alumnus
ryskin2021,108,Soda cans and tin foil are both made of,aluminum,alumni,exertion,aluminums
ryskin2021,109,The princess arrived at the ball in a horse-drawn,carriage,cartridge,thermal,carriages
ryskin2021,110,The printer needed more paper and a new ink,cartridge,carriage,veteran,cartridges
ryskin2021,111,Marie Curie died of exposure to radiation from this,radium,radius,veterinarian,radiums
ryskin2021,112,No light escapes the black hole once within this,radius,radium,cabaret,radii
ryskin2021,113,The United States has a large stockpile of nuclear,armaments,ornaments,adoration,armament
ryskin2021,114,The Christmas tree was decorated with many shining glass,ornaments,armaments,infantry,ornament
ryskin2021,115,Blackmail is just one of many weapons in this,arsenal,arsenic,consternation,arsenals
ryskin2021,116,The detectives discovered the professor was poisoned with this,arsenic,arsenal,carriage,arsenics
ryskin2021,117,The cheapest lunchmeat at this grocery store is this,baloney,balcony,immortality,baloneys
ryskin2021,118,Romeo longingly admired Juliet as she stood on this,balcony,baloney,consciousness,balconies
ryskin2021,119,"He soon backed away, sensing he had crossed a",boundary,bounty,manatee,boundaries
ryskin2021,120,Capture or kill the wanted criminal to collect,a bounty,a boundary,an expedition,a bounties
ryskin2021,121,The celebrating couple joyfully popped open a bottle of,champagne,campaign,armaments,champagnes
ryskin2021,122,"The slogan ""change"" was a focus of that presidential",campaign,champagne,damnation,campaigns
ryskin2021,123,A syllogism is a common form of a deductive,inference,inferno,peasantry,inferences
ryskin2021,124,The napalm turned the luscious forest into a fiery,inferno,inference,attitude,infernos
ryskin2021,125,I blacked out and was confused when I regained,consciousness,conscience,duration,consciousnesses
ryskin2021,126,"After she deceived her mother, she had a guilty",conscience,consciousness,musket,consciences
ryskin2021,127,The sudden change in protocol had caused all this,consternation,constellation,inflection,consternations
ryskin2021,128,The Big Dipper may perhaps be the most famous,constellation,consternation,immunity,constellations
ryskin2021,129,The herd of cows was out grazing in,a pasture,a pastor,an altercation,a pastures
ryskin2021,130,The congregation listens to a sermon delivered by,a pastor,a pasture,an escalation,a pastors
ryskin2021,131,A soldier fighting for the highest bidder is,a mercenary,a missionary,an apostrophe,a mercenaries
ryskin2021,132,The devout Christian girl travelled to India as,a missionary,a mercenary,an admission,a missionaries
ryskin2021,133,That white dog with little black spots is,a dalmatian,a damnation,an umpire,a dalmations
ryskin2021,134,"Once Faust signed, he was doomed to this eternal",damnation,dalmatian,inference,damnations
ryskin2021,135,The crowded urban neighborhood had a very high population,density,destiny,missionary,densities
ryskin2021,136,I control my fate; I don't have a predetermined,destiny,density,embargo,destinies
ryskin2021,137,"She didn't answer the phone, so I left a",message,massage,tapestry,messages
ryskin2021,138,My back was so tense I really needed a,massage,message,cartridge,massages
ryskin2021,139,The president of the college handed each graduate,a diploma,a diplomat,an infection,a diplomas
ryskin2021,140,The ambassador who negotiated the deal was a skilled,diplomat,diploma,constellation,diplomats
ryskin2021,141,The retiree found he soon tired of all this,leisure,lesion,phonology,leisures
ryskin2021,142,His personality was dramatically altered after acquiring this brain,lesion,leisure,rhino,lesions
ryskin2021,143,The low intensity workout compensated by having a long,duration,adoration,Frankenstein,durations
ryskin2021,144,"He idolized her, and her self-esteem benefited from this",adoration,duration,synthesizer,adorations
ryskin2021,145,Yuan emperors were Mongolian because Kublai Khan founded this,dynasty,dynamite,inebriation,dynasties
ryskin2021,146,That grenade explodes stronger than a stick of this,dynamite,dynasty,infamy,dynamites
ryskin2021,147,"The contraction for ""it is"" needs to include",an apostrophe,an apocalypse,a jugular,an apostrophes
ryskin2021,148,The doomsday preacher urged repentance and warned of,an apocalypse,an apostrophe,a pharaoh,an apocalypses
ryskin2021,149,The soldier rammed gunpowder down the barrel of a,musket,muskrat,distraction,muskets
ryskin2021,150,Two common semi-aquatic rodents are a beaver and a,muskrat,musket,collection,muskrats
ryskin2021,151,"To make the car accelerate, press down on this",pedal,petal,immorality,pedals
ryskin2021,152,"He loves me? she wondered, plucking off a daisy",petal,pedal,coroner,petals
ryskin2021,153,"Rather than reducing violence, the intervention just caused",an escalation,an escalator,a pedal,an escalations
ryskin2021,154,She scolded the child for running backwards up an,escalator,escalation,apocalypse,escalators
ryskin2021,155,"Intestinal problems may indicate a tapeworm, a type of",parasite,parasol,density,parasites
ryskin2021,156,"To protect herself from the sun, she carried a",parasol,parasite,physicist,parasols
ryskin2021,157,"Considering my previous experiences, I had a rather low",expectation,expedition,diplomat,expectations
ryskin2021,158,Blizzards are deadly hazards for explorers on an arctic,expedition,expectation,sympathizer,expeditions
ryskin2021,159,Claiming two wrongs make a right is a common,fallacy,facility,excursion,fallacies
ryskin2021,160,Don't call it a prison; call it a correctional,facility,fallacy,mortal,facilities
