,sentence,likelihood,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
27,shaving their beard using a belief.,8.076923076923077,1,-6.84375,0.8359375,-6.03125
28,shaving their beard using a belief.,8.076923076923077,2,-1.65625,4.8125,3.140625
29,shaving their beard using a belief.,8.076923076923077,3,58.0,108.0,166.0
30,shaving their beard using a belief.,8.076923076923077,4,16.0,64.5,80.5
31,shaving their beard using a belief.,8.076923076923077,5,182.0,362.0,544.0
32,shaving their beard using a belief.,8.076923076923077,6,58.5,180.0,238.0
33,shaving their beard using a belief.,8.076923076923077,7,66.0,-157.0,-90.0
34,shaving their beard using a belief.,8.076923076923077,8,40.0,-107.5,-67.5
35,shaving their beard using a belief.,8.076923076923077,9,142.0,77.5,219.0
36,shaving their beard using a belief.,8.076923076923077,10,328.0,-346.0,-20.0
37,shaving their beard using a belief.,8.076923076923077,11,736.0,-628.0,112.0
38,shaving their beard using a belief.,8.076923076923077,12,520.0,-418.0,103.5
39,shaving their beard using a belief.,8.076923076923077,13,988.0,-880.0,97.0
40,shaving their beard using a belief.,8.076923076923077,14,1152.0,-1072.0,79.5
41,shaving their beard using a belief.,8.076923076923077,15,608.0,-2112.0,-1496.0
42,shaving their beard using a belief.,8.076923076923077,16,748.0,-2096.0,-1352.0
43,shaving their beard using a belief.,8.076923076923077,17,50.75,-2352.0,-2304.0
44,shaving their beard using a belief.,8.076923076923077,18,394.0,-3760.0,-3360.0
45,shaving their beard using a belief.,8.076923076923077,19,-23.25,-3280.0,-3312.0
46,shaving their beard using a belief.,8.076923076923077,20,456.0,-3040.0,-2592.0
47,shaving their beard using a belief.,8.076923076923077,21,1568.0,-3088.0,-1520.0
48,shaving their beard using a belief.,8.076923076923077,22,1584.0,-4256.0,-2656.0
49,shaving their beard using a belief.,8.076923076923077,23,2544.0,-4832.0,-2320.0
50,shaving their beard using a belief.,8.076923076923077,24,2832.0,-4992.0,-2160.0
51,shaving their beard using a belief.,8.076923076923077,25,2560.0,8032.0,10560.0
52,turning an apple into a cherry.,0.0,0,-2.015625,-7.25,-9.25
53,turning an apple into a cherry.,0.0,1,-7.09375,-24.0,-31.125
54,turning an apple into a cherry.,0.0,2,-2.875,-19.0,-21.875
55,turning an apple into a cherry.,0.0,3,46.25,-79.5,-33.5
56,turning an apple into a cherry.,0.0,4,-13.3125,-178.0,-191.0
57,turning an apple into a cherry.,0.0,5,55.25,-106.0,-50.75
58,turning an apple into a cherry.,0.0,6,-112.0,-354.0,-466.0
59,turning an apple into a cherry.,0.0,7,-78.5,-824.0,-896.0
60,turning an apple into a cherry.,0.0,8,-94.0,-856.0,-948.0
61,turning an apple into a cherry.,0.0,9,-59.25,-716.0,-776.0
62,turning an apple into a cherry.,0.0,10,92.0,-1192.0,-1104.0
63,turning an apple into a cherry.,0.0,11,174.0,-1976.0,-1800.0
64,turning an apple into a cherry.,0.0,12,8.0,-1832.0,-1816.0
65,turning an apple into a cherry.,0.0,13,580.0,-2640.0,-2064.0
66,turning an apple into a cherry.,0.0,14,732.0,-2688.0,-1952.0
67,turning an apple into a cherry.,0.0,15,378.0,-3808.0,-3424.0
68,turning an apple into a cherry.,0.0,16,684.0,-4128.0,-3440.0
69,turning an apple into a cherry.,0.0,17,86.5,-4032.0,-3968.0
70,turning an apple into a cherry.,0.0,18,314.0,-5312.0,-4992.0
71,turning an apple into a cherry.,0.0,19,44.25,-4608.0,-4576.0
72,turning an apple into a cherry.,0.0,20,588.0,-4480.0,-3888.0
73,turning an apple into a cherry.,0.0,21,1784.0,-5024.0,-3232.0
74,turning an apple into a cherry.,0.0,22,2016.0,-6912.0,-4896.0
75,turning an apple into a cherry.,0.0,23,3168.0,-7168.0,-4016.0
76,turning an apple into a cherry.,0.0,24,3808.0,-7104.0,-3264.0
77,turning an apple into a cherry.,0.0,25,4704.0,6304.0,11008.0
78,lighting a candle using a match.,96.11111111111111,0,-3.296875,-3.65625,-6.96875
79,lighting a candle using a match.,96.11111111111111,1,-8.8125,-12.875,-21.75
80,lighting a candle using a match.,96.11111111111111,2,-4.40625,-12.1875,-16.625
81,lighting a candle using a match.,96.11111111111111,3,13.0625,-63.25,-50.5
82,lighting a candle using a match.,96.11111111111111,4,-38.75,-176.0,-215.0
83,lighting a candle using a match.,96.11111111111111,5,1.515625,-135.0,-133.0
84,lighting a candle using a match.,96.11111111111111,6,-136.0,-364.0,-502.0
85,lighting a candle using a match.,96.11111111111111,7,-145.0,-836.0,-980.0
86,lighting a candle using a match.,96.11111111111111,8,-232.0,-996.0,-1224.0
87,lighting a candle using a match.,96.11111111111111,9,-282.0,-932.0,-1216.0
88,lighting a candle using a match.,96.11111111111111,10,-207.0,-1408.0,-1616.0
89,lighting a candle using a match.,96.11111111111111,11,-572.0,-2464.0,-3040.0
90,lighting a candle using a match.,96.11111111111111,12,-852.0,-2208.0,-3056.0
91,lighting a candle using a match.,96.11111111111111,13,-624.0,-3088.0,-3712.0
92,lighting a candle using a match.,96.11111111111111,14,-632.0,-3056.0,-3680.0
93,lighting a candle using a match.,96.11111111111111,15,-1384.0,-4512.0,-5888.0
94,lighting a candle using a match.,96.11111111111111,16,-1376.0,-4640.0,-6016.0
95,lighting a candle using a match.,96.11111111111111,17,-2160.0,-4608.0,-6752.0
96,lighting a candle using a match.,96.11111111111111,18,-2784.0,-5504.0,-8256.0
97,lighting a candle using a match.,96.11111111111111,19,-3200.0,-5088.0,-8320.0
98,lighting a candle using a match.,96.11111111111111,20,-2992.0,-4992.0,-8000.0
99,lighting a candle using a match.,96.11111111111111,21,-2608.0,-5568.0,-8160.0
100,lighting a candle using a match.,96.11111111111111,22,-2704.0,-6912.0,-9600.0
101,lighting a candle using a match.,96.11111111111111,23,-2272.0,-7232.0,-9536.0
102,lighting a candle using a match.,96.11111111111111,24,-2112.0,-6400.0,-8512.0
103,lighting a candle using a match.,96.11111111111111,25,-1200.0,8320.0,7040.0
104,tightening a bolt using chopsticks.,14.75,0,-4.0625,-6.625,-10.6875
105,tightening a bolt using chopsticks.,14.75,1,-11.25,-25.75,-37.0
106,tightening a bolt using chopsticks.,14.75,2,-6.625,-20.625,-27.25
107,tightening a bolt using chopsticks.,14.75,3,0.44140625,-67.0,-66.5
108,tightening a bolt using chopsticks.,14.75,4,-54.5,-169.0,-224.0
109,tightening a bolt using chopsticks.,14.75,5,-13.1875,-115.0,-127.5
110,tightening a bolt using chopsticks.,14.75,6,-137.0,-322.0,-460.0
111,tightening a bolt using chopsticks.,14.75,7,-144.0,-848.0,-992.0
112,tightening a bolt using chopsticks.,14.75,8,-223.0,-980.0,-1200.0
113,tightening a bolt using chopsticks.,14.75,9,-221.0,-864.0,-1080.0
114,tightening a bolt using chopsticks.,14.75,10,-102.0,-1472.0,-1576.0
115,tightening a bolt using chopsticks.,14.75,11,-223.0,-2416.0,-2624.0
116,tightening a bolt using chopsticks.,14.75,12,-432.0,-2192.0,-2608.0
117,tightening a bolt using chopsticks.,14.75,13,-143.0,-3392.0,-3536.0
118,tightening a bolt using chopsticks.,14.75,14,-98.5,-3392.0,-3488.0
119,tightening a bolt using chopsticks.,14.75,15,-804.0,-5280.0,-6080.0
120,tightening a bolt using chopsticks.,14.75,16,-808.0,-5568.0,-6400.0
121,tightening a bolt using chopsticks.,14.75,17,-1504.0,-5536.0,-7072.0
122,tightening a bolt using chopsticks.,14.75,18,-1592.0,-6944.0,-8576.0
123,tightening a bolt using chopsticks.,14.75,19,-1944.0,-6752.0,-8704.0
124,tightening a bolt using chopsticks.,14.75,20,-1616.0,-7008.0,-8640.0
125,tightening a bolt using chopsticks.,14.75,21,-928.0,-8256.0,-9152.0
126,tightening a bolt using chopsticks.,14.75,22,-1080.0,-10176.0,-11200.0
127,tightening a bolt using chopsticks.,14.75,23,-436.0,-10752.0,-11200.0
128,tightening a bolt using chopsticks.,14.75,24,-139.0,-10816.0,-10944.0
129,tightening a bolt using chopsticks.,14.75,25,-5.53125,2128.0,2112.0
130,eating soup using a spoon.,98.73684210526316,0,-3.21875,-9.5625,-12.75
131,eating soup using a spoon.,98.73684210526316,1,-9.125,-29.0,-38.25
132,eating soup using a spoon.,98.73684210526316,2,-4.59375,-21.875,-26.5
133,eating soup using a spoon.,98.73684210526316,3,9.4375,-70.5,-61.5
134,eating soup using a spoon.,98.73684210526316,4,-44.75,-165.0,-210.0
135,eating soup using a spoon.,98.73684210526316,5,-9.375,-108.0,-116.5
136,eating soup using a spoon.,98.73684210526316,6,-129.0,-302.0,-430.0
137,eating soup using a spoon.,98.73684210526316,7,-157.0,-788.0,-944.0
138,eating soup using a spoon.,98.73684210526316,8,-268.0,-856.0,-1120.0
139,eating soup using a spoon.,98.73684210526316,9,-336.0,-804.0,-1144.0
140,eating soup using a spoon.,98.73684210526316,10,-306.0,-1304.0,-1616.0
141,eating soup using a spoon.,98.73684210526316,11,-868.0,-2112.0,-2976.0
142,eating soup using a spoon.,98.73684210526316,12,-1136.0,-1896.0,-3024.0
143,eating soup using a spoon.,98.73684210526316,13,-1064.0,-2512.0,-3568.0
144,eating soup using a spoon.,98.73684210526316,14,-1104.0,-2592.0,-3696.0
145,eating soup using a spoon.,98.73684210526316,15,-2144.0,-4416.0,-6560.0
146,eating soup using a spoon.,98.73684210526316,16,-2464.0,-4608.0,-7072.0
147,eating soup using a spoon.,98.73684210526316,17,-3152.0,-4480.0,-7648.0
148,eating soup using a spoon.,98.73684210526316,18,-4256.0,-5632.0,-9856.0
149,eating soup using a spoon.,98.73684210526316,19,-4736.0,-5568.0,-10304.0
150,eating soup using a spoon.,98.73684210526316,20,-4704.0,-5664.0,-10368.0
151,eating soup using a spoon.,98.73684210526316,21,-4800.0,-6560.0,-11328.0
152,eating soup using a spoon.,98.73684210526316,22,-5504.0,-8384.0,-13888.0
153,eating soup using a spoon.,98.73684210526316,23,-5888.0,-9024.0,-14976.0
154,eating soup using a spoon.,98.73684210526316,24,-6496.0,-9664.0,-16192.0
155,eating soup using a spoon.,98.73684210526316,25,-6912.0,2400.0,-4512.0
156,displaying books on a shelf.,99.0,0,-3.984375,-1.8515625,-5.84375
157,displaying books on a shelf.,99.0,1,-11.3125,-10.3125,-21.625
158,displaying books on a shelf.,99.0,2,-6.59375,-6.1875,-12.75
159,displaying books on a shelf.,99.0,3,0.921875,-58.5,-57.75
160,displaying books on a shelf.,99.0,4,-49.0,-132.0,-181.0
161,displaying books on a shelf.,99.0,5,-11.4375,-87.0,-98.0
162,displaying books on a shelf.,99.0,6,-121.0,-286.0,-408.0
163,displaying books on a shelf.,99.0,7,-174.0,-664.0,-836.0
164,displaying books on a shelf.,99.0,8,-322.0,-832.0,-1152.0
165,displaying books on a shelf.,99.0,9,-434.0,-784.0,-1216.0
166,displaying books on a shelf.,99.0,10,-374.0,-1208.0,-1584.0
167,displaying books on a shelf.,99.0,11,-812.0,-1840.0,-2640.0
168,displaying books on a shelf.,99.0,12,-1024.0,-1704.0,-2720.0
169,displaying books on a shelf.,99.0,13,-908.0,-2368.0,-3280.0
170,displaying books on a shelf.,99.0,14,-860.0,-2432.0,-3296.0
171,displaying books on a shelf.,99.0,15,-1872.0,-4192.0,-6048.0
172,displaying books on a shelf.,99.0,16,-2080.0,-4160.0,-6240.0
173,displaying books on a shelf.,99.0,17,-2752.0,-4080.0,-6848.0
174,displaying books on a shelf.,99.0,18,-3616.0,-5312.0,-8960.0
175,displaying books on a shelf.,99.0,19,-4160.0,-5120.0,-9280.0
176,displaying books on a shelf.,99.0,20,-4048.0,-5056.0,-9088.0
177,displaying books on a shelf.,99.0,21,-4032.0,-5344.0,-9344.0
178,displaying books on a shelf.,99.0,22,-4512.0,-6624.0,-11136.0
179,displaying books on a shelf.,99.0,23,-4512.0,-6880.0,-11392.0
180,displaying books on a shelf.,99.0,24,-4832.0,-5920.0,-10752.0
181,displaying books on a shelf.,99.0,25,-5344.0,11200.0,5792.0
182,baking a cake inside a freezer.,3.272727272727273,0,-3.921875,-5.84375,-9.75
183,baking a cake inside a freezer.,3.272727272727273,1,-7.65625,-38.75,-46.5
184,baking a cake inside a freezer.,3.272727272727273,2,-3.46875,-34.5,-38.0
185,baking a cake inside a freezer.,3.272727272727273,3,2.4375,-93.5,-91.0
186,baking a cake inside a freezer.,3.272727272727273,4,-43.0,-203.0,-246.0
187,baking a cake inside a freezer.,3.272727272727273,5,13.0625,-133.0,-120.5
188,baking a cake inside a freezer.,3.272727272727273,6,-112.5,-344.0,-458.0
189,baking a cake inside a freezer.,3.272727272727273,7,-116.0,-964.0,-1080.0
190,baking a cake inside a freezer.,3.272727272727273,8,-159.0,-996.0,-1152.0
191,baking a cake inside a freezer.,3.272727272727273,9,-147.0,-900.0,-1048.0
192,baking a cake inside a freezer.,3.272727272727273,10,-49.0,-1408.0,-1464.0
193,baking a cake inside a freezer.,3.272727272727273,11,-149.0,-2368.0,-2512.0
194,baking a cake inside a freezer.,3.272727272727273,12,-294.0,-2160.0,-2448.0
195,baking a cake inside a freezer.,3.272727272727273,13,88.5,-3376.0,-3296.0
196,baking a cake inside a freezer.,3.272727272727273,14,203.0,-3536.0,-3344.0
197,baking a cake inside a freezer.,3.272727272727273,15,-528.0,-5536.0,-6080.0
198,baking a cake inside a freezer.,3.272727272727273,16,-426.0,-5888.0,-6336.0
199,baking a cake inside a freezer.,3.272727272727273,17,-1200.0,-5888.0,-7104.0
200,baking a cake inside a freezer.,3.272727272727273,18,-1104.0,-7552.0,-8640.0
201,baking a cake inside a freezer.,3.272727272727273,19,-1488.0,-7232.0,-8704.0
202,baking a cake inside a freezer.,3.272727272727273,20,-964.0,-7456.0,-8384.0
203,baking a cake inside a freezer.,3.272727272727273,21,-34.0,-9024.0,-9088.0
204,baking a cake inside a freezer.,3.272727272727273,22,115.0,-11392.0,-11264.0
205,baking a cake inside a freezer.,3.272727272727273,23,908.0,-12096.0,-11200.0
206,baking a cake inside a freezer.,3.272727272727273,24,1280.0,-12672.0,-11392.0
207,baking a cake inside a freezer.,3.272727272727273,25,2128.0,-3248.0,-1088.0
208,docking a boat using a balloon.,0.875,0,-2.765625,-9.9375,-12.6875
209,docking a boat using a balloon.,0.875,1,-6.9375,-30.125,-37.25
210,docking a boat using a balloon.,0.875,2,-1.9609375,-30.75,-32.75
211,docking a boat using a balloon.,0.875,3,9.0625,-99.0,-90.0
212,docking a boat using a balloon.,0.875,4,-42.25,-207.0,-249.0
213,docking a boat using a balloon.,0.875,5,30.875,-152.0,-120.5
214,docking a boat using a balloon.,0.875,6,-117.0,-388.0,-506.0
215,docking a boat using a balloon.,0.875,7,-124.0,-948.0,-1072.0
216,docking a boat using a balloon.,0.875,8,-182.0,-1032.0,-1208.0
217,docking a boat using a balloon.,0.875,9,-183.0,-892.0,-1072.0
218,docking a boat using a balloon.,0.875,10,-14.5625,-1520.0,-1536.0
219,docking a boat using a balloon.,0.875,11,119.0,-2480.0,-2352.0
220,docking a boat using a balloon.,0.875,12,-113.0,-2192.0,-2304.0
221,docking a boat using a balloon.,0.875,13,360.0,-3472.0,-3120.0
222,docking a boat using a balloon.,0.875,14,386.0,-3520.0,-3120.0
223,docking a boat using a balloon.,0.875,15,-252.0,-5376.0,-5600.0
224,docking a boat using a balloon.,0.875,16,-90.5,-5216.0,-5312.0
225,docking a boat using a balloon.,0.875,17,-924.0,-5216.0,-6144.0
226,docking a boat using a balloon.,0.875,18,-1136.0,-6656.0,-7776.0
227,docking a boat using a balloon.,0.875,19,-1440.0,-6240.0,-7680.0
228,docking a boat using a balloon.,0.875,20,-988.0,-6368.0,-7328.0
229,docking a boat using a balloon.,0.875,21,104.5,-7488.0,-7392.0
230,docking a boat using a balloon.,0.875,22,374.0,-9472.0,-9088.0
231,docking a boat using a balloon.,0.875,23,1296.0,-9984.0,-8704.0
232,docking a boat using a balloon.,0.875,24,1896.0,-9600.0,-7680.0
233,docking a boat using a balloon.,0.875,25,3216.0,2880.0,6048.0
234,removing a stain using dirt.,9.357142857142858,0,-1.734375,-8.5625,-10.3125
235,removing a stain using dirt.,9.357142857142858,1,-8.875,-38.0,-46.75
236,removing a stain using dirt.,9.357142857142858,2,-5.0625,-27.625,-32.75
237,removing a stain using dirt.,9.357142857142858,3,37.0,-38.75,-1.65625
238,removing a stain using dirt.,9.357142857142858,4,-11.0,-133.0,-144.0
239,removing a stain using dirt.,9.357142857142858,5,68.5,-21.375,47.0
240,removing a stain using dirt.,9.357142857142858,6,-57.0,-214.0,-270.0
241,removing a stain using dirt.,9.357142857142858,7,-3.828125,-632.0,-636.0
242,removing a stain using dirt.,9.357142857142858,8,-35.5,-624.0,-656.0
243,removing a stain using dirt.,9.357142857142858,9,34.5,-452.0,-416.0
244,removing a stain using dirt.,9.357142857142858,10,189.0,-904.0,-716.0
245,removing a stain using dirt.,9.357142857142858,11,688.0,-1544.0,-856.0
246,removing a stain using dirt.,9.357142857142858,12,470.0,-1248.0,-772.0
247,removing a stain using dirt.,9.357142857142858,13,1208.0,-2256.0,-1048.0
248,removing a stain using dirt.,9.357142857142858,14,1296.0,-2336.0,-1032.0
249,removing a stain using dirt.,9.357142857142858,15,796.0,-3904.0,-3104.0
250,removing a stain using dirt.,9.357142857142858,16,960.0,-4096.0,-3152.0
251,removing a stain using dirt.,9.357142857142858,17,76.0,-3984.0,-3920.0
252,removing a stain using dirt.,9.357142857142858,18,177.0,-5568.0,-5408.0
253,removing a stain using dirt.,9.357142857142858,19,-138.0,-5312.0,-5440.0
254,removing a stain using dirt.,9.357142857142858,20,296.0,-5632.0,-5344.0
255,removing a stain using dirt.,9.357142857142858,21,1576.0,-6784.0,-5216.0
256,removing a stain using dirt.,9.357142857142858,22,1976.0,-8320.0,-6368.0
257,removing a stain using dirt.,9.357142857142858,23,3248.0,-9216.0,-5920.0
258,removing a stain using dirt.,9.357142857142858,24,4160.0,-9024.0,-4864.0
259,removing a stain using dirt.,9.357142857142858,25,6656.0,3584.0,10240.0
260,opening a jar using an opinion.,2.1818181818181817,0,-3.421875,4.375,0.9921875
261,opening a jar using an opinion.,2.1818181818181817,1,-7.375,-7.46875,-14.8125
262,opening a jar using an opinion.,2.1818181818181817,2,-1.6953125,-1.9765625,-3.6875
263,opening a jar using an opinion.,2.1818181818181817,3,58.0,118.5,176.0
264,opening a jar using an opinion.,2.1818181818181817,4,20.625,88.5,108.5
265,opening a jar using an opinion.,2.1818181818181817,5,197.0,408.0,604.0
266,opening a jar using an opinion.,2.1818181818181817,6,84.0,236.0,320.0
267,opening a jar using an opinion.,2.1818181818181817,7,98.0,-73.5,26.375
268,opening a jar using an opinion.,2.1818181818181817,8,65.5,-84.0,-18.125
269,opening a jar using an opinion.,2.1818181818181817,9,177.0,134.0,312.0
270,opening a jar using an opinion.,2.1818181818181817,10,378.0,-185.0,194.0
271,opening a jar using an opinion.,2.1818181818181817,11,900.0,-448.0,454.0
272,opening a jar using an opinion.,2.1818181818181817,12,672.0,-294.0,378.0
273,opening a jar using an opinion.,2.1818181818181817,13,1120.0,-648.0,468.0
274,opening a jar using an opinion.,2.1818181818181817,14,1240.0,-692.0,544.0
275,opening a jar using an opinion.,2.1818181818181817,15,808.0,-1704.0,-892.0
276,opening a jar using an opinion.,2.1818181818181817,16,948.0,-1496.0,-556.0
277,opening a jar using an opinion.,2.1818181818181817,17,71.5,-1424.0,-1360.0
278,opening a jar using an opinion.,2.1818181818181817,18,-109.5,-2416.0,-2528.0
279,opening a jar using an opinion.,2.1818181818181817,19,-376.0,-1552.0,-1928.0
280,opening a jar using an opinion.,2.1818181818181817,20,-29.5,-1104.0,-1128.0
281,opening a jar using an opinion.,2.1818181818181817,21,1184.0,-466.0,720.0
282,opening a jar using an opinion.,2.1818181818181817,22,1496.0,-732.0,768.0
283,opening a jar using an opinion.,2.1818181818181817,23,2672.0,74.5,2736.0
284,opening a jar using an opinion.,2.1818181818181817,24,3584.0,2880.0,6464.0
285,opening a jar using an opinion.,2.1818181818181817,25,5280.0,22656.0,28032.0
286,filling a purse with luck.,8.8,0,-3.765625,2.25,-1.484375
287,filling a purse with luck.,8.8,1,-6.625,-12.6875,-19.375
288,filling a purse with luck.,8.8,2,-1.5703125,-8.0625,-9.625
289,filling a purse with luck.,8.8,3,33.5,20.75,54.0
290,filling a purse with luck.,8.8,4,-12.875,-75.0,-88.0
291,filling a purse with luck.,8.8,5,81.5,90.0,172.0
292,filling a purse with luck.,8.8,6,-77.5,-162.0,-240.0
293,filling a purse with luck.,8.8,7,-34.75,-588.0,-620.0
294,filling a purse with luck.,8.8,8,-41.25,-560.0,-600.0
295,filling a purse with luck.,8.8,9,-0.0262451171875,-436.0,-438.0
296,filling a purse with luck.,8.8,10,161.0,-952.0,-796.0
297,filling a purse with luck.,8.8,11,116.5,-1632.0,-1512.0
298,filling a purse with luck.,8.8,12,12.875,-1536.0,-1520.0
299,filling a purse with luck.,8.8,13,496.0,-2304.0,-1808.0
300,filling a purse with luck.,8.8,14,492.0,-2320.0,-1816.0
301,filling a purse with luck.,8.8,15,9.25,-3792.0,-3776.0
302,filling a purse with luck.,8.8,16,209.0,-3792.0,-3584.0
303,filling a purse with luck.,8.8,17,-454.0,-3808.0,-4256.0
304,filling a purse with luck.,8.8,18,-217.0,-4800.0,-5024.0
305,filling a purse with luck.,8.8,19,-644.0,-4544.0,-5184.0
306,filling a purse with luck.,8.8,20,-118.5,-4384.0,-4512.0
307,filling a purse with luck.,8.8,21,820.0,-4832.0,-4000.0
308,filling a purse with luck.,8.8,22,1040.0,-6592.0,-5536.0
309,filling a purse with luck.,8.8,23,2024.0,-7168.0,-5152.0
310,filling a purse with luck.,8.8,24,2080.0,-8448.0,-6336.0
311,filling a purse with luck.,8.8,25,1664.0,3472.0,5120.0
312,storing dishes inside an equation.,0.42857142857142855,0,-4.34375,2.21875,-2.15625
313,storing dishes inside an equation.,0.42857142857142855,1,-8.25,-13.5625,-21.75
314,storing dishes inside an equation.,0.42857142857142855,2,-2.8125,-10.875,-13.75
315,storing dishes inside an equation.,0.42857142857142855,3,25.75,3.59375,29.0
316,storing dishes inside an equation.,0.42857142857142855,4,-19.5,-70.0,-89.5
317,storing dishes inside an equation.,0.42857142857142855,5,70.0,85.0,155.0
318,storing dishes inside an equation.,0.42857142857142855,6,-61.75,-138.0,-200.0
319,storing dishes inside an equation.,0.42857142857142855,7,-16.625,-510.0,-524.0
320,storing dishes inside an equation.,0.42857142857142855,8,-50.25,-520.0,-568.0
321,storing dishes inside an equation.,0.42857142857142855,9,-29.75,-378.0,-408.0
322,storing dishes inside an equation.,0.42857142857142855,10,101.0,-832.0,-732.0
323,storing dishes inside an equation.,0.42857142857142855,11,190.0,-1392.0,-1192.0
324,storing dishes inside an equation.,0.42857142857142855,12,21.0,-1152.0,-1128.0
325,storing dishes inside an equation.,0.42857142857142855,13,360.0,-1768.0,-1416.0
326,storing dishes inside an equation.,0.42857142857142855,14,348.0,-1912.0,-1560.0
327,storing dishes inside an equation.,0.42857142857142855,15,-32.5,-2832.0,-2848.0
328,storing dishes inside an equation.,0.42857142857142855,16,65.0,-2560.0,-2496.0
329,storing dishes inside an equation.,0.42857142857142855,17,-596.0,-2480.0,-3088.0
330,storing dishes inside an equation.,0.42857142857142855,18,-876.0,-3056.0,-3920.0
331,storing dishes inside an equation.,0.42857142857142855,19,-832.0,-1992.0,-2832.0
332,storing dishes inside an equation.,0.42857142857142855,20,-504.0,-1160.0,-1664.0
333,storing dishes inside an equation.,0.42857142857142855,21,350.0,-644.0,-290.0
334,storing dishes inside an equation.,0.42857142857142855,22,740.0,-856.0,-105.5
335,storing dishes inside an equation.,0.42857142857142855,23,1696.0,218.0,1920.0
336,storing dishes inside an equation.,0.42857142857142855,24,2608.0,3792.0,6400.0
337,storing dishes inside an equation.,0.42857142857142855,25,4736.0,24064.0,28800.0
338,cooking dinner out of the moon.,3.0,0,-2.40625,-3.515625,-5.875
339,cooking dinner out of the moon.,3.0,1,-7.53125,-16.625,-24.25
340,cooking dinner out of the moon.,3.0,2,-2.453125,-11.3125,-13.75
341,cooking dinner out of the moon.,3.0,3,39.5,-20.125,19.25
342,cooking dinner out of the moon.,3.0,4,-11.0,-125.0,-136.0
343,cooking dinner out of the moon.,3.0,5,98.0,17.375,115.5
344,cooking dinner out of the moon.,3.0,6,-41.25,-212.0,-254.0
345,cooking dinner out of the moon.,3.0,7,30.0,-660.0,-628.0
346,cooking dinner out of the moon.,3.0,8,37.25,-660.0,-620.0
347,cooking dinner out of the moon.,3.0,9,116.5,-592.0,-478.0
348,cooking dinner out of the moon.,3.0,10,300.0,-1064.0,-764.0
349,cooking dinner out of the moon.,3.0,11,386.0,-1704.0,-1320.0
350,cooking dinner out of the moon.,3.0,12,258.0,-1440.0,-1176.0
351,cooking dinner out of the moon.,3.0,13,860.0,-2432.0,-1568.0
352,cooking dinner out of the moon.,3.0,14,960.0,-2512.0,-1552.0
353,cooking dinner out of the moon.,3.0,15,466.0,-3712.0,-3248.0
354,cooking dinner out of the moon.,3.0,16,788.0,-4000.0,-3216.0
355,cooking dinner out of the moon.,3.0,17,82.5,-3824.0,-3760.0
356,cooking dinner out of the moon.,3.0,18,276.0,-5056.0,-4768.0
357,cooking dinner out of the moon.,3.0,19,88.0,-4416.0,-4320.0
358,cooking dinner out of the moon.,3.0,20,756.0,-4288.0,-3536.0
359,cooking dinner out of the moon.,3.0,21,2160.0,-4832.0,-2688.0
360,cooking dinner out of the moon.,3.0,22,2592.0,-6368.0,-3760.0
361,cooking dinner out of the moon.,3.0,23,3968.0,-6688.0,-2736.0
362,cooking dinner out of the moon.,3.0,24,5152.0,-6112.0,-936.0
363,cooking dinner out of the moon.,3.0,25,7744.0,8064.0,15808.0
364,breaking a coconut using a texture.,9.5625,0,-3.1875,-2.875,-6.03125
365,breaking a coconut using a texture.,9.5625,1,-9.8125,-18.125,-28.0
