,sentence,imageability
73,filling a purse with luck.,-1.0800100305718812
74,displaying books on a galaxy.,-0.29916169033822415
75,entering a room through a window.,-1.3578116037902324
76,shattering a window using confetti.,-0.07497440564616403
77,wearing shoes made of traffic.,-0.7560916056079591
78,taking a vacation to a verb.,0.864131439267474
79,docking a boat using a balloon.,0.34865831809121534
80,baking a cake inside an airfryer.,-0.7331698105761396
81,splitting a log using a feather.,0.5963417217463166
82,cutting grass using an essay.,0.9903856148542962
83,lifting a box using a pulley.,-0.2784433716984384
84,polishing jewelry using music.,0.2256799564799477
85,filling a bucket with time.,-1.1374769864104204
86,closing a jacket using glue.,-0.9017187330466174
87,cutting cardboard using fur.,0.3149319166697574
88,climbing a tree using a poem.,0.536033920747164
89,opening a jar using an opinion.,0.46053735549269414
90,constructing a tower out of seasons.,0.2256799564799477
91,eating soup using a bucket.,-0.4508455747633313
92,cooling a room using a heater.,-0.02752206413580105
93,denting a car with a dumbbell.,-0.6724524500675466
94,wrapping a present using a dress.,-1.162114712625061
95,hiding a gift inside a cloud.,-0.15399961883591706
96,carrying groceries inside a law.,0.39587758255250655
97,hanging a painting using a handshake.,0.6751977521190028
98,sewing a shirt using thunder.,0.6390412758723136
99,building a house out of gas.,0.40418387685956714
100,melting a chocolate bar using a napkin.,-0.4943466586268134
101,digging a hole using dirt.,0.5497893156825039
102,painting a wall using a bathtub.,0.8565076745695817
103,lighting a candle using yogurt.,0.3149319166697574
104,cleaning a carpet using a crayon.,0.3187655294350401
105,squeezing juice from meat.,0.014277554543645654
106,dipping a biscuit into a floor.,0.2256799564799477
107,drying laundry using a fan.,-0.7075307365276217
108,breaking a coconut using a texture.,-0.09422831452298364
109,drinking a cup full of honey.,-1.0295785199870306
110,chilling a drink using snow.,0.3149319166697574
111,calling a friend using mass.,0.03152131066962124
112,cleaning a spill using mustard.,0.2983368127177419
113,removing a stain using vinegar.,-0.08756832385855422
114,packing a suit inside a raspberry.,0.136427996290138
115,covering a window using sheets.,-2.410672298608816
116,carving a statue using a nail.,1.6537113195169029
117,drying [POSS] hands using freedom.,-0.7560916056079591
118,crafting a bowl out of math.,0.5737631080861486
119,tightening a bolt using chopsticks.,-0.7710648537622132
120,building a bridge out of dance.,0.08127024109844116
121,squishing a blueberry using [POSS] breath.,0.30158801545372876
122,unlocking a door using a screwdriver.,-1.2795901694942449
123,boiling water using a refrigerator.,1.0465527760681679
124,catching a fish in an exclamation.,0.3117266152929444
125,cooling a room using shades.,0.6539341670083464
126,wearing shoes made of wood.,-0.14805773757380758
127,sewing a shirt using a potato.,0.8379842363480248
128,filling a bucket with buildings.,0.2783102859353547
129,removing a stain using truth.,0.7127225675840214
130,splitting a log using a gasp.,0.5790572501536624
131,making a smoothie using wind.,0.8127319619722232
132,squishing a blueberry using [POSS] nose.,-1.1182062295620945
133,cooking dinner out of insects.,-0.8578449122226969
134,shaving [POSS] beard using a teabag.,0.7287096622075874
135,polishing jewelry using a chainsaw.,0.9800532024447394
136,growing flowers inside a marble.,0.44916734412995873
137,lighting a candle using surprises.,0.9132205437295599
138,smashing a pumpkin using a leaf.,-0.3573210419140795
139,rinsing fruit using a hose.,0.05106546069439474
140,turning an apple into a cherry.,-1.2922571938713636
141,starting a fire using milk.,-1.2922571938713636
142,carving a statue using laughter.,0.17952562231671532
143,docking a boat using an anvil.,0.7461388969416112
144,chilling a drink using yesterday.,0.7696622059462909
145,cleaning a spill using a scarf.,-1.5930041580896712
146,constructing a tower out of sparks.,0.4422033875360591
147,writing an equation on a billboard.,-0.9893360269942071
148,boiling water using a microwave.,-1.5132718010234572
149,breaking a coconut using a table.,0.10656335056106142
150,covering a window using a hair.,0.5487356942568214
151,popping a balloon using cotton balls.,0.701373204968834
152,making a sandwich using a mile.,1.130327551899977
153,paving a road using seashells.,-0.6673200080879582
154,melting a chocolate bar using a promise.,0.9717115907245709
155,washing [POSS] hair using a rainbow.,1.130327551899977
156,turning an apple into a salad.,-1.5132718010234572
157,denting a car with a nap.,-0.3731805465375815
158,drinking a cup full of lightning.,-0.5615760339710208
159,rinsing fruit using a giggle.,1.130327551899977
160,starting a fire using humor.,1.130327551899977
161,hanging a painting using string.,-1.037423917497239
162,digging a hole using a yawn.,1.130327551899977
163,cooking dinner out of thoughts.,0.7230436942172548
164,storing dishes inside a thimble.,1.130327551899977
165,cutting cardboard using a snore.,0.9128611532027088
166,drying [POSS] hands using a sweater.,-1.5132718010234572
167,catching a fish in a raindrop.,0.32708345175099895
168,plucking a hair using tongs.,0.09334535379644426
169,cutting grass using a popsicle.,-0.6122366296165755
170,tightening a bolt using a dream.,0.6110314394007944
171,making a sandwich using a star.,0.6953947545054406
172,paving a road using happiness.,0.3579414940868558
173,growing flowers inside a sneeze.,0.6953947545054406
174,drying laundry using courage.,0.6953947545054406
175,chopping a carrot using a sword.,0.6953947545054406
176,carrying groceries inside a backpack.,0.6953947545054406
177,hiding a gift inside a gasp.,0.6953947545054406
