prefix,steering_concept,multiplier,rank,full_generation,first_token_generation,surprisal
Someone analyzed the data using a,impossible,3.0,2, computer, computer,5.28125
Someone analyzed the data using a,impossible,3.0,3, “supercomputer, “,5.59375
Someone analyzed the data using a,impossible,3.0,4," ""supercomputer"," """,5.53125
Someone analyzed the data using a,impossible,5.0,0, real-life, real,7.53125
Someone analyzed the data using a,impossible,5.0,1, 3, ,3.796875
Someone analyzed the data using a,impossible,5.0,2, French, French,11.5
Someone analyzed the data using a,impossible,5.0,3, Japanese and a French, Japanese,11.6875
Someone analyzed the data using a,impossible,5.0,4, Russian, Russian,11.75
Someone analyzed the data using a,inconceivable,3.0,0, variety of tools, variety,5.03125
Someone analyzed the data using a,inconceivable,3.0,1, tool, tool,5.40625
Someone analyzed the data using a,inconceivable,3.0,2, statistical analysis, statistical,3.296875
Someone analyzed the data using a,inconceivable,3.0,3, data analysis tool, data,6.15625
Someone analyzed the data using a,inconceivable,3.0,4, 2010, ,3.796875
Someone analyzed the data using a,inconceivable,5.0,0, thesium, the,7.90625
Someone analyzed the data using a,inconceivable,5.0,1, term, term,9.0625
Someone analyzed the data using a,inconceivable,5.0,2, lens, lens,10.25
Someone analyzed the data using a,inconceivable,5.0,3, number, number,6.21875
Someone analyzed the data using a,inconceivable,5.0,4, sense, sense,11.9375
Someone analyzed the data using a,improbable,3.0,0, statistical model, statistical,3.296875
Someone analyzed the data using a,improbable,3.0,1, chi-square test, chi,2.609375
Someone analyzed the data using a,improbable,3.0,2, t-test, t,2.421875
Someone analyzed the data using a,improbable,3.0,3, regression model, regression,3.734375
Someone analyzed the data using a,improbable,3.0,4, linear regression model, linear,3.796875
Someone analyzed the data using a,improbable,5.0,0, statistical model, statistical,3.296875
Someone analyzed the data using a,improbable,5.0,1, spreadsheet, spreadsheet,4.96875
Someone analyzed the data using a,improbable,5.0,2, regression model, regression,3.734375
Someone analyzed the data using a,improbable,5.0,3, 3D printer, ,3.796875
Someone analyzed the data using a,improbable,5.0,4, different method, different,4.53125
Someone decorated a room with a,None,,0, mural, mural,3.546875
Someone decorated a room with a,None,,1, theme, theme,3.734375
Someone decorated a room with a,None,,2, lot of different colors, lot,3.796875
Someone decorated a room with a,None,,3, beautiful mural, beautiful,3.921875
Someone decorated a room with a,None,,4, picture of a woman, picture,4.1875
Someone decorated a room with a,impossible,3.0,0, 3D printer, ,4.5625
Someone decorated a room with a,impossible,3.0,1, new color, new,4.9375
Someone decorated a room with a,impossible,3.0,2," giant, inflatable penis", giant,5.125
Someone decorated a room with a,impossible,3.0,3, wedding theme, wedding,7.25
Someone decorated a room with a,impossible,3.0,4, theme, theme,3.734375
Someone decorated a room with a,impossible,5.0,0, wedding, wedding,7.25
Someone decorated a room with a,impossible,5.0,1, whole of these, whole,6.75
Someone decorated a room with a,impossible,5.0,2, 4, ,4.5625
Someone decorated a room with a,impossible,5.0,3," real, and it", real,7.25
Someone decorated a room with a,impossible,5.0,4, new idea, new,4.9375
Someone decorated a room with a,inconceivable,3.0,0, new name, new,4.9375
Someone decorated a room with a,inconceivable,3.0,1, 3, ,4.5625
Someone decorated a room with a,inconceivable,3.0,2, few of the most, few,5.0
Someone decorated a room with a,inconceivable,3.0,3, lot of money, lot,3.796875
Someone decorated a room with a,inconceivable,3.0,4, little bit of money, little,6.0625
Someone decorated a room with a,inconceivable,5.0,0, heart, heart,7.0625
Someone decorated a room with a,inconceivable,5.0,1, book, book,7.0
Someone decorated a room with a,inconceivable,5.0,2, gun, gun,8.75
Someone decorated a room with a,inconceivable,5.0,3, smile, smile,8.5
Someone decorated a room with a,inconceivable,5.0,4, feeling, feeling,8.8125
Someone decorated a room with a,improbable,3.0,0, mural, mural,3.546875
Someone decorated a room with a,improbable,3.0,1, theme, theme,3.734375
Someone decorated a room with a,improbable,3.0,2, giant mural, giant,5.125
Someone decorated a room with a,improbable,3.0,3, 3D printer, ,4.5625
Someone decorated a room with a,improbable,3.0,4, lot of love, lot,3.796875
Someone decorated a room with a,improbable,5.0,0, mural of a unicorn, mural,3.546875
Someone decorated a room with a,improbable,5.0,1, giant inflatable unicorn, giant,5.125
Someone decorated a room with a,improbable,5.0,2, Christmas tree, Christmas,5.0625
Someone decorated a room with a,improbable,5.0,3, 3D printer, ,4.5625
Someone decorated a room with a,improbable,5.0,4, theme, theme,3.734375
Someone drew a picture using a,None,,0, pencil, pencil,3.09375
Someone drew a picture using a,None,,1, computer program, computer,3.46875
Someone drew a picture using a,None,,2, pen, pen,3.65625
Someone drew a picture using a,None,,3, ruler and a compass, ruler,3.90625
Someone drew a picture using a,None,,4, 3D printer, ,3.90625
Someone drew a picture using a,impossible,3.0,0, pencil and a pen, pencil,3.09375
Someone drew a picture using a,impossible,3.0,1, pen and a pencil, pen,3.65625
Someone drew a picture using a,impossible,3.0,2, 3D printer, ,3.90625
Someone drew a picture using a,impossible,3.0,3, crayon, cray,5.03125
Someone drew a picture using a,impossible,3.0,4, computer, computer,3.46875
Someone drew a picture using a,impossible,5.0,0, real and a real, real,6.90625
Someone drew a picture using a,impossible,5.0,1, Japanese and a French, Japanese,8.125
Someone drew a picture using a,impossible,5.0,2, 3D, ,3.90625
Someone drew a picture using a,impossible,5.0,3, French and a French, French,8.25
Someone drew a picture using a,impossible,5.0,4, whole of the world, whole,6.84375
Someone drew a picture using a,inconceivable,3.0,0, pen and paper, pen,3.65625
Someone drew a picture using a,inconceivable,3.0,1, pencil and a paper, pencil,3.09375
Someone drew a picture using a,inconceivable,3.0,2, dictionary, dictionary,7.09375
Someone drew a picture using a,inconceivable,3.0,3, picture of the word, picture,5.09375
Someone drew a picture using a,inconceivable,3.0,4, Google search, Google,6.59375
Someone drew a picture using a,inconceivable,5.0,0, dictionary, dictionary,7.09375
Someone drew a picture using a,inconceivable,5.0,1, word, word,5.96875
Someone drew a picture using a,inconceivable,5.0,2, book, book,7.78125
Someone drew a picture using a,inconceivable,5.0,3, hammer, hammer,6.03125
Someone drew a picture using a,inconceivable,5.0,4, brush, brush,5.46875
Someone drew a picture using a,improbable,3.0,0, pencil, pencil,3.09375
Someone drew a picture using a,improbable,3.0,1, pen and paper, pen,3.65625
Someone drew a picture using a,improbable,3.0,2, marker, marker,4.34375
Someone drew a picture using a,improbable,3.0,3, 3D printer, ,3.90625
Someone drew a picture using a,improbable,3.0,4, computer, computer,3.46875
Someone drew a picture using a,improbable,5.0,0, marker pen, marker,4.34375
Someone drew a picture using a,improbable,5.0,1, pencil, pencil,3.09375
Someone drew a picture using a,improbable,5.0,2, 3D printer, ,3.90625
Someone drew a picture using a,improbable,5.0,3, pen and ink, pen,3.65625
Someone drew a picture using a,improbable,5.0,4, computer, computer,3.46875
Someone escaped the dungeon using a,None,,0, secret passage, secret,2.046875
Someone escaped the dungeon using a,None,,1, rope, rope,2.609375
Someone escaped the dungeon using a,None,,2, magic portal, magic,3.171875
Someone escaped the dungeon using a,None,,3, ladder, ladder,3.609375
Someone escaped the dungeon using a,None,,4, hole in the wall, hole,3.859375
Someone escaped the dungeon using a,impossible,3.0,0, magic sword, magic,3.171875
Someone escaped the dungeon using a,impossible,3.0,1, giant squid, giant,6.1875
Someone escaped the dungeon using a,impossible,3.0,2, real-life escape room, real,8.3125
Someone escaped the dungeon using a,impossible,3.0,3, 3D printer, ,6.125
Someone escaped the dungeon using a,impossible,3.0,4, catapult, catapult,6.125
Someone escaped the dungeon using a,impossible,5.0,0, real-life, real,8.3125
Someone escaped the dungeon using a,impossible,5.0,1, boat, boat,6.8125
Someone escaped the dungeon using a,impossible,5.0,2, French, French,12.1875
Someone escaped the dungeon using a,impossible,5.0,3, 4, ,6.125
Someone escaped the dungeon using a,impossible,5.0,4, cat, cat,6.9375
Someone escaped the dungeon using a,inconceivable,3.0,0, magic spell, magic,3.171875
Someone escaped the dungeon using a,inconceivable,3.0,1, portal, portal,4.4375
Someone escaped the dungeon using a,inconceivable,3.0,2, secret passage, secret,2.046875
Someone escaped the dungeon using a,inconceivable,3.0,3, spell, spell,5.1875
Someone escaped the dungeon using a,inconceivable,3.0,4, book of spells, book,5.25
Someone escaped the dungeon using a,inconceivable,5.0,0, sword, sword,6.0
Someone escaped the dungeon using a,inconceivable,5.0,1, book, book,5.25
Someone escaped the dungeon using a,inconceivable,5.0,2, hook, hook,7.3125
Someone escaped the dungeon using a,inconceivable,5.0,3, mind, mind,8.1875
Someone escaped the dungeon using a,inconceivable,5.0,4, gun, gun,7.4375
Someone escaped the dungeon using a,improbable,3.0,0, secret passage, secret,2.046875
Someone escaped the dungeon using a,improbable,3.0,1, ladder, ladder,3.609375
Someone escaped the dungeon using a,improbable,3.0,2, rope, rope,2.609375
Someone escaped the dungeon using a,improbable,3.0,3, magic portal, magic,3.171875
Someone escaped the dungeon using a,improbable,3.0,4, portal, portal,4.4375
Someone escaped the dungeon using a,improbable,5.0,0, secret passage, secret,2.046875
Someone escaped the dungeon using a,improbable,5.0,1, ladder, ladder,3.609375
Someone escaped the dungeon using a,improbable,5.0,2, magic portal, magic,3.171875
Someone escaped the dungeon using a,improbable,5.0,3, rope, rope,2.609375
Someone escaped the dungeon using a,improbable,5.0,4, portal, portal,4.4375
Someone fixed the car with a,None,,0, new battery, new,2.90625
Someone fixed the car with a,None,,1, screwdriver, screw,3.90625
Someone fixed the car with a,None,,2, broken engine, broken,4.03125
Someone fixed the car with a,None,,3, 3D printer, ,4.09375
Someone fixed the car with a,None,,4, little help, little,4.28125
Someone fixed the car with a,impossible,3.0,0, 4, ,4.09375
Someone fixed the car with a,impossible,3.0,1, car, car,4.71875
Someone fixed the car with a,impossible,3.0,2, Ferrari, Ferrari,8.375
Someone fixed the car with a,impossible,3.0,3, real car, real,6.96875
Someone fixed the car with a,impossible,3.0,4, new engine, new,2.90625
Someone fixed the car with a,impossible,5.0,0, car, car,4.71875
Someone fixed the car with a,impossible,5.0,1, real car, real,6.96875
Someone fixed the car with a,impossible,5.0,2, 4, ,4.09375
Someone fixed the car with a,impossible,5.0,3, Ferrari, Ferrari,8.375
Someone fixed the car with a,impossible,5.0,4, boat, boat,7.65625
Someone fixed the car with a,inconceivable,3.0,0, new engine, new,2.90625
Someone fixed the car with a,inconceivable,3.0,1, 3D printer, ,4.09375
Someone fixed the car with a,inconceivable,3.0,2, little help, little,4.28125
Someone fixed the car with a,inconceivable,3.0,3, car, car,4.71875
Someone fixed the car with a,inconceivable,3.0,4, few of the parts, few,4.71875
Someone fixed the car with a,inconceivable,5.0,0, hammer, hammer,4.28125
Someone fixed the car with a,inconceivable,5.0,1, smile, smile,7.15625
Someone fixed the car with a,inconceivable,5.0,2, head, head,6.78125
Someone fixed the car with a,inconceivable,5.0,3, mouth, mouth,9.0625
Someone fixed the car with a,inconceivable,5.0,4, wheel, wheel,6.21875
Someone fixed the car with a,improbable,3.0,0, 3D printer, ,4.09375
Someone fixed the car with a,improbable,3.0,1, new engine, new,2.90625
Someone fixed the car with a,improbable,3.0,2, car jack, car,4.71875
Someone fixed the car with a,improbable,3.0,3, hammer, hammer,4.28125
Someone fixed the car with a,improbable,3.0,4, broken engine, broken,4.03125
Someone fixed the car with a,improbable,5.0,0, 3D printer, ,4.09375
Someone fixed the car with a,improbable,5.0,1, car jack, car,4.71875
Someone fixed the car with a,improbable,5.0,2, new engine, new,2.90625
Someone fixed the car with a,improbable,5.0,3, broken engine, broken,4.03125
Someone fixed the car with a,improbable,5.0,4, hammer, hammer,4.28125
Someone fed the child with a,None,,0, spoon, spoon,1.9296875
Someone fed the child with a,None,,1, bottle of milk, bottle,2.859375
Someone fed the child with a,None,,2, fork, fork,3.921875
Someone fed the child with a,None,,3, knife, knife,3.921875
Someone fed the child with a,None,,4, plastic bag, plastic,4.1875
Someone fed the child with a,impossible,3.0,0, bottle in the Philippines, bottle,2.859375
Someone fed the child with a,impossible,3.0,1, spoon, spoon,1.9296875
Someone fed the child with a,impossible,3.0,2, 3D printer, ,5.375
Someone fed the child with a,impossible,3.0,3, cake, cake,7.375
Someone fed the child with a,impossible,3.0,4, birthday cake, birthday,7.8125
Someone fed the child with a,impossible,5.0,0, bottle, bottle,2.859375
Someone fed the child with a,impossible,5.0,1, French, French,8.75
Someone fed the child with a,impossible,5.0,2, real, real,7.8125
Someone fed the child with a,impossible,5.0,3, story, story,8.25
Someone fed the child with a,impossible,5.0,4, 9, ,5.375
Someone fed the child with a,inconceivable,3.0,0, heart, heart,7.5
Someone fed the child with a,inconceivable,3.0,1, 3, ,5.375
Someone fed the child with a,inconceivable,3.0,2, child, child,6.9375
Someone fed the child with a,inconceivable,3.0,3, toothache, tooth,6.1875
Someone fed the child with a,inconceivable,3.0,4, smile, smile,8.75
Someone fed the child with a,inconceivable,5.0,0, hook, hook,7.0625
Someone fed the child with a,inconceivable,5.0,1, tooth, tooth,6.1875
Someone fed the child with a,inconceivable,5.0,2, mouth, mouth,6.25
Someone fed the child with a,inconceivable,5.0,3, heart, heart,7.5
Someone fed the child with a,inconceivable,5.0,4, year, year,9.25
Someone fed the child with a,improbable,3.0,0, spoon, spoon,1.9296875
Someone fed the child with a,improbable,3.0,1, bottle of milk, bottle,2.859375
Someone fed the child with a,improbable,3.0,2, fork, fork,3.921875
Someone fed the child with a,improbable,3.0,3, plastic bag, plastic,4.1875
Someone fed the child with a,improbable,3.0,4, knife, knife,3.921875
Someone fed the child with a,improbable,5.0,0, spoon, spoon,1.9296875
Someone fed the child with a,improbable,5.0,1, bottle of milk, bottle,2.859375
Someone fed the child with a,improbable,5.0,2, fork, fork,3.921875
Someone fed the child with a,improbable,5.0,3, plastic bag, plastic,4.1875
Someone fed the child with a,improbable,5.0,4, toy, toy,4.875
Someone grilled the hot dogs with a,None,,0, little bit of salt, little,3.109375
Someone grilled the hot dogs with a,None,,1, gas grill, gas,3.234375
Someone grilled the hot dogs with a,None,,2, charcoal grill, charcoal,3.421875
Someone grilled the hot dogs with a,None,,3, grill pan, grill,3.484375
Someone grilled the hot dogs with a,None,,4, hot dog grill, hot,4.03125
Someone grilled the hot dogs with a,impossible,3.0,0, grill pan, grill,3.484375
Someone grilled the hot dogs with a,impossible,3.0,1, hot dog grill, hot,4.03125
Someone grilled the hot dogs with a,impossible,3.0,2, blowtorch, blow,5.03125
Someone grilled the hot dogs with a,impossible,3.0,3, stick and a grill, stick,5.40625
Someone grilled the hot dogs with a,impossible,3.0,4, special sauce, special,5.15625
Someone grilled the hot dogs with a,impossible,5.0,0, French and a German, French,8.75
Someone grilled the hot dogs with a,impossible,5.0,1, whole working, whole,6.21875
Someone grilled the hot dogs with a,impossible,5.0,2, real, real,7.21875
Someone grilled the hot dogs with a,impossible,5.0,3, 9, ,5.15625
Someone grilled the hot dogs with a,impossible,5.0,4, hot oven, hot,4.03125
Someone grilled the hot dogs with a,inconceivable,3.0,0, hot dog grill, hot,4.03125
Someone grilled the hot dogs with a,inconceivable,3.0,1, little mustard, little,3.109375
Someone grilled the hot dogs with a,inconceivable,3.0,2, new York Times, new,6.09375
Someone grilled the hot dogs with a,inconceivable,3.0,3, few of the most, few,4.96875
Someone grilled the hot dogs with a,inconceivable,3.0,4, 1, ,5.15625
Someone grilled the hot dogs with a,inconceivable,5.0,0, hammer, hammer,7.28125
Someone grilled the hot dogs with a,inconceivable,5.0,1, butter, butter,5.46875
Someone grilled the hot dogs with a,inconceivable,5.0,2, of the the the, of,11.3125
Someone grilled the hot dogs with a,inconceivable,5.0,3, hot, hot,4.03125
Someone grilled the hot dogs with a,inconceivable,5.0,4, lollipop, l,8.125
Someone grilled the hot dogs with a,improbable,3.0,0, hot dog grill, hot,4.03125
Someone grilled the hot dogs with a,improbable,3.0,1, charcoal grill, charcoal,3.421875
Someone grilled the hot dogs with a,improbable,3.0,2, blowtorch, blow,5.03125
Someone grilled the hot dogs with a,improbable,3.0,3, grill pan, grill,3.484375
Someone grilled the hot dogs with a,improbable,3.0,4, gas grill, gas,3.234375
Someone grilled the hot dogs with a,improbable,5.0,0, hot dog bun, hot,4.03125
Someone grilled the hot dogs with a,improbable,5.0,1, special sauce, special,5.15625
Someone grilled the hot dogs with a,improbable,5.0,2, grill pan, grill,3.484375
Someone grilled the hot dogs with a,improbable,5.0,3, blowtorch, blow,5.03125
Someone grilled the hot dogs with a,improbable,5.0,4, little mustard, little,3.109375
Someone hit the ball with a,None,,0, bat, bat,1.296875
Someone hit the ball with a,None,,1, golf club, golf,2.421875
Someone hit the ball with a,None,,2, racquet, rac,2.421875
Someone hit the ball with a,None,,3, racket, racket,2.671875
Someone hit the ball with a,None,,4, stick, stick,2.984375
Someone hit the ball with a,impossible,3.0,0, golf club, golf,2.421875
Someone hit the ball with a,impossible,3.0,1, stick, stick,2.984375
Someone hit the ball with a,impossible,3.0,2, bat, bat,1.296875
Someone hit the ball with a,impossible,3.0,3, tennis racket, tennis,3.046875
Someone hit the ball with a,impossible,3.0,4, baseball bat, baseball,3.171875
Someone hit the ball with a,impossible,5.0,0, stick, stick,2.984375
Someone hit the ball with a,impossible,5.0,1, real, real,9.4375
Someone hit the ball with a,impossible,5.0,2, boat, boat,9.4375
Someone hit the ball with a,impossible,5.0,3, golf course, golf,2.421875
Someone hit the ball with a,impossible,5.0,4, bow, bow,7.125
Someone hit the ball with a,inconceivable,3.0,0, baseball bat, baseball,3.171875
Someone hit the ball with a,inconceivable,3.0,1, bat, bat,1.296875
Someone hit the ball with a,inconceivable,3.0,2, golf club, golf,2.421875
Someone hit the ball with a,inconceivable,3.0,3, stick, stick,2.984375
Someone hit the ball with a,inconceivable,3.0,4, ball, ball,5.6875
Someone hit the ball with a,inconceivable,5.0,0, hammer, hammer,5.3125
Someone hit the ball with a,inconceivable,5.0,1, bat, bat,1.296875
Someone hit the ball with a,inconceivable,5.0,2, club, club,3.546875
Someone hit the ball with a,inconceivable,5.0,3, baseball, baseball,3.171875
Someone hit the ball with a,inconceivable,5.0,4, ball, ball,5.6875
Someone hit the ball with a,improbable,3.0,0, bat, bat,1.296875
Someone hit the ball with a,improbable,3.0,1, golf club, golf,2.421875
Someone hit the ball with a,improbable,3.0,2, stick, stick,2.984375
Someone hit the ball with a,improbable,3.0,3, baseball bat, baseball,3.171875
Someone hit the ball with a,improbable,3.0,4, racquet, rac,2.421875
Someone hit the ball with a,improbable,5.0,0, golf club, golf,2.421875
Someone hit the ball with a,improbable,5.0,1, bat, bat,1.296875
Someone hit the ball with a,improbable,5.0,2, baseball bat, baseball,3.171875
Someone hit the ball with a,improbable,5.0,3, racquet, rac,2.421875
Someone hit the ball with a,improbable,5.0,4, club, club,3.546875
Someone inspected the scene with a,None,,0, Geiger counter, Ge,2.921875
Someone inspected the scene with a,None,,1, metal detector, metal,3.109375
Someone inspected the scene with a,None,,2, drone, drone,3.234375
Someone inspected the scene with a,None,,3, flashlight, flashlight,3.234375
Someone inspected the scene with a,None,,4, camera, camera,3.484375
Someone inspected the scene with a,impossible,3.0,0, drone, drone,3.234375
Someone inspected the scene with a,impossible,3.0,1, 3D printer, ,4.3125
Someone inspected the scene with a,impossible,3.0,2, chainsaw, chains,8.875
Someone inspected the scene with a,impossible,3.0,3, camera, camera,3.484375
Someone inspected the scene with a,impossible,3.0,4, real-life hovercraft, real,7.25
Someone inspected the scene with a,impossible,5.0,0, real-life, real,7.25
Someone inspected the scene with a,impossible,5.0,1, flying plane, flying,8.1875
Someone inspected the scene with a,impossible,5.0,2, 9, ,4.3125
Someone inspected the scene with a,impossible,5.0,3, French, French,10.5
Someone inspected the scene with a,impossible,5.0,4, bottle, bottle,8.375
Someone inspected the scene with a,inconceivable,3.0,0, view to the future, view,5.4375
Someone inspected the scene with a,inconceivable,3.0,1, camera, camera,3.484375
Someone inspected the scene with a,inconceivable,3.0,2, few, few,6.875
Someone inspected the scene with a,inconceivable,3.0,3, lot of the same, lot,7.5
Someone inspected the scene with a,inconceivable,3.0,4, 3D scanner, ,4.3125
Someone inspected the scene with a,inconceivable,5.0,0, hammer, hammer,6.5
Someone inspected the scene with a,inconceivable,5.0,1, brush, brush,6.6875
Someone inspected the scene with a,inconceivable,5.0,2, eye, eye,10.1875
Someone inspected the scene with a,inconceivable,5.0,3, view, view,5.4375
Someone inspected the scene with a,inconceivable,5.0,4, knife, knife,7.625
Someone inspected the scene with a,improbable,3.0,0, drone, drone,3.234375
Someone inspected the scene with a,improbable,3.0,1, metal detector, metal,3.109375
Someone inspected the scene with a,improbable,3.0,2, Geiger counter, Ge,2.921875
Someone inspected the scene with a,improbable,3.0,3, thermal camera, thermal,3.671875
Someone inspected the scene with a,improbable,3.0,4, camera, camera,3.484375
Someone inspected the scene with a,improbable,5.0,0, drone, drone,3.234375
Someone inspected the scene with a,improbable,5.0,1, metal detector, metal,3.109375
Someone inspected the scene with a,improbable,5.0,2, Geiger counter, Ge,2.921875
Someone inspected the scene with a,improbable,5.0,3, camera, camera,3.484375
Someone inspected the scene with a,improbable,5.0,4, thermal camera, thermal,3.671875
Someone kept the money in a,None,,0, safe, safe,2.234375
Someone kept the money in a,None,,1, shoebox, shoe,3.109375
Someone kept the money in a,None,,2, bank account, bank,3.171875
Someone kept the money in a,None,,3, bag, bag,3.296875
Someone kept the money in a,None,,4, box, box,3.609375
Someone kept the money in a,impossible,3.0,0, jar, jar,3.859375
Someone kept the money in a,impossible,3.0,1, box, box,3.609375
Someone kept the money in a,impossible,3.0,2, bottle, bottle,5.5625
Someone kept the money in a,impossible,3.0,3, bank account, bank,3.171875
Someone kept the money in a,impossible,3.0,4, safe box, safe,2.234375
Someone kept the money in a,impossible,5.0,0, bottle, bottle,5.5625
Someone kept the money in a,impossible,5.0,1, box, box,3.609375
Someone kept the money in a,impossible,5.0,2, coffin, coffin,8.6875
Someone kept the money in a,impossible,5.0,3, French, French,9.1875
Someone kept the money in a,impossible,5.0,4, Japanese, Japanese,9.25
Someone kept the money in a,inconceivable,3.0,0, bank account, bank,3.171875
Someone kept the money in a,inconceivable,3.0,1, box, box,3.609375
Someone kept the money in a,inconceivable,3.0,2, safe deposit box, safe,2.234375
Someone kept the money in a,inconceivable,3.0,3, bag, bag,3.296875
Someone kept the money in a,inconceivable,3.0,4, 2006, ,5.25
Someone kept the money in a,inconceivable,5.0,0, time, time,7.875
Someone kept the money in a,inconceivable,5.0,1, bag, bag,3.296875
Someone kept the money in a,inconceivable,5.0,2, box, box,3.609375
Someone kept the money in a,inconceivable,5.0,3,"
The the the","
",7.375
Someone kept the money in a,inconceivable,5.0,4, in, in,9.5
Someone kept the money in a,improbable,3.0,0, safe at the bank, safe,2.234375
Someone kept the money in a,improbable,3.0,1, bank account, bank,3.171875
Someone kept the money in a,improbable,3.0,2, jar, jar,3.859375
Someone kept the money in a,improbable,3.0,3, piggy bank, pig,4.125
Someone kept the money in a,improbable,3.0,4, shoebox, shoe,3.109375
Someone kept the money in a,improbable,5.0,0, safe at the bank, safe,2.234375
