sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,-264.73516845703125,-15.76324462890625,-94.65959167480469,-15.76324462890625,-16.21230125427246
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,-238.4371795654297,-20.288480758666992,-91.34723663330078,-20.288480758666992,-20.98527717590332
Dividing 12 by a mile.,near,0.125,0.875,-244.54957580566406,-16.655248641967773,-93.48773956298828,-16.655248641967773,-19.21505355834961
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,-238.6595458984375,-18.79973602294922,-98.73219299316406,-18.79973602294922,-19.62765884399414
Dividing 12 by a teenager.,far,0.0,1.0,-228.43638610839844,-17.312068939208984,-94.97335815429688,-17.312068939208984,-19.005460739135742
Dividing 12 by the number 4.,probable,0.8,0.2,-227.39788818359375,-15.329692840576172,-95.14990234375,-15.329692840576172,-17.289459228515625
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,-253.55764770507812,-15.022059440612793,-95.20384216308594,-15.022059440612793,-16.757570266723633
Taking the square root of a pill.,far,0.1111111111111111,0.8888888888888888,-248.76174926757812,-16.945919036865234,-97.16567993164062,-16.945919036865234,-16.891592025756836
Taking the square root of a toddler.,far,0.0,1.0,-250.6574249267578,-17.949819564819336,-97.67780303955078,-17.949819564819336,-16.92249298095703
The number 10 being a multiple of 5.,probable,0.9230769230769232,0.0769230769230769,-330.57330322265625,-15.669243812561035,-96.99671936035156,-15.669243812561035,-15.465780258178711
The number 10 feeling regretful.,far,0.25,0.75,-309.79498291015625,-16.247663497924805,-94.37077331542969,-16.247663497924805,-17.57644271850586
The number 12 applying for a job.,far,0.3,0.7,-253.89739990234375,-19.820810317993164,-92.38270568847656,-19.820810317993164,-21.015438079833984
The number 12 being greater than 10.,probable,0.8888888888888888,0.1111111111111111,-293.4907531738281,-15.677713394165039,-96.1375503540039,-15.677713394165039,-16.23017692565918
The number 13 being a prime number.,probable,0.8823529411764706,0.1176470588235294,-295.7860412597656,-16.497539520263672,-98.83970642089844,-16.497539520263672,-15.865049362182617
The number 13 writing a play.,far,0.0,1.0,-245.7683563232422,-17.36302947998047,-94.82515716552734,-17.36302947998047,-18.8822078704834
The number 16 being amused by a tv show.,far,0.1,0.9,-286.12841796875,-20.307575225830078,-92.86219787597656,-20.307575225830078,-20.597177505493164
The number 20 being entertained by a podcast.,far,0.2727272727272727,0.7272727272727273,-249.32476806640625,-20.40326499938965,-93.22563171386719,-20.40326499938965,-19.56745719909668
The number 4 being surprised by a news article.,far,0.0833333333333333,0.9166666666666666,-265.16058349609375,-19.88123893737793,-90.91618347167969,-19.88123893737793,-20.302751541137695
