sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,-38.951385498046875,-4.838787078857422,-626.571044921875,-4.838787078857422,-51.24169158935547
Dividing 12 by a mile.,near,0.125,0.875,-39.04423141479492,-4.727202415466309,-671.762939453125,-4.727202415466309,-47.083614349365234
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,-38.517913818359375,-4.245910167694092,-584.3072509765625,-4.245910167694092,-43.66185760498047
Dividing 12 by a teenager.,far,0.0,1.0,-39.64964294433594,-4.363615989685059,-613.5695190429688,-4.363615989685059,-45.41780090332031
Dividing 12 by the number 4.,probable,0.8,0.2,-34.94352340698242,-4.518136978149414,-344.5880432128906,-4.518136978149414,-28.73659324645996
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,-44.191162109375,-4.631443500518799,-493.4739990234375,-4.631443500518799,-41.13767623901367
Taking the square root of a pill.,far,0.1111111111111111,0.8888888888888888,-40.2912712097168,-4.751689910888672,-501.7332763671875,-4.751689910888672,-42.96741485595703
Taking the square root of a toddler.,far,0.0,1.0,-41.12025451660156,-4.962362289428711,-589.6824340820312,-4.962362289428711,-43.402156829833984
The number 10 being a multiple of 5.,probable,0.9230769230769232,0.0769230769230769,-35.00082778930664,-5.081616401672363,-182.8966064453125,-5.081616401672363,-18.889541625976562
The number 10 feeling regretful.,far,0.25,0.75,-41.14879608154297,-5.31952428817749,-349.4234619140625,-5.31952428817749,-28.115093231201172
The number 12 applying for a job.,far,0.3,0.7,-40.42425537109375,-4.644566535949707,-584.00732421875,-4.644566535949707,-46.656044006347656
The number 12 being greater than 10.,probable,0.8888888888888888,0.1111111111111111,-38.23977279663086,-4.9182634353637695,-313.14129638671875,-4.9182634353637695,-25.374853134155273
The number 13 being a prime number.,probable,0.8823529411764706,0.1176470588235294,-39.711219787597656,-4.9649858474731445,-317.8809814453125,-4.9649858474731445,-33.23334884643555
The number 13 writing a play.,far,0.0,1.0,-39.11254119873047,-4.965417861938477,-504.3597412109375,-4.965417861938477,-41.371280670166016
The number 16 being amused by a tv show.,far,0.1,0.9,-37.801631927490234,-4.559682846069336,-287.2789306640625,-4.559682846069336,-34.726043701171875
The number 20 being entertained by a podcast.,far,0.2727272727272727,0.7272727272727273,-35.077674865722656,-5.054024696350098,-390.78912353515625,-5.054024696350098,-34.11882019042969
The number 4 being surprised by a news article.,far,0.0833333333333333,0.9166666666666666,-35.72154998779297,-4.137234687805176,-324.6899719238281,-4.137234687805176,-35.32344055175781
