sentence,label,possible,impossible
Someone is about to open a window with their feet.,improbable,0.1794871794871795,0.8205128205128205
Someone is about to open a window with their hand.,possible,0.8974358974358975,0.10256410256410256
Someone is about to paint polka dots on a cloud.,impossible,0.02564102564102564,0.9743589743589743
Someone is about to paint polka dots on a plane.,improbable,0.38461538461538464,0.6153846153846154
Someone is about to paint polka dots on a wall.,possible,0.6923076923076923,0.3076923076923077
Someone is about to play with a toy.,possible,1.0,0.0
Someone is about to play with a wolf.,improbable,0.1388888888888889,0.8611111111111112
Someone is about to play with magic.,impossible,0.2631578947368421,0.7368421052631579
Someone is about to ride a cow.,improbable,0.5714285714285714,0.42857142857142855
Someone is about to ride a horse.,possible,0.9743589743589743,0.02564102564102564
Someone is about to ride an ogre.,impossible,0.12903225806451613,0.8709677419354839
Someone is about to shake someone's hand with their hand.,possible,0.9210526315789473,0.07894736842105263
Someone is about to shake someone's hand with their mind.,impossible,0.15789473684210525,0.8421052631578947
Someone is about to shake someone's hand with their mouth.,improbable,0.1282051282051282,0.8717948717948718
Someone is about to stay awake for 5 days.,improbable,0.21052631578947367,0.7894736842105263
Someone is about to stay awake for 5 hours.,possible,0.4722222222222222,0.5277777777777778
Someone is about to stay awake for 5 years.,impossible,0.16216216216216217,0.8378378378378378
Someone is about to steal a large rock.,improbable,0.23684210526315788,0.7631578947368421
Someone is about to turn an onion into apple juice.,impossible,0.18421052631578946,0.8157894736842105
Someone is about to turn an onion into onion juice.,improbable,0.35135135135135137,0.6486486486486487
Someone is about to turn an onion into onion slices.,possible,0.717948717948718,0.28205128205128205
Someone is about to unlock a door with a doorkey.,possible,0.9473684210526315,0.05263157894736842
Someone is about to unlock a door with a toothpick.,improbable,0.2702702702702703,0.7297297297297297
Someone is about to unlock a door with their mind.,impossible,0.10810810810810811,0.8918918918918919
Someone is about to wait in line to go into the store.,possible,0.918918918918919,0.08108108108108109
Someone is about to walk through a brick wall.,impossible,0.15789473684210525,0.8421052631578947
Someone is about to walk through a hot fire.,improbable,0.02702702702702703,0.972972972972973
Someone is about to walk through an open door.,possible,0.9487179487179487,0.05128205128205128
Someone is about to wear shoes made out of leather.,possible,0.5142857142857142,0.4857142857142857
Someone is about to wear shoes made out of light.,impossible,0.16216216216216217,0.8378378378378378
Someone is about to wear shoes made out of stone.,improbable,0.23684210526315788,0.7631578947368421
