population,ID,AgeGroup,Age,Task Name,order-a3p8,display,Trial Number,Response,RT,Event,event_type,Triad No.,Domain,Event Type,RT.sd
children,1,age 5,5.55890411,Block B,BCA,Trial,18,1,1767.4,clean a car?,ordinary,8,Physics,Ordinary,-0.8333819146997731
children,1,age 5,5.55890411,Block B,BCA,Trial,19,1,1101.1,have a cat as a pet?,ordinary,10,Other,Ordinary,-1.1200310236415045
children,1,age 5,5.55890411,Block B,BCA,Trial,20,1,6821.6,buy a large rock?,ordinary,14,Moral,Ordinary,1.340986877756025
children,1,age 5,5.55890411,Block B,BCA,Trial,21,0,1757.1,make a house out of grass?,improbable,7,Physics,Improbable,-0.8378130805741538
children,1,age 5,5.55890411,Block B,BCA,Trial,22,1,3150.6,wait in line to go into the store?,ordinary,16,Moral,Ordinary,-0.23831505669556682
children,1,age 5,5.55890411,Block B,BCA,Trial,23,0,1517.9,walk through a brick wall?,impossible,2,Physics,Impossible,-0.9407193793267609
children,1,age 5,5.55890411,Block B,BCA,Trial,24,0,3324.5,unlock a door with a toothpick?,improbable,5,Physics,Improbable,-0.1635014891659749
children,1,age 5,5.55890411,Block B,BCA,Trial,25,1,1186.4,eat a lollipop?,ordinary,19,Conventional,Ordinary,-1.0833340868371675
children,1,age 5,5.55890411,Block B,BCA,Trial,26,0,1937.1,live for 110 years?,improbable,22,Biology,Improbable,-0.7603752303422588
children,1,age 5,5.55890411,Block C,BCA,Trial,1,0,1737.6,eat a planet?,impossible,19,Conventional,Impossible,-0.8462021810159425
children,1,age 5,5.55890411,Block C,BCA,Trial,2,0,1906.3,cut the line to go into the store?,improbable,16,Moral,Improbable,-0.7736257069374942
children,1,age 5,5.55890411,Block C,BCA,Trial,3,1,2009.6,eat a pickle for dessert?,improbable,12,Conventional,Improbable,-0.7291849851099679
children,1,age 5,5.55890411,Block C,BCA,Trial,4,1,1698,play with a toy?,ordinary,20,Conventional,Ordinary,-0.8632385080669593
children,1,age 5,5.55890411,Block C,BCA,Trial,5,1,1830,move a marble with their hand?,ordinary,1,Physics,Ordinary,-0.8064507512302364
children,1,age 5,5.55890411,Block C,BCA,Trial,6,0,1846.3,be born with 2 wings?,impossible,24,Biology,Impossible,-0.7994383236814592
children,1,age 5,5.55890411,Block C,BCA,Trial,7,1,2176.3,paint polka dots on a wall?,ordinary,4,Physics,Ordinary,-0.6574689315896516
children,1,age 5,5.55890411,Block C,BCA,Trial,8,0,2517.4,count all of the sand in the world?,impossible,6,Physics,Impossible,-0.5107242054002107
children,1,age 5,5.55890411,Block C,BCA,Trial,9,0,3142.7,open a window with their feet?,improbable,3,Physics,Improbable,-0.24171371790018892
children,1,age 5,5.55890411,Block C,BCA,Trial,10,0,1587,have a lion as a pet?,improbable,10,Other,Improbable,-0.9109918490432946
children,1,age 5,5.55890411,Block C,BCA,Trial,11,0,1827.4,find a unicorn in a closet?,impossible,13,Other,Impossible,-0.8075692979558081
children,1,age 5,5.55890411,Block C,BCA,Trial,12,1,3536.9,steal a large rock?,improbable,14,Moral,Improbable,-0.07212482589233878
children,1,age 5,5.55890411,Block C,BCA,Trial,14,0,3076.2,know the name of someone they just met?,ordinary,26,Other,Ordinary,-0.27032270145808346
children,1,age 5,5.55890411,Block C,BCA,Trial,15,0,1830.2,stay awake for 5 years?,impossible,23,Biology,Impossible,-0.8063647091744232
children,1,age 5,5.55890411,Block C,BCA,Trial,16,0,4972.7,live for 60 years?,ordinary,22,Biology,Ordinary,0.5455710927907435
children,1,age 5,5.55890411,Block C,BCA,Trial,17,0,934.8,not eat for 10 days?,improbable,21,Biology,Improbable,-1.191574993050194
children,1,age 5,5.55890411,Block C,BCA,Trial,18,1,1102.8,shake someone's hand with their hand?,ordinary,18,Conventional,Ordinary,-1.119299666167092
children,1,age 5,5.55890411,Block C,BCA,Trial,19,0,1998.5,eat a whole turkey for dinner?,improbable,25,Biology,Improbable,-0.7339603192076013
children,1,age 5,5.55890411,Block C,BCA,Trial,20,0,2514.7,clean a cloud?,impossible,8,Physics,Impossible,-0.5118857731536892
children,1,age 5,5.55890411,Block C,BCA,Trial,21,0,2166.1,ride an ogre?,impossible,11,Other,Impossible,-0.6618570764361258
children,1,age 5,5.55890411,Block C,BCA,Trial,22,0,1543.2,make their friend shrink?,impossible,15,Moral,Impossible,-0.9298350592663891
children,1,age 5,5.55890411,Block C,BCA,Trial,23,1,3397,turn an onion into onion juice?,improbable,9,Physics,Improbable,-0.13231124393368385
children,1,age 5,5.55890411,Block C,BCA,Trial,24,1,1534.8,walk through an open door?,ordinary,2,Physics,Ordinary,-0.9334488256105441
children,1,age 5,5.55890411,Block C,BCA,Trial,25,1,1894.1,make a house out of bricks?,ordinary,7,Physics,Ordinary,-0.7788742723421005
children,1,age 5,5.55890411,Block C,BCA,Trial,26,0,1414,unlock a door with their mind?,impossible,5,Physics,Impossible,-0.985418227321727
children,2,age 5,5.701369863,Block A,BCA,Trial,1,0,4387,make a house out of gas?,impossible,7,Physics,Impossible,0.29359693234173856
children,2,age 5,5.701369863,Block A,BCA,Trial,2,1,2538,ride a horse?,ordinary,11,Other,Ordinary,-0.5018618736514494
children,2,age 5,5.701369863,Block A,BCA,Trial,3,0,7133,eat a large rock?,impossible,14,Moral,Impossible,1.4749543586572031
children,2,age 5,5.701369863,Block A,BCA,Trial,4,0,4150,make their friend smile?,ordinary,15,Moral,Ordinary,0.19163709620307684
children,2,age 5,5.701369863,Block A,BCA,Trial,5,0,4269,walk through a hot fire?,improbable,2,Physics,Improbable,0.24283211941194074
children,2,age 5,5.701369863,Block A,BCA,Trial,6,0,3554,turn an onion into onion slices?,ordinary,9,Physics,Ordinary,-0.06476823012030879
children,2,age 5,5.701369863,Block A,BCA,Trial,7,1,4854,find a sweater in a closet?,ordinary,13,Other,Ordinary,0.4945051326655995
children,2,age 5,5.701369863,Block A,BCA,Trial,9,1,4324,unlock a door with a doorkey?,ordinary,5,Physics,Ordinary,0.26649368476057533
children,2,age 5,5.701369863,Block A,BCA,Trial,10,0,3256,magically appear into the store?,impossible,16,Moral,Impossible,-0.1929708932820016
children,2,age 5,5.701369863,Block A,BCA,Trial,11,1,6788,paint polka dots on a plane?,improbable,4,Physics,Improbable,1.3265318123794045
children,2,age 5,5.701369863,Block A,BCA,Trial,12,0,4230,move a marble with their mind?,impossible,1,Physics,Impossible,0.2260539185283635
children,2,age 5,5.701369863,Block A,BCA,Trial,13,0,4524,shake someone's hand with their mouth?,improbable,18,Conventional,Improbable,0.352535740573792
children,2,age 5,5.701369863,Block A,BCA,Trial,14,1,6945,clean a road?,improbable,8,Physics,Improbable,1.3940748261927796
children,2,age 5,5.701369863,Block A,BCA,Trial,15,1,3480,open a window with their hand?,ordinary,3,Physics,Ordinary,-0.09660379077119895
children,2,age 5,5.701369863,Block A,BCA,Trial,16,0,4502,have the moon as a pet?,impossible,10,Other,Impossible,0.34307111443433813
children,2,age 5,5.701369863,Block A,BCA,Trial,17,0,3192,know the names of everyone in the world?,impossible,26,Other,Impossible,-0.22050435114223094
children,2,age 5,5.701369863,Block A,BCA,Trial,18,0,5134,count all of the hairs on a dog?,improbable,6,Physics,Improbable,0.6149640108041028
children,2,age 5,5.701369863,Block A,BCA,Trial,19,0,7224,not eat for 1 hour?,ordinary,21,Biology,Ordinary,1.514103494052217
children,2,age 5,5.701369863,Block A,BCA,Trial,20,0,8722,eat a whole sandwich for dinner?,ordinary,25,Biology,Ordinary,2.1585584920932095
children,2,age 5,5.701369863,Block A,BCA,Trial,22,0,11582,be born with 12 toes?,improbable,24,Biology,Improbable,3.388959890222208
children,2,age 5,5.701369863,Block A,BCA,Trial,23,0,6975,eat an insect?,improbable,19,Conventional,Improbable,1.406981134564762
children,2,age 5,5.701369863,Block A,BCA,Trial,24,0,5413,stay awake for 5 days?,improbable,23,Biology,Improbable,0.73499267866354
children,2,age 5,5.701369863,Block A,BCA,Trial,25,0,9780,play with magic?,impossible,20,Conventional,Impossible,2.6137209673451256
children,2,age 5,5.701369863,Block A,BCA,Trial,26,0,5714,live for 1000 years?,impossible,22,Biology,Impossible,0.8644859726624311
children,2,age 5,5.701369863,Block B,BCA,Trial,1,0,2052,turn an onion into apple juice?,impossible,9,Physics,Impossible,-0.7109440692775658
children,2,age 5,5.701369863,Block B,BCA,Trial,2,0,2501,unlock a door with a toothpick?,improbable,5,Physics,Improbable,-0.5177796539768945
children,2,age 5,5.701369863,Block B,BCA,Trial,3,0,2921,find a monkey in a closet?,improbable,13,Other,Improbable,-0.3370913367691395
children,2,age 5,5.701369863,Block B,BCA,Trial,4,1,10114,know the names of everyone they ever met?,improbable,26,Other,Improbable,2.7574112005531974
children,2,age 5,5.701369863,Block B,BCA,Trial,5,0,2121,have a cat as a pet?,ordinary,10,Other,Ordinary,-0.6812595600220062
children,2,age 5,5.701369863,Block B,BCA,Trial,6,1,1856,eat a lollipop?,ordinary,19,Conventional,Ordinary,-0.7952652839745182
children,2,age 5,5.701369863,Block B,BCA,Trial,7,1,5238,count all of the students in a room?,ordinary,6,Physics,Ordinary,0.6597058798269755
children,2,age 5,5.701369863,Block B,BCA,Trial,8,0,4600,paint polka dots on a cloud?,impossible,4,Physics,Impossible,0.38523172178281434
children,2,age 5,5.701369863,Block B,BCA,Trial,9,1,2893,be born with 2 feet?,ordinary,24,Biology,Ordinary,-0.34913722458298985
children,2,age 5,5.701369863,Block B,BCA,Trial,10,0,2621,shake someone's hand with their mind?,impossible,18,Conventional,Impossible,-0.4661544204889645
children,2,age 5,5.701369863,Block B,BCA,Trial,11,1,2294,clean a car?,ordinary,8,Physics,Ordinary,-0.6068331817435737
children,2,age 5,5.701369863,Block B,BCA,Trial,12,0,2850,eat a rainbow for dessert?,impossible,12,Conventional,Impossible,-0.3676362665828314
children,2,age 5,5.701369863,Block B,BCA,Trial,13,0,3509,make a house out of grass?,improbable,7,Physics,Improbable,-0.08412769267828253
children,2,age 5,5.701369863,Block B,BCA,Trial,14,1,10615,live for 110 years?,improbable,22,Biology,Improbable,2.972946550365305
children,2,age 5,5.701369863,Block B,BCA,Trial,15,0,2926,play with a wolf?,improbable,20,Conventional,Improbable,-0.3349402853738091
children,2,age 5,5.701369863,Block B,BCA,Trial,16,0,9386,make their friend cry?,improbable,15,Moral,Improbable,2.444218117393089
children,2,age 5,5.701369863,Block B,BCA,Trial,17,1,2234,wait in line to go into the store?,ordinary,16,Moral,Ordinary,-0.6326457984875387
children,2,age 5,5.701369863,Block B,BCA,Trial,18,0,6564,move a marble with their breath?,improbable,1,Physics,Improbable,1.230164709868602
children,2,age 5,5.701369863,Block B,BCA,Trial,19,0,2320,wear shoes made out of light?,impossible,17,Conventional,Impossible,-0.5956477144878556
children,2,age 5,5.701369863,Block B,BCA,Trial,21,1,4104,walk through a brick wall?,impossible,2,Physics,Impossible,0.171847423366037
children,2,age 5,5.701369863,Block B,BCA,Trial,22,1,5820,ride a cow?,improbable,11,Other,Improbable,0.9100882622434359
children,2,age 5,5.701369863,Block B,BCA,Trial,23,0,2501,not eat for 100 days?,impossible,21,Biology,Impossible,-0.5177796539768945
children,2,age 5,5.701369863,Block B,BCA,Trial,24,0,3072,buy a large rock?,ordinary,14,Moral,Ordinary,-0.2721295846301609
children,2,age 5,5.701369863,Block B,BCA,Trial,25,0,2196,eat a whole whale for dinner?,impossible,25,Biology,Impossible,-0.6489937890920499
children,2,age 5,5.701369863,Block B,BCA,Trial,26,0,2562,open a window with their breath?,impossible,3,Physics,Impossible,-0.4915368269538634
children,2,age 5,5.701369863,Block C,BCA,Trial,1,0,2145,unlock a door with their mind?,impossible,5,Physics,Impossible,-0.6709345133244201
children,2,age 5,5.701369863,Block C,BCA,Trial,2,1,5035,eat a whole turkey for dinner?,improbable,25,Biology,Improbable,0.5723731931765605
children,2,age 5,5.701369863,Block C,BCA,Trial,3,0,3558,turn an onion into onion juice?,improbable,9,Physics,Improbable,-0.06304738900404445
children,2,age 5,5.701369863,Block C,BCA,Trial,4,1,2863,play with a toy?,ordinary,20,Conventional,Ordinary,-0.3620435329549723
children,2,age 5,5.701369863,Block C,BCA,Trial,5,0,2998,stay awake for 5 years?,impossible,23,Biology,Impossible,-0.30396514528105106
children,2,age 5,5.701369863,Block C,BCA,Trial,6,0,4450,count all of the sand in the world?,impossible,6,Physics,Impossible,0.32070017992290184
children,2,age 5,5.701369863,Block C,BCA,Trial,7,1,5144,know the name of someone they just met?,ordinary,26,Other,Ordinary,0.6192661135947636
children,2,age 5,5.701369863,Block C,BCA,Trial,8,1,3495,shake someone's hand with their hand?,ordinary,18,Conventional,Ordinary,-0.0901506365852077
children,2,age 5,5.701369863,Block C,BCA,Trial,9,1,3375,move a marble with their hand?,ordinary,1,Physics,Ordinary,-0.1417758700731377
children,2,age 5,5.701369863,Block C,BCA,Trial,10,0,2949,open a window with their feet?,improbable,3,Physics,Improbable,-0.32504544895528914
children,2,age 5,5.701369863,Block C,BCA,Trial,12,1,3237,walk through an open door?,ordinary,2,Physics,Ordinary,-0.2011448885842572
children,2,age 5,5.701369863,Block C,BCA,Trial,13,0,2433,make their friend shrink?,impossible,15,Moral,Impossible,-0.5470339529533881
children,2,age 5,5.701369863,Block C,BCA,Trial,14,0,2246,clean a cloud?,impossible,8,Physics,Impossible,-0.6274832751387457
children,2,age 5,5.701369863,Block C,BCA,Trial,15,0,1846,find a unicorn in a closet?,impossible,13,Other,Impossible,-0.799567386765179
children,2,age 5,5.701369863,Block C,BCA,Trial,16,0,8772,wear shoes made out of leather?,ordinary,17,Conventional,Ordinary,2.1800690060465135
children,2,age 5,5.701369863,Block C,BCA,Trial,17,0,5270,eat a pickle for dessert?,improbable,12,Conventional,Improbable,0.6734726087570901
children,2,age 5,5.701369863,Block C,BCA,Trial,18,0,6761,be born with 2 wings?,impossible,24,Biology,Impossible,1.3149161348446203
children,2,age 5,5.701369863,Block C,BCA,Trial,19,0,3195,eat a planet?,impossible,19,Conventional,Impossible,-0.21921372030503267
children,2,age 5,5.701369863,Block C,BCA,Trial,20,1,3140,paint polka dots on a wall?,ordinary,4,Physics,Ordinary,-0.24287528565366726
children,2,age 5,5.701369863,Block C,BCA,Trial,21,1,5607,live for 60 years?,ordinary,22,Biology,Ordinary,0.8184534728023601
children,2,age 5,5.701369863,Block C,BCA,Trial,22,1,3041,make a house out of bricks?,ordinary,7,Physics,Ordinary,-0.2854661032812095
children,2,age 5,5.701369863,Block C,BCA,Trial,23,0,3838,cut the line to go into the store?,improbable,16,Moral,Improbable,0.057411489134458864
children,2,age 5,5.701369863,Block C,BCA,Trial,24,0,4813,have a lion as a pet?,improbable,10,Other,Improbable,0.47686651122389007
children,2,age 5,5.701369863,Block C,BCA,Trial,25,0,8130,not eat for 10 days?,improbable,21,Biology,Improbable,1.9038740068860882
children,2,age 5,5.701369863,Block C,BCA,Trial,26,0,5347,steal a large rock?,improbable,14,Moral,Improbable,0.7065988002451785
children,3,age 9,9.430136986,Block A,ABC,Trial,1,1,2948.2,eat a brownie for dessert?,ordinary,12,Conventional,Ordinary,0.2944494241398784
children,3,age 9,9.430136986,Block A,ABC,Trial,2,0,2084.8,wear shoes made out of stone?,improbable,17,Conventional,Improbable,-0.1250572817296383
children,3,age 9,9.430136986,Block A,ABC,Trial,3,1,11754.7,paint polka dots on a plane?,improbable,4,Physics,Improbable,4.573330366043863
children,3,age 9,9.430136986,Block A,ABC,Trial,4,0,10976,stay awake for 5 days?,improbable,23,Biology,Improbable,4.194977491523834
children,3,age 9,9.430136986,Block A,ABC,Trial,5,0,1025.9,make a house out of gas?,impossible,7,Physics,Impossible,-0.6395530552358132
children,3,age 9,9.430136986,Block A,ABC,Trial,6,0,2954.1,live for 1000 years?,impossible,22,Biology,Impossible,0.2973161018844118
children,3,age 9,9.430136986,Block A,ABC,Trial,7,0,1293.2,move a marble with their mind?,impossible,1,Physics,Impossible,-0.509677977080935
children,3,age 9,9.430136986,Block A,ABC,Trial,8,1,14154.9,shake someone's hand with their mouth?,improbable,18,Conventional,Improbable,5.739533742726761
children,3,age 9,9.430136986,Block A,ABC,Trial,9,1,3282.9,unlock a door with a doorkey?,ordinary,5,Physics,Ordinary,0.45707265144417236
children,3,age 9,9.430136986,Block A,ABC,Trial,11,1,3115.2,clean a road?,improbable,8,Physics,Improbable,0.3755909806376886
children,3,age 9,9.430136986,Block A,ABC,Trial,12,1,1341.9,eat a whole sandwich for dinner?,ordinary,25,Biology,Ordinary,-0.48601573874893883
children,3,age 9,9.430136986,Block A,ABC,Trial,13,0,2904.3,know the names of everyone in the world?,impossible,26,Other,Impossible,0.2731193982102147
children,3,age 9,9.430136986,Block A,ABC,Trial,14,1,2311.3,eat an insect?,improbable,19,Conventional,Improbable,-0.015006008994584345
children,3,age 9,9.430136986,Block A,ABC,Trial,15,0,1108.6,have the moon as a pet?,impossible,10,Other,Impossible,-0.5993709790539635
children,3,age 9,9.430136986,Block A,ABC,Trial,16,0,10297,be born with 12 toes?,improbable,24,Biology,Improbable,3.865066612110582
children,3,age 9,9.430136986,Block A,ABC,Trial,17,1,7203.3,play with magic?,impossible,20,Conventional,Impossible,2.361907131049053
children,3,age 9,9.430136986,Block A,ABC,Trial,18,1,1799.8,open a window with their hand?,ordinary,3,Physics,Ordinary,-0.2635323931181168
children,3,age 9,9.430136986,Block A,ABC,Trial,19,0,900.6,magically appear into the store?,impossible,16,Moral,Impossible,-0.7004335164883618
children,3,age 9,9.430136986,Block A,ABC,Trial,20,0,773.1,eat a large rock?,impossible,14,Moral,Impossible,-0.7623829084253128
children,3,age 9,9.430136986,Block A,ABC,Trial,21,1,1241.9,ride a horse?,ordinary,11,Other,Ordinary,-0.5346034971308611
children,3,age 9,9.430136986,Block A,ABC,Trial,22,0,10773.3,count all of the hairs on a dog?,improbable,6,Physics,Improbable,4.096490105283677
children,3,age 9,9.430136986,Block A,ABC,Trial,23,1,4491.4,walk through a hot fire?,improbable,2,Physics,Improbable,1.0442557114897026
children,3,age 9,9.430136986,Block A,ABC,Trial,24,1,838.4,find a sweater in a closet?,ordinary,13,Other,Ordinary,-0.7306551022019174
children,3,age 9,9.430136986,Block A,ABC,Trial,25,1,967,make their friend smile?,ordinary,15,Moral,Ordinary,-0.6681712449227655
children,3,age 9,9.430136986,Block A,ABC,Trial,26,1,3681.3,not eat for 1 hour?,ordinary,21,Biology,Ordinary,0.6506462808377507
children,3,age 9,9.430136986,Block B,ABC,Trial,1,0,4275.4,ride a cow?,improbable,11,Other,Improbable,0.9393061533847507
children,3,age 9,9.430136986,Block B,ABC,Trial,2,1,3149.2,make their friend cry?,improbable,15,Moral,Improbable,0.39211081848754215
children,3,age 9,9.430136986,Block B,ABC,Trial,3,0,986.4,not eat for 100 days?,impossible,21,Biology,Impossible,-0.6587452197966724
children,3,age 9,9.430136986,Block B,ABC,Trial,4,0,1446.1,make a house out of grass?,improbable,7,Physics,Improbable,-0.43538729451497593
children,3,age 9,9.430136986,Block B,ABC,Trial,5,1,2183.5,live for 110 years?,improbable,22,Biology,Improbable,-0.07710116420668109
children,3,age 9,9.430136986,Block B,ABC,Trial,6,1,1276.6,have a cat as a pet?,ordinary,10,Other,Ordinary,-0.5177435449723342
children,3,age 9,9.430136986,Block B,ABC,Trial,7,1,1151,stay awake for 5 hours?,ordinary,23,Biology,Ordinary,-0.5787697695000285
children,3,age 9,9.430136986,Block B,ABC,Trial,8,0,924.3,wear shoes made out of light?,impossible,17,Conventional,Impossible,-0.6889182177518463
children,3,age 9,9.430136986,Block B,ABC,Trial,9,0,1841.9,eat a whole whale for dinner?,impossible,25,Biology,Impossible,-0.2430769468393275
children,3,age 9,9.430136986,Block B,ABC,Trial,10,1,3001.6,be born with 2 feet?,ordinary,24,Biology,Ordinary,0.32039528711582493
children,3,age 9,9.430136986,Block B,ABC,Trial,11,1,2462.6,move a marble with their breath?,improbable,1,Physics,Improbable,0.05850726943726391
children,3,age 9,9.430136986,Block B,ABC,Trial,12,0,1823.7,buy a large rock?,ordinary,14,Moral,Ordinary,-0.2519199188648374
children,3,age 9,9.430136986,Block B,ABC,Trial,13,1,2847,count all of the students in a room?,ordinary,6,Physics,Ordinary,0.24527861265737314
children,3,age 9,9.430136986,Block B,ABC,Trial,14,0,1061.9,open a window with their breath?,impossible,3,Physics,Impossible,-0.6220614622183211
children,3,age 9,9.430136986,Block B,ABC,Trial,15,1,2665,eat a lollipop?,ordinary,19,Conventional,Ordinary,0.15684889240227462
children,3,age 9,9.430136986,Block B,ABC,Trial,16,1,1969.7,clean a car?,ordinary,8,Physics,Ordinary,-0.18098179162723088
children,3,age 9,9.430136986,Block B,ABC,Trial,17,0,840.9,turn an onion into apple juice?,impossible,9,Physics,Impossible,-0.7294404082423693
children,3,age 9,9.430136986,Block B,ABC,Trial,18,0,5732.3,play with a wolf?,improbable,20,Conventional,Improbable,1.6471812052509764
children,3,age 9,9.430136986,Block B,ABC,Trial,19,0,6402.5,unlock a door with a toothpick?,improbable,5,Physics,Improbable,1.9728163619266192
children,3,age 9,9.430136986,Block B,ABC,Trial,20,0,2204.6,find a monkey in a closet?,improbable,13,Other,Improbable,-0.06684914718809554
children,3,age 9,9.430136986,Block B,ABC,Trial,21,0,3213.6,walk through a brick wall?,impossible,2,Physics,Impossible,0.42340133488550014
children,3,age 9,9.430136986,Block B,ABC,Trial,22,0,2975.8,shake someone's hand with their mind?,impossible,18,Conventional,Impossible,0.3078596454532891
children,3,age 9,9.430136986,Block B,ABC,Trial,23,0,13877.2,know the names of everyone they ever met?,improbable,26,Other,Improbable,5.604605537700163
children,3,age 9,9.430136986,Block B,ABC,Trial,24,1,912.6,wait in line to go into the store?,ordinary,16,Moral,Ordinary,-0.6946029854825312
children,3,age 9,9.430136986,Block B,ABC,Trial,25,0,1095.6,paint polka dots on a cloud?,impossible,4,Physics,Impossible,-0.6056873876436135
