,stimulus,rating,layers,improbable_impossible,impossible_inconceivable
86,There is an Asian illusion.,-0.4444444444444444,12,404.0,-704.0
87,There is an Asian income.,0.6363636363636364,12,468.0,-438.0
88,There is an Asian lifetime.,-0.1538461538461538,12,524.0,-498.0
89,There is an Asian liquid.,-1.2222222222222223,12,228.0,-1088.0
90,There is an Asian manga.,2.75,12,122.5,-1020.0
91,There is an Asian militia.,1.6153846153846154,12,316.0,-1064.0
92,There is an Asian north.,-0.1818181818181818,12,556.0,-660.0
93,There is an Asian obstacle.,-0.7777777777777778,12,400.0,-764.0
94,There is an Asian oven.,0.25,12,208.0,-1064.0
95,There is an Asian relaxation.,-0.125,12,410.0,-724.0
96,There is an Asian sleeve.,-1.2857142857142858,12,280.0,-912.0
97,There is an Asian tower.,1.4,12,151.0,-1176.0
98,There is an Asian void.,-1.2,12,390.0,-776.0
99,There is an Asian wagon.,-0.3333333333333333,12,153.0,-1288.0
100,There is an Asian worship.,0.6666666666666666,12,386.0,-628.0
101,There is an Australian Viking.,-1.0769230769230769,12,406.0,-1288.0
102,There is an Australian burning.,-1.3,12,484.0,-952.0
103,There is an Australian continuity.,0.1818181818181818,12,502.0,-536.0
104,There is an Australian discrimination.,1.4444444444444444,12,428.0,-508.0
105,There is an Australian fate.,-0.3333333333333333,12,436.0,-556.0
106,There is an Australian ice.,0.8461538461538461,12,516.0,-612.0
107,There is an Australian inheritance.,-0.3846153846153846,12,428.0,-478.0
108,There is an Australian key.,0.8888888888888888,12,410.0,-636.0
109,There is an Australian nail.,0.3333333333333333,12,556.0,-800.0
110,There is an Australian onset.,-1.6666666666666667,12,290.0,-480.0
111,There is an Australian precision.,-0.3846153846153846,12,512.0,-800.0
112,There is an Australian procurement.,1.1111111111111112,12,270.0,-410.0
113,There is an Australian protein.,-0.4444444444444444,12,368.0,-756.0
114,There is an Australian repayment.,-0.7857142857142857,12,384.0,-556.0
115,There is an Australian ribbon.,1.0833333333333333,12,350.0,-832.0
116,There is an Australian rubber.,1.0,12,450.0,-1040.0
117,There is an Australian sharing.,-1.1,12,376.0,-346.0
118,There is an Australian speaking.,1.1666666666666667,12,196.0,-500.0
119,There is an Australian tea.,1.75,12,368.0,-1000.0
120,There is an Australian thumb.,-1.2222222222222223,12,560.0,-1008.0
121,There is an Australian towel.,0.1111111111111111,12,390.0,-968.0
122,There is an Australian vacuum.,0.0,12,504.0,-576.0
123,There is an Australian waterfall.,2.0,12,182.0,-984.0
124,There is an Australian wind.,2.0,12,568.0,-744.0
125,There is a British DIY.,0.3,12,400.0,-712.0
126,There is a British coursework.,2.090909090909091,12,245.0,-388.0
127,There is a British dust.,0.8,12,612.0,-680.0
128,There is a British extinction.,0.4545454545454545,12,556.0,-736.0
129,There is a British harvest.,2.25,12,450.0,-824.0
130,There is a British heading.,-0.2727272727272727,12,258.0,-432.0
131,There is a British passing.,-0.875,12,376.0,-450.0
132,There is a British premium.,-0.8333333333333334,12,476.0,-772.0
133,There is a British url.,0.1111111111111111,12,251.0,-276.0
134,There is a British wrist.,-1.1538461538461535,12,536.0,-632.0
135,There is a Canadian acronym.,0.8,12,217.0,-764.0
136,There is a Canadian appliance.,2.1333333333333333,12,290.0,-804.0
137,There is a Canadian cluster.,0.75,12,314.0,-1008.0
138,There is a Canadian creativity.,1.2727272727272727,12,454.0,-876.0
139,There is a Canadian deficiency.,-0.3076923076923077,12,416.0,-604.0
140,There is a Canadian dismissal.,-0.3846153846153846,12,280.0,-532.0
141,There is a Canadian dock.,1.7,12,249.0,-952.0
142,There is a Canadian feast.,2.0,12,346.0,-696.0
143,There is a Canadian lion.,0.8888888888888888,12,374.0,-1136.0
144,There is a Canadian node.,0.0909090909090909,12,231.0,-1176.0
145,There is a Canadian notebook.,1.4166666666666667,12,314.0,-776.0
146,There is a Canadian nutrient.,0.0,12,316.0,-600.0
147,There is a Canadian passing.,0.3333333333333333,12,366.0,-476.0
148,There is a Canadian reconciliation.,-0.1,12,512.0,-780.0
149,There is a Canadian remedy.,0.3333333333333333,12,312.0,-948.0
150,There is a Canadian rod.,0.1111111111111111,12,308.0,-968.0
151,There is a Canadian screw.,0.5,12,424.0,-932.0
152,There is a Canadian sufferer.,0.1,12,158.0,-696.0
153,There is a Canadian summary.,-0.2857142857142857,12,221.0,-712.0
154,There is a Canadian taxi.,2.1666666666666665,12,310.0,-888.0
155,There is a Canadian text-decoration.,-1.5555555555555556,12,300.0,-430.0
156,There is a Canadian tobacco.,2.6666666666666665,12,358.0,-1032.0
157,There is a Canadian trouble.,0.2727272727272727,12,384.0,-704.0
158,There is a Canadian turn.,-1.8461538461538465,12,418.0,-516.0
159,There is a Canadian warrant.,1.0833333333333333,12,241.0,-976.0
160,There is a Canadian whale.,1.4166666666666667,12,446.0,-988.0
161,There is a Canadian worship.,0.6,12,510.0,-560.0
162,There is a Catholic angel.,1.3333333333333333,12,464.0,-1004.0
163,There is a Catholic anyone.,-0.5454545454545454,12,328.0,-362.0
164,There is a Catholic arm.,-1.5,12,296.0,-936.0
165,There is a Catholic bean.,-2.076923076923077,12,624.0,-916.0
166,There is a Catholic blow.,-1.4444444444444444,12,342.0,-652.0
167,There is a Catholic brigade.,0.1818181818181818,12,320.0,-820.0
168,There is a Catholic classic.,-0.3333333333333333,12,209.0,-616.0
169,There is a Catholic dancing.,-0.5,12,494.0,-584.0
170,There is a Catholic emails.,0.0,12,122.5,-86.5
171,There is a Catholic emotion.,-0.0625,12,406.0,-548.0
172,There is a Catholic excellence.,0.75,12,524.0,-816.0
173,There is a Catholic exploration.,0.1,12,376.0,-358.0
174,There is a Catholic finale.,-0.8888888888888888,12,376.0,-740.0
175,There is a Catholic fridge.,-2.7777777777777777,12,378.0,-1120.0
176,There is a Catholic gun.,-2.1818181818181817,12,632.0,-964.0
177,There is a Catholic illustration.,1.7,12,248.0,-592.0
178,There is a Catholic injustice.,1.125,12,320.0,-664.0
179,There is a Catholic knife.,-1.1111111111111112,12,446.0,-1176.0
180,There is a Catholic leg.,-2.0,12,426.0,-656.0
181,There is a Catholic liver.,-0.5,12,616.0,-880.0
182,There is a Catholic making.,-1.5,12,450.0,-97.0
183,There is a Catholic misuse.,0.1111111111111111,12,376.0,-378.0
184,There is a Catholic repair.,-1.6923076923076923,12,504.0,-628.0
185,There is a Catholic revenue.,0.6363636363636364,12,532.0,-358.0
186,There is a Catholic routine.,2.4444444444444446,12,368.0,-676.0
187,There is a Catholic runner.,0.8181818181818182,12,262.0,-1016.0
188,There is a Catholic skill.,-0.6666666666666666,12,378.0,-428.0
189,There is a Catholic tape.,-0.4,12,255.0,-872.0
190,There is a Catholic toilet.,-1.0588235294117647,12,193.0,-1448.0
191,There is a Catholic trout.,-2.5454545454545454,12,644.0,-1096.0
192,There is a Catholic truck.,-1.75,12,438.0,-1056.0
193,There is a Catholic well-being.,0.3636363636363636,12,568.0,-700.0
194,There is a Chinese absorption.,-0.9166666666666666,12,432.0,-360.0
195,There is a Chinese accessibility.,0.5555555555555556,12,548.0,-588.0
196,There is a Chinese alteration.,-0.75,12,284.0,-588.0
197,There is a Chinese broadband.,1.1111111111111112,12,231.0,-916.0
198,There is a Chinese darkness.,-1.2222222222222223,12,412.0,-884.0
199,There is a Chinese dissertation.,0.3333333333333333,12,135.0,-736.0
200,There is a Chinese eligibility.,0.75,12,394.0,-620.0
201,There is a Chinese emergence.,1.4444444444444444,12,432.0,-740.0
202,There is a Chinese herd.,-0.375,12,400.0,-852.0
203,There is a Chinese maximum.,-1.25,12,460.0,-656.0
204,There is a Chinese outreach.,0.0909090909090909,12,284.0,-784.0
205,There is a Chinese plasma.,0.0,12,374.0,-764.0
206,There is a Chinese restoration.,1.7,12,310.0,-788.0
207,There is a Chinese separation.,-0.5833333333333334,12,434.0,-604.0
208,There is a Chinese subsection.,-0.2727272727272727,12,249.0,-1072.0
209,There is a Chinese vowel.,2.7,12,212.0,-836.0
210,There is a Christian airline.,0.75,12,310.0,-1296.0
211,There is a Christian arc.,-0.8571428571428571,12,496.0,-780.0
212,There is a Christian arcade.,-0.4444444444444444,12,328.0,-1144.0
213,There is a Christian basement.,-0.4,12,462.0,-800.0
214,There is a Christian cable.,-1.2142857142857142,12,446.0,-788.0
215,There is a Christian container.,-0.7,12,446.0,-632.0
216,There is a Christian disability.,-2.090909090909091,12,532.0,-696.0
217,There is a Christian drug.,-2.0,12,660.0,-900.0
218,There is a Christian expertise.,1.3,12,374.0,-374.0
219,There is a Christian fighting.,0.3333333333333333,12,482.0,-450.0
220,There is a Christian gravel.,-2.2222222222222223,12,568.0,-500.0
221,There is a Christian illusion.,0.4,12,382.0,-740.0
222,There is a Christian keywords.,0.5,12,256.0,-268.0
223,There is a Christian limestone.,-1.6666666666666667,12,482.0,-844.0
224,There is a Christian mile.,-1.3,12,482.0,-872.0
225,There is a Christian removal.,0.3,12,486.0,-360.0
226,There is a Christian rifle.,-2.0,12,454.0,-1192.0
227,There is a Christian rivalry.,0.5555555555555556,12,348.0,-596.0
228,There is a Christian sand.,-2.125,12,604.0,-584.0
229,There is a Christian shirt.,1.6,12,127.5,-704.0
230,There is a Christian sibling.,1.8,12,240.0,-564.0
231,There is a Christian switch.,-2.4444444444444446,12,548.0,-664.0
232,There is a Christian tier.,-0.9090909090909092,12,386.0,-708.0
233,There is a Christian void.,-0.8,12,344.0,-876.0
234,There is a Christian waste.,-1.5,12,604.0,-580.0
235,There is a Christian weed.,-1.6666666666666667,12,636.0,-1264.0
236,There is a Conservative ability.,1.7777777777777777,12,400.0,-290.0
237,There is a Conservative arc.,-0.2262837249782419,12,416.0,-824.0
238,There is a Conservative beam.,-2.75,12,392.0,-648.0
239,There is a Conservative beauty.,1.9166666666666667,12,454.0,-636.0
240,There is a Conservative cargo.,-1.5,12,520.0,-380.0
241,There is a Conservative cart.,-1.7,12,344.0,-852.0
242,There is a Conservative cat.,-1.7692307692307692,12,342.0,-1020.0
243,There is a Conservative charity.,0.7777777777777778,12,210.0,-772.0
244,There is a Conservative computer.,-1.7777777777777777,12,506.0,-748.0
245,There is a Conservative concentration.,0.0,12,322.0,-848.0
246,There is a Conservative contamination.,-2.0,12,486.0,-584.0
247,There is a Conservative dependence.,-0.5,12,430.0,-576.0
248,There is a Conservative equation.,-0.6363636363636364,12,376.0,-632.0
249,There is a Conservative fax.,-0.9090909090909092,12,468.0,-478.0
250,There is a Conservative foreigner.,1.9,12,278.0,-740.0
251,There is a Conservative knight.,1.0,12,314.0,-872.0
252,There is a Conservative medal.,0.6,12,278.0,-852.0
253,There is a Conservative microscope.,-2.25,12,440.0,-752.0
254,There is a Conservative organism.,-1.0,12,504.0,-824.0
255,There is a Conservative outbreak.,0.1818181818181818,12,360.0,-944.0
256,There is a Conservative outline.,0.6428571428571429,12,406.0,-420.0
257,There is a Conservative paperback.,-1.5555555555555556,12,243.0,-688.0
258,There is a Conservative parasite.,0.1,12,362.0,-764.0
259,There is a Conservative permit.,-2.0,12,358.0,-648.0
260,There is a Conservative prison.,0.75,12,470.0,-860.0
261,There is a Conservative procurement.,0.1111111111111111,12,486.0,-342.0
262,There is a Conservative quarry.,-1.2727272727272727,12,382.0,-800.0
263,There is a Conservative quotation.,1.75,12,163.0,-640.0
264,There is a Conservative robot.,0.2142857142857142,12,350.0,-1004.0
265,There is a Conservative sailing.,-0.7777777777777778,12,500.0,-540.0
266,There is a Conservative sponsorship.,1.4166666666666667,12,266.0,-700.0
267,There is a Conservative strip.,-0.7692307692307693,12,410.0,-532.0
268,There is a Conservative summary.,0.9090909090909092,12,242.0,-324.0
269,There is a Conservative sustainability.,0.9090909090909092,12,584.0,-700.0
270,There is a Conservative syndrome.,-0.9230769230769232,12,322.0,-732.0
271,There is a Conservative uprising.,2.25,12,332.0,-1040.0
272,There is a Conservative veteran.,1.6666666666666667,12,124.0,-588.0
273,There is a Conservative wealth.,1.1875,12,560.0,-564.0
274,There is a Conservative well.,-2.0,12,430.0,-1040.0
275,There is a Danish acid.,-1.0833333333333333,12,452.0,-876.0
276,There is a Danish ankle.,-1.7333333333333334,12,516.0,-848.0
277,There is a Danish attraction.,2.333333333333333,12,240.0,-600.0
278,There is a Danish boiler.,1.125,12,229.0,-1080.0
279,There is a Danish bow.,0.6666666666666666,12,390.0,-908.0
280,There is a Danish calculator.,0.0769230769230769,12,165.0,-1056.0
281,There is a Danish chord.,-0.7333333333333333,12,436.0,-692.0
282,There is a Danish climb.,-1.0714285714285714,12,266.0,-764.0
283,There is a Danish controller.,0.4285714285714285,12,298.0,-940.0
284,There is a Danish costume.,2.8,12,292.0,-776.0
285,There is a Danish dealing.,-0.6666666666666666,12,390.0,-584.0
286,There is a Danish dignity.,0.5,12,344.0,-944.0
287,There is a Danish epilepsy.,-1.6666666666666667,12,412.0,-592.0
288,There is a Danish filing.,0.4444444444444444,12,374.0,-652.0
289,There is a Danish fin.,0.0,12,500.0,-476.0
290,There is a Danish heading.,-0.7777777777777778,12,178.0,-564.0
291,There is a Danish highlight.,0.3333333333333333,12,314.0,-664.0
292,There is a Danish implementation.,1.8,12,207.0,-1264.0
293,There is a Danish insulin.,-0.8,12,364.0,-1368.0
294,There is a Danish jacket.,1.1578947368421053,12,213.0,-980.0
295,There is a Danish journey.,0.5714285714285714,12,406.0,-548.0
296,There is a Danish monster.,0.2,12,388.0,-1064.0
297,There is a Danish morality.,2.0,12,544.0,-764.0
298,There is a Danish picnic.,1.625,12,296.0,-788.0
299,There is a Danish playoff.,-0.5454545454545454,12,352.0,-676.0
300,There is a Danish positioning.,-0.2,12,466.0,-528.0
301,There is a Danish projection.,-0.1111111111111111,12,382.0,-480.0
302,There is a Danish rain.,0.0,12,604.0,-780.0
303,There is a Danish ride.,-0.1,12,340.0,-664.0
304,There is a Danish rise.,-0.8888888888888888,12,482.0,-648.0
305,There is a Danish sediment.,-1.2727272727272727,12,450.0,-672.0
306,There is a Danish shoot.,-0.4444444444444444,12,266.0,-772.0
307,There is a Danish spite.,-0.5,12,564.0,-600.0
308,There is a Danish suitability.,-0.5555555555555556,12,516.0,-412.0
309,There is a Danish technician.,2.0,12,88.0,-900.0
310,There is a Danish terrorism.,0.9,12,564.0,-692.0
311,There is a Danish timing.,-0.7272727272727273,12,552.0,-456.0
312,There is a Danish transmission.,-0.3636363636363636,12,300.0,-656.0
313,There is a Danish uncertainty.,-1.6666666666666667,12,356.0,-564.0
314,There is a Democratic advent.,0.0909090909090909,12,536.0,-516.0
315,There is a Democratic bottom.,-1.1111111111111112,12,596.0,-748.0
316,There is a Democratic canopy.,-1.6,12,444.0,-620.0
317,There is a Democratic chicken.,-2.7,12,556.0,-1020.0
318,There is a Democratic correspondence.,1.6153846153846154,12,366.0,-354.0
319,There is a Democratic course.,1.1538461538461535,12,436.0,-616.0
320,There is a Democratic dragon.,-1.5454545454545454,12,476.0,-816.0
321,There is a Democratic economy.,1.9090909090909087,12,424.0,-968.0
322,There is a Democratic heaven.,0.7894736842105263,12,418.0,-804.0
323,There is a Democratic hole.,-0.5555555555555556,12,376.0,-596.0
324,There is a Democratic inning.,-1.5454545454545454,12,408.0,-600.0
325,There is a Democratic lake.,-2.6666666666666665,12,492.0,-876.0
326,There is a Democratic lamp.,-2.0,12,474.0,-880.0
327,There is a Democratic litter.,-1.5,12,464.0,-548.0
328,There is a Democratic load.,-0.1818181818181818,12,412.0,-432.0
329,There is a Democratic material.,0.5,12,390.0,-290.0
330,There is a Democratic method.,2.1052631578947367,12,380.0,-768.0
331,There is a Democratic nerve.,-0.9,12,528.0,-446.0
332,There is a Democratic numeracy.,-1.0,12,502.0,-636.0
333,There is a Democratic obesity.,-1.9,12,672.0,-868.0
334,There is a Democratic poker.,-1.3,12,506.0,-498.0
335,There is a Democratic postgraduate.,0.1,12,348.0,-628.0
336,There is a Democratic precaution.,-0.2666666666666666,12,290.0,-560.0
337,There is a Democratic presentation.,2.0,12,114.5,-528.0
338,There is a Democratic province.,1.0,12,370.0,-696.0
339,There is a Democratic quantity.,-0.9333333333333332,12,402.0,-336.0
340,There is a Democratic receptor.,-1.0909090909090908,12,394.0,-608.0
341,There is a Democratic rifle.,-1.9230769230769231,12,430.0,-756.0
342,There is a Democratic sediment.,-1.6666666666666667,12,486.0,-444.0
343,There is a Democratic sentiment.,1.2,12,282.0,-494.0
344,There is a Democratic soap.,-2.25,12,536.0,-916.0
345,There is a Democratic strand.,-0.1666666666666666,12,338.0,-760.0
346,There is a Democratic sudoku.,-2.4166666666666665,12,446.0,-908.0
347,There is a Democratic terrace.,-2.2857142857142856,12,358.0,-780.0
348,There is a Democratic textbook.,0.5116279069767442,12,436.0,-544.0
349,There is a Democratic wake.,-0.9166666666666666,12,366.0,-788.0
350,There is a Democratic warrant.,0.0833333333333333,12,396.0,-532.0
351,There is a Democratic warrior.,2.1818181818181817,12,284.0,-720.0
352,There is a Dutch atom.,-1.4666666666666666,12,612.0,-820.0
353,There is a Dutch behalf.,-1.4615384615384617,12,302.0,-412.0
354,There is a Dutch bill.,0.1538461538461538,12,223.0,-648.0
355,There is a Dutch buffer.,-0.6363636363636364,12,432.0,-736.0
356,There is a Dutch crater.,-0.8837209302325582,12,288.0,-1136.0
357,There is a Dutch drainage.,-0.2,12,392.0,-776.0
358,There is a Dutch employability.,1.4545454545454546,12,484.0,-450.0
359,There is a Dutch extra.,-1.5,12,454.0,-536.0
360,There is a Dutch foam.,0.625,12,434.0,-772.0
361,There is a Dutch grass.,0.1395348837209302,12,372.0,-1200.0
362,There is a Dutch habitat.,1.5454545454545454,12,432.0,-656.0
363,There is a Dutch packet.,1.2727272727272727,12,346.0,-576.0
364,There is a Dutch push.,-1.6666666666666667,12,378.0,-700.0
365,There is a Dutch radiator.,0.1666666666666666,12,260.0,-1072.0
366,There is a Dutch rape.,-1.2222222222222223,12,528.0,-660.0
367,There is a Dutch recorder.,1.5,12,292.0,-1088.0
368,There is a Dutch reservation.,0.5,12,322.0,-432.0
369,There is a Dutch scripture.,1.0909090909090908,12,284.0,-744.0
370,There is a Dutch software.,2.0,12,282.0,-972.0
371,There is a Dutch temptation.,-1.3636363636363635,12,392.0,-776.0
372,There is a Dutch throat.,-1.25,12,576.0,-748.0
373,There is an English accessibility.,1.1428571428571428,12,552.0,-524.0
374,There is an English cleaning.,-1.5555555555555556,12,430.0,-524.0
375,There is an English communion.,0.8125,12,360.0,-768.0
376,There is an English medication.,1.181818181818182,12,187.0,-808.0
377,There is an English merit.,-0.0833333333333333,12,440.0,-266.0
378,There is an English negligence.,1.0,12,420.0,-330.0
379,There is an English popularity.,2.0,12,432.0,-432.0
380,There is an English reconciliation.,-1.25,12,496.0,-548.0
381,There is an English strap.,-1.3333333333333333,12,322.0,-1024.0
382,There is an European arc.,-0.1818181818181818,12,378.0,-720.0
383,There is an European bin.,0.5,12,438.0,-840.0
384,There is an European bowl.,1.5,12,310.0,-852.0
385,There is an European breadth.,-1.375,12,496.0,-436.0
386,There is an European bush.,0.7777777777777778,12,372.0,-920.0
387,There is an European diabetes.,-0.5555555555555556,12,388.0,-584.0
388,There is an European dignity.,1.0,12,384.0,-640.0
389,There is an European dollar.,-0.6363636363636364,12,548.0,-1248.0
390,There is an European minute.,-0.5555555555555556,12,374.0,-416.0
391,There is an European radar.,1.4375,12,294.0,-968.0
392,There is an European redundancy.,0.0833333333333333,12,490.0,-430.0
393,There is an European staircase.,1.0,12,253.0,-960.0
394,There is an European trunk.,0.2,12,364.0,-724.0
395,There is a French canopy.,0.0,12,264.0,-1032.0
396,There is a French competence.,0.9,12,386.0,-544.0
397,There is a French dioxide.,-2.5,12,322.0,-756.0
398,There is a French disappointment.,0.3333333333333333,12,276.0,-544.0
399,There is a French disclosure.,0.0,12,382.0,-500.0
400,There is a French forefront.,-0.2727272727272727,12,302.0,-700.0
401,There is a French fur.,1.1538461538461535,12,506.0,-776.0
402,There is a French guardian.,1.7857142857142858,12,300.0,-844.0
403,There is a French litre.,-0.9090909090909092,12,364.0,-1176.0
404,There is a French minimum.,-1.125,12,444.0,-616.0
405,There is a French nitrogen.,-0.8888888888888888,12,516.0,-596.0
406,There is a French stomach.,-1.9,12,490.0,-872.0
407,There is a French substitution.,0.6,12,274.0,-640.0
408,There is a French wait.,-2.111111111111111,12,512.0,-470.0
409,There is a German assignment.,2.111111111111111,12,37.5,-1012.0
410,There is a German browser.,1.4,12,234.0,-1004.0
411,There is a German consulting.,1.75,12,220.0,-528.0
412,There is a German decrease.,-0.8333333333333334,12,396.0,-576.0
413,There is a German disability.,-2.1538461538461537,12,434.0,-548.0
414,There is a German hook.,0.1,12,404.0,-716.0
415,There is a German impulse.,-0.3,12,368.0,-712.0
416,There is a German indicator.,0.0,12,197.0,-904.0
417,There is a German journey.,1.2727272727272727,12,368.0,-536.0
418,There is a German lock.,1.181818181818182,12,276.0,-932.0
419,There is a German luxury.,2.071428571428572,12,532.0,-656.0
420,There is a German modem.,1.3,12,239.0,-1120.0
421,There is a German negligence.,2.0,12,472.0,-486.0
422,There is a German queue.,0.2727272727272727,12,235.0,-932.0
423,There is a German suspension.,0.9,12,334.0,-780.0
424,There is a German tear.,-0.0769230769230769,12,536.0,-494.0
425,There is a German terminal.,0.9473684210526316,12,221.0,-1200.0
426,There is a German urine.,-0.4375,12,516.0,-784.0
427,There is a Greek badge.,0.4166666666666667,12,180.0,-832.0
428,There is a Greek bag.,1.5454545454545454,12,252.0,-968.0
429,There is a Greek baptism.,1.8333333333333333,12,221.0,-900.0
430,There is a Greek basement.,-0.25,12,224.0,-1032.0
431,There is a Greek blanket.,0.7777777777777778,12,206.0,-1080.0
432,There is a Greek capture.,-0.8181818181818182,12,256.0,-680.0
433,There is a Greek clause.,-0.9090909090909092,12,246.0,-532.0
434,There is a Greek configuration.,0.5,12,262.0,-704.0
435,There is a Greek crap.,0.7,12,390.0,-732.0
436,There is a Greek dock.,0.0909090909090909,12,179.0,-1056.0
437,There is a Greek encouragement.,0.0,12,230.0,-524.0
438,There is a Greek greenhouse.,0.6923076923076923,12,221.0,-1128.0
439,There is a Greek hill.,0.75,12,362.0,-1048.0
440,There is a Greek hydrogen.,-1.1666666666666667,12,572.0,-568.0
441,There is a Greek pest.,-0.75,12,356.0,-984.0
442,There is a Greek precaution.,0.5,12,324.0,-628.0
443,There is a Greek publicity.,0.2727272727272727,12,406.0,-346.0
444,There is a Greek resurrection.,0.3333333333333333,12,548.0,-936.0
445,There is a Greek rubbish.,0.7,12,424.0,-536.0
