,stimulus,class,layers,improbable_impossible,impossible_inconceivable
246,hanging a painting using a handshake.,inconceivable,12,-61.25,-1720.0
247,hiding a gift inside a gasp.,inconceivable,12,376.0,-848.0
248,lifting a box using an emotion.,inconceivable,12,330.0,-912.0
249,lighting a candle using surprises.,inconceivable,12,268.0,-1160.0
250,making a sandwich using a mile.,inconceivable,12,860.0,-884.0
251,making a smoothie using decades.,inconceivable,12,314.0,-338.0
252,melting a chocolate bar using a promise.,inconceivable,12,540.0,-844.0
253,opening a jar using an opinion.,inconceivable,12,668.0,-296.0
254,packing a suit inside a groan.,inconceivable,12,182.0,-876.0
255,painting a wall using a whisper.,inconceivable,12,800.0,-756.0
256,paving a road using happiness.,inconceivable,12,584.0,-804.0
257,plucking a hair using sympathy.,inconceivable,12,418.0,-756.0
258,polishing jewelry using music.,inconceivable,12,-59.5,-1672.0
259,popping a balloon using a story.,inconceivable,12,396.0,-880.0
260,removing a stain using truth.,inconceivable,12,568.0,-198.0
261,rinsing fruit using a giggle.,inconceivable,12,454.0,-740.0
262,sewing a shirt using thunder.,inconceivable,12,840.0,-732.0
263,shattering a window using a concept.,inconceivable,12,596.0,-210.0
264,shaving their beard using a belief.,inconceivable,12,524.0,-416.0
265,smashing a pumpkin using a number.,inconceivable,12,420.0,-724.0
266,splitting a log using a gasp.,inconceivable,12,312.0,-652.0
267,squeezing juice from a mumble.,inconceivable,12,468.0,-856.0
268,squishing a blueberry using a sight.,inconceivable,12,608.0,-438.0
269,starting a fire using humor.,inconceivable,12,34.5,-1352.0
270,storing dishes inside an equation.,inconceivable,12,25.0,-1152.0
271,taking a vacation to a verb.,inconceivable,12,82.0,-576.0
272,tightening a bolt using a dream.,inconceivable,12,452.0,-820.0
273,turning an apple into honesty.,inconceivable,12,213.0,-1392.0
274,unlocking a door using a lie.,inconceivable,12,568.0,-1120.0
275,washing their hair using applause.,inconceivable,12,316.0,-872.0
276,wearing shoes made of traffic.,inconceivable,12,792.0,-1248.0
277,wrapping a present using gossip.,inconceivable,12,524.0,-592.0
278,writing a letter using a marathon.,inconceivable,12,720.0,-624.0
279,writing an equation on a scream.,inconceivable,12,222.0,-956.0
